Date,CAT
2000-01-03,12.520861625671387
2000-01-04,12.3599271774292
2000-01-05,12.649609565734863
2000-01-06,13.293354034423828
2000-01-07,13.727886199951172
2000-01-10,13.277261734008789
2000-01-11,13.068038940429688
2000-01-12,13.293354034423828
2000-01-13,13.438191413879395
2000-01-14,13.373818397521973
2000-01-18,12.93979263305664
2000-01-19,12.77784538269043
2000-01-20,12.211021423339844
2000-01-21,12.275797843933105
2000-01-24,11.741362571716309
2000-01-25,11.30410099029541
2000-01-26,11.644194602966309
2000-01-27,11.547027587890625
2000-01-28,11.271709442138672
2000-01-31,10.996395111083984
2000-02-01,11.190738677978516
2000-02-02,11.25551700592041
2000-02-03,10.964009284973145
2000-02-04,10.964009284973145
2000-02-07,10.688697814941406
2000-02-08,10.623913764953613
2000-02-09,10.1380615234375
2000-02-10,9.862752914428711
2000-02-11,9.32830810546875
2000-02-14,10.008502960205078
2000-02-15,10.364791870117188
2000-02-16,10.154254913330078
2000-02-17,10.024698257446289
2000-02-18,9.76557731628418
2000-02-22,9.92752742767334
2000-02-23,9.797967910766602
2000-02-24,9.39309310913086
2000-02-25,9.32830810546875
2000-02-28,9.214950561523438
2000-02-29,9.0853910446167
2000-03-01,9.036803245544434
2000-03-02,8.923439979553223
2000-03-03,9.425484657287598
2000-03-06,9.50645637512207
2000-03-07,8.761489868164062
2000-03-08,9.052996635437012
2000-03-09,9.133973121643066
2000-03-10,9.247340202331543
2000-03-13,9.231141090393066
2000-03-14,9.279727935791016
2000-03-15,9.911334037780762
2000-03-16,10.542938232421875
2000-03-17,10.267617225646973
2000-03-20,9.976115226745605
2000-03-21,10.316204071044922
2000-03-22,10.089479446411133
2000-03-23,10.251426696777344
2000-03-24,10.235235214233398
2000-03-27,10.121869087219238
2000-03-28,9.92752742767334
2000-03-29,10.105669975280762
2000-03-30,10.559136390686035
2000-03-31,10.219038009643555
2000-04-03,10.850641250610352
2000-04-04,11.25551700592041
2000-04-05,10.996395111083984
2000-04-06,10.964009284973145
2000-04-07,10.721085548400879
2000-04-10,10.737277030944824
2000-04-11,10.899230003356934
2000-04-12,11.25551700592041
2000-04-13,10.88302993774414
2000-04-14,10.494351387023926
2000-04-17,10.607719421386719
2000-04-18,10.429574966430664
2000-04-19,9.82874870300293
2000-04-20,9.926704406738281
2000-04-24,10.187932968139648
2000-04-25,10.481821060180664
2000-04-26,10.383855819702148
2000-04-27,10.481821060180664
2000-04-28,10.302223205566406
2000-05-01,10.13895320892334
2000-05-02,10.351202011108398
2000-05-03,10.155282974243164
2000-05-04,9.910381317138672
2000-05-05,10.204263687133789
2000-05-08,10.171611785888672
2000-05-09,9.926704406738281
2000-05-10,10.02466869354248
2000-05-11,10.13895320892334
2000-05-12,10.285900115966797
2000-05-15,10.596107482910156
2000-05-16,10.514473915100098
2000-05-17,10.449163436889648
2000-05-18,10.13895320892334
2000-05-19,10.46548843383789
2000-05-22,10.498141288757324
2000-05-23,10.318551063537598
2000-05-24,10.367530822753906
2000-05-25,9.943039894104004
2000-05-26,9.959358215332031
2000-05-30,10.008340835571289
2000-05-31,9.99201488494873
2000-06-01,10.383855819702148
2000-06-02,10.726724624633789
2000-06-05,10.449163436889648
2000-06-06,10.204263687133789
2000-06-07,10.13895320892334
2000-06-08,9.959358215332031
2000-06-09,9.99201488494873
2000-06-12,10.089971542358398
2000-06-13,9.730783462524414
2000-06-14,9.82874870300293
2000-06-15,9.665478706359863
2000-06-16,9.387918472290039
2000-06-19,9.175671577453613
2000-06-20,9.159348487854004
2000-06-21,9.175671577453613
2000-06-22,8.996078491210938
2000-06-23,9.04505729675293
2000-06-26,9.094038009643555
2000-06-27,9.322615623474121
2000-06-28,9.445061683654785
2000-06-29,9.143016815185547
2000-06-30,8.849136352539062
2000-07-03,9.404242515563965
2000-07-05,9.19199275970459
2000-07-06,9.094038009643555
2000-07-07,8.86546516418457
2000-07-10,8.94709300994873
2000-07-11,9.436899185180664
2000-07-12,9.551189422607422
2000-07-13,9.387918472290039
2000-07-14,9.33894157409668
2000-07-17,9.330779075622559
2000-07-18,9.956169128417969
2000-07-19,10.00561809539795
2000-07-20,9.774852752685547
2000-07-21,9.626493453979492
2000-07-24,9.560564994812012
2000-07-25,9.461662292480469
2000-07-26,9.164953231811523
2000-07-27,9.197922706604004
2000-07-28,8.983631134033203
2000-07-31,8.983631134033203
2000-08-01,9.049565315246582
2000-08-02,9.23088550567627
2000-08-03,9.2473726272583
2000-08-04,9.189676284790039
2000-08-07,9.675945281982422
2000-08-08,10.121009826660156
2000-08-09,9.906721115112305
2000-08-10,9.890238761901855
2000-08-11,10.186939239501953
2000-08-14,10.302330017089844
2000-08-15,10.195185661315918
2000-08-16,10.186939239501953
2000-08-17,10.08803939819336
2000-08-18,10.07155990600586
2000-08-21,9.93968677520752
2000-08-22,9.972649574279785
2000-08-23,9.791329383850098
2000-08-24,9.93968677520752
2000-08-25,9.92320442199707
2000-08-28,9.807816505432129
2000-08-29,10.038594245910645
2000-08-30,9.906721115112305
2000-08-31,9.696553230285645
2000-09-01,9.840786933898926
2000-09-05,10.038594245910645
2000-09-06,10.203425407409668
2000-09-07,10.038594245910645
2000-09-08,9.972649574279785
2000-09-11,10.10452651977539
2000-09-12,10.022103309631348
2000-09-13,10.203425407409668
2000-09-14,10.351777076721191
2000-09-15,9.873749732971191
2000-09-18,9.511107444763184
2000-09-19,9.362753868103027
2000-09-20,9.280332565307617
2000-09-21,9.181431770324707
2000-09-22,9.263848304748535
2000-09-25,9.362753868103027
2000-09-26,9.23088550567627
2000-09-27,8.835272789001465
2000-09-28,8.967146873474121
2000-09-29,8.175928115844727
2000-10-02,9.033079147338867
2000-10-03,9.2473726272583
2000-10-04,9.263848304748535
