Date,MO
2000-01-03,1.1534961462020874
2000-01-04,1.162724256515503
2000-01-05,1.1565721035003662
2000-01-06,1.1350399255752563
2000-01-07,1.165799856185913
2000-01-10,1.1811801195144653
2000-01-11,1.1873313188552856
2000-01-12,1.193483591079712
2000-01-13,1.2057875394821167
2000-01-14,1.193483591079712
2000-01-18,1.131964087486267
2000-01-19,1.1504197120666504
2000-01-20,1.111201524734497
2000-01-21,1.0827479362487793
2000-01-24,1.0827479362487793
2000-01-25,1.079671859741211
2000-01-26,1.0366088151931763
2000-01-27,1.0335320234298706
2000-01-28,1.021228313446045
2000-01-31,1.027380347251892
2000-02-01,1.0335320234298706
2000-02-02,1.0150762796401978
2000-02-03,1.0335320234298706
2000-02-04,1.0150762796401978
2000-02-07,1.0120000839233398
2000-02-08,0.9597088098526001
2000-02-09,0.9658604860305786
2000-02-10,0.9781643152236938
2000-02-11,0.9381765127182007
2000-02-14,0.9320248365402222
2000-02-15,0.9412527084350586
2000-02-16,0.9351010322570801
2000-02-17,0.9597088098526001
2000-02-18,0.9658604860305786
2000-02-22,1.027380347251892
2000-02-23,0.9996969699859619
2000-02-24,0.9873924255371094
2000-02-25,0.9658604860305786
2000-02-28,0.9873924255371094
2000-02-29,0.9935445189476013
2000-03-01,1.0058488845825195
2000-03-02,0.990468442440033
2000-03-03,0.9996969699859619
2000-03-06,0.9781643152236938
2000-03-07,0.9627852439880371
2000-03-08,0.9474046230316162
2000-03-09,0.9597088098526001
2000-03-10,0.9381765127182007
2000-03-13,0.9781643152236938
2000-03-14,0.9581709504127502
2000-03-15,0.990468442440033
2000-03-16,1.0209711790084839
2000-03-17,1.0209711790084839
2000-03-20,1.0052155256271362
2000-03-21,1.0241228342056274
2000-03-22,0.9800066351890564
2000-03-23,0.983157753944397
2000-03-24,0.9989134669303894
2000-03-27,0.9886722564697266
2000-03-28,0.9863095283508301
2000-03-29,0.9642513394355774
2000-03-30,1.0839946269989014
2000-03-31,1.0461809635162354
2000-04-03,1.1501682996749878
2000-04-04,1.118656873703003
2000-04-05,1.1281105279922485
2000-04-06,1.1564712524414062
2000-04-07,1.1344135999679565
2000-04-10,1.1092040538787842
2000-04-11,1.0965989828109741
2000-04-12,1.1029014587402344
2000-04-13,1.1249597072601318
2000-04-14,1.0650875568389893
2000-04-17,1.0713891983032227
2000-04-18,1.0430293083190918
2000-04-19,1.0493319034576416
2000-04-20,1.0776920318603516
2000-04-24,1.0871459245681763
2000-04-25,1.1092040538787842
2000-04-26,1.1249597072601318
2000-04-27,1.1092040538787842
2000-04-28,1.1029014587402344
2000-05-01,1.1879827976226807
2000-05-02,1.2005869150161743
2000-05-03,1.1722264289855957
2000-05-04,1.1753778457641602
2000-05-05,1.1848315000534058
2000-05-08,1.2194931507110596
2000-05-09,1.1911342144012451
2000-05-10,1.1974354982376099
2000-05-11,1.1848315000534058
2000-05-12,1.2257962226867676
2000-05-15,1.3802026510238647
2000-05-16,1.3833531141281128
2000-05-17,1.373900055885315
2000-05-18,1.326633095741272
2000-05-19,1.386505126953125
2000-05-22,1.3802026510238647
2000-05-23,1.373900055885315
2000-05-24,1.4400745630264282
2000-05-25,1.4117133617401123
2000-05-26,1.3833531141281128
2000-05-30,1.3329354524612427
2000-05-31,1.317179799079895
2000-06-01,1.3329354524612427
2000-06-02,1.2730637788772583
2000-06-05,1.2856682538986206
2000-06-06,1.3014236688613892
2000-06-07,1.3486907482147217
2000-06-08,1.3612951040267944
2000-06-09,1.3612951040267944
2000-06-12,1.399109125137329
2000-06-13,1.3802026510238647
2000-06-14,1.3833531141281128
2000-06-15,1.3896561861038208
2000-06-16,1.3084543943405151
2000-06-19,1.3244892358779907
2000-06-20,1.2892131805419922
2000-06-21,1.2827982902526855
2000-06-22,1.2282795906066895
2000-06-23,1.2026240825653076
2000-06-26,1.3950438499450684
2000-06-27,1.4110780954360962
2000-06-28,1.338921308517456
2000-06-29,1.3886300325393677
2000-06-30,1.362973690032959
2000-07-03,1.3950438499450684
2000-07-05,1.4303206205368042
2000-07-06,1.4271132946014404
2000-07-07,1.37580144405365
2000-07-10,1.3854225873947144
2000-07-11,1.33090341091156
2000-07-12,1.2956268787384033
2000-07-13,1.276384711265564
2000-07-14,1.2571425437927246
2000-07-17,1.212245225906372
2000-07-18,1.234694242477417
2000-07-19,1.2827982902526855
2000-07-20,1.3084543943405151
2000-07-21,1.2956268787384033
2000-07-24,1.2731773853302002
2000-07-25,1.3341107368469238
2000-07-26,1.2924193143844604
2000-07-27,1.3148688077926636
2000-07-28,1.3180758953094482
2000-07-31,1.2956268787384033
2000-08-01,1.3212823867797852
2000-08-02,1.33090341091156
2000-08-03,1.3565597534179688
2000-08-04,1.3661800622940063
2000-08-07,1.4367341995239258
2000-08-08,1.4623901844024658
2000-08-09,1.4303206205368042
2000-08-10,1.4623901844024658
2000-08-11,1.6034973859786987
2000-08-14,1.6355689764022827
2000-08-15,1.6644312143325806
2000-08-16,1.7446069717407227
2000-08-17,1.7381924390792847
2000-08-18,1.6419826745986938
2000-08-21,1.651603102684021
2000-08-22,1.6323612928390503
2000-08-23,1.590669870376587
2000-08-24,1.6291537284851074
2000-08-25,1.645189642906189
2000-08-28,1.6355689764022827
2000-08-29,1.5842564105987549
2000-08-30,1.5650146007537842
2000-08-31,1.5265306234359741
2000-09-01,1.5008742809295654
2000-09-05,1.5233235359191895
2000-09-06,1.5265306234359741
2000-09-07,1.5265306234359741
2000-09-08,1.5137015581130981
2000-09-11,1.5233235359191895
2000-09-12,1.5233235359191895
2000-09-13,1.469380497932434
2000-09-14,1.4334622621536255
2000-09-15,1.420401692390442
2000-09-18,1.3942782878875732
2000-09-19,1.420401692390442
2000-09-20,1.361626386642456
2000-09-21,1.3714219331741333
2000-09-22,1.44325852394104
2000-09-25,1.4661147594451904
2000-09-26,1.469380497932434
2000-09-27,1.5346869230270386
2000-09-28,1.5804005861282349
2000-09-29,1.5379517078399658
2000-10-02,1.5477474927902222
2000-10-03,1.5706053972244263
2000-10-04,1.6228491067886353
2000-10-05,1.5901968479156494
2000-10-06,1.5738698244094849
2000-10-09,1.6065218448638916
2000-10-10,1.6293803453445435
2000-10-11,1.6457067728042603
2000-10-12,1.6848900318145752
2000-10-13,1.6195836067199707
2000-10-16,1.6065218448638916
2000-10-17,1.6555020809173584
2000-10-18,1.7240735292434692
2000-10-19,1.7208081483840942
2000-10-20,1.7371350526809692
2000-10-23,1.8155012130737305
2000-10-24,1.8318278789520264
2000-10-25,1.8612147569656372
2000-10-26,1.8808081150054932
2000-10-27,1.9167256355285645
2000-10-30,1.9820315837860107
