Date,COO
2000-01-03,3.6048240661621094
2000-01-04,3.63537335395813
2000-01-05,3.658285617828369
2000-01-06,3.658285617828369
2000-01-07,3.6888351440429688
2000-01-10,3.696471929550171
2000-01-11,3.673560619354248
2000-01-12,3.7117466926574707
2000-01-13,3.780482769012451
2000-01-14,3.7881197929382324
2000-01-18,3.795758008956909
2000-01-19,3.971416711807251
2000-01-20,3.979053497314453
2000-01-21,3.933229923248291
2000-01-24,3.818668842315674
2000-01-25,3.8568568229675293
2000-01-26,3.811032772064209
2000-01-27,3.8339436054229736
2000-01-28,3.7881197929382324
2000-01-31,3.696471929550171
2000-02-01,3.772845506668091
2000-02-02,3.7270212173461914
2000-02-03,3.818668842315674
2000-02-04,3.8263072967529297
2000-02-07,3.8339436054229736
2000-02-08,3.7270212173461914
2000-02-09,3.7499330043792725
2000-02-10,3.742295980453491
2000-02-11,3.696471929550171
2000-02-14,3.6430110931396484
2000-02-15,3.6430110931396484
2000-02-16,3.6124608516693115
2000-02-17,3.658285617828369
2000-02-18,3.658285617828369
2000-02-22,3.658285617828369
2000-02-23,3.7117466926574707
2000-02-24,3.734658718109131
2000-02-25,3.55899977684021
2000-02-28,3.4520773887634277
2000-02-29,3.314605236053467
2000-03-01,3.299330472946167
2000-03-02,3.390979290008545
2000-03-03,3.5131759643554688
2000-03-06,3.5131759643554688
2000-03-07,3.360429286956787
2000-03-08,3.314605236053467
2000-03-09,3.284055709838867
2000-03-10,3.138946294784546
2000-03-13,3.1031758785247803
2000-03-14,3.1261065006256104
2000-03-15,3.1719672679901123
2000-03-16,3.500626564025879
2000-03-17,3.4776968955993652
2000-03-20,3.6458492279052734
2000-03-21,3.6687796115875244
2000-03-22,3.8216450214385986
2000-03-23,4.1503071784973145
2000-03-24,3.8675057888031006
2000-03-27,3.7681424617767334
2000-03-28,3.829288959503174
2000-03-29,3.90572190284729
2000-03-30,3.7146384716033936
2000-03-31,3.9362943172454834
2000-04-03,4.081518173217773
2000-04-04,4.043299198150635
2000-04-05,4.219095230102539
2000-04-06,4.188523292541504
2000-04-07,4.280241966247559
2000-04-10,4.264956474304199
2000-04-11,4.157950401306152
2000-04-12,4.3184590339660645
2000-04-13,4.242026329040527
2000-04-14,4.020369529724121
2000-04-17,3.890434980392456
2000-04-18,3.898078203201294
2000-04-19,3.791072368621826
2000-04-20,3.8369319438934326
2000-04-24,3.8216450214385986
2000-04-25,3.814002752304077
2000-04-26,3.791072368621826
2000-04-27,3.8675057888031006
2000-04-28,4.112090587615967
2000-05-01,4.157950401306152
2000-05-02,4.165594577789307
2000-05-03,4.020369529724121
2000-05-04,4.050942897796631
2000-05-05,4.1044464111328125
2000-05-08,4.096803665161133
2000-05-09,4.18087911605835
2000-05-10,4.173236846923828
2000-05-11,4.219095230102539
2000-05-12,4.2573137283325195
2000-05-15,4.2573137283325195
2000-05-16,4.303173065185547
2000-05-17,4.234383583068848
2000-05-18,4.165594577789307
2000-05-19,4.081518173217773
2000-05-22,4.043299198150635
2000-05-23,4.0662312507629395
2000-05-24,4.035656929016113
2000-05-25,4.0662312507629395
2000-05-26,4.081518173217773
2000-05-30,4.272599220275879
2000-05-31,4.219095230102539
2000-06-01,4.219095230102539
2000-06-02,4.272599220275879
2000-06-05,4.3184590339660645
2000-06-06,4.333744525909424
