Date,DVN
2000-01-03,9.666357040405273
2000-01-04,9.461095809936523
2000-01-05,9.62903881072998
2000-01-06,10.11422348022461
2000-01-07,10.170207977294922
2000-01-10,10.039581298828125
2000-01-11,10.188862800598145
2000-01-12,10.039581298828125
2000-01-13,10.263508796691895
2000-01-14,10.319493293762207
2000-01-18,11.159235000610352
2000-01-19,11.45781421661377
2000-01-20,11.625757217407227
2000-01-21,12.334870338439941
2000-01-24,12.017635345458984
2000-01-25,11.719066619873047
2000-01-26,11.420487403869629
2000-01-27,11.215217590332031
2000-01-28,11.215217590332031
2000-01-31,10.487442970275879
2000-02-01,10.767353057861328
2000-02-02,10.63672924041748
2000-02-03,10.730032920837402
2000-02-04,10.748688697814941
2000-02-07,10.748688697814941
2000-02-08,10.748688697814941
2000-02-09,10.543423652648926
2000-02-10,11.084589958190918
2000-02-11,10.748688697814941
2000-02-14,11.103250503540039
2000-02-15,11.364503860473633
2000-02-16,11.45781421661377
2000-02-17,11.532458305358887
2000-02-18,11.383163452148438
2000-02-22,11.439146995544434
2000-02-23,11.009942054748535
2000-02-24,10.879319190979004
2000-02-25,10.730032920837402
2000-02-28,10.953963279724121
2000-02-29,11.121912002563477
2000-03-01,11.607093811035156
2000-03-02,12.241562843322754
2000-03-03,11.924334526062012
2000-03-06,12.129596710205078
2000-03-07,13.510512351989746
2000-03-08,13.211938858032227
2000-03-09,13.23060131072998
2000-03-10,13.15595817565918
2000-03-13,13.226950645446777
2000-03-14,13.264307975769043
2000-03-15,12.834622383117676
2000-03-16,13.170902252197266
2000-03-17,12.9653959274292
2000-03-20,12.62912368774414
2000-03-21,12.909348487854004
2000-03-22,12.834622383117676
2000-03-23,12.741209983825684
2000-03-24,12.703843116760254
2000-03-27,12.498345375061035
2000-03-28,12.703843116760254
2000-03-29,13.339037895202637
2000-03-30,14.123685836791992
2000-03-31,14.516014099121094
2000-04-03,14.665474891662598
2000-04-04,14.198417663574219
2000-04-05,14.123685836791992
2000-04-06,14.42260456085205
2000-04-07,14.161055564880371
2000-04-10,13.63794994354248
2000-04-11,13.656635284423828
2000-04-12,13.824773788452148
2000-04-13,14.273141860961914
2000-04-14,14.01159381866455
2000-04-17,13.245633125305176
2000-04-18,13.282998085021973
2000-04-19,13.731369018554688
2000-04-20,13.600584030151367
2000-04-24,13.469816207885742
2000-04-25,13.824773788452148
2000-04-26,14.01159381866455
2000-04-27,14.291830062866211
2000-04-28,14.385239601135254
2000-05-01,14.310511589050293
2000-05-02,14.086316108703613
2000-05-03,13.936864852905273
2000-05-04,14.646787643432617
2000-05-05,14.852295875549316
2000-05-08,15.225934028625488
2000-05-09,14.98306655883789
2000-05-10,14.665474891662598
2000-05-11,15.39406681060791
2000-05-12,15.749038696289062
2000-05-15,16.81391143798828
2000-05-16,16.701818466186523
2000-05-17,17.038097381591797
2000-05-18,17.486473083496094
2000-05-19,17.299650192260742
2000-05-22,17.299650192260742
2000-05-23,17.280967712402344
2000-05-24,17.78539276123047
2000-05-25,17.542522430419922
2000-05-26,16.627090454101562
2000-05-30,16.926000595092773
2000-05-31,17.878786087036133
2000-06-01,17.934839248657227
2000-06-02,17.523836135864258
2000-06-05,17.206235885620117
2000-06-06,17.374372482299805
2000-06-07,17.486473083496094
2000-06-08,17.635927200317383
2000-06-09,17.523836135864258
2000-06-12,17.691978454589844
2000-06-13,17.875215530395508
2000-06-14,17.987403869628906
2000-06-15,17.800416946411133
2000-06-16,17.950014114379883
2000-06-19,17.72562599182129
2000-06-20,17.445158004760742
2000-06-21,17.220783233642578
2000-06-22,17.42647361755371
2000-06-23,17.557353973388672
2000-06-26,17.08989715576172
2000-06-27,16.846826553344727
2000-06-28,16.49156951904297
2000-06-29,16.585060119628906
2000-06-30,16.753339767456055
2000-07-03,16.64114761352539
2000-07-05,14.416105270385742
2000-07-06,14.883553504943848
2000-07-07,14.846152305603027
2000-07-10,14.397403717041016
2000-07-11,15.650161743164062
2000-07-12,15.481876373291016
2000-07-13,14.696568489074707
2000-07-14,14.752655029296875
2000-07-17,14.490883827209473
2000-07-18,14.247817993164062
2000-07-19,13.83646297454834
2000-07-20,14.079536437988281
2000-07-21,13.724279403686523
2000-07-24,13.163337707519531
2000-07-25,12.864165306091309
2000-07-26,13.219433784484863
2000-07-27,13.481207847595215
2000-07-28,13.57469367980957
2000-07-31,13.686882019042969
2000-08-01,13.761670112609863
2000-08-02,14.715256690979004
2000-08-03,14.406742095947266
2000-08-04,14.733963966369629
2000-08-07,15.37436294555664
2000-08-08,15.313594818115234
2000-08-09,15.612770080566406
2000-08-10,15.537975311279297
2000-08-11,15.781044960021973
2000-08-14,16.454174041748047
2000-08-15,16.211091995239258
2000-08-16,16.528959274291992
2000-08-17,17.033815383911133
2000-08-18,16.959012985229492
2000-08-21,16.82811737060547
2000-08-22,16.846826553344727
2000-08-23,18.543664932250977
2000-08-24,17.763023376464844
2000-08-25,17.85651969909668
2000-08-28,18.043487548828125
2000-08-29,18.174381256103516
2000-08-30,18.230466842651367
2000-08-31,17.52463150024414
2000-09-01,17.91261100769043
2000-09-05,17.837827682495117
2000-09-06,18.15568733215332
2000-09-07,17.96870231628418
2000-09-08,17.51995849609375
2000-09-11,17.96870231628418
2000-09-12,17.72562599182129
2000-09-13,17.422473907470703
2000-09-14,17.40375518798828
2000-09-15,18.564002990722656
2000-09-18,18.26927375793457
2000-09-19,17.647035598754883
2000-09-20,17.815448760986328
2000-09-21,17.216611862182617
2000-09-22,16.89847755432129
2000-09-25,17.29147720336914
2000-09-26,17.665742874145508
2000-09-27,17.995107650756836
2000-09-28,17.935239791870117
2000-09-29,18.010074615478516
2000-10-02,18.17476463317871
2000-10-03,18.225658416748047
2000-10-04,17.665742874145508
2000-10-05,16.91720199584961
2000-10-06,16.914213180541992
2000-10-09,17.29147720336914
2000-10-10,18.099903106689453
2000-10-11,18.833486557006836
2000-10-12,19.162853240966797
2000-10-13,18.584951400756836
2000-10-16,18.114866256713867
2000-10-17,18.291534423828125
2000-10-18,18.26457977294922
2000-10-19,17.80048370361328
2000-10-20,17.995107650756836
2000-10-23,17.626821517944336
2000-10-24,17.0669002532959
2000-10-25,15.73449420928955
2000-10-26,15.944077491760254
2000-10-27,15.090738296508789
2000-10-30,14.851200103759766
2000-10-31,15.090738296508789
2000-11-01,15.899175643920898
2000-11-02,15.270391464233398
2000-11-03,15.300331115722656
2000-11-06,15.120684623718262
2000-11-07,15.494954109191895
2000-11-08,15.719513893127441
2000-11-09,15.644665718078613
2000-11-10,15.479982376098633
2000-11-13,15.390155792236328
2000-11-14,15.644665718078613
2000-11-15,16.28841781616211
2000-11-16,16.183618545532227
2000-11-17,15.716525077819824
2000-11-20,15.611726760864258
2000-11-21,16.0518798828125
2000-11-22,16.393217086791992
2000-11-24,16.24350357055664
2000-11-27,16.16864776611328
2000-11-28,16.14469337463379
2000-11-29,15.479982376098633
2000-11-30,14.746402740478516
2000-12-01,15.04582691192627
2000-12-04,15.668612480163574
2000-12-05,15.405120849609375
2000-12-06,15.545862197875977
2000-12-07,15.500938415527344
2000-12-08,15.120684623718262
2000-12-11,15.944077491760254
2000-12-12,16.372249603271484
2000-12-13,16.243383407592773
2000-12-14,15.763875007629395
2000-12-15,16.16246795654297
2000-12-18,16.7228946685791
2000-12-19,17.019590377807617
2000-12-20,16.77983283996582
2000-12-21,16.800819396972656
2000-12-22,17.025588989257812
2000-12-26,18.24534034729004
2000-12-27,18.389192581176758
2000-12-28,18.40717124938965
2000-12-29,18.27231216430664
2001-01-02,17.681913375854492
2001-01-03,16.86075210571289
2001-01-04,16.126510620117188
2001-01-05,17.352251052856445
2001-01-08,17.586008071899414
2001-01-09,17.052562713623047
2001-01-10,17.436172485351562
2001-01-11,17.6968994140625
2001-01-12,17.124483108520508
2001-01-16,17.813785552978516
2001-01-17,17.349260330200195
2001-01-18,16.489133834838867
2001-01-19,16.438186645507812
2001-01-22,16.71690559387207
2001-01-23,17.025588989257812
2001-01-24,17.301301956176758
2001-01-25,17.74485206604004
2001-01-26,17.514083862304688
2001-01-29,16.929691314697266
2001-01-30,16.731889724731445
2001-01-31,16.423200607299805
2001-02-01,16.11751937866211
2001-02-02,16.695926666259766
2001-02-05,17.37922477722168
2001-02-06,17.412189483642578
2001-02-07,17.678916931152344
2001-02-08,17.580018997192383
2001-02-09,17.89469337463379
2001-02-12,17.6968994140625
2001-02-13,17.681913375854492
2001-02-14,17.38521957397461
2001-02-15,17.298311233520508
2001-02-16,17.25934410095215
2001-02-20,17.559038162231445
2001-02-21,17.1424617767334
2001-02-22,17.328271865844727
2001-02-23,16.875743865966797
2001-02-26,17.29231834411621
2001-02-27,17.55604362487793
2001-02-28,17.08252716064453
2001-03-01,17.60399055480957
2001-03-02,17.681913375854492
2001-03-05,18.125463485717773
2001-03-06,18.329252243041992
2001-03-07,19.05451011657715
2001-03-08,19.569982528686523
2001-03-09,19.86968231201172
2001-03-12,19.16539764404297
2001-03-13,18.895458221435547
2001-03-14,18.580537796020508
2001-03-15,18.502553939819336
2001-03-16,18.499553680419922
2001-03-19,19.009431838989258
2001-03-20,19.20738983154297
2001-03-21,18.86246681213379
2001-03-22,17.875699996948242
2001-03-23,17.99567413330078
2001-03-26,17.986677169799805
2001-03-27,17.39582633972168
2001-03-28,17.557785034179688
2001-03-29,16.93093490600586
2001-03-30,17.455810546875
2001-04-02,16.72098731994629
2001-04-03,15.746212005615234
2001-04-04,16.523027420043945
2001-04-05,16.900936126708984
2001-04-06,17.155874252319336
2001-04-09,17.848711013793945
2001-04-10,18.15764045715332
2001-04-11,17.69574737548828
2001-04-12,17.69574737548828
2001-04-16,18.08866310119629
2001-04-17,18.010677337646484
2001-04-18,17.51278305053711
2001-04-19,16.646007537841797
2001-04-20,16.56801986694336
2001-04-23,17.374818801879883
2001-04-24,17.371829986572266
2001-04-25,17.63576316833496
2001-04-26,17.78573226928711
2001-04-27,17.704740524291992
2001-04-30,17.698747634887695
2001-05-01,17.299840927124023
2001-05-02,16.4510440826416
2001-05-03,15.917179107666016
2001-05-04,16.795961380004883
2001-05-07,16.867950439453125
2001-05-08,17.125886917114258
2001-05-09,17.242855072021484
