Date,EQIX
2000-08-11,308.8978271484375
2000-08-14,282.4208679199219
2000-08-15,285.3627624511719
2000-08-16,291.2464599609375
2000-08-17,282.4208679199219
2000-08-18,336.8457946777344
2000-08-21,357.43896484375
2000-08-22,317.72344970703125
2000-08-23,305.95599365234375
2000-08-24,283.8917541503906
2000-08-25,303.01397705078125
2000-08-28,308.8978271484375
2000-08-29,314.7816162109375
2000-08-30,333.9038391113281
2000-08-31,380.9739685058594
2000-09-01,370.67742919921875
2000-09-05,366.26446533203125
2000-09-06,364.79364013671875
2000-09-07,338.316650390625
2000-09-08,329.49102783203125
2000-09-11,326.5492248535156
2000-09-12,305.95599365234375
2000-09-13,294.1884460449219
2000-09-14,298.6012268066406
2000-09-15,295.6593322753906
2000-09-18,283.8917541503906
2000-09-19,264.76959228515625
2000-09-20,244.17636108398438
2000-09-21,250.06004333496094
2000-09-22,248.58921813964844
2000-09-25,222.11212158203125
2000-09-26,217.69943237304688
2000-09-27,219.90582275390625
2000-09-28,235.3507080078125
2000-09-29,208.87379455566406
2000-10-02,200.0481719970703
2000-10-03,186.8096160888672
2000-10-04,167.68739318847656
2000-10-05,154.44891357421875
2000-10-06,143.4168243408203
2000-10-09,145.62322998046875
2000-10-10,133.8557586669922
2000-10-11,97.08216857910156
2000-10-12,122.08818054199219
2000-10-13,177.9839630126953
2000-10-16,191.2224578857422
2000-10-17,183.86773681640625
2000-10-18,189.75152587890625
2000-10-19,162.53907775878906
2000-10-20,172.10025024414062
2000-10-23,194.16433715820312
2000-10-24,198.5771942138672
2000-10-25,200.0481719970703
2000-10-26,213.28659057617188
2000-10-27,211.81565856933594
2000-10-30,210.34466552734375
2000-10-31,229.46693420410156
2000-11-01,229.46693420410156
2000-11-02,217.69943237304688
2000-11-03,214.7574920654297
2000-11-06,208.87379455566406
2000-11-07,208.87379455566406
2000-11-08,189.75152587890625
2000-11-09,186.07415771484375
2000-11-10,175.04212951660156
2000-11-13,166.21646118164062
2000-11-14,155.91986083984375
2000-11-15,148.5651397705078
2000-11-16,149.3006134033203
2000-11-17,155.91986083984375
2000-11-20,148.5651397705078
2000-11-21,145.62322998046875
2000-11-22,141.21043395996094
2000-11-24,141.9458770751953
2000-11-27,141.21043395996094
2000-11-28,127.97193908691406
2000-11-29,114.73346710205078
2000-11-30,102.96592712402344
2000-12-01,113.2625503540039
2000-12-04,116.20440673828125
2000-12-05,119.14628601074219
2000-12-06,113.2625503540039
2000-12-07,105.90782928466797
2000-12-08,129.44287109375
2000-12-11,129.44287109375
2000-12-12,155.91986083984375
2000-12-13,166.21646118164062
2000-12-14,164.74551391601562
2000-12-15,157.39080810546875
2000-12-18,137.5330352783203
2000-12-19,130.9138641357422
2000-12-20,114.73346710205078
2000-12-21,95.6112289428711
2000-12-22,94.14029693603516
2000-12-26,92.66935729980469
2000-12-27,89.72746276855469
2000-12-28,82.37275695800781
2000-12-29,102.96592712402344
2001-01-02,83.84369659423828
2001-01-03,85.31465911865234
2001-01-04,85.31465911865234
2001-01-05,94.14029693603516
2001-01-08,92.66935729980469
2001-01-09,87.52106475830078
2001-01-10,89.72746276855469
2001-01-11,91.19841003417969
2001-01-12,108.84971618652344
2001-01-16,117.67535400390625
2001-01-17,132.38479614257812
2001-01-18,136.79759216308594
2001-01-19,138.2685089111328
2001-01-22,141.21043395996094
2001-01-23,150.03607177734375
2001-01-24,164.74551391601562
2001-01-25,152.97799682617188
2001-01-26,141.21043395996094
2001-01-29,142.68138122558594
2001-01-30,139.739501953125
2001-01-31,139.739501953125
2001-02-01,141.21043395996094
2001-02-02,141.21043395996094
2001-02-05,126.50099182128906
2001-02-06,124.29460906982422
2001-02-07,144.15234375
2001-02-08,152.97799682617188
2001-02-09,145.62322998046875
2001-02-12,141.21043395996094
2001-02-13,138.2685089111328
2001-02-14,127.97193908691406
2001-02-15,120.61725616455078
2001-02-16,105.17233276367188
2001-02-20,102.96592712402344
2001-02-21,94.14029693603516
2001-02-22,92.66935729980469
2001-02-23,92.66935729980469
2001-02-26,89.72746276855469
2001-02-27,88.99198150634766
2001-02-28,88.25650787353516
2001-03-01,74.2825698852539
2001-03-02,66.9278793334961
2001-03-05,68.39879608154297
2001-03-06,70.60521697998047
2001-03-07,70.60521697998047
2001-03-08,69.1342544555664
2001-03-09,65.4569320678711
2001-03-12,55.89580535888672
2001-03-13,52.953914642333984
2001-03-14,47.80561447143555
2001-03-15,45.599205017089844
2001-03-16,41.186378479003906
2001-03-19,45.599205017089844
2001-03-20,47.80561447143555
2001-03-21,47.07014846801758
2001-03-22,47.80561447143555
2001-03-23,47.80561447143555
2001-03-26,47.07014846801758
2001-03-27,38.24449920654297
2001-03-28,36.773555755615234
2001-03-29,33.09619903564453
2001-03-30,29.418838500976562
2001-04-02,26.476957321166992
2001-04-03,25.74148178100586
2001-04-04,24.27054214477539
2001-04-05,24.27054214477539
2001-04-06,13.97395133972168
2001-04-09,21.652265548706055
2001-04-10,26.123939514160156
2001-04-11,31.772357940673828
2001-04-12,30.59560203552246
2001-04-16,32.47840881347656
2001-04-17,31.066287994384766
2001-04-18,34.361202239990234
2001-04-19,38.36216735839844
2001-04-20,35.302608489990234
2001-04-23,28.9481258392334
2001-04-24,30.360239028930664
2001-04-25,29.889537811279297
2001-04-26,29.418838500976562
2001-04-27,30.59560203552246
2001-04-30,31.066287994384766
2001-05-01,31.066287994384766
2001-05-02,40.71567916870117
2001-05-03,40.00962829589844
2001-05-04,38.1268196105957
2001-05-07,37.18540954589844
2001-05-08,38.1268196105957
2001-05-09,36.008663177490234
2001-05-10,35.302608489990234
2001-05-11,32.7137451171875
2001-05-14,27.300687789916992
2001-05-15,29.889537811279297
2001-05-16,30.59560203552246
2001-05-17,29.418838500976562
2001-05-18,28.24207878112793
2001-05-21,32.7137451171875
2001-05-22,33.890506744384766
2001-05-23,33.655155181884766
2001-05-24,36.244014739990234
2001-05-25,35.302608489990234
2001-05-29,34.361202239990234
2001-05-30,30.59560203552246
2001-05-31,30.59560203552246
2001-06-01,31.772357940673828
2001-06-04,35.06726837158203
2001-06-05,35.7733154296875
