Date,AWK
2008-04-23,13.241039276123047
2008-04-24,13.376028060913086
2008-04-25,13.607419967651367
2008-04-28,13.498151779174805
2008-04-29,13.543144226074219
2008-04-30,13.594564437866211
2008-05-01,14.083078384399414
2008-05-02,14.147354125976562
2008-05-05,14.083078384399414
2008-05-06,13.851670265197754
2008-05-07,13.633133888244629
2008-05-08,13.658845901489258
2008-05-09,13.928808212280273
2008-05-12,13.819536209106445
2008-05-13,13.703843116760254
2008-05-14,13.690980911254883
2008-05-15,13.600993156433105
2008-05-16,13.896669387817383
2008-05-19,13.980233192443848
2008-05-20,13.915949821472168
2008-05-21,13.600993156433105
2008-05-22,13.723118782043457
2008-05-23,13.588133811950684
2008-05-27,13.645984649658203
2008-05-28,13.761687278747559
2008-05-29,13.536713600158691
2008-05-30,13.819536209106445
2008-06-02,13.88381290435791
2008-06-03,13.703843116760254
2008-06-04,13.864522933959961
2008-06-05,14.012372016906738
2008-06-06,14.205199241638184
2008-06-09,14.35303020477295
2008-06-10,14.044507026672363
2008-06-11,13.954514503479004
2008-06-12,14.044507026672363
2008-06-13,14.391593933105469
2008-06-16,14.623003005981445
2008-06-17,14.899394989013672
2008-06-18,14.809401512145996
2008-06-19,14.712989807128906
2008-06-20,14.783690452575684
2008-06-23,14.623003005981445
2008-06-24,14.706557273864746
2008-06-25,15.021517753601074
2008-06-26,14.539445877075195
2008-06-27,14.475166320800781
2008-06-30,14.25661849975586
2008-07-01,14.706557273864746
2008-07-02,14.558717727661133
2008-07-03,14.012372016906738
2008-07-07,13.8131103515625
2008-07-08,13.948087692260742
2008-07-09,13.877386093139648
2008-07-10,13.665266990661621
2008-07-11,12.874666213989258
2008-07-14,12.668978691101074
2008-07-15,12.154764175415039
2008-07-16,12.469719886779785
2008-07-17,12.662554740905762
2008-07-18,12.566133499145508
2008-07-21,12.675406455993652
2008-07-22,12.81038761138916
2008-07-23,12.656118392944336
2008-07-24,12.129055976867676
2008-07-25,12.30903148651123
2008-07-28,11.97478199005127
2008-07-29,12.21260929107666
2008-07-30,12.508282661437988
2008-07-31,12.373306274414062
2008-08-01,12.39902114868164
2008-08-04,12.598275184631348
2008-08-05,13.073925971984863
2008-08-06,12.91966724395752
2008-08-07,12.951805114746094
2008-08-08,12.900374412536621
