Date,DAL
2007-05-03,17.808834075927734
2007-05-04,18.032299041748047
2007-05-07,17.499412536621094
2007-05-08,16.871973037719727
2007-05-09,17.009492874145508
2007-05-10,16.93214225769043
2007-05-11,16.588342666625977
2007-05-14,16.235946655273438
2007-05-15,15.642900466918945
2007-05-16,15.763223648071289
2007-05-17,16.34768295288086
2007-05-18,16.596940994262695
2007-05-21,16.330495834350586
2007-05-22,16.743059158325195
2007-05-23,16.510990142822266
2007-05-24,16.34768295288086
2007-05-25,16.12421226501465
2007-05-29,16.407852172851562
2007-05-30,16.31329917907715
2007-05-31,16.373472213745117
2007-06-01,16.803218841552734
2007-06-04,16.192974090576172
2007-06-05,16.287517547607422
2007-06-06,16.270336151123047
2007-06-07,15.883550643920898
2007-06-08,16.184375762939453
2007-06-11,15.797597885131836
2007-06-12,15.814799308776855
2007-06-13,16.02107810974121
2007-06-14,16.244537353515625
2007-06-15,16.22734832763672
2007-06-18,15.935120582580566
2007-06-19,16.21875762939453
2007-06-20,16.63991355895996
2007-06-21,16.768842697143555
2007-06-22,16.97511863708496
2007-06-25,16.70008087158203
2007-06-26,16.751651763916016
2007-06-27,16.691484451293945
2007-06-28,16.906356811523438
2007-06-29,16.93214225769043
2007-07-02,16.829008102416992
2007-07-03,17.404863357543945
2007-07-05,17.636932373046875
2007-07-06,17.90337562561035
2007-07-09,18.333126068115234
2007-07-10,17.748672485351562
2007-07-11,17.29313087463379
2007-07-12,17.55957794189453
2007-07-13,17.61974334716797
2007-07-16,17.9979248046875
2007-07-17,18.21279525756836
2007-07-18,18.367507934570312
2007-07-19,18.487838745117188
2007-07-20,18.393295288085938
2007-07-23,18.144033432006836
2007-07-24,18.333126068115234
2007-07-25,17.860401153564453
2007-07-26,16.63991355895996
2007-07-27,15.97809886932373
2007-07-30,15.513968467712402
2007-07-31,15.316287994384766
2007-08-01,15.77181625366211
2007-08-02,16.22734832763672
2007-08-03,16.07264518737793
2007-08-06,15.48818302154541
2007-08-07,15.857769966125488
2007-08-08,15.892151832580566
2007-08-09,15.359262466430664
2007-08-10,15.092809677124023
2007-08-13,14.86075210571289
2007-08-14,14.585705757141113
2007-08-15,13.537117958068848
2007-08-16,13.683232307434082
2007-08-17,13.751996040344238
2007-08-20,13.820754051208496
2007-08-21,15.2217378616333
2007-08-22,15.5569429397583
2007-08-23,15.470992088317871
2007-08-24,15.677274703979492
2007-08-27,15.21314811706543
2007-08-28,14.912322044372559
2007-08-29,14.920917510986328
2007-08-30,14.594308853149414
2007-08-31,14.508356094360352
2007-09-04,15.067028045654297
2007-09-05,15.14438533782959
2007-09-06,15.531157493591309
2007-09-07,15.14438533782959
2007-09-10,14.989676475524902
2007-09-11,15.204548835754395
2007-09-12,14.740416526794434
2007-09-13,15.118596076965332
2007-09-14,15.170166969299316
2007-09-17,14.740416526794434
2007-09-18,14.998265266418457
2007-09-19,15.720248222351074
2007-09-20,15.23033332824707
2007-09-21,15.092809677124023
2007-09-24,13.77778148651123
2007-09-25,14.680253028869629
2007-09-26,15.359262466430664
2007-09-27,15.316287994384766
2007-09-28,15.428016662597656
2007-10-01,15.660083770751953
2007-10-02,16.31329917907715
2007-10-03,16.57114601135254
2007-10-04,15.995293617248535
2007-10-05,16.493799209594727
2007-10-08,16.743059158325195
2007-10-09,16.83759880065918
2007-10-10,16.871973037719727
2007-10-11,16.665700912475586
2007-10-12,17.15561294555664
2007-10-15,17.189992904663086
2007-10-16,17.258756637573242
2007-10-17,17.533796310424805
2007-10-18,17.15561294555664
2007-10-19,16.76024627685547
2007-10-22,17.189992904663086
2007-10-23,17.8947811126709
2007-10-24,17.68850326538086
2007-10-25,17.241558074951172
2007-10-26,16.966522216796875
2007-10-29,17.061065673828125
2007-10-30,17.774456024169922
2007-10-31,17.87759017944336
2007-11-01,17.36189079284668
2007-11-02,17.129825592041016
2007-11-05,16.768842697143555
