Date,TAP
2000-01-03,14.347833633422852
2000-01-04,14.170915603637695
2000-01-05,14.843194007873535
2000-01-06,14.666284561157227
2000-01-07,14.98471736907959
2000-01-10,14.400894165039062
2000-01-11,14.206304550170898
2000-01-12,14.347833633422852
2000-01-13,14.913961410522461
2000-01-14,14.489357948303223
2000-01-18,14.047073364257812
2000-01-19,14.223984718322754
2000-01-20,14.100144386291504
2000-01-21,13.79938793182373
2000-01-24,13.445562362670898
2000-01-25,13.339407920837402
2000-01-26,13.180183410644531
2000-01-27,13.321722030639648
2000-01-28,13.26864242553711
2000-01-31,13.728625297546387
2000-02-01,13.764002799987793
2000-02-02,13.728625297546387
2000-02-03,13.958614349365234
2000-02-04,13.445562362670898
2000-02-07,13.94091796875
2000-02-08,13.25095272064209
2000-02-09,13.498632431030273
2000-02-10,13.90554428100586
2000-02-11,13.923230171203613
2000-02-14,14.064762115478516
2000-02-15,14.294747352600098
2000-02-16,13.764002799987793
2000-02-17,13.410178184509277
2000-02-18,13.0740385055542
2000-02-22,13.003273010253906
2000-02-23,12.879435539245605
2000-02-24,12.012543678283691
2000-02-25,11.91734790802002
2000-02-28,12.237038612365723
2000-02-29,12.467931747436523
2000-03-01,12.361366271972656
2000-03-02,12.041669845581055
2000-03-03,12.023916244506836
2000-03-06,11.935111045837402
2000-03-07,11.029314994812012
2000-03-08,11.153643608093262
2000-03-09,11.313490867614746
2000-03-10,11.331249237060547
2000-03-13,11.118124008178711
2000-03-14,11.171403884887695
2000-03-15,11.864067077636719
2000-03-16,12.29031753540039
2000-03-17,12.61001205444336
2000-03-20,12.396881103515625
2000-03-21,12.48569107055664
2000-03-22,12.201521873474121
2000-03-23,12.681056022644043
2000-03-24,12.165992736816406
2000-03-27,12.361366271972656
2000-03-28,12.467931747436523
2000-03-29,12.752098083496094
2000-03-30,13.728930473327637
2000-03-31,13.640116691589355
2000-04-03,13.995332717895508
2000-04-04,13.67564868927002
2000-04-05,13.817733764648438
2000-04-06,14.208463668823242
2000-04-07,14.119665145874023
2000-04-10,14.10190486907959
2000-04-11,14.403836250305176
2000-04-12,14.386070251464844
2000-04-13,14.315031051635742
2000-04-14,13.480281829833984
2000-04-17,13.924296379089355
2000-04-18,14.048626899719238
2000-04-19,13.888771057128906
2000-04-20,14.208463668823242
2000-04-24,15.203055381774902
2000-04-25,15.522748947143555
2000-04-26,15.274097442626953
2000-04-27,14.723523139953613
2000-04-28,14.492633819580078
2000-05-01,14.723523139953613
2000-05-02,14.492633819580078
2000-05-03,15.185295104980469
2000-05-04,15.64706802368164
2000-05-05,15.132020950317383
2000-05-08,15.824686050415039
2000-05-09,15.700356483459473
2000-05-10,15.789164543151855
2000-05-11,16.30421257019043
