Date,BA
2000-01-03,25.94028663635254
2000-01-04,25.899948120117188
2000-01-05,27.513643264770508
2000-01-06,27.796043395996094
2000-01-07,28.60289764404297
2000-01-10,28.199464797973633
2000-01-11,27.675020217895508
2000-01-12,27.796043395996094
2000-01-13,27.352275848388672
2000-01-14,28.40118980407715
2000-01-18,29.046674728393555
2000-01-19,30.741058349609375
2000-01-20,30.0148868560791
2000-01-21,29.490436553955078
2000-01-24,28.60289764404297
2000-01-25,29.490436553955078
2000-01-26,29.813175201416016
2000-01-27,29.086994171142578
2000-01-28,28.804595947265625
2000-01-31,28.72392463684082
2000-02-01,28.239816665649414
2000-02-02,28.804595947265625
2000-02-03,28.03810691833496
2000-02-04,28.40118980407715
2000-02-07,26.989192962646484
2000-02-08,26.464733123779297
2000-02-09,25.260034561157227
2000-02-10,25.74578857421875
2000-02-11,25.826751708984375
2000-02-14,24.774253845214844
2000-02-15,24.936180114746094
2000-02-16,24.126562118530273
2000-02-17,24.288494110107422
2000-02-18,23.316944122314453
2000-02-22,25.179067611694336
2000-02-23,24.045610427856445
2000-02-24,23.681276321411133
2000-02-25,24.490888595581055
2000-02-28,23.964628219604492
2000-02-29,23.924158096313477
2000-03-01,23.519346237182617
2000-03-02,23.276470184326172
2000-03-03,23.276470184326172
2000-03-06,22.750211715698242
2000-03-07,22.50734519958496
2000-03-08,21.616743087768555
2000-03-09,21.85964584350586
2000-03-10,20.969057083129883
2000-03-13,21.130985260009766
2000-03-14,21.414344787597656
2000-03-15,22.588294982910156
2000-03-16,23.074064254760742
2000-03-17,24.61232566833496
2000-03-20,23.964628219604492
2000-03-21,23.681276321411133
2000-03-22,23.478870391845703
2000-03-23,22.750211715698242
2000-03-24,23.316944122314453
2000-03-27,24.045610427856445
2000-03-28,24.61232566833496
2000-03-29,24.5313777923584
2000-03-30,25.017139434814453
2000-03-31,24.490888595581055
2000-04-03,24.086082458496094
2000-04-04,24.167041778564453
2000-04-05,23.357433319091797
2000-04-06,23.397907257080078
2000-04-07,23.11454200744629
2000-04-10,22.70974349975586
2000-04-11,23.11454200744629
2000-04-12,24.36945343017578
2000-04-13,23.964628219604492
2000-04-14,22.91213035583496
2000-04-17,22.87166404724121
2000-04-18,22.50734519958496
2000-04-19,24.126562118530273
2000-04-20,25.948211669921875
2000-04-24,24.5313777923584
2000-04-25,25.260034561157227
2000-04-26,25.867244720458984
2000-04-27,25.786279678344727
2000-04-28,25.705318450927734
2000-05-01,25.300512313842773
2000-05-02,24.571853637695312
2000-05-03,24.167041778564453
2000-05-04,24.733776092529297
2000-05-05,25.58387565612793
2000-05-08,24.774253845214844
2000-05-09,24.81473731994629
2000-05-10,23.971284866333008
2000-05-11,24.255678176879883
2000-05-12,24.174419403076172
2000-05-15,24.174419403076172
2000-05-16,24.29631805419922
2000-05-17,24.29631805419922
2000-05-18,24.458829879760742
2000-05-19,24.01190185546875
2000-05-22,23.768129348754883
2000-05-23,24.133800506591797
2000-05-24,25.271413803100586
2000-05-25,24.946382522583008
2000-05-26,24.865116119384766
2000-05-30,25.71833038330078
2000-05-31,25.393301010131836
2000-06-01,26.16524887084961
2000-06-02,25.92147445678711
2000-06-05,25.312042236328125
2000-06-06,25.92147445678711
2000-06-07,25.068260192871094
2000-06-08,24.82448959350586
2000-06-09,25.474565505981445
2000-06-12,24.783864974975586
2000-06-13,25.23078155517578
2000-06-14,25.23078155517578
2000-06-15,26.246522903442383
2000-06-16,25.515195846557617
2000-06-19,25.352676391601562
2000-06-20,25.55581283569336
2000-06-21,25.8808536529541
2000-06-22,25.312042236328125
2000-06-23,25.92147445678711
2000-06-26,25.840213775634766
2000-06-27,26.002735137939453
2000-06-28,26.34807586669922
2000-06-29,26.6121768951416
2000-06-30,27.180992126464844
2000-07-03,27.099735260009766
2000-07-05,27.831050872802734
2000-07-06,27.95294189453125
2000-07-07,28.44050407409668
2000-07-10,27.95294189453125
2000-07-11,28.806175231933594
2000-07-12,28.52175521850586
2000-07-13,28.968671798706055
2000-07-14,28.88741111755371
2000-07-17,28.58270263671875
2000-07-18,29.33432960510254
2000-07-19,29.821884155273438
2000-07-20,29.943784713745117
2000-07-21,30.431331634521484
2000-07-24,31.284547805786133
2000-07-25,31.609577178955078
2000-07-26,31.203279495239258
2000-07-27,31.365795135498047
2000-07-28,31.731475830078125
2000-07-31,31.731475830078125
2000-08-01,31.65020751953125
2000-08-02,32.42216110229492
2000-08-03,31.853351593017578
2000-08-04,31.853351593017578
2000-08-07,31.89398765563965
2000-08-08,31.568960189819336
2000-08-09,31.130508422851562
2000-08-10,31.86394691467285
2000-08-11,32.3529167175293
2000-08-14,32.271427154541016
2000-08-15,30.804534912109375
2000-08-16,30.111852645874023
2000-08-17,29.908113479614258
2000-08-18,29.78587532043457
2000-08-21,31.130508422851562
2000-08-22,32.14918518066406
2000-08-23,32.96411895751953
2000-08-24,34.96071243286133
2000-08-25,35.286705017089844
2000-08-28,34.71622848510742
2000-08-29,34.105037689208984
2000-08-30,34.22727966308594
2000-08-31,34.970909118652344
2000-09-01,35.69414138793945
2000-09-05,36.14236068725586
2000-09-06,37.69074249267578
2000-09-07,38.13895797729492
2000-09-08,37.89448165893555
2000-09-11,38.22044372558594
2000-09-12,38.46491622924805
2000-09-13,38.75015640258789
2000-09-14,38.057464599609375
2000-09-15,37.07955551147461
2000-09-18,37.12028884887695
2000-09-19,36.99805450439453
2000-09-20,38.50567626953125
2000-09-21,39.116886138916016
2000-09-22,41.39870071411133
2000-09-25,41.6431770324707
2000-09-26,43.069313049316406
2000-09-27,42.091407775878906
2000-09-28,42.05064392089844
2000-09-29,42.05064392089844
2000-10-02,38.09822463989258
2000-10-03,39.035396575927734
2000-10-04,39.850318908691406
2000-10-05,39.809566497802734
2000-10-06,39.76882553100586
2000-10-09,38.75015640258789
2000-10-10,38.83164978027344
2000-10-11,39.23911666870117
2000-10-12,36.590579986572266
2000-10-13,38.30194091796875
2000-10-16,39.23911666870117
2000-10-17,39.44286346435547
2000-10-18,39.6058235168457
2000-10-19,38.09822463989258
2000-10-20,39.116886138916016
2000-10-23,39.93181610107422
2000-10-24,39.76882553100586
2000-10-25,40.78749084472656
2000-10-26,41.11348342895508
2000-10-27,41.56169509887695
2000-10-30,42.17287826538086
2000-10-31,44.21023178100586
2000-11-01,42.865570068359375
2000-11-02,43.11006164550781
2000-11-03,43.069313049316406
2000-11-06,43.069313049316406
2000-11-07,42.498863220214844
2000-11-08,42.46782684326172
2000-11-09,42.917015075683594
2000-11-10,41.48780059814453
2000-11-13,41.038612365722656
2000-11-14,42.05948257446289
2000-11-15,41.528621673583984
2000-11-16,42.9986686706543
2000-11-17,42.712825775146484
2000-11-20,42.835357666015625
2000-11-21,44.83622741699219
2000-11-22,42.54949188232422
2000-11-24,42.917015075683594
2000-11-27,44.019527435302734
2000-11-28,44.1012077331543
2000-11-29,45.69374465942383
2000-11-30,45.12207794189453
2000-12-01,42.9986686706543
2000-12-04,42.34532928466797
2000-12-05,45.04038619995117
2000-12-06,44.019527435302734
2000-12-07,43.652008056640625
2000-12-08,45.69374465942383
2000-12-11,44.67288589477539
2000-12-12,45.16289138793945
2000-12-13,44.34622573852539
2000-12-14,43.93787384033203
2000-12-15,42.386146545410156
2000-12-18,44.75455093383789
2000-12-19,43.366172790527344
2000-12-20,42.46782684326172
2000-12-21,42.22282028198242
2000-12-22,41.44696807861328
2000-12-26,41.1611213684082
2000-12-27,41.85530471801758
2000-12-28,42.753665924072266
2000-12-29,43.12117385864258
2001-01-02,40.50776672363281
2001-01-03,40.875274658203125
2001-01-04,39.85441589355469
2001-01-05,38.38436508178711
2001-01-08,38.54771041870117
2001-01-09,38.50688171386719
2001-01-10,39.44607162475586
2001-01-11,38.62938690185547
2001-01-12,39.609405517578125
2001-01-16,39.85441589355469
2001-01-17,38.38436508178711
2001-01-18,37.486026763916016
2001-01-19,36.38349151611328
2001-01-22,36.58766174316406
2001-01-23,37.567691802978516
2001-01-24,37.526859283447266
2001-01-25,38.71105194091797
2001-01-26,37.935203552246094
2001-01-29,36.88821029663086
2001-01-30,36.6856575012207
2001-01-31,38.22103500366211
2001-02-01,36.92741012573242
2001-02-02,37.14301300048828
2001-02-05,37.8486442565918
2001-02-06,37.064613342285156
2001-02-07,37.64785385131836
2001-02-08,37.687156677246094
2001-02-09,37.57575988769531
2001-02-12,38.709468841552734
2001-02-13,39.79072570800781
2001-02-14,39.70551681518555
2001-02-15,39.417179107666016
2001-02-16,39.31234359741211
2001-02-20,40.53121566772461
2001-02-21,39.4499626159668
2001-02-22,40.157684326171875
2001-02-23,40.373958587646484
2001-02-26,41.127567291259766
2001-02-27,41.74354934692383
2001-02-28,40.760581970214844
2001-03-01,39.08953094482422
2001-03-02,39.38444137573242
2001-03-05,40.570556640625
2001-03-06,40.7147102355957
2001-03-07,42.00568389892578
2001-03-08,42.431644439697266
2001-03-09,42.92312240600586
2001-03-12,39.974212646484375
2001-03-13,39.69242477416992
2001-03-14,38.0213737487793
2001-03-15,36.763160705566406
2001-03-16,35.22316360473633
2001-03-19,36.71074295043945
2001-03-20,36.042320251464844
2001-03-21,35.28871154785156
2001-03-22,34.07637405395508
2001-03-23,34.73168182373047
2001-03-26,36.330657958984375
2001-03-27,36.173377990722656
2001-03-28,36.042320251464844
2001-03-29,36.664852142333984
2001-03-30,36.507591247558594
2001-04-02,36.055416107177734
2001-04-03,35.7867546081543
2001-04-04,35.79983901977539
2001-04-05,37.22844696044922
2001-04-06,36.68452072143555
2001-04-09,37.267765045166016
2001-04-10,39.200923919677734
2001-04-11,38.742218017578125
2001-04-12,39.64655685424805
2001-04-16,39.15507888793945
2001-04-17,39.71208190917969
2001-04-18,40.17080307006836
2001-04-19,39.73174285888672
2001-04-20,40.43292236328125
2001-04-23,39.41061782836914
2001-04-24,39.843135833740234
2001-04-25,39.54169845581055
2001-04-26,39.96110153198242
2001-04-27,40.373958587646484
2001-04-30,40.49845504760742
2001-05-01,41.56660842895508
2001-05-02,41.940155029296875
2001-05-03,41.940155029296875
2001-05-04,42.2678108215332
2001-05-07,42.392311096191406
2001-05-08,42.35300064086914
2001-05-09,42.70781326293945
2001-05-10,43.33198547363281
2001-05-11,43.371429443359375
2001-05-14,43.85105514526367
2001-05-15,43.752506256103516
2001-05-16,43.85761260986328
2001-05-17,45.197994232177734
2001-05-18,44.9089241027832
2001-05-21,45.1323127746582
2001-05-22,44.678951263427734
2001-05-23,43.364845275878906
2001-05-24,42.83921432495117
2001-05-25,41.61054229736328
2001-05-29,41.7419548034668
2001-05-30,41.426570892333984
2001-05-31,41.32143783569336
2001-06-01,42.70781326293945
2001-06-04,43.384559631347656
2001-06-05,43.97590637207031
2001-06-06,43.4305534362793
2001-06-07,43.134883880615234
2001-06-08,42.438419342041016
2001-06-11,42.37929153442383
2001-06-12,43.17431640625
2001-06-13,43.029762268066406
2001-06-14,41.76165771484375
2001-06-15,42.215023040771484
2001-06-18,42.62895584106445
2001-06-19,40.60525894165039
2001-06-20,40.15190887451172
2001-06-21,37.94424057006836
2001-06-22,37.451473236083984
2001-06-25,37.425174713134766
2001-06-26,37.464603424072266
2001-06-27,37.911373138427734
2001-06-28,37.60916519165039
2001-06-29,36.53159713745117
2001-07-02,37.03094482421875
2001-07-03,37.01124572753906
2001-07-05,36.28849792480469
2001-07-06,35.67744827270508
2001-07-09,34.711585998535156
2001-07-10,35.578887939453125
2001-07-11,34.75757598876953
2001-07-12,35.80885696411133
2001-07-13,36.18337631225586
2001-07-16,36.32133483886719
2001-07-17,36.99152374267578
2001-07-18,37.53687286376953
2001-07-19,37.05067443847656
2001-07-20,37.313472747802734
2001-07-23,36.95867156982422
2001-07-24,36.308204650878906
2001-07-25,37.23463439941406
2001-07-26,38.1807746887207
2001-07-27,38.20049285888672
2001-07-30,37.71427917480469
2001-07-31,38.45674133300781
2001-08-01,38.76553726196289
2001-08-02,38.647274017333984
2001-08-03,38.903507232666016
2001-08-06,38.37131118774414
2001-08-07,37.77997589111328
2001-08-08,37.19521713256836
2001-08-09,37.03094482421875
2001-08-10,37.35291290283203
2001-08-13,37.090084075927734
2001-08-14,36.722129821777344
2001-08-15,35.87855911254883
2001-08-16,36.33330535888672
2001-08-17,35.58858871459961
2001-08-20,35.15361022949219
2001-08-21,34.2309455871582
2001-08-22,34.46820831298828
2001-08-23,34.382530212402344
2001-08-24,35.344730377197266
2001-08-27,34.969078063964844
2001-08-28,34.0398063659668
2001-08-29,33.41372299194336
2001-08-30,33.28191375732422
2001-08-31,33.743247985839844
2001-09-04,32.91943359375
2001-09-05,33.35440444946289
2001-09-06,32.187889099121094
2001-09-07,29.775775909423828
2001-09-10,28.642223358154297
2001-09-17,23.593917846679688
2001-09-18,21.84084129333496
2001-09-19,21.491546630859375
2001-09-20,19.613271713256836
2001-09-21,19.837345123291016
2001-09-24,21.616762161254883
2001-09-25,22.62511444091797
2001-09-26,22.598751068115234
2001-09-27,22.671245574951172
2001-09-28,22.078094482421875
2001-10-01,21.353151321411133
2001-10-02,22.572385787963867
2001-10-03,24.114553451538086
2001-10-04,23.976165771484375
2001-10-05,23.897069931030273
2001-10-08,24.134334564208984
2001-10-09,23.72572135925293
2001-10-10,23.567543029785156
2001-10-11,23.844345092773438
2001-10-12,23.65981101989746
2001-10-15,23.244619369506836
2001-10-16,23.145755767822266
2001-10-17,22.20990753173828
2001-10-18,21.65631675720215
2001-10-19,22.045148849487305
2001-10-22,22.20990753173828
2001-10-23,22.33512306213379
2001-10-24,22.565797805786133
2001-10-25,23.65981101989746
2001-10-26,24.83292579650879
2001-10-29,22.24286460876465
2001-10-30,21.768346786499023
2001-10-31,21.484952926635742
2001-11-01,21.873790740966797
2001-11-02,22.638294219970703
2001-11-05,23.099628448486328
2001-11-06,23.409366607666016
2001-11-07,22.994178771972656
2001-11-08,23.000764846801758
2001-11-09,21.906753540039062
2001-11-12,21.788116455078125
2001-11-13,22.150588989257812
2001-11-14,22.587783813476562
2001-11-15,22.68051528930664
2001-11-16,23.17730712890625
2001-11-19,23.250171661376953
2001-11-20,23.164064407348633
2001-11-21,22.98522186279297
2001-11-23,23.60124397277832
2001-11-26,23.773469924926758
2001-11-27,23.515138626098633
2001-11-28,22.63413429260254
2001-11-29,23.283306121826172
2001-11-30,23.250171661376953
2001-12-03,23.183935165405273
2001-12-04,23.43565559387207
2001-12-05,23.773469924926758
2001-12-06,24.58159065246582
2001-12-07,24.707447052001953
2001-12-10,24.44249725341797
2001-12-11,24.55510711669922
2001-12-12,24.376253128051758
2001-12-13,24.50872039794922
2001-12-14,24.87305450439453
2001-12-17,24.548471450805664
2001-12-18,24.674331665039062
2001-12-19,24.84656524658203
2001-12-20,25.263866424560547
2001-12-21,25.595069885253906
2001-12-24,25.44933319091797
2001-12-26,25.568571090698242
2001-12-27,25.628185272216797
2001-12-28,25.89976692199707
2001-12-31,25.687801361083984
2002-01-02,25.23735809326172
2002-01-03,25.667919158935547
2002-01-04,26.734394073486328
2002-01-07,27.1583251953125
2002-01-08,26.714527130126953
2002-01-09,26.4296875
2002-01-10,26.38994598388672
2002-01-11,25.628185272216797
2002-01-14,25.336734771728516
2002-01-15,26.06536293029785
2002-01-16,25.184377670288086
2002-01-17,25.389728546142578
2002-01-18,25.932884216308594
2002-01-22,26.35019874572754
2002-01-23,26.0521240234375
2002-01-24,26.495925903320312
2002-01-25,26.813871383666992
2002-01-28,27.09208106994629
2002-01-29,26.64827537536621
2002-01-30,26.495925903320312
2002-01-31,27.125213623046875
2002-02-01,27.46302604675293
2002-02-04,27.224563598632812
2002-02-05,27.09208106994629
2002-02-06,27.258373260498047
2002-02-07,27.311594009399414
2002-02-08,27.7372989654541
2002-02-11,28.60198974609375
2002-02-12,28.701778411865234
2002-02-13,29.865814208984375
2002-02-14,29.779354095458984
2002-02-15,29.865814208984375
2002-02-19,29.07427215576172
2002-02-20,28.80820083618164
2002-02-21,29.406845092773438
2002-02-22,29.77269172668457
2002-02-25,29.892406463623047
2002-02-26,30.03211212158203
2002-02-27,30.530986785888672
2002-02-28,30.57088279724121
2002-03-01,31.821388244628906
2002-03-04,32.679447174072266
2002-03-05,32.06752014160156
2002-03-06,33.16501235961914
2002-03-07,32.24709701538086
2002-03-08,32.85905838012695
2002-03-11,33.84347915649414
2002-03-12,33.44438552856445
2002-03-13,32.73932647705078
2002-03-14,31.66840171813965
2002-03-15,31.914514541625977
2002-03-18,31.681724548339844
2002-03-19,31.95442008972168
2002-03-20,31.282608032226562
2002-03-21,31.708303451538086
2002-03-22,30.856910705566406
2002-03-25,30.4112606048584
2002-03-26,30.457807540893555
2002-03-27,31.4821720123291
2002-03-28,32.0941162109375
2002-04-01,31.874603271484375
2002-04-02,32.652854919433594
2002-04-03,32.413387298583984
2002-04-04,32.64621353149414
2002-04-05,32.120731353759766
2002-04-08,32.59297180175781
2002-04-09,32.30696105957031
2002-04-10,32.97877883911133
2002-04-11,32.47325134277344
2002-04-12,32.29366683959961
2002-04-15,31.695003509521484
2002-04-16,32.393428802490234
2002-04-17,30.178438186645508
2002-04-18,29.067626953125
2002-04-19,28.435699462890625
2002-04-22,28.69513511657715
2002-04-23,28.269424438476562
2002-04-24,28.202909469604492
2002-04-25,27.870338439941406
2002-04-26,27.610912322998047
2002-04-29,29.02107048034668
2002-04-30,29.666278839111328
2002-05-01,30.264911651611328
2002-05-02,29.845857620239258
2002-05-03,29.686222076416016
2002-05-06,28.854778289794922
2002-05-07,28.69513511657715
2002-05-08,29.539888381958008
2002-05-09,29.919034957885742
2002-05-10,29.02107048034668
2002-05-13,29.453397750854492
2002-05-14,30.251611709594727
2002-05-15,29.744178771972656
2002-05-16,30.044641494750977
2002-05-17,30.32504653930664
2002-05-20,30.131427764892578
2002-05-21,29.61065101623535
2002-05-22,29.650720596313477
2002-05-23,29.477123260498047
