Date,QCOM
2000-01-03,55.18355941772461
2000-01-04,49.87484359741211
2000-01-05,48.143741607666016
2000-01-06,43.10435104370117
2000-01-07,46.16261672973633
2000-01-10,49.04779052734375
2000-01-11,44.45073699951172
2000-01-12,42.54655456542969
2000-01-13,44.04682922363281
2000-01-14,43.21974563598633
2000-01-18,42.796592712402344
2000-01-19,45.123966217041016
2000-01-20,47.893741607666016
2000-01-21,47.68212127685547
2000-01-24,43.10435104370117
2000-01-25,45.85486602783203
2000-01-26,38.353450775146484
2000-01-27,36.93009567260742
2000-01-28,34.02571105957031
2000-01-31,39.084346771240234
2000-02-01,41.873321533203125
2000-02-02,43.71983337402344
2000-02-03,42.83504867553711
2000-02-04,42.2964973449707
2000-02-07,41.06547927856445
2000-02-08,42.796592712402344
2000-02-09,41.02701950073242
2000-02-10,42.142635345458984
2000-02-11,40.623104095458984
2000-02-14,39.12282180786133
2000-02-15,38.96894073486328
2000-02-16,37.50712966918945
2000-02-17,40.00761413574219
2000-02-18,41.392478942871094
2000-02-22,40.18070602416992
2000-02-23,45.200889587402344
2000-02-24,42.988922119140625
2000-02-25,41.10396194458008
2000-02-28,44.08530044555664
2000-02-29,43.83526611328125
2000-03-01,42.777366638183594
2000-03-02,40.680809020996094
2000-03-03,40.584625244140625
2000-03-06,41.00780487060547
2000-03-07,39.39209747314453
2000-03-08,39.73831558227539
2000-03-09,39.084346771240234
2000-03-10,41.89259338378906
2000-03-13,40.0653076171875
2000-03-14,38.507320404052734
2000-03-15,39.39209747314453
2000-03-16,40.89238739013672
2000-03-17,41.931053161621094
2000-03-20,39.89219284057617
2000-03-21,41.43095016479492
2000-03-22,41.50787353515625
2000-03-23,44.35459518432617
2000-03-24,44.931610107421875
2000-03-27,45.835655212402344
2000-03-28,47.64366912841797
2000-03-29,48.47074508666992
2000-03-30,44.695980072021484
2000-03-31,45.95103454589844
2000-04-03,43.315914154052734
2000-04-04,45.123966217041016
2000-04-05,43.469783782958984
2000-04-06,42.81581497192383
2000-04-07,46.85504150390625
2000-04-10,43.4505729675293
2000-04-11,42.2964973449707
2000-04-12,38.507320404052734
2000-04-13,38.93046951293945
2000-04-14,32.37153244018555
2000-04-17,35.9683723449707
2000-04-18,34.52580261230469
2000-04-19,35.31440353393555
2000-04-20,33.69871139526367
2000-04-24,30.65967559814453
2000-04-25,32.29459762573242
2000-04-26,29.928770065307617
2000-04-27,31.85219955444336
2000-04-28,33.37173080444336
2000-05-01,33.77565383911133
2000-05-02,34.9874153137207
2000-05-03,34.14110565185547
2000-05-04,32.83315658569336
2000-05-05,33.77565383911133
2000-05-08,31.69832420349121
2000-05-09,32.313838958740234
2000-05-10,29.948001861572266
2000-05-11,30.56348419189453
2000-05-12,30.159574508666992
2000-05-15,32.10225296020508
2000-05-16,33.448665618896484
2000-05-17,31.746416091918945
2000-05-18,29.832584381103516
2000-05-19,27.44752311706543
2000-05-22,27.21670913696289
2000-05-23,24.42772102355957
2000-05-24,23.619869232177734
2000-05-25,21.23480224609375
2000-05-26,20.33078956604004
2000-05-30,23.504459381103516
2000-05-31,20.426952362060547
2000-06-01,21.23480224609375
2000-06-02,22.369632720947266
2000-06-05,20.696239471435547
2000-06-06,21.196332931518555
2000-06-07,22.98513412475586
2000-06-08,23.831439971923828
2000-06-09,24.3315372467041
2000-06-12,25.1393985748291
2000-06-13,25.043214797973633
2000-06-14,21.696428298950195
2000-06-15,18.90743637084961
2000-06-16,20.2346134185791
2000-06-19,20.061513900756836
2000-06-20,19.369060516357422
2000-06-21,19.84992218017578
2000-06-22,21.003992080688477
2000-06-23,20.426952362060547
2000-06-26,19.926868438720703
2000-06-27,19.599882125854492
2000-06-28,19.561410903930664
2000-06-29,18.926677703857422
2000-06-30,18.46504783630371
2000-07-03,18.541990280151367
2000-07-05,17.98418617248535
2000-07-06,18.984371185302734
2000-07-07,17.426389694213867
2000-07-10,16.887826919555664
2000-07-11,16.310789108276367
2000-07-12,18.772796630859375
2000-07-13,19.080547332763672
2000-07-14,19.407527923583984
2000-07-17,21.484848022460938
2000-07-18,20.042268753051758
2000-07-19,19.38829803466797
2000-07-20,19.407527923583984
2000-07-21,19.330596923828125
2000-07-24,19.580644607543945
2000-07-25,21.04245948791504
2000-07-26,21.13862419128418
2000-07-27,20.176904678344727
2000-07-28,19.215187072753906
2000-07-31,19.984569549560547
2000-08-01,19.369060516357422
2000-08-02,19.061307907104492
2000-08-03,19.77298355102539
2000-08-04,19.696048736572266
2000-08-07,19.561410903930664
2000-08-08,18.792036056518555
2000-08-09,18.90743637084961
2000-08-10,18.90743637084961
2000-08-11,18.96514129638672
2000-08-14,19.272891998291016
2000-08-15,18.888202667236328
2000-08-16,18.618921279907227
2000-08-17,18.638151168823242
2000-08-18,18.388105392456055
2000-08-21,18.157291412353516
2000-08-22,17.426389694213867
