Date,KMI
2011-02-11,14.962401390075684
2011-02-14,14.793742179870605
2011-02-15,14.90939712524414
2011-02-16,14.803377151489258
2011-02-17,14.721465110778809
2011-02-18,15.116599082946777
2011-02-22,14.803377151489258
2011-02-23,14.658819198608398
2011-02-24,14.678095817565918
2011-02-25,14.697367668151855
2011-02-28,14.697367668151855
2011-03-01,14.673274993896484
2011-03-02,14.731104850769043
2011-03-03,14.827476501464844
2011-03-04,14.8660306930542
2011-03-07,14.890118598937988
2011-03-08,14.92385482788086
2011-03-09,14.817842483520508
2011-03-10,14.504613876342773
2011-03-11,14.504613876342773
2011-03-14,14.451607704162598
2011-03-15,14.398602485656738
2011-03-16,14.480520248413086
2011-03-17,14.52871036529541
2011-03-18,14.697367668151855
2011-03-21,14.851571083068848
2011-03-22,14.793742179870605
2011-03-23,14.466065406799316
2011-03-24,14.480520248413086
2011-03-25,14.225127220153809
2011-03-28,14.273311614990234
2011-03-29,14.355231285095215
2011-03-30,14.307049751281738
2011-03-31,14.282951354980469
2011-04-01,14.215485572814941
2011-04-04,14.186575889587402
2011-04-05,14.186575889587402
2011-04-06,14.196212768554688
2011-04-07,14.080559730529785
2011-04-08,14.133573532104492
2011-04-11,14.09502124786377
2011-04-12,13.844438552856445
2011-04-13,13.892623901367188
2011-04-14,14.032374382019043
2011-04-15,13.916725158691406
2011-04-18,13.743244171142578
2011-04-19,13.868529319763184
2011-04-20,14.191393852233887
2011-04-21,14.278130531311035
2011-04-25,14.14802360534668
2011-04-26,14.032374382019043
2011-04-27,13.907083511352539
2011-04-28,13.96035099029541
2011-04-29,13.839293479919434
2011-05-02,13.9555025100708
2011-05-03,13.650442123413086
2011-05-04,13.539072036743164
2011-05-05,13.548754692077637
2011-05-06,13.558439254760742
2011-05-09,13.698862075805664
2011-05-10,13.810237884521484
2011-05-11,13.70854377746582
2011-05-12,13.776342391967773
2011-05-13,13.524540901184082
2011-05-16,13.33569049835205
2011-05-17,13.31632137298584
2011-05-18,13.345375061035156
2011-05-19,13.698862075805664
2011-05-20,13.800551414489746
2011-05-23,13.718234062194824
2011-05-24,14.07172679901123
