Date,VRT
2018-08-02,9.939218521118164
2018-08-03,9.939218521118164
2018-08-06,9.909371376037598
2018-08-07,9.899421691894531
2018-08-08,9.899421691894531
2018-08-09,9.849675178527832
2018-08-10,9.799930572509766
2018-08-13,9.760132789611816
2018-08-14,9.750184059143066
2018-08-15,9.799930572509766
2018-08-16,9.8098783493042
2018-08-17,9.780030250549316
2018-08-20,9.780030250549316
2018-08-21,9.750184059143066
2018-08-22,9.750184059143066
2018-08-23,9.760132789611816
2018-08-24,9.750184059143066
2018-08-27,9.700438499450684
2018-08-28,9.700438499450684
2018-08-29,9.750184059143066
2018-08-30,9.750184059143066
2018-08-31,9.680538177490234
2018-09-04,9.740235328674316
2018-09-05,9.750184059143066
2018-09-06,9.750184059143066
2018-09-07,9.730284690856934
2018-09-10,9.819828987121582
2018-09-11,9.700438499450684
2018-09-12,9.750184059143066
2018-09-13,9.750184059143066
2018-09-14,9.750184059143066
2018-09-17,9.700438499450684
2018-09-18,9.7203369140625
2018-09-19,9.730284690856934
2018-09-20,9.680538177490234
2018-09-21,9.700438499450684
2018-09-24,9.7203369140625
2018-09-25,9.7203369140625
2018-09-26,9.699440002441406
2018-09-27,9.700438499450684
2018-09-28,9.700438499450684
2018-10-01,9.700438499450684
2018-10-02,9.680538177490234
2018-10-03,9.683523178100586
2018-10-04,9.710386276245117
2018-10-05,9.670591354370117
2018-10-08,9.700438499450684
2018-10-09,9.670591354370117
2018-10-10,9.690488815307617
2018-10-11,9.690488815307617
2018-10-12,9.700438499450684
2018-10-15,9.680538177490234
2018-10-16,9.690488815307617
2018-10-17,9.700438499450684
2018-10-18,9.710386276245117
2018-10-19,9.770081520080566
2018-10-22,9.700438499450684
2018-10-23,9.710386276245117
2018-10-24,9.650693893432617
2018-10-25,9.710386276245117
2018-10-26,9.650693893432617
2018-10-29,9.700438499450684
2018-10-30,9.690488815307617
2018-10-31,9.660640716552734
2018-11-01,9.660640716552734
2018-11-02,9.700438499450684
2018-11-05,9.670591354370117
2018-11-06,9.7203369140625
2018-11-07,9.650693893432617
2018-11-08,9.650693893432617
2018-11-09,9.789981842041016
2018-11-12,9.780030250549316
2018-11-13,9.700438499450684
2018-11-14,9.750184059143066
2018-11-15,9.750184059143066
2018-11-16,9.799930572509766
2018-11-19,9.700438499450684
2018-11-20,9.760132789611816
2018-11-21,9.700438499450684
2018-11-23,9.780030250549316
2018-11-26,9.700438499450684
2018-11-27,10.00886344909668
2018-11-28,9.760132789611816
2018-11-29,9.819828987121582
2018-11-30,9.799930572509766
2018-12-03,9.770081520080566
2018-12-04,9.770081520080566
2018-12-06,9.799930572509766
2018-12-07,9.730284690856934
2018-12-10,9.829776763916016
2018-12-11,9.799930572509766
2018-12-12,9.819828987121582
2018-12-13,9.750184059143066
2018-12-14,9.670591354370117
2018-12-17,9.700438499450684
2018-12-18,9.700438499450684
2018-12-19,9.770081520080566
2018-12-20,9.750184059143066
2018-12-21,9.750184059143066
2018-12-24,9.750184059143066
2018-12-26,9.750184059143066
2018-12-27,9.680538177490234
2018-12-28,9.680538177490234
2018-12-31,9.750184059143066
2019-01-02,9.700438499450684
2019-01-03,9.700438499450684
2019-01-04,9.730284690856934
2019-01-07,9.760132789611816
2019-01-08,9.750184059143066
2019-01-09,9.770081520080566
2019-01-10,9.7203369140625
2019-01-11,9.789981842041016
2019-01-14,9.780030250549316
2019-01-15,9.799930572509766
2019-01-16,9.760132789611816
2019-01-17,9.799930572509766
2019-01-18,9.799930572509766
2019-01-22,9.780030250549316
2019-01-23,9.829776763916016
2019-01-24,9.819828987121582
2019-01-25,9.8098783493042
2019-01-28,9.819828987121582
2019-01-29,9.8098783493042
2019-01-30,9.839728355407715
2019-01-31,9.819828987121582
2019-02-01,9.899421691894531
2019-02-04,9.780030250549316
2019-02-05,9.8098783493042
2019-02-06,9.899421691894531
2019-02-07,9.899421691894531
