Date,UPS
2000-01-03,31.369295120239258
2000-01-04,30.37531280517578
2000-01-05,31.807830810546875
2000-01-06,31.807830810546875
2000-01-07,31.047725677490234
2000-01-10,31.369295120239258
2000-01-11,30.521495819091797
2000-01-12,31.515480041503906
2000-01-13,31.954011917114258
2000-01-14,32.30481719970703
2000-01-18,32.12942123413086
2000-01-19,31.924753189086914
2000-01-20,32.217105865478516
2000-01-21,31.45700454711914
2000-01-24,30.872312545776367
2000-01-25,30.81381607055664
2000-01-26,30.463031768798828
2000-01-27,30.463031768798828
2000-01-28,30.37531280517578
2000-01-31,28.06572914123535
2000-02-01,28.708919525146484
2000-02-02,27.247159957885742
2000-02-03,26.954790115356445
2000-02-04,26.370094299316406
2000-02-07,26.07773780822754
2000-02-08,27.773391723632812
2000-02-09,27.130207061767578
2000-02-10,26.69169044494629
2000-02-11,25.7853946685791
2000-02-14,25.4345645904541
2000-02-15,25.69767951965332
2000-02-16,26.194684982299805
2000-02-17,27.130207061767578
2000-02-18,26.633190155029297
2000-02-22,25.726930618286133
2000-02-23,25.69767951965332
2000-02-24,25.366886138916016
2000-02-25,26.041379928588867
2000-02-28,25.806777954101562
2000-02-29,25.630830764770508
2000-03-01,24.63373565673828
2000-03-02,25.014968872070312
2000-03-03,24.721710205078125
2000-03-06,24.751035690307617
2000-03-07,23.75397491455078
2000-03-08,25.48419761657715
2000-03-09,24.86834716796875
2000-03-10,25.073627471923828
2000-03-13,24.751035690307617
2000-03-14,24.663070678710938
2000-03-15,25.777448654174805
2000-03-16,26.393281936645508
2000-03-17,26.041379928588867
2000-03-20,26.539926528930664
2000-03-21,27.30240821838379
2000-03-22,26.68654441833496
2000-03-23,27.97690200805664
2000-03-24,29.912405014038086
2000-03-27,29.648468017578125
2000-03-28,28.270153045654297
2000-03-29,27.712963104248047
2000-03-30,27.47835350036621
2000-03-31,29.553165435791016
2000-04-03,27.859607696533203
2000-04-04,27.126441955566406
2000-04-05,27.30240821838379
2000-04-06,28.094192504882812
2000-04-07,28.563413619995117
2000-04-10,30.02970314025879
2000-04-11,29.648468017578125
2000-04-12,28.856666564941406
2000-04-13,28.270153045654297
2000-04-14,25.806777954101562
2000-04-17,27.214427947998047
2000-04-18,28.475435256958008
2000-04-19,27.712963104248047
2000-04-20,29.795093536376953
2000-04-24,29.384532928466797
2000-04-25,31.173419952392578
2000-04-26,31.056108474731445
2000-04-27,30.938806533813477
2000-04-28,31.202747344970703
2000-05-01,30.146997451782227
2000-05-02,29.941722869873047
2000-05-03,29.267230987548828
2000-05-04,28.592744827270508
2000-05-05,28.094192504882812
