Date,NDSN
2000-01-03,8.598122596740723
2000-01-04,8.369275093078613
2000-01-05,8.42376708984375
2000-01-06,8.30933952331543
2000-01-07,8.336583137512207
2000-01-10,8.21671199798584
2000-01-11,8.40197467803955
2000-01-12,8.445558547973633
2000-01-13,8.43466567993164
2000-01-14,8.391072273254395
2000-01-18,8.140429496765137
2000-01-19,8.369275093078613
2000-01-20,8.282099723815918
2000-01-21,8.064146995544434
2000-01-24,7.955170154571533
2000-01-25,7.606454372406006
2000-01-26,7.323117256164551
2000-01-27,7.497478008270264
2000-01-28,7.42119836807251
2000-01-31,7.497478008270264
2000-02-01,7.410297870635986
2000-02-02,7.148754596710205
2000-02-03,7.1160664558410645
2000-02-04,7.214141845703125
2000-02-07,7.366708278656006
2000-02-08,6.974398612976074
2000-02-09,7.148754596710205
2000-02-10,7.151482582092285
2000-02-11,7.148754596710205
2000-02-14,6.778242588043213
2000-02-15,6.680163860321045
2000-02-16,6.516702175140381
2000-02-17,6.669270038604736
2000-02-18,6.451320171356201
2000-02-22,6.418625831604004
2000-02-23,6.396831035614014
2000-02-24,6.3750319480896
2000-02-25,6.391386985778809
2000-02-28,6.3096489906311035
2000-02-29,6.756443977355957
2000-03-01,7.087338447570801
2000-03-02,6.780148029327393
2000-03-03,7.076366901397705
2000-03-06,6.933740615844727
2000-03-07,6.988595485687256
2000-03-08,7.4054975509643555
2000-03-09,7.778519630432129
2000-03-10,7.808689594268799
2000-03-13,7.624922275543213
2000-03-14,7.109281063079834
2000-03-15,7.460354804992676
2000-03-16,7.394529819488525
2000-03-17,7.2738447189331055
2000-03-20,7.109281063079834
2000-03-21,7.789491653442383
2000-03-22,7.613950252532959
2000-03-23,7.756575107574463
2000-03-24,7.899199962615967
2000-03-27,7.811429500579834
2000-03-28,7.372585296630859
2000-03-29,7.548123836517334
2000-03-30,7.657836437225342
2000-03-31,8.085707664489746
2000-04-03,8.316100120544434
2000-04-04,7.833371639251709
2000-04-05,8.250276565551758
2000-04-06,8.074732780456543
2000-04-07,7.701719760894775
2000-04-10,7.493268013000488
2000-04-11,7.493268013000488
2000-04-12,7.63589334487915
2000-04-13,7.756575107574463
2000-04-14,7.8443450927734375
2000-04-17,7.734628200531006
2000-04-18,7.943085193634033
2000-04-19,7.767547607421875
2000-04-20,7.822401523590088
2000-04-24,7.723662376403809
2000-04-25,7.888228416442871
2000-04-26,7.954050064086914
2000-04-27,7.822401523590088
2000-04-28,7.8443450927734375
2000-05-01,7.96502685546875
2000-05-02,7.756575107574463
2000-05-03,7.592005729675293
2000-05-04,7.613950252532959
2000-05-05,7.756575107574463
2000-05-08,7.504237651824951
2000-05-09,7.416470527648926
2000-05-10,7.175109386444092
2000-05-11,7.570065975189209
2000-05-12,7.833371639251709
2000-05-15,7.5590972900390625
2000-05-16,8.096677780151367
2000-05-17,7.899199962615967
2000-05-18,7.811429500579834
2000-05-19,7.548123836517334
2000-05-22,7.877258777618408
2000-05-23,8.140565872192383
2000-05-24,8.096677780151367
2000-05-25,7.997941493988037
2000-05-26,7.723662376403809
2000-05-30,8.480669021606445
2000-05-31,8.559640884399414
2000-06-01,8.69201374053955
2000-06-02,8.824381828308105
2000-06-05,8.978806495666504
2000-06-06,8.934683799743652
2000-06-07,8.91262149810791
2000-06-08,8.824381828308105
2000-06-09,8.835410118103027
2000-06-12,8.868500709533691
2000-06-13,9.18838119506836
2000-06-14,9.331778526306152
2000-06-15,9.684752464294434
2000-06-16,9.100138664245605
2000-06-19,9.122201919555664
2000-06-20,8.934683799743652
2000-06-21,8.802316665649414
2000-06-22,8.747162818908691
2000-06-23,8.85747241973877
2000-06-26,8.85747241973877
2000-06-27,9.320748329162598
2000-06-28,8.91262149810791
2000-06-29,9.651662826538086
2000-06-30,8.934683799743652
2000-07-03,9.386933326721191
2000-07-05,9.353840827941895
2000-07-06,9.519296646118164
2000-07-07,9.552387237548828
2000-07-10,9.574451446533203
2000-07-11,9.662690162658691
2000-07-12,9.883304595947266
2000-07-13,10.390703201293945
2000-07-14,10.501007080078125
2000-07-17,10.567191123962402
2000-07-18,10.214218139648438
2000-07-19,9.872273445129395
2000-07-20,10.335552215576172
2000-07-21,10.236274719238281
2000-07-24,10.004637718200684
2000-07-25,10.059791564941406
