Date,GILD
2000-01-03,1.2156957387924194
2000-01-04,1.1603755950927734
2000-01-05,1.1509307622909546
2000-01-06,1.2291884422302246
2000-01-07,1.41673743724823
2000-01-10,1.6015878915786743
2000-01-11,1.4551914930343628
2000-01-12,1.4423741102218628
2000-01-13,1.5219806432724
2000-01-14,1.4869000911712646
2000-01-18,1.477454662322998
2000-01-19,1.3573696613311768
2000-01-20,1.3506227731704712
2000-01-21,1.3465754985809326
2000-01-24,1.1968059539794922
2000-01-25,1.2224417924880981
2000-01-26,1.165097713470459
2000-01-27,1.0713233947753906
2000-01-28,1.0571553707122803
2000-01-31,1.0106064081192017
2000-02-01,0.9971132278442383
2000-02-02,0.9917162656784058
2000-02-03,0.9714769124984741
2000-02-04,1.0092570781707764
2000-02-07,1.1725190877914429
2000-02-08,1.2804608345031738
2000-02-09,1.1860113143920898
2000-02-10,1.1951186656951904
2000-02-11,1.2075998783111572
2000-02-14,1.2966519594192505
2000-02-15,1.3708614110946655
2000-02-16,1.381656527519226
2000-02-17,1.6083348989486694
2000-02-18,1.6636543273925781
2000-02-22,1.617103934288025
2000-02-23,1.6353199481964111
2000-02-24,1.5840474367141724
2000-02-25,1.5617841482162476
2000-02-28,1.531425952911377
2000-02-29,1.6515111923217773
2000-03-01,1.7263954877853394
2000-03-02,1.6838937997817993
2000-03-03,1.7243714332580566
2000-03-06,1.7783434391021729
2000-03-07,1.6555579900741577
2000-03-08,1.5961908102035522
2000-03-09,1.5462675094604492
2000-03-10,1.5476166009902954
2000-03-13,1.4626132249832153
2000-03-14,1.4653115272521973
2000-03-15,1.3803071975708008
2000-03-16,1.4275314807891846
2000-03-17,1.376259207725525
2000-03-20,1.2399827241897583
2000-03-21,1.2291884422302246
2000-03-22,1.3830053806304932
2000-03-23,1.5030906200408936
2000-03-24,1.519282341003418
2000-03-27,1.5071386098861694
2000-03-28,1.5206315517425537
2000-03-29,1.4383256435394287
2000-03-30,1.2737146615982056
2000-03-31,1.368163824081421
2000-04-03,1.2966519594192505
2000-04-04,1.2791119813919067
2000-04-05,1.343876838684082
2000-04-06,1.4238208532333374
2000-04-07,1.3668142557144165
2000-04-10,1.33847975730896
2000-04-11,1.349273443222046
2000-04-12,1.256173849105835
2000-04-13,1.314192771911621
2000-04-14,1.1941072940826416
2000-04-17,1.0983086824417114
2000-04-18,1.1806145906448364
2000-04-19,1.122933030128479
2000-04-20,1.1064046621322632
2000-04-24,1.0605289936065674
2000-04-25,1.0348930358886719
2000-04-26,0.9930656552314758
2000-04-27,0.9377453327178955
2000-04-28,1.1698204278945923
2000-05-01,1.203552484512329
2000-05-02,1.235934853553772
2000-05-03,1.1576764583587646
2000-05-04,1.3641152381896973
2000-05-05,1.4895977973937988
2000-05-08,1.449120044708252
2000-05-09,1.404593825340271
2000-05-10,1.33847975730896
2000-05-11,1.339491605758667
2000-05-12,1.342527151107788
2000-05-15,1.3911012411117554
2000-05-16,1.470707893371582
2000-05-17,1.41673743724823
2000-05-18,1.3573696613311768
2000-05-19,1.2909175157546997
2000-05-22,1.2899061441421509
2000-05-23,1.3074464797973633
2000-05-24,1.4018956422805786
2000-05-25,1.3357809782028198
2000-05-26,1.1468826532363892
2000-05-30,1.211647629737854
2000-05-31,1.1806145906448364
2000-06-01,1.2224417924880981
2000-06-02,1.3465754985809326
2000-06-05,1.2953028678894043
2000-06-06,1.3411775827407837
2000-06-07,1.424832820892334
2000-06-08,1.3020493984222412
2000-06-09,1.4356273412704468
2000-06-12,1.2845083475112915
2000-06-13,1.3614166975021362
2000-06-14,1.3533211946487427
2000-06-15,1.3897522687911987
2000-06-16,1.4194360971450806
2000-06-19,1.516584038734436
