Date,ITW
2000-01-03,18.144128799438477
2000-01-04,17.327463150024414
2000-01-05,17.540504455566406
2000-01-06,17.416229248046875
2000-01-07,18.534713745117188
2000-01-10,18.889768600463867
2000-01-11,18.694482803344727
2000-01-12,18.463687896728516
2000-01-13,19.40462875366211
2000-01-14,19.17382049560547
2000-01-18,18.33941078186035
2000-01-19,18.286148071289062
2000-01-20,17.877824783325195
2000-01-21,17.735797882080078
2000-01-24,17.416229248046875
2000-01-25,16.9368839263916
2000-01-26,17.13216781616211
2000-01-27,16.97239112854004
2000-01-28,16.3332576751709
2000-01-31,16.617319107055664
2000-02-01,16.848112106323242
2000-02-02,16.848112106323242
2000-02-03,17.149930953979492
2000-02-04,17.13216781616211
2000-02-07,17.203184127807617
2000-02-08,16.954641342163086
2000-02-09,16.830366134643555
2000-02-10,16.191242218017578
2000-02-11,15.818413734436035
2000-02-14,15.534350395202637
2000-02-15,16.617319107055664
2000-02-16,16.42203140258789
2000-02-17,16.35102081298828
2000-02-18,15.995949745178223
2000-02-22,16.439790725708008
2000-02-23,16.830366134643555
2000-02-24,16.066959381103516
2000-02-25,14.98399829864502
2000-02-28,14.841972351074219
2000-02-29,14.682183265686035
2000-03-01,15.055008888244629
2000-03-02,15.055008888244629
2000-03-03,15.658629417419434
2000-03-06,15.321314811706543
2000-03-07,14.912980079650879
2000-03-08,15.356819152832031
2000-03-09,15.587614059448242
2000-03-10,15.445589065551758
2000-03-13,15.392329216003418
2000-03-14,15.339064598083496
2000-03-15,16.617319107055664
2000-03-16,18.286148071289062
2000-03-17,18.410425186157227
2000-03-20,17.68252944946289
2000-03-21,17.629270553588867
2000-03-22,17.380725860595703
2000-03-23,17.114425659179688
2000-03-24,16.919130325317383
2000-03-27,16.58624839782715
2000-03-28,16.191242218017578
2000-03-29,16.349390029907227
2000-03-30,16.54529571533203
2000-03-31,15.743850708007812
2000-04-03,16.865867614746094
2000-04-04,17.097396850585938
2000-04-05,16.830249786376953
2000-04-06,16.74120330810547
2000-04-07,16.59872055053711
2000-04-10,16.9014892578125
2000-04-11,17.097396850585938
2000-04-12,18.23723030090332
2000-04-13,17.68512535095215
2000-04-14,16.84805679321289
2000-04-17,17.400165557861328
2000-04-18,16.84805679321289
2000-04-19,17.23987579345703
2000-04-20,17.222074508666992
2000-04-24,17.64950180053711
2000-04-25,18.148174285888672
2000-04-26,17.791976928710938
2000-04-27,17.881032943725586
2000-04-28,18.25503158569336
2000-05-01,18.165985107421875
2000-05-02,18.344079971313477
2000-05-03,17.916650772094727
2000-05-04,17.80979347229004
2000-05-05,18.112552642822266
2000-05-08,18.023515701293945
2000-05-09,17.86322021484375
2000-05-10,17.898832321166992
2000-05-11,18.183792114257812
2000-05-12,17.916650772094727
2000-05-15,17.898832321166992
2000-05-16,18.450942993164062
2000-05-17,18.415321350097656
2000-05-18,18.023515701293945
2000-05-19,17.916650772094727
2000-05-22,17.471405029296875
2000-05-23,17.50702476501465
2000-05-24,18.23723030090332
2000-05-25,17.38235855102539
2000-05-26,16.990535736083984
2000-05-30,16.794635772705078
2000-05-31,16.54529571533203
2000-06-01,16.75901222229004
2000-06-02,16.794635772705078
2000-06-05,16.794635772705078
2000-06-06,16.68777084350586
2000-06-07,16.242528915405273
2000-06-08,16.402814865112305
2000-06-09,16.66996192932129
2000-06-12,16.269241333007812
2000-06-13,16.17129135131836
2000-06-14,16.563106536865234
2000-06-15,16.59872055053711
2000-06-16,16.678876876831055
2000-06-19,16.919294357299805
2000-06-20,15.832904815673828
2000-06-21,15.743850708007812
2000-06-22,16.028806686401367
2000-06-23,15.81510066986084
2000-06-26,15.619179725646973
2000-06-27,16.153486251831055
2000-06-28,16.55780029296875
2000-06-29,15.990532875061035
2000-06-30,16.294261932373047
2000-07-03,16.72306251525879
2000-07-05,16.472936630249023
2000-07-06,16.562259674072266
2000-07-07,16.419334411621094
2000-07-10,15.972672462463379
2000-07-11,16.705198287963867
2000-07-12,16.705198287963867
2000-07-13,16.740934371948242
2000-07-14,17.08038902282715
2000-07-17,16.383609771728516
2000-07-18,15.919075012207031
2000-07-19,16.008407592773438
2000-07-20,15.883339881896973
2000-07-21,15.776139259338379
2000-07-24,15.883339881896973
2000-07-25,16.079866409301758
2000-07-26,16.133474349975586
2000-07-27,16.383609771728516
2000-07-28,16.15134048461914
