Date,XEL
2000-01-03,6.529202938079834
2000-01-04,6.6795430183410645
2000-01-05,6.9372758865356445
2000-01-06,6.872838973999023
2000-01-07,6.872838973999023
2000-01-10,6.872838973999023
2000-01-11,6.872838973999023
2000-01-12,7.023183345794678
2000-01-13,7.001706600189209
2000-01-14,7.023183345794678
2000-01-18,6.808408260345459
2000-01-19,6.808408260345459
2000-01-20,6.743976593017578
2000-01-21,6.786931991577148
2000-01-24,6.765449523925781
2000-01-25,6.70102071762085
2000-01-26,6.572154521942139
2000-01-27,6.636587619781494
2000-01-28,6.61510705947876
2000-01-31,6.61510705947876
2000-02-01,6.61510705947876
2000-02-02,6.550675392150879
2000-02-03,6.743976593017578
2000-02-04,6.636587619781494
2000-02-07,6.550675392150879
2000-02-08,6.550675392150879
2000-02-09,6.593628406524658
2000-02-10,6.4647650718688965
2000-02-11,6.486243724822998
2000-02-14,6.443285942077637
2000-02-15,6.3358988761901855
2000-02-16,6.3573784828186035
2000-02-17,6.378856658935547
2000-02-18,6.249988079071045
2000-02-22,6.292946815490723
2000-02-23,6.207035064697266
2000-02-24,6.121123790740967
2000-02-25,6.035212516784668
2000-02-28,6.185556411743164
2000-02-29,6.035212516784668
2000-03-01,5.906347274780273
2000-03-02,5.863393783569336
2000-03-03,6.013736248016357
2000-03-06,5.648616790771484
2000-03-07,5.648616790771484
2000-03-08,5.627137660980225
2000-03-09,5.584184646606445
2000-03-10,5.713048458099365
2000-03-13,5.820436000823975
2000-03-14,6.013736248016357
2000-03-15,6.400335311889648
2000-03-16,6.851360321044922
2000-03-17,6.829885959625244
2000-03-20,6.70102071762085
2000-03-21,6.529202938079834
2000-03-22,6.378856658935547
2000-03-23,6.4647650718688965
2000-03-24,6.486243724822998
2000-03-27,6.486243724822998
2000-03-28,6.486243724822998
2000-03-29,6.572154521942139
2000-03-30,6.829885959625244
2000-03-31,6.829885959625244
2000-04-03,6.786931991577148
2000-04-04,6.980231761932373
2000-04-05,7.066139221191406
2000-04-06,6.958752155303955
2000-04-07,6.894320487976074
2000-04-10,7.15205192565918
2000-04-11,7.235291481018066
2000-04-12,7.1041388511657715
2000-04-13,7.3664469718933105
2000-04-14,7.213432312011719
2000-04-17,7.1041388511657715
