Date,LHX
2000-01-03,7.746257305145264
2000-01-04,7.447604179382324
2000-01-05,7.372946739196777
2000-01-06,7.316948413848877
2000-01-07,7.466271877288818
2000-01-10,7.466271877288818
2000-01-11,7.279616355895996
2000-01-12,7.48494291305542
2000-01-13,8.21290111541748
2000-01-14,8.735541343688965
2000-01-18,8.41822338104248
2000-01-19,8.287565231323242
2000-01-20,8.660881996154785
2000-01-21,8.604880332946777
2000-01-24,8.492886543273926
2000-01-25,8.69820785522461
2000-01-26,9.556833267211914
2000-01-27,9.762155532836914
2000-01-28,9.23951244354248
2000-01-31,8.660881996154785
2000-02-01,9.388835906982422
2000-02-02,9.202179908752441
2000-02-03,9.500835418701172
2000-02-04,9.556833267211914
2000-02-07,9.444835662841797
2000-02-08,9.519498825073242
2000-02-09,9.930146217346191
2000-02-10,9.81814956665039
2000-02-11,9.463500022888184
2000-02-14,9.575494766235352
2000-02-15,9.706156730651855
2000-02-16,9.538166046142578
2000-02-17,9.444835662841797
2000-02-18,9.407504081726074
2000-02-22,9.164851188659668
2000-02-23,9.03419017791748
2000-02-24,9.444835662841797
2000-02-25,9.42617130279541
2000-02-28,9.276844024658203
2000-02-29,9.519498825073242
2000-03-01,9.23951244354248
2000-03-02,10.191461563110352
2000-03-03,10.131644248962402
2000-03-06,10.355961799621582
2000-03-07,9.982100486755371
2000-03-08,9.963406562805176
2000-03-09,10.76720905303955
2000-03-10,10.954141616821289
2000-03-13,11.328001976013184
2000-03-14,10.673745155334473
2000-03-15,11.346692085266113
2000-03-16,11.664475440979004
2000-03-17,11.084994316101074
2000-03-20,10.879369735717773
2000-03-21,10.729825973510742
2000-03-22,11.197150230407715
2000-03-23,11.664475440979004
2000-03-24,11.309304237365723
2000-03-27,10.71113109588623
2000-03-28,10.43073558807373
2000-03-29,9.963406562805176
2000-03-30,10.038177490234375
2000-03-31,10.337274551391602
2000-04-03,9.570854187011719
2000-04-04,9.047444343566895
2000-04-05,9.290456771850586
2000-04-06,9.271763801574707
2000-04-07,9.514775276184082
2000-04-10,9.140913963317871
2000-04-11,9.028752326965332
2000-04-12,8.636198043823242
2000-04-13,8.617508888244629
2000-04-14,8.337108612060547
2000-04-17,8.35580062866211
2000-04-18,8.43057918548584
2000-04-19,8.467960357666016
2000-04-20,8.542732238769531
2000-04-24,8.262334823608398
2000-04-25,8.486651420593262
2000-04-26,9.309149742126465
2000-04-27,9.159605026245117
2000-04-28,9.664318084716797
2000-05-01,9.664318084716797
2000-05-02,9.458693504333496
2000-05-03,9.36523151397705
2000-05-04,10.299881935119629
2000-05-05,10.71113109588623
2000-05-08,10.61766529083252
2000-05-09,10.225109100341797
2000-05-10,9.533468246459961
2000-05-11,9.720399856567383
