Date,MRSH
2000-01-03,26.083248138427734
2000-01-04,24.91097640991211
2000-01-05,24.014522552490234
2000-01-06,25.629579544067383
2000-01-07,26.444040298461914
2000-01-10,26.548004150390625
2000-01-11,26.790613174438477
2000-01-12,26.56535530090332
2000-01-13,27.03322982788086
2000-01-14,28.800790786743164
2000-01-18,28.29825210571289
2000-01-19,28.523523330688477
2000-01-20,28.02098274230957
2000-01-21,28.14227867126465
2000-01-24,28.367549896240234
2000-01-25,27.98631477355957
2000-01-26,27.934335708618164
2000-01-27,27.934335708618164
2000-01-28,26.61733627319336
2000-01-31,26.062803268432617
2000-02-01,27.050561904907227
2000-02-02,26.25342559814453
2000-02-03,26.790613174438477
2000-02-04,26.807964324951172
2000-02-07,26.392059326171875
2000-02-08,26.340063095092773
2000-02-09,25.490942001342773
2000-02-10,24.208599090576172
2000-02-11,23.411474227905273
2000-02-14,23.116878509521484
2000-02-15,23.428789138793945
2000-02-16,22.943588256835938
2000-02-17,23.879348754882812
2000-02-18,22.978246688842773
2000-02-22,22.57968521118164
2000-02-23,22.4583797454834
2000-02-24,22.129119873046875
2000-02-25,21.522611618041992
2000-02-28,21.418638229370117
2000-02-29,21.453289031982422
2000-03-01,21.64389991760254
2000-03-02,22.181106567382812
2000-03-03,22.077125549316406
2000-03-06,21.626585006713867
2000-03-07,20.396238327026367
2000-03-08,20.30957794189453
2000-03-09,20.240262985229492
2000-03-10,20.67348289489746
2000-03-13,20.985414505004883
2000-03-14,22.077125549316406
2000-03-15,25.109710693359375
2000-03-16,27.605072021484375
2000-03-17,26.166778564453125
2000-03-20,25.52560806274414
2000-03-21,25.958826065063477
2000-03-22,26.305416107177734
2000-03-23,26.877277374267578
2000-03-24,26.61733627319336
2000-03-27,25.64690589904785
2000-03-28,26.236101150512695
2000-03-29,26.02815055847168
2000-03-30,28.73148536682129
2000-03-31,30.585668563842773
2000-04-03,29.44194984436035
2000-04-04,29.112709045410156
2000-04-05,28.107633590698242
2000-04-06,29.207698822021484
2000-04-07,27.937042236328125
2000-04-10,28.232959747314453
2000-04-11,28.302566528320312
2000-04-12,28.668115615844727
2000-04-13,28.494033813476562
2000-04-14,26.631582260131836
2000-04-17,25.569795608520508
2000-04-18,26.440107345581055
2000-04-19,26.213821411132812
2000-04-20,26.9274959564209
2000-04-24,26.85786247253418
2000-04-25,28.407005310058594
2000-04-26,27.850013732910156
2000-04-27,27.971845626831055
2000-04-28,27.449676513671875
2000-05-01,28.702945709228516
2000-05-02,28.44182777404785
2000-05-03,27.188587188720703
2000-05-04,27.641138076782227
2000-05-05,27.38004493713379
2000-05-08,27.850013732910156
2000-05-09,27.275604248046875
2000-05-10,26.457504272460938
2000-05-11,27.066728591918945
2000-05-12,26.75341796875
2000-05-15,29.521013259887695
2000-05-16,29.99097442626953
2000-05-17,29.834333419799805
2000-05-18,29.903953552246094
2000-05-19,29.08585548400879
2000-05-22,29.590641021728516
2000-05-23,29.225114822387695
2000-05-24,29.869138717651367
2000-05-25,29.99097442626953
2000-05-26,30.043184280395508
2000-05-30,30.930912017822266
