Date,KVUE
2023-05-04,23.809328079223633
2023-05-05,23.45528793334961
2023-05-08,23.46413803100586
2023-05-09,23.26056671142578
2023-05-10,23.234012603759766
2023-05-11,23.01273536682129
2023-05-12,23.45528793334961
2023-05-15,24.340396881103516
2023-05-16,23.92439842224121
2023-05-17,24.092561721801758
2023-05-18,23.933244705200195
2023-05-19,24.101417541503906
2023-05-22,23.074691772460938
2023-05-23,23.01273536682129
2023-05-24,23.41103172302246
2023-05-25,23.304819107055664
2023-05-26,23.278268814086914
2023-05-30,22.77375602722168
2023-05-31,22.207292556762695
2023-06-01,22.375459671020508
2023-06-02,22.61444091796875
2023-06-05,22.260395050048828
2023-06-06,22.27809715270996
2023-06-07,22.19843864440918
2023-06-08,22.224992752075195
2023-06-09,22.21613883972168
2023-06-12,22.145336151123047
2023-06-13,22.242692947387695
2023-06-14,22.42856788635254
2023-06-15,22.791460037231445
2023-06-16,23.234012603759766
2023-06-20,23.065845489501953
2023-06-21,23.189756393432617
2023-06-22,23.499540328979492
2023-06-23,23.43758773803711
2023-06-26,23.1455020904541
2023-06-27,22.915374755859375
2023-06-28,22.835716247558594
2023-06-29,23.00388526916504
2023-06-30,23.38448143005371
2023-07-03,23.048141479492188
2023-07-05,22.747207641601562
2023-07-06,22.6763973236084
2023-07-07,22.32235336303711
2023-07-10,22.348909378051758
2023-07-11,22.19843864440918
2023-07-12,22.348909378051758
2023-07-13,22.481672286987305
2023-07-14,22.07452392578125
2023-07-17,22.0302677154541
2023-07-18,21.959461212158203
2023-07-19,22.12763023376465
2023-07-20,21.693931579589844
2023-07-21,21.251379013061523
2023-07-24,21.38414192199707
2023-07-25,22.23384666442871
2023-07-26,21.85325050354004
2023-07-27,21.45494842529297
2023-07-28,21.596567153930664
2023-07-31,20.959293365478516
2023-08-01,20.932735443115234
2023-08-02,21.154008865356445
2023-08-03,21.233675003051758
2023-08-04,20.826522827148438
2023-08-07,20.835378646850586
2023-08-08,20.69375991821289
2023-08-09,20.667203903198242
