Date,DOC
2000-01-03,2.199445962905884
2000-01-04,2.193701982498169
2000-01-05,2.233901262283325
2000-01-06,2.314298391342163
2000-01-07,2.3659827709198
2000-01-10,2.377469539642334
2000-01-11,2.348754405975342
2000-01-12,2.371725559234619
2000-01-13,2.388953447341919
2000-01-14,2.371725559234619
2000-01-18,2.314298391342163
2000-01-19,2.3544979095458984
2000-01-20,2.3659827709198
2000-01-21,2.388953447341919
2000-01-24,2.348754405975342
2000-01-25,2.3659827709198
2000-01-26,2.3659827709198
2000-01-27,2.3832101821899414
2000-01-28,2.325782299041748
2000-01-31,2.348754405975342
2000-02-01,2.3636460304260254
2000-02-02,2.3754658699035645
2000-02-03,2.3695549964904785
2000-02-04,2.3754658699035645
2000-02-07,2.3636460304260254
2000-02-08,2.3695549964904785
2000-02-09,2.3636460304260254
2000-02-10,2.3695549964904785
2000-02-11,2.3400094509124756
2000-02-14,2.298644781112671
2000-02-15,2.3104641437530518
2000-02-16,2.286827325820923
2000-02-17,2.3518283367156982
2000-02-18,2.316373348236084
2000-02-22,2.3340985774993896
2000-02-23,2.2927372455596924
2000-02-24,2.2395548820495605
2000-02-25,2.304556131362915
2000-02-28,2.3518283367156982
2000-02-29,2.3518283367156982
2000-03-01,2.3222835063934326
2000-03-02,2.3340985774993896
2000-03-03,2.3340985774993896
2000-03-06,2.3222835063934326
2000-03-07,2.316373348236084
2000-03-08,2.3281919956207275
2000-03-09,2.3281919956207275
2000-03-10,2.316373348236084
2000-03-13,2.3222835063934326
2000-03-14,2.3222835063934326
2000-03-15,2.3459174633026123
2000-03-16,2.4109184741973877
2000-03-17,2.4345552921295166
2000-03-20,2.4404637813568115
2000-03-21,2.4463744163513184
2000-03-22,2.4168286323547363
2000-03-23,2.4109184741973877
2000-03-24,2.4109184741973877
2000-03-27,2.4109184741973877
2000-03-28,2.4109184741973877
2000-03-29,2.3931899070739746
2000-03-30,2.387282371520996
2000-03-31,2.4050092697143555
2000-04-03,2.387282371520996
2000-04-04,2.3636460304260254
2000-04-05,2.387282371520996
2000-04-06,2.3695549964904785
2000-04-07,2.381373167037964
2000-04-10,2.387282371520996
2000-04-11,2.3991007804870605
2000-04-12,2.487736701965332
2000-04-13,2.4581918716430664
2000-04-14,2.487736701965332
2000-04-17,2.5291011333465576
2000-04-18,2.5586471557617188
2000-04-19,2.552736759185791
2000-04-20,2.5645558834075928
2000-04-24,2.5881922245025635
2000-04-25,2.605919361114502
2000-04-26,2.5941011905670166
2000-04-27,2.635465621948242
2000-04-28,2.635465621948242
2000-05-01,2.663862705230713
2000-05-02,2.621387481689453
2000-05-03,2.621387481689453
2000-05-04,2.6153194904327393
2000-05-05,2.639592409133911
2000-05-08,2.621387481689453
2000-05-09,2.621387481689453
2000-05-10,2.621387481689453
2000-05-11,2.682068109512329
2000-05-12,2.6456587314605713
2000-05-15,2.639592409133911
2000-05-16,2.6577963829040527
2000-05-17,2.6092514991760254
2000-05-18,2.5971152782440186
2000-05-19,2.6092514991760254
2000-05-22,2.6577963829040527
2000-05-23,2.627455472946167
2000-05-24,2.6517269611358643
2000-05-25,2.621387481689453
2000-05-26,2.6153194904327393
2000-05-30,2.6335246562957764
2000-05-31,2.591046094894409
2000-06-01,2.6456587314605713
2000-06-02,2.6699304580688477
2000-06-05,2.639592409133911
2000-06-06,2.6456587314605713
2000-06-07,2.682068109512329
2000-06-08,2.6699304580688477
2000-06-09,2.675999879837036
2000-06-12,2.675999879837036
2000-06-13,2.7002711296081543
2000-06-14,2.730611562728882
2000-06-15,2.7427477836608887
2000-06-16,2.7488155364990234
2000-06-19,2.773088216781616
2000-06-20,2.809495687484741
2000-06-21,2.791292190551758
2000-06-22,2.767019748687744
2000-06-23,2.7488155364990234
2000-06-26,2.779155969619751
2000-06-27,2.791292190551758
2000-06-28,2.815563678741455
2000-06-29,2.7852230072021484
2000-06-30,2.644144058227539
2000-07-03,2.7427477836608887
2000-07-05,2.7852230072021484
2000-07-06,2.815563678741455
2000-07-07,2.821632146835327
2000-07-10,2.821632146835327
2000-07-11,2.821632146835327
2000-07-12,2.821632146835327
2000-07-13,2.827700614929199
2000-07-14,2.821632146835327
2000-07-17,2.827700614929199
2000-07-18,2.815563678741455
2000-07-19,2.809495687484741
2000-07-20,2.84590482711792
2000-07-21,2.815563678741455
2000-07-24,2.80342698097229
2000-07-25,2.80342698097229
2000-07-26,2.815563678741455
2000-07-27,2.827700614929199
2000-07-28,2.815563678741455
2000-07-31,2.888378620147705
2000-08-01,2.8936076164245605
2000-08-02,2.881162405014038
2000-08-03,2.862494468688965
2000-08-04,2.8438258171081543
2000-08-07,2.856269598007202
2000-08-08,2.8251566886901855
2000-08-09,2.7878189086914062
2000-08-10,2.781597375869751
2000-08-11,2.7878189086914062
2000-08-14,2.781597375869751
2000-08-15,2.775374412536621
2000-08-16,2.7940430641174316
2000-08-17,2.775374412536621
2000-08-18,2.781597375869751
2000-08-21,2.762927770614624
2000-08-22,2.706923723220825
2000-08-23,2.731813669204712
2000-08-24,2.694478750228882
2000-08-25,2.706923723220825
2000-08-28,2.6882553100585938
2000-08-29,2.6322498321533203
2000-08-30,2.626027822494507
2000-08-31,2.638472318649292
2000-09-01,2.626027822494507
2000-09-05,2.706923723220825
2000-09-06,2.800264835357666
2000-09-07,2.8438258171081543
2000-09-08,2.8251566886901855
2000-09-11,2.8127105236053467
2000-09-12,2.8189337253570557
2000-09-13,2.8064892292022705
2000-09-14,2.8251566886901855
2000-09-15,2.7878189086914062
2000-09-18,2.7940430641174316
2000-09-19,2.862494468688965
2000-09-20,2.862494468688965
2000-09-21,2.856269598007202
2000-09-22,2.8998310565948486
2000-09-25,2.9060516357421875
2000-09-26,2.8936076164245605
2000-09-27,2.9247214794158936
2000-09-28,3.036733388900757
2000-09-29,2.949611186981201
2000-10-02,2.8873841762542725
2000-10-03,2.856269598007202
2000-10-04,2.881162405014038
2000-10-05,2.868715524673462
2000-10-06,2.868715524673462
2000-10-09,2.8749372959136963
2000-10-10,2.912275552749634
2000-10-11,2.943390130996704
2000-10-12,2.9247214794158936
2000-10-13,2.949611186981201
2000-10-16,2.8936076164245605
2000-10-17,2.8749372959136963
2000-10-18,2.9309446811676025
2000-10-19,2.9309446811676025
2000-10-20,2.9060516357421875
2000-10-23,2.8936076164245605
2000-10-24,2.862494468688965
2000-10-25,2.8438258171081543
2000-10-26,2.881162405014038
2000-10-27,2.881162405014038
2000-10-30,2.9247214794158936
2000-10-31,2.9247214794158936
2000-11-01,2.8991775512695312
2000-11-02,2.924722194671631
2000-11-03,2.880021572113037
2000-11-06,2.8544788360595703
2000-11-07,2.8736348152160645
2000-11-08,2.880021572113037
2000-11-09,2.880021572113037
2000-11-10,2.8225481510162354
2000-11-13,2.886406183242798
2000-11-14,2.8736348152160645
2000-11-15,2.880021572113037
2000-11-16,2.8672499656677246
2000-11-17,2.9119486808776855
2000-11-20,2.9055628776550293
2000-11-21,2.9183361530303955
2000-11-22,2.8991775512695312
2000-11-24,2.880021572113037
2000-11-27,2.8544788360595703
2000-11-28,2.816162109375
2000-11-29,2.790618658065796
2000-11-30,2.7842330932617188
2000-12-01,2.80977463722229
2000-12-04,2.80977463722229
2000-12-05,2.8991775512695312
2000-12-06,2.880021572113037
2000-12-07,2.841705799102783
2000-12-08,2.93110728263855
2000-12-11,2.9183361530303955
2000-12-12,2.8672499656677246
2000-12-13,2.841705799102783
2000-12-14,2.8289339542388916
2000-12-15,2.8544788360595703
2000-12-18,2.924722194671631
2000-12-19,2.8927931785583496
2000-12-20,2.9055628776550293
2000-12-21,2.9183361530303955
2000-12-22,2.9630351066589355
2000-12-26,2.9502644538879395
2000-12-27,2.975808620452881
2000-12-28,3.058823585510254
2000-12-29,3.052438735961914
2001-01-02,3.020509958267212
2001-01-03,3.1354551315307617
2001-01-04,3.160998582839966
2001-01-05,3.141840696334839
2001-01-08,3.244013786315918
2001-01-09,3.237628221511841
2001-01-10,3.2567849159240723
2001-01-11,3.2631709575653076
2001-01-12,3.2567849159240723
2001-01-16,3.2631709575653076
2001-01-17,3.2631709575653076
2001-01-18,3.275944471359253
2001-01-19,3.2823286056518555
2001-01-22,3.275944471359253
2001-01-23,3.2951011657714844
2001-01-24,3.3014883995056152
2001-01-25,3.2951011657714844
2001-01-26,3.2567849159240723
2001-01-29,3.2787539958953857
2001-01-30,3.2838618755340576
2001-01-31,3.2429919242858887
2001-02-01,3.2764906883239746
2001-02-02,3.2367124557495117
2001-02-05,3.2346179485321045
2001-02-06,3.286957263946533
2001-02-07,3.258695125579834
2001-02-08,3.22729229927063
2001-02-09,3.2157750129699707
2001-02-12,3.2764906883239746
2001-02-13,3.207401752471924
2001-02-14,3.2429914474487305
2001-02-15,3.2639293670654297
2001-02-16,3.250319242477417
2001-02-20,3.2723026275634766
2001-02-21,3.271256446838379
2001-02-22,3.262880563735962
2001-02-23,3.261835813522339
2001-02-26,3.2660231590270996
2001-02-27,3.2189159393310547
2001-02-28,3.2775378227233887
2001-03-01,3.3340632915496826
2001-03-02,3.412574291229248
2001-03-05,3.4230430126190186
2001-03-06,3.3968725204467773
2001-03-07,3.4324636459350586
2001-03-08,3.4858508110046387
2001-03-09,3.4366514682769775
2001-03-12,3.476428985595703
2001-03-13,3.4963176250457764
2001-03-14,3.4376964569091797
2001-03-15,3.421996831893921
2001-03-16,3.4021058082580566
2001-03-19,3.5067858695983887
2001-03-20,3.4021058082580566
2001-03-21,3.4753830432891846
2001-03-22,3.500505208969116
2001-03-23,3.562268018722534
2001-03-26,3.6114673614501953
2001-03-27,3.5779688358306885
2001-03-28,3.5434272289276123
2001-03-29,3.5486576557159424
2001-03-30,3.5507519245147705
2001-04-02,3.5905299186706543
2001-04-03,3.585297107696533
2001-04-04,3.585297107696533
2001-04-05,3.614607810974121
2001-04-06,3.555988073348999
2001-04-09,3.6114673614501953
2001-04-10,3.5842525959014893
2001-04-11,3.5905299186706543
2001-04-12,3.622982978820801
2001-04-16,3.598904848098755
2001-04-17,3.632401943206787
2001-04-18,3.6638083457946777
2001-04-19,3.658571481704712
2001-04-20,3.5612215995788574
2001-04-23,3.580061197280884
2001-04-24,3.621934652328491
2001-04-25,3.7266159057617188
2001-04-26,3.7674400806427
2001-04-27,3.841762065887451
2001-04-30,3.77895450592041
2001-05-01,3.763979911804199
2001-05-02,3.7350986003875732
2001-05-03,3.7393791675567627
2001-05-04,3.806762933731079
2001-05-07,3.820669412612915
2001-05-08,3.722266435623169
2001-05-09,3.7329611778259277
2001-05-10,3.722266435623169
2001-05-11,3.7137081623077393
2001-05-14,3.6880383491516113
2001-05-15,3.720126152038574
2001-05-16,3.6901779174804688
2001-05-17,3.6901779174804688
2001-05-18,3.716918706893921
2001-05-21,3.7158493995666504
2001-05-22,3.7179861068725586
2001-05-23,3.7211954593658447
2001-05-24,3.7308239936828613
2001-05-25,3.7137081623077393
2001-05-29,3.6944546699523926
2001-05-30,3.6473915576934814
2001-05-31,3.6495325565338135
2001-06-01,3.6965932846069336
2001-06-04,3.7308239936828613
2001-06-05,3.7383103370666504
2001-06-06,3.7137081623077393
2001-06-07,3.7276148796081543
2001-06-08,3.7115678787231445
2001-06-11,3.770399332046509
2001-06-12,3.800346612930298
2001-06-13,3.7736072540283203
2001-06-14,3.815321922302246
2001-06-15,3.807835578918457
2001-06-18,3.859177350997925
2001-06-19,3.8270864486694336
2001-06-20,3.8720109462738037
2001-06-21,3.82174015045166
2001-06-22,3.7853736877441406
2001-06-25,3.7436587810516357
2001-06-26,3.802487373352051
2001-06-27,3.765049695968628
2001-06-28,3.791790246963501
2001-06-29,3.679480791091919
2001-07-02,3.789652109146118
2001-07-03,3.82174015045166
2001-07-05,3.796067237854004
2001-07-06,3.780024766921997
2001-07-09,3.7607710361480713
2001-07-10,3.7564940452575684
2001-07-11,3.7554261684417725
2001-07-12,3.7693302631378174
2001-07-13,3.7885806560516357
2001-07-16,3.807835578918457
2001-07-17,3.8634517192840576
2001-07-18,3.855968475341797
2001-07-19,3.829228401184082
2001-07-20,3.7971389293670654
2001-07-23,3.7821643352508545
2001-07-24,3.7832343578338623
2001-07-25,3.796067237854004
2001-07-26,3.850621223449707
2001-07-27,3.81960129737854
2001-07-30,3.802487373352051
2001-07-31,3.8163912296295166
2001-08-01,3.8207662105560303
2001-08-02,3.826232433319092
2001-08-03,3.8218588829040527
2001-08-06,3.8152966499328613
2001-08-07,3.8152966499328613
2001-08-08,3.826232433319092
2001-08-09,3.8273277282714844
2001-08-10,3.8251426219940186
2001-08-13,3.8273277282714844
2001-08-14,3.8273277282714844
2001-08-15,3.8437280654907227
2001-08-16,3.826232433319092
2001-08-17,3.826232433319092
