Date,IP
2000-01-03,20.405858993530273
2000-01-04,19.900318145751953
2000-01-05,20.589698791503906
2000-01-06,21.003318786621094
2000-01-07,21.55483627319336
2000-01-10,21.50887107849121
2000-01-11,20.520763397216797
2000-01-12,20.17606544494629
2000-01-13,20.17606544494629
2000-01-14,20.543739318847656
2000-01-18,19.187950134277344
2000-01-19,19.302845001220703
2000-01-20,18.636430740356445
2000-01-21,18.429616928100586
2000-01-24,17.832143783569336
2000-01-25,17.556386947631836
2000-01-26,17.740234375
2000-01-27,17.57937240600586
2000-01-28,17.602354049682617
2000-01-31,17.51042938232422
2000-02-01,17.671297073364258
2000-02-02,17.533411026000977
2000-02-03,17.0048828125
2000-02-04,16.775087356567383
2000-02-07,16.384431838989258
2000-02-08,16.545305252075195
2000-02-09,15.855902671813965
2000-02-10,16.08570098876953
2000-02-11,15.695045471191406
2000-02-14,15.603126525878906
2000-02-15,16.01675796508789
2000-02-16,15.970541954040527
2000-02-17,15.716300010681152
2000-02-18,14.999817848205566
2000-02-22,15.346508026123047
2000-02-23,14.88426685333252
2000-02-24,13.982878684997559
2000-02-25,13.31263256072998
2000-02-28,13.266411781311035
2000-02-29,13.613086700439453
2000-03-01,13.197078704833984
2000-03-02,12.989058494567871
2000-03-03,13.428194999694824
2000-03-06,12.919720649719238
2000-03-07,12.341920852661133
2000-03-08,13.318412780761719
2000-03-09,12.850383758544922
2000-03-10,13.358855247497559
2000-03-13,13.31263256072998
2000-03-14,12.642380714416504
2000-03-15,13.54375171661377
2000-03-16,14.861146926879883
2000-03-17,14.075335502624512
2000-03-20,14.052218437194824
2000-03-21,14.4451322555542
2000-03-22,13.77487850189209
2000-03-23,14.468244552612305
2000-03-24,14.583802223205566
2000-03-27,14.190897941589355
2000-03-28,13.93665885925293
2000-03-29,13.988658905029297
2000-03-30,14.838035583496094
2000-03-31,15.808747291564941
2000-04-03,15.83186149597168
2000-04-04,15.369611740112305
2000-04-05,14.88426685333252
2000-04-06,14.930479049682617
2000-04-07,14.653143882751465
2000-04-10,15.762523651123047
2000-04-11,15.970541954040527
2000-04-12,16.132322311401367
2000-04-13,15.785637855529785
2000-04-14,14.838035583496094
2000-04-17,14.791817665100098
2000-04-18,15.115382194519043
2000-04-19,14.699357986450195
2000-04-20,14.468244552612305
2000-04-24,14.791817665100098
2000-04-25,13.77487850189209
2000-04-26,13.821098327636719
2000-04-27,13.844216346740723
2000-04-28,13.589978218078613
2000-05-01,13.682419776916504
2000-05-02,14.214007377624512
2000-05-03,13.982878684997559
2000-05-04,13.682419776916504
2000-05-05,14.12155818939209
2000-05-08,14.144665718078613
2000-05-09,13.77487850189209
2000-05-10,13.613086700439453
2000-05-11,13.613086700439453
2000-05-12,13.624651908874512
2000-05-15,14.88426685333252
2000-05-16,14.468244552612305
2000-05-17,14.538026809692383
2000-05-18,14.514769554138184
2000-05-19,14.607810020446777
2000-05-22,14.212380409240723
2000-05-23,13.723896026611328
2000-05-24,13.235422134399414
2000-05-25,12.723687171936035
2000-05-26,12.537596702575684
2000-05-30,13.142375946044922
2000-05-31,12.956292152404785
2000-06-01,12.653899192810059
2000-06-02,12.933029174804688
2000-06-05,13.049334526062012
2000-06-06,12.677156448364258
2000-06-07,12.43292236328125
2000-06-08,12.584111213684082
2000-06-09,12.444544792175293
2000-06-12,12.584111213684082
2000-06-13,12.258466720581055
2000-06-14,12.700422286987305
2000-06-15,12.188681602478027
2000-06-16,12.281726837158203
2000-06-19,11.909550666809082
2000-06-20,11.83977222442627
2000-06-21,11.676945686340332
2000-06-22,11.769989013671875
2000-06-23,11.583903312683105
2000-06-26,11.09542465209961
2000-06-27,11.118684768676758
2000-06-28,11.269877433776855
2000-06-29,11.397811889648438
2000-06-30,11.09542465209961
2000-07-03,11.514115333557129
2000-07-05,11.583903312683105
2000-07-06,11.444334030151367
2000-07-07,11.700206756591797
2000-07-10,12.002594947814941
2000-07-11,12.839981079101562
2000-07-12,13.258682250976562
2000-07-13,13.514551162719727
2000-07-14,13.328466415405273
2000-07-17,13.409880638122559
2000-07-18,13.142375946044922
2000-07-19,12.886506080627441
2000-07-20,12.677156448364258
2000-07-21,12.933029174804688
2000-07-24,12.933029174804688
2000-07-25,12.723687171936035
