Date,EL
2000-01-03,18.315704345703125
2000-01-04,17.992353439331055
2000-01-05,17.386062622070312
2000-01-06,17.89995574951172
2000-01-07,18.52357292175293
2000-01-10,19.12408447265625
2000-01-11,18.63905143737793
2000-01-12,18.546669006347656
2000-01-13,18.61595916748047
2000-01-14,19.470539093017578
2000-01-18,19.655311584472656
2000-01-19,19.84008026123047
2000-01-20,19.84008026123047
2000-01-21,19.770790100097656
2000-01-24,19.955570220947266
2000-01-25,20.00176239013672
2000-01-26,20.417495727539062
2000-01-27,19.655311584472656
2000-01-28,19.193376541137695
2000-01-31,18.893117904663086
2000-02-01,19.12408447265625
2000-02-02,19.00859832763672
2000-02-03,19.147186279296875
2000-02-04,18.77763557434082
2000-02-07,18.61595916748047
2000-02-08,18.477378845214844
2000-02-09,18.63905143737793
2000-02-10,18.431182861328125
2000-02-11,18.384986877441406
2000-02-14,18.246397018432617
2000-02-15,18.454280853271484
2000-02-16,18.454280853271484
2000-02-17,18.84691619873047
2000-02-18,18.893117904663086
2000-02-22,19.077884674072266
2000-02-23,18.84691619873047
2000-02-24,17.876867294311523
2000-02-25,17.160860061645508
2000-02-28,16.976078033447266
2000-02-29,16.02911949157715
2000-03-01,16.629640579223633
2000-03-02,16.46796226501465
2000-03-03,16.906797409057617
2000-03-06,16.652746200561523
2000-03-07,15.243834495544434
2000-03-08,15.56718921661377
2000-03-09,15.890546798706055
2000-03-10,14.781905174255371
2000-03-13,14.874287605285645
2000-03-14,15.008414268493652
2000-03-15,16.65031623840332
2000-03-16,17.4597110748291
2000-03-17,16.627201080322266
2000-03-20,16.51157569885254
2000-03-21,17.20533561706543
2000-03-22,17.945348739624023
2000-03-23,18.639108657836914
2000-03-24,17.945348739624023
2000-03-27,16.92783546447754
2000-03-28,17.945348739624023
2000-03-29,18.130359649658203
2000-03-30,18.685361862182617
2000-03-31,18.52348518371582
2000-04-03,18.754741668701172
2000-04-04,18.754741668701172
2000-04-05,19.51786994934082
2000-04-06,19.471628189086914
2000-04-07,19.726001739501953
2000-04-10,19.864761352539062
2000-04-11,19.00912094116211
2000-04-12,18.985992431640625
2000-04-13,19.217248916625977
2000-04-14,17.390331268310547
2000-04-17,17.899091720581055
2000-04-18,17.390331268310547
2000-04-19,17.159082412719727
2000-04-20,17.251583099365234
2000-04-24,16.881580352783203
2000-04-25,16.164691925048828
2000-04-26,15.609675407409668
2000-04-27,15.70217514038086
2000-04-28,16.349699020385742
2000-05-01,16.095308303833008
2000-05-02,16.419071197509766
2000-05-03,16.049060821533203
2000-05-04,15.93343448638916
2000-05-05,15.93343448638916
2000-05-08,15.840928077697754
2000-05-09,15.93343448638916
2000-05-10,16.46532440185547
2000-05-11,17.02033233642578
2000-05-12,16.997203826904297
2000-05-15,17.02033233642578
2000-05-16,17.598464965820312
2000-05-17,17.85283851623535
2000-05-18,18.33847999572754
2000-05-19,16.904705047607422
2000-05-22,16.696571350097656
2000-05-23,15.77155590057373
2000-05-24,15.748422622680664
2000-05-25,16.187808990478516
2000-05-26,16.37281036376953
2000-05-30,16.673446655273438
2000-05-31,16.58094596862793
2000-06-01,16.904705047607422
2000-06-02,17.505958557128906
2000-06-05,17.320959091186523
2000-06-06,17.112834930419922
2000-06-07,16.81219482421875
2000-06-08,16.92783546447754
2000-06-09,17.228458404541016
2000-06-12,17.505958557128906
2000-06-13,17.344091415405273
2000-06-14,17.40890884399414
2000-06-15,17.385753631591797
2000-06-16,17.362607955932617
2000-06-19,16.945907592773438
2000-06-20,16.64495277404785
2000-06-21,16.73755645751953
2000-06-22,16.482900619506836
2000-06-23,16.992202758789062
2000-06-26,16.80699920654297
2000-06-27,17.709857940673828
2000-06-28,17.82561492919922
2000-06-29,17.91820526123047
2000-06-30,18.305978775024414
2000-07-03,18.242307662963867
2000-07-05,18.14971923828125
2000-07-06,17.733003616333008
2000-07-07,17.802459716796875
2000-07-10,17.570960998535156
2000-07-11,17.31631088256836
2000-07-12,16.69125747680664
2000-07-13,16.367156982421875
2000-07-14,16.621807098388672
2000-07-17,16.27454948425293
2000-07-18,16.575504302978516
2000-07-19,16.529207229614258
2000-07-20,16.459745407104492
2000-07-21,16.621807098388672
2000-07-24,16.621807098388672
2000-07-25,16.922754287719727
2000-07-26,16.992202758789062
2000-07-27,16.64495277404785
2000-07-28,16.529207229614258
2000-07-31,16.297697067260742
2000-08-01,16.575504302978516
2000-08-02,16.853296279907227
2000-08-03,16.783857345581055
2000-08-04,16.668094635009766
2000-08-07,16.205093383789062
2000-08-08,16.251405715942383
2000-08-09,16.506046295166016
2000-08-10,16.64495277404785
2000-08-11,16.714401245117188
2000-08-14,17.038503646850586
2000-08-15,16.69125747680664
2000-08-16,16.181947708129883
2000-08-17,15.904147148132324
2000-08-18,15.927300453186035
2000-08-21,15.649494171142578
2000-08-22,15.69579792022705
2000-08-23,15.649494171142578
2000-08-24,15.556896209716797
2000-08-25,15.603194236755371
2000-08-28,15.533742904663086
2000-08-29,15.487439155578613
2000-08-30,15.39484691619873
2000-08-31,15.163344383239746
2000-09-01,15.487439155578613
2000-09-05,15.603194236755371
2000-09-06,15.37169075012207
2000-09-07,15.580048561096191
2000-09-08,15.348546028137207
2000-09-11,15.76524543762207
2000-09-12,15.742094039916992
2000-09-13,15.714287757873535
2000-09-14,15.250731468200684
2000-09-15,14.972613334655762
2000-09-18,14.601762771606445
2000-09-19,14.138216018676758
2000-09-20,13.280653953552246
2000-09-21,13.025705337524414
2000-09-22,13.836912155151367
2000-09-25,13.836912155151367
2000-09-26,13.396540641784668
2000-09-27,13.350189208984375
2000-09-28,13.883268356323242
2000-09-29,13.581957817077637
2000-10-02,13.581957817077637
2000-10-03,13.442902565002441
2000-10-04,13.651493072509766
2000-10-05,14.138216018676758
2000-10-06,13.883268356323242
2000-10-09,13.860088348388672
2000-10-10,13.860088348388672
2000-10-11,13.535600662231445
2000-10-12,13.118415832519531
2000-10-13,13.025705337524414
2000-10-16,13.419727325439453
2000-10-17,13.118415832519531
2000-10-18,13.025705337524414
2000-10-19,13.605135917663574
2000-10-20,13.975979804992676
2000-10-23,13.836912155151367
2000-10-24,15.134855270385742
2000-10-25,16.015592575073242
2000-10-26,15.899699211120605
2000-10-27,16.34007453918457
2000-10-30,16.68773078918457
2000-10-31,17.220813751220703
2000-11-01,17.058574676513672
2000-11-02,16.826793670654297
2000-11-03,16.757266998291016
2000-11-06,16.66455841064453
2000-11-07,16.131479263305664
2000-11-08,16.965864181518555
2000-11-09,16.618206024169922
2000-11-10,16.27054214477539
