Date,TMO
2000-01-03,12.208559036254883
2000-01-04,11.75073528289795
2000-01-05,11.852477073669434
2000-01-06,11.852477073669434
2000-01-07,12.005081176757812
2000-01-10,11.903346061706543
2000-01-11,12.005081176757812
2000-01-12,11.699869155883789
2000-01-13,12.106818199157715
2000-01-14,11.903346061706543
2000-01-18,11.75073528289795
2000-01-19,11.598130226135254
2000-01-20,11.801604270935059
2000-01-21,11.75073528289795
2000-01-24,11.903346061706543
2000-01-25,12.005081176757812
2000-01-26,12.666378021240234
2000-01-27,13.429412841796875
2000-01-28,13.22593879699707
2000-01-31,14.09070873260498
2000-02-01,14.395923614501953
2000-02-02,14.14157772064209
2000-02-03,14.294183731079102
2000-02-04,14.192447662353516
2000-02-07,14.192447662353516
2000-02-08,13.734630584716797
2000-02-09,13.4802827835083
2000-02-10,13.22593879699707
2000-02-11,13.124199867248535
2000-02-14,13.327677726745605
2000-02-15,13.53115177154541
2000-02-16,13.378544807434082
2000-02-17,12.971593856811523
2000-02-18,12.768115997314453
2000-02-22,13.429412841796875
2000-02-23,13.327677726745605
2000-02-24,13.073332786560059
2000-02-25,12.666378021240234
2000-02-28,12.71724796295166
2000-02-29,12.71724796295166
2000-03-01,14.03984260559082
2000-03-02,16.37981414794922
2000-03-03,17.85501480102539
2000-03-06,17.549802780151367
2000-03-07,19.53369140625
2000-03-08,21.364974975585938
2000-03-09,21.059762954711914
2000-03-10,21.008892059326172
2000-03-13,20.347597122192383
2000-03-14,18.668922424316406
2000-03-15,18.567188262939453
2000-03-16,18.77065086364746
2000-03-17,18.261962890625
2000-03-20,18.1093692779541
2000-03-21,17.041114807128906
2000-03-22,17.041114807128906
2000-03-23,17.85501480102539
2000-03-24,17.80415153503418
2000-03-27,17.346323013305664
2000-03-28,16.786771774291992
2000-03-29,16.023740768432617
2000-03-30,15.972867965698242
2000-03-31,16.58329200744629
2000-04-03,16.27808380126953
2000-04-04,15.871125221252441
2000-04-05,16.125471115112305
2000-04-06,16.37981414794922
2000-04-07,17.448060989379883
2000-04-10,17.142847061157227
2000-04-11,16.786771774291992
2000-04-12,16.125471115112305
2000-04-13,16.023740768432617
2000-04-14,15.057215690612793
2000-04-17,15.006349563598633
2000-04-18,15.51504135131836
2000-04-19,15.51504135131836
2000-04-20,15.616779327392578
2000-04-24,15.311568260192871
2000-04-25,16.17633819580078
2000-04-26,16.17633819580078
2000-04-27,15.871125221252441
2000-04-28,15.769387245178223
2000-05-01,15.769387245178223
2000-05-02,16.27808380126953
2000-05-03,15.667647361755371
2000-05-04,15.921992301940918
2000-05-05,16.27808380126953
2000-05-08,15.71851634979248
2000-05-09,15.362433433532715
2000-05-10,14.701132774353027
2000-05-11,15.26069450378418
2000-05-12,15.20982837677002
2000-05-15,15.20982837677002
2000-05-16,15.565911293029785
2000-05-17,15.565911293029785
2000-05-18,15.71851634979248
2000-05-19,15.311568260192871
2000-05-22,15.311568260192871
2000-05-23,15.108089447021484
2000-05-24,14.751999855041504
2000-05-25,14.853747367858887
2000-05-26,14.599400520324707
2000-05-30,15.158960342407227
2000-05-31,15.108089447021484
2000-06-01,15.616779327392578
2000-06-02,15.820262908935547
2000-06-05,15.667647361755371
2000-06-06,15.616779327392578
2000-06-07,15.71851634979248
2000-06-08,15.413308143615723
2000-06-09,15.362433433532715
2000-06-12,15.26069450378418
2000-06-13,15.20982837677002
2000-06-14,15.158960342407227
2000-06-15,15.108089447021484
2000-06-16,14.701132774353027
2000-06-19,15.362433433532715
2000-06-20,15.51504135131836
2000-06-21,15.921992301940918
2000-06-22,15.464179039001465
2000-06-23,15.71851634979248
2000-06-26,16.634153366088867
2000-06-27,17.549802780151367
2000-06-28,17.715124130249023
2000-06-29,17.346323013305664
2000-06-30,17.142847061157227
2000-07-03,17.85501480102539
2000-07-05,18.00762176513672
2000-07-06,19.02501106262207
2000-07-07,19.126741409301758
2000-07-10,19.53369140625
2000-07-11,19.126741409301758
2000-07-12,18.36370849609375
2000-07-13,18.8215274810791
2000-07-14,19.02501106262207
2000-07-17,18.643484115600586
2000-07-18,18.97412872314453
2000-07-19,18.668922424316406
2000-07-20,18.923263549804688
2000-07-21,18.261962890625
2000-07-24,17.549802780151367
2000-07-25,17.60067367553711
2000-07-26,16.786771774291992
2000-07-27,16.634153366088867
2000-07-28,16.634153366088867
2000-07-31,16.88849639892578
2000-08-01,17.346323013305664
2000-08-02,18.567188262939453
2000-08-03,18.1093692779541
2000-08-04,18.31283187866211
2000-08-07,17.702404022216797
2000-08-08,17.702404022216797
2000-08-09,17.244583129882812
2000-08-10,16.93937873840332
2000-08-11,16.735897064208984
2000-08-14,16.850345611572266
2000-08-15,16.634153366088867
2000-08-16,16.328947067260742
2000-08-17,17.19371795654297
2000-08-18,17.244583129882812
2000-08-21,17.80415153503418
2000-08-22,18.872392654418945
2000-08-23,18.668922424316406
2000-08-24,18.567188262939453
2000-08-25,18.719783782958984
2000-08-28,18.8215274810791
2000-08-29,18.77065086364746
2000-08-30,18.719783782958984
2000-08-31,18.8215274810791
2000-09-01,19.33022117614746
2000-09-05,19.482826232910156
2000-09-06,19.53369140625
2000-09-07,19.635435104370117
2000-09-08,18.923263549804688
2000-09-11,19.228473663330078
2000-09-12,19.73716926574707
2000-09-13,19.482826232910156
2000-09-14,20.398468017578125
2000-09-15,21.008892059326172
2000-09-18,21.263246536254883
2000-09-19,20.398468017578125
2000-09-20,20.551069259643555
2000-09-21,20.551069259643555
2000-09-22,20.296724319458008
2000-09-25,20.703683853149414
2000-09-26,21.466716766357422
2000-09-27,21.008892059326172
2000-09-28,21.924528121948242
2000-09-29,21.16150665283203
2000-10-02,22.585834503173828
2000-10-03,22.229740142822266
2000-10-04,21.8736629486084
2000-10-05,22.077136993408203
2000-10-06,21.5175838470459
2000-10-09,21.619321823120117
2000-10-10,21.466716766357422
2000-10-11,20.958017349243164
2000-10-12,21.771930694580078
2000-10-13,21.619321823120117
2000-10-16,21.771930694580078
2000-10-17,21.364974975585938
2000-10-18,20.601940155029297
2000-10-19,21.314117431640625
2000-10-20,21.314117431640625
2000-10-23,21.212364196777344
2000-10-24,21.263246536254883
2000-10-25,20.4493350982666
2000-10-26,19.838911056518555
2000-10-27,19.73716926574707
2000-10-30,20.601940155029297
2000-10-31,23.603208541870117
2000-11-01,23.24712562561035
2000-11-02,23.450597763061523
2000-11-03,23.603208541870117
2000-11-06,23.704954147338867
2000-11-07,23.908432006835938
2000-11-08,24.21363639831543
2000-11-09,24.36624526977539
2000-11-10,23.806692123413086
2000-11-13,22.789304733276367
2000-11-14,23.450597763061523
2000-11-15,23.75581932067871
2000-11-16,23.654075622558594
2000-11-17,23.348867416381836
2000-11-20,22.789304733276367
2000-11-21,22.585834503173828
2000-11-22,22.38235855102539
2000-11-24,22.433229446411133
2000-11-27,23.5014705657959
2000-11-28,23.09451675415039
2000-11-29,23.908432006835938
2000-11-30,23.603208541870117
2000-12-01,24.315378189086914
2000-12-04,24.47409439086914
2000-12-05,24.82406997680664
2000-12-06,24.19736099243164
2000-12-07,24.303176879882812
2000-12-08,25.190332412719727
2000-12-11,25.31240463256836
2000-12-12,24.97870635986328
2000-12-13,24.270614624023438
2000-12-14,23.407873153686523
2000-12-15,23.50554084777832
2000-12-18,24.20550537109375
2000-12-19,24.376420974731445
2000-12-20,23.50554084777832
2000-12-21,23.806692123413086
2000-12-22,23.7659969329834
2000-12-26,24.010162353515625
2000-12-27,24.19736099243164
2000-12-28,23.92877769470215
2000-12-29,24.21363639831543
2001-01-02,23.603208541870117
2001-01-03,23.350900650024414
2001-01-04,23.627634048461914
2001-01-05,22.496294021606445
2001-01-08,22.09749984741211
2001-01-09,21.487062454223633
2001-01-10,21.812620162963867
2001-01-11,22.927675247192383
2001-01-12,22.805593490600586
2001-01-16,22.789304733276367
2001-01-17,22.789304733276367
2001-01-18,22.707914352416992
2001-01-19,21.723094940185547
2001-01-22,22.54513931274414
2001-01-23,22.089351654052734
2001-01-24,22.42306137084961
2001-01-25,22.439340591430664
2001-01-26,22.52886199951172
2001-01-29,22.78116798400879
2001-01-30,23.774133682250977
2001-01-31,24.13224983215332
2001-02-01,24.050857543945312
