Date,ZTS
2013-02-01,27.797178268432617
2013-02-04,27.806142807006836
2013-02-05,27.824073791503906
2013-02-06,27.815101623535156
2013-02-07,28.68461036682129
2013-02-08,29.625816345214844
2013-02-11,29.81406021118164
2013-02-12,30.24433135986328
2013-02-13,30.07402229309082
2013-02-14,29.823020935058594
2013-02-15,30.459463119506836
2013-02-19,30.33397102355957
2013-02-20,29.33001136779785
2013-02-21,29.18658447265625
2013-02-22,29.21347999572754
2013-02-25,28.74735450744629
2013-02-26,28.720460891723633
2013-02-27,28.97145652770996
2013-02-28,29.984378814697266
2013-03-01,31.01521873474121
2013-03-04,30.791126251220703
2013-03-05,30.737342834472656
2013-03-06,30.342924118041992
2013-03-07,30.97937774658203
2013-03-08,30.55807113647461
2013-03-11,30.63874626159668
2013-03-12,30.316051483154297
2013-03-13,30.477392196655273
2013-03-14,31.051076889038086
2013-03-15,29.975418090820312
2013-03-18,29.437580108642578
2013-03-19,29.40172576904297
2013-03-20,30.038158416748047
2013-03-21,30.00230598449707
2013-03-22,29.688562393188477
2013-03-25,29.096940994262695
2013-03-26,29.141775131225586
2013-03-27,29.347946166992188
2013-03-28,29.939550399780273
2013-04-01,29.21347999572754
2013-04-02,29.177621841430664
2013-04-03,29.15969467163086
2013-04-04,28.541181564331055
2013-04-05,28.648752212524414
2013-04-08,29.509286880493164
2013-04-09,29.975418090820312
2013-04-10,29.715452194213867
2013-04-11,29.724424362182617
2013-04-12,29.78717041015625
2013-04-15,28.899742126464844
2013-04-16,29.769237518310547
2013-04-17,29.482393264770508
2013-04-18,29.105907440185547
2013-04-19,29.321044921875
2013-04-22,29.276229858398438
2013-04-23,28.415691375732422
2013-04-24,27.44757652282715
2013-04-25,28.281227111816406
2013-04-26,29.25830078125
2013-04-29,29.33464813232422
2013-04-30,29.657989501953125
2013-05-01,29.990312576293945
2013-05-02,29.891517639160156
2013-05-03,29.828643798828125
2013-05-06,29.586137771606445
2013-05-07,29.532251358032227
2013-05-08,29.87355613708496
2013-05-09,30.13402557373047
2013-05-10,29.80170249938965
2013-05-13,29.675960540771484
2013-05-14,29.711877822875977
2013-05-15,29.451406478881836
2013-05-16,29.990312576293945
2013-05-17,30.44840431213379
2013-05-20,30.277732849121094
2013-05-21,29.675960540771484
2013-05-22,30.13402557373047
2013-05-23,29.496320724487305
2013-05-24,30.053186416625977
2013-05-28,30.771724700927734
2013-05-29,29.595123291015625
2013-05-30,28.957412719726562
2013-05-31,28.741840362548828
2013-06-03,29.415475845336914
2013-06-04,29.101110458374023
2013-06-05,28.894535064697266
2013-06-06,28.81369972229004
2013-06-07,28.29275894165039
2013-06-10,28.750818252563477
2013-06-11,28.472383499145508
2013-06-12,28.319698333740234
2013-06-13,27.996349334716797
2013-06-14,27.664020538330078
2013-06-17,27.807735443115234
2013-06-18,28.00533676147461
2013-06-19,27.843664169311523
2013-06-20,27.11613655090332
2013-06-21,27.484386444091797
2013-06-24,27.286792755126953
2013-06-25,28.28377342224121
2013-06-26,27.816709518432617
2013-06-27,27.72690200805664
2013-06-28,27.744861602783203
2013-07-01,27.493362426757812
2013-07-02,26.676027297973633
2013-07-03,26.298786163330078
2013-07-05,27.09817123413086
2013-07-08,27.789762496948242
2013-07-09,27.825693130493164
2013-07-10,27.879594802856445
2013-07-11,27.77179718017578
2013-07-12,28.158023834228516
2013-07-15,28.364606857299805
2013-07-16,27.987369537353516
2013-07-17,27.834678649902344
2013-07-18,27.681989669799805
2013-07-19,27.161043167114258
2013-07-22,27.187986373901367
2013-07-23,26.999374389648438
2013-07-24,26.85565948486328
2013-07-25,27.41253089904785
2013-07-26,27.33169937133789
2013-07-29,27.026315689086914
2013-07-30,27.03981590270996
2013-07-31,26.83279037475586
2013-08-01,27.147830963134766
2013-08-02,27.849924087524414
2013-08-05,28.128971099853516
2013-08-06,28.020952224731445
2013-08-07,28.11996841430664
2013-08-08,28.11996841430664
2013-08-09,27.822925567626953
2013-08-12,27.300859451293945
2013-08-13,27.408870697021484
2013-08-14,27.129831314086914
2013-08-15,27.021812438964844
2013-08-16,27.003807067871094
2013-08-19,26.886798858642578
2013-08-20,27.210834503173828
2013-08-21,26.868797302246094
2013-08-22,26.886798858642578
2013-08-23,27.183835983276367
2013-08-26,26.82377815246582
2013-08-27,26.283710479736328
2013-08-28,26.61675453186035
2013-08-29,26.526742935180664
2013-08-30,26.238698959350586
2013-09-03,26.490741729736328
2013-09-04,26.724777221679688
2013-09-05,27.300859451293945
2013-09-06,27.552885055541992
2013-09-09,27.534881591796875
2013-09-10,27.858938217163086
2013-09-11,28.200979232788086
2013-09-12,27.975948333740234
2013-09-13,27.948944091796875
2013-09-16,28.669044494628906
2013-09-17,29.146120071411133
2013-09-18,29.45215606689453
2013-09-19,29.263132095336914
2013-09-20,28.975088119506836
2013-09-23,28.426015853881836
2013-09-24,28.336000442504883
2013-09-25,27.957948684692383
2013-09-26,28.426015853881836
2013-09-27,28.038949966430664
2013-09-30,28.011959075927734
2013-10-01,28.606040954589844
2013-10-02,28.80406379699707
2013-10-03,28.336000442504883
2013-10-04,28.849071502685547
2013-10-07,28.741060256958008
2013-10-08,28.381004333496094
2013-10-09,28.29099464416504
2013-10-10,29.128103256225586
2013-10-11,29.164112091064453
2013-10-14,29.065095901489258
2013-10-15,28.8670711517334
2013-10-16,29.60517692565918
2013-10-17,29.731203079223633
2013-10-18,29.902223587036133
2013-10-21,29.497167587280273
2013-10-22,29.263132095336914
2013-10-23,29.34415054321289
2013-10-24,29.47016716003418
2013-10-25,29.22712516784668
2013-10-28,28.78606414794922
2013-10-29,28.83106803894043
2013-10-30,28.916765213012695
2013-10-31,28.555971145629883
2013-11-01,28.71832847595215
2013-11-04,28.79950523376465
2013-11-05,28.583024978637695
2013-11-06,28.204212188720703
2013-11-07,27.996761322021484
2013-11-08,28.492847442626953
2013-11-11,28.655187606811523
2013-11-12,28.71832847595215
2013-11-13,28.610090255737305
2013-11-14,28.574010848999023
2013-11-15,28.691265106201172
2013-11-18,28.5199031829834
2013-11-19,28.33951187133789
2013-11-20,28.294403076171875
2013-11-21,28.48381805419922
2013-11-22,28.285385131835938
2013-11-25,28.222251892089844
2013-11-26,28.33951187133789
2013-11-27,28.213228225708008
2013-11-29,28.095966339111328
2013-12-02,28.095966339111328
2013-12-03,28.041858673095703
2013-12-04,28.150087356567383
2013-12-05,28.3575382232666
2013-12-06,28.44773292541504
2013-12-09,28.63715171813965
2013-12-10,28.285385131835938
2013-12-11,28.041858673095703
2013-12-12,28.114015579223633
2013-12-13,28.48381805419922
2013-12-16,28.862638473510742
2013-12-17,28.537935256958008
2013-12-18,29.015972137451172
2013-12-19,29.142250061035156
2013-12-20,29.20538902282715
2013-12-23,29.19635772705078
2013-12-24,29.19635772705078
2013-12-26,29.39479637145996
2013-12-27,29.46694564819336
2013-12-30,29.46694564819336
2013-12-31,29.484983444213867
2014-01-02,29.187334060668945
2014-01-03,28.907737731933594
2014-01-06,28.844602584838867
2014-01-07,28.952836990356445
2014-01-08,28.628129959106445
2014-01-09,28.82655906677246
2014-01-10,29.349689483642578
2014-01-13,28.664207458496094
2014-01-14,28.72734260559082
2014-01-15,28.691265106201172
2014-01-16,28.862638473510742
2014-01-17,28.61910629272461
2014-01-21,28.204212188720703
2014-01-22,28.375587463378906
2014-01-23,28.628129959106445
2014-01-24,28.375587463378906
2014-01-27,28.285385131835938
2014-01-28,28.422794342041016
2014-01-29,27.826129913330078
2014-01-30,27.72669792175293
2014-01-31,27.44643783569336
2014-02-03,27.455482482910156
2014-02-04,27.32891082763672
2014-02-05,27.23851776123047
2014-02-06,27.166187286376953
2014-02-07,27.75381851196289
2014-02-10,28.151588439941406
2014-02-11,26.334491729736328
2014-02-12,27.120988845825195
2014-02-13,26.822656631469727
2014-02-14,27.01250457763672
2014-02-18,27.365081787109375
2014-02-19,26.89498519897461
2014-02-20,27.093868255615234
2014-02-21,26.768413543701172
2014-02-24,26.84978675842285
2014-02-25,27.23851776123047
2014-02-26,27.48260498046875
2014-02-27,27.771892547607422
2014-02-28,28.043107986450195
2014-03-03,28.0159854888916
2014-03-04,27.925579071044922
2014-03-05,27.771892547607422
2014-03-06,27.826129913330078
2014-03-07,27.645334243774414
2014-03-10,27.437402725219727
2014-03-11,27.37411880493164
2014-03-12,26.84978675842285
2014-03-13,26.442960739135742
2014-03-14,26.596654891967773
2014-03-17,26.56049156188965
2014-03-18,26.4700870513916
2014-03-19,27.03963279724121
2014-03-20,27.202354431152344
2014-03-21,26.452003479003906
2014-03-24,26.34352684020996
2014-03-25,26.452003479003906
2014-03-26,26.40680694580078
2014-03-27,26.488174438476562
2014-03-28,26.22599983215332
2014-03-31,26.1627140045166
2014-04-01,26.53337287902832
2014-04-02,26.777462005615234
2014-04-03,26.777462005615234
2014-04-04,26.506250381469727
2014-04-07,26.216960906982422
2014-04-08,26.352561950683594
2014-04-09,26.271198272705078
2014-04-10,26.09039306640625
2014-04-11,25.674537658691406
2014-04-14,25.746862411499023
2014-04-15,25.810138702392578
2014-04-16,25.792062759399414
2014-04-17,25.855350494384766
