Date,TSN
2000-01-03,10.426371574401855
2000-01-04,10.38580322265625
2000-01-05,10.426371574401855
2000-01-06,10.5075101852417
2000-01-07,10.994340896606445
2000-01-10,10.872637748718262
2000-01-11,10.953777313232422
2000-01-12,10.750927925109863
2000-01-13,11.15662670135498
2000-01-14,10.588652610778809
2000-01-18,10.38580322265625
2000-01-19,10.22352123260498
2000-01-20,10.142382621765137
2000-01-21,10.02067756652832
2000-01-24,9.614978790283203
2000-01-25,9.249855041503906
2000-01-26,9.087579727172852
2000-01-27,9.209284782409668
2000-01-28,9.249855041503906
2000-01-31,8.884729385375977
2000-02-01,9.006439208984375
2000-02-02,8.803590774536133
2000-02-03,8.60074234008789
2000-02-04,8.438464164733887
2000-02-07,8.35732364654541
2000-02-08,8.316756248474121
2000-02-09,8.113908767700195
2000-02-10,7.748780727386475
2000-02-11,7.302517414093018
2000-02-14,7.140237808227539
2000-02-15,7.018529891967773
2000-02-16,7.059101581573486
2000-02-17,6.977956295013428
2000-02-18,6.937391757965088
2000-02-22,6.896817684173584
2000-02-23,6.450554847717285
2000-02-24,6.450554847717285
2000-02-25,7.099670886993408
2000-02-28,7.085010528564453
2000-02-29,6.7185444831848145
2000-03-01,6.881418228149414
2000-03-02,6.799982070922852
2000-03-03,6.799982070922852
2000-03-06,6.555671215057373
2000-03-07,6.4335150718688965
2000-03-08,6.514951705932617
2000-03-09,6.596386432647705
2000-03-10,6.107769012451172
2000-03-13,6.107769012451172
2000-03-14,6.067050457000732
2000-03-15,5.863457202911377
2000-03-16,6.596386432647705
2000-03-17,6.352078437805176
2000-03-20,6.555671215057373
2000-03-21,6.799982070922852
2000-03-22,6.84070348739624
2000-03-23,7.085010528564453
2000-03-24,6.92213249206543
2000-03-27,6.596386432647705
2000-03-28,6.677829265594482
2000-03-29,6.596386432647705
2000-03-30,6.962855339050293
2000-03-31,7.247882843017578
2000-04-03,6.677829265594482
2000-04-04,7.003571510314941
2000-04-05,7.247882843017578
2000-04-06,6.759263515472412
2000-04-07,6.596386432647705
2000-04-10,6.6371049880981445
2000-04-11,6.759263515472412
2000-04-12,6.555671215057373
2000-04-13,7.04429292678833
2000-04-14,6.596386432647705
2000-04-17,6.799982070922852
2000-04-18,6.759263515472412
2000-04-19,6.7185444831848145
2000-04-20,6.799982070922852
2000-04-24,6.799982070922852
2000-04-25,7.166448593139648
2000-04-26,7.166448593139648
2000-04-27,7.166448593139648
2000-04-28,6.799982070922852
2000-05-01,6.799982070922852
2000-05-02,6.759263515472412
2000-05-03,6.677829265594482
2000-05-04,7.003571510314941
2000-05-05,6.759263515472412
2000-05-08,6.6371049880981445
2000-05-09,6.6371049880981445
2000-05-10,6.759263515472412
2000-05-11,6.92213249206543
2000-05-12,6.84070348739624
2000-05-15,6.6371049880981445
2000-05-16,6.84070348739624
2000-05-17,6.799982070922852
2000-05-18,6.799982070922852
2000-05-19,6.555671215057373
2000-05-22,6.596386432647705
2000-05-23,6.555671215057373
2000-05-24,6.4335150718688965
2000-05-25,6.555671215057373
2000-05-26,6.4335150718688965
2000-05-30,6.58233118057251
2000-05-31,6.459679126739502
2000-06-01,6.62321662902832
2000-06-02,6.664100646972656
2000-06-05,6.786749839782715
2000-06-06,6.664100646972656
2000-06-07,6.62321662902832
2000-06-08,6.541450500488281
2000-06-09,6.541450500488281
2000-06-12,6.418797016143799
2000-06-13,6.37791109085083
2000-06-14,6.296146392822266
2000-06-15,6.459679126739502
2000-06-16,6.418797016143799
2000-06-19,6.296146392822266
2000-06-20,6.2552618980407715
2000-06-21,5.928185939788818
2000-06-22,5.846421241760254
2000-06-23,5.805537223815918
2000-06-26,5.846421241760254
2000-06-27,5.601120471954346
2000-06-28,5.846421241760254
2000-06-29,5.928185939788818
2000-06-30,5.7237677574157715
2000-07-03,5.805537223815918
2000-07-05,5.805537223815918
2000-07-06,5.88730525970459
2000-07-07,5.805537223815918
2000-07-10,5.805537223815918
2000-07-11,5.846421241760254
2000-07-12,5.846421241760254
2000-07-13,6.009955406188965
2000-07-14,5.969073295593262
2000-07-17,5.928185939788818
2000-07-18,6.050840377807617
2000-07-19,6.132609844207764
2000-07-20,6.37791109085083
2000-07-21,6.173491954803467
2000-07-24,6.132609844207764
2000-07-25,6.132609844207764
2000-07-26,6.173491954803467
2000-07-27,6.2552618980407715
2000-07-28,6.2143778800964355
2000-07-31,6.132609844207764
2000-08-01,5.88730525970459
2000-08-02,5.846421241760254
2000-08-03,6.173491954803467
2000-08-04,6.132609844207764
2000-08-07,6.2552618980407715
2000-08-08,6.009955406188965
2000-08-09,6.2143778800964355
2000-08-10,6.2552618980407715
2000-08-11,6.173491954803467
2000-08-14,6.132609844207764
2000-08-15,6.132609844207764
2000-08-16,6.2552618980407715
2000-08-17,6.2552618980407715
2000-08-18,6.296146392822266
2000-08-21,6.173491954803467
2000-08-22,6.173491954803467
2000-08-23,6.2143778800964355
2000-08-24,6.2552618980407715
2000-08-25,6.2143778800964355
2000-08-28,6.132609844207764
2000-08-29,6.091724872589111
2000-08-30,5.994822025299072
2000-08-31,6.035882472991943
2000-09-01,6.118002891540527
2000-09-05,6.035882472991943
2000-09-06,6.076943874359131
2000-09-07,6.2001237869262695
2000-09-08,6.2001237869262695
2000-09-11,6.1590657234191895
2000-09-12,6.118002891540527
2000-09-13,6.118002891540527
2000-09-14,6.2001237869262695
2000-09-15,6.1590657234191895
2000-09-18,6.076943874359131
2000-09-19,6.241185188293457
2000-09-20,6.364368438720703
2000-09-21,6.405424118041992
2000-09-22,6.241185188293457
2000-09-25,6.2001237869262695
2000-09-26,6.364368438720703
2000-09-27,6.323306083679199
2000-09-28,6.282245635986328
2000-09-29,6.569668769836426
2000-10-02,6.405424118041992
2000-10-03,6.610723972320557
2000-10-04,6.610723972320557
2000-10-05,6.898150444030762
2000-10-06,7.18557071685791
2000-10-09,7.226634979248047
2000-10-10,7.226634979248047
2000-10-11,7.103452682495117
2000-10-12,7.18557071685791
2000-10-13,6.857093811035156
2000-10-16,6.6928486824035645
2000-10-17,6.569668769836426
2000-10-18,6.569668769836426
2000-10-19,6.6928486824035645
2000-10-20,6.6928486824035645
2000-10-23,6.610723972320557
2000-10-24,6.6928486824035645
