Date,MDT
2000-01-03,21.0435791015625
2000-01-04,21.19717788696289
2000-01-05,22.52890968322754
2000-01-06,23.37470245361328
2000-01-07,25.988985061645508
2000-01-10,25.796754837036133
2000-01-11,25.912107467651367
2000-01-12,25.873647689819336
2000-01-13,26.757904052734375
2000-01-14,26.988567352294922
2000-01-18,27.296125411987305
2000-01-19,27.64213752746582
2000-01-20,27.065454483032227
2000-01-21,26.79633903503418
2000-01-24,26.488788604736328
2000-01-25,27.41145896911621
2000-01-26,28.37259864807129
2000-01-27,28.56481170654297
2000-01-28,27.565250396728516
2000-01-31,28.14192008972168
2000-02-01,28.526371002197266
2000-02-02,27.68058967590332
2000-02-03,28.14192008972168
2000-02-04,29.56439208984375
2000-02-07,30.294862747192383
2000-02-08,30.525522232055664
2000-02-09,30.064193725585938
2000-02-10,29.52594757080078
2000-02-11,28.29570198059082
2000-02-14,28.526371002197266
2000-02-15,27.949695587158203
2000-02-16,27.21923828125
2000-02-17,28.641706466674805
2000-02-18,29.333728790283203
2000-02-22,30.256418228149414
2000-02-23,29.833513259887695
2000-02-24,30.44863510131836
2000-02-25,29.179946899414062
2000-02-28,29.52594757080078
2000-02-29,29.795068740844727
2000-03-01,30.21796226501465
2000-03-02,30.14107894897461
2000-03-03,31.60201644897461
2000-03-06,30.44863510131836
2000-03-07,30.44863510131836
2000-03-08,30.10262107849121
2000-03-09,30.756200790405273
2000-03-10,31.525108337402344
2000-03-13,30.87154197692871
2000-03-14,28.833934783935547
2000-03-15,30.14107894897461
2000-03-16,32.37091064453125
2000-03-17,32.40934753417969
2000-03-20,32.832237243652344
2000-03-21,32.75534439086914
2000-03-22,33.678035736083984
2000-03-23,34.48538589477539
2000-03-24,33.83182907104492
2000-03-27,35.06208419799805
2000-03-28,34.33161926269531
2000-03-29,34.100948333740234
2000-03-30,31.371326446533203
2000-03-31,31.640453338623047
2000-04-03,33.90871047973633
2000-04-04,34.370052337646484
2000-04-05,34.39467239379883
2000-04-06,34.43315505981445
2000-04-07,34.510093688964844
2000-04-10,35.51039505004883
2000-04-11,34.317726135253906
2000-04-12,33.27895736694336
2000-04-13,31.470745086669922
2000-04-14,29.89337158203125
2000-04-17,29.70100975036621
2000-04-18,32.20173263549805
2000-04-19,32.317142486572266
2000-04-20,32.27865982055664
2000-04-24,33.16356658935547
2000-04-25,32.62493896484375
2000-04-26,32.62493896484375
2000-04-27,33.77912139892578
2000-04-28,31.970884323120117
2000-05-01,32.16326904296875
2000-05-02,33.31744384765625
2000-05-03,33.202022552490234
2000-05-04,33.54827117919922
2000-05-05,34.43315505981445
2000-05-08,34.39467239379883
2000-05-09,33.47133255004883
2000-05-10,33.58674240112305
2000-05-11,34.04841995239258
2000-05-12,33.18280029296875
2000-05-15,34.5485725402832
2000-05-16,35.087188720703125
2000-05-17,34.856353759765625
2000-05-18,34.04841995239258
2000-05-19,32.54798889160156
2000-05-22,30.97060203552246
2000-05-23,29.470172882080078
2000-05-24,30.35504722595215
2000-05-25,30.816715240478516
2000-05-26,30.393503189086914
2000-05-30,31.740053176879883
2000-05-31,31.778533935546875
2000-06-01,31.08600425720215
2000-06-02,30.2396183013916
2000-06-05,30.624351501464844
2000-06-06,30.97060203552246
2000-06-07,29.777942657470703
2000-06-08,29.08544158935547
2000-06-09,29.85489273071289
2000-06-12,29.720218658447266
2000-06-13,30.258852005004883
2000-06-14,31.0283260345459
2000-06-15,31.124496459960938
2000-06-16,30.73975944519043
2000-06-19,31.220678329467773
2000-06-20,31.18221092224121
2000-06-21,31.0283260345459
2000-06-22,29.54710578918457
2000-06-23,29.277788162231445
2000-06-26,29.43168830871582
