Date,EXPE
2005-07-21,31.253171920776367
2005-07-22,32.34611511230469
2005-07-25,31.5394229888916
2005-07-26,31.227153778076172
2005-07-27,31.318227767944336
2005-07-28,31.29220962524414
2005-07-29,31.669523239135742
2005-08-01,31.68254852294922
2005-08-02,31.29220962524414
2005-08-03,31.03197479248047
2005-08-04,30.706680297851562
2005-08-05,30.407442092895508
2005-08-08,29.275455474853516
2005-08-09,31.03197479248047
2005-08-10,30.836809158325195
2005-08-11,29.75687599182129
2005-08-12,29.015226364135742
2005-08-15,27.896244049072266
2005-08-16,27.909255981445312
2005-08-17,28.221546173095703
2005-08-18,28.299606323242188
2005-08-19,28.169492721557617
2005-08-22,28.10443115234375
2005-08-23,27.909255981445312
2005-08-24,28.10443115234375
2005-08-25,28.83306884765625
2005-08-26,28.76801872253418
2005-08-29,29.067264556884766
2005-08-30,29.145336151123047
2005-08-31,28.963180541992188
2005-09-01,28.91112518310547
2005-09-02,29.10630226135254
2005-09-06,28.74199676513672
2005-09-07,28.98920440673828
2005-09-08,29.210399627685547
2005-09-09,28.70294761657715
2005-09-12,28.7549991607666
2005-09-13,28.715967178344727
2005-09-14,28.390682220458984
2005-09-15,27.85721778869629
2005-09-16,27.32375717163086
2005-09-19,27.38880729675293
2005-09-20,27.24569320678711
2005-09-21,26.868356704711914
2005-09-22,26.347900390625
2005-09-23,26.126708984375
2005-09-26,26.074674606323242
2005-09-27,25.918529510498047
2005-09-28,25.671314239501953
2005-09-29,26.048643112182617
2005-09-30,25.775402069091797
2005-10-03,26.55608558654785
2005-10-04,26.790283203125
2005-10-05,26.139728546142578
2005-10-06,26.074674606323242
2005-10-07,26.152740478515625
2005-10-10,26.4129581451416
2005-10-11,26.087675094604492
2005-10-12,25.56722640991211
2005-10-13,25.71035385131836
2005-10-14,26.204782485961914
2005-10-17,26.569095611572266
2005-10-18,25.85348129272461
2005-10-19,25.48915672302246
2005-10-20,25.372053146362305
2005-10-21,25.47614860534668
2005-10-24,25.07279396057129
2005-10-25,24.50031280517578
2005-10-26,24.38319206237793
2005-10-27,24.50031280517578
2005-10-28,24.435239791870117
2005-10-31,24.52632713317871
2005-11-01,24.773536682128906
2005-11-02,25.241947174072266
