Date,WAB
2000-01-03,7.821780204772949
2000-01-04,7.708011627197266
2000-01-05,7.679566860198975
2000-01-06,7.366694450378418
2000-01-07,7.082266330718994
2000-01-10,7.167594909667969
2000-01-11,6.968493938446045
2000-01-12,6.598736763000488
2000-01-13,6.655622482299805
2000-01-14,6.285865306854248
2000-01-18,6.257423400878906
2000-01-19,6.37119722366333
2000-01-20,6.37119722366333
2000-01-21,6.285865306854248
2000-01-24,6.172096252441406
2000-01-25,5.660123825073242
2000-01-26,5.347253322601318
2000-01-27,5.261922836303711
2000-01-28,5.148152828216553
2000-01-31,5.06282377243042
2000-02-01,5.06282377243042
2000-02-02,5.2050371170043945
2000-02-03,5.233482360839844
2000-02-04,5.261922836303711
2000-02-07,5.347253322601318
2000-02-08,5.290369033813477
2000-02-09,5.404138088226318
2000-02-10,5.745453834533691
2000-02-11,5.86386775970459
2000-02-14,5.664609909057617
2000-02-15,5.2660956382751465
2000-02-16,5.180699348449707
2000-02-17,5.2376322746276855
2000-02-18,5.123769283294678
2000-02-22,5.095304012298584
2000-02-23,4.981442928314209
2000-02-24,4.782182693481445
2000-02-25,4.326737403869629
2000-02-28,4.241340637207031
2000-02-29,4.326737403869629
2000-03-01,4.440601348876953
2000-03-02,4.440601348876953
2000-03-03,4.383670806884766
2000-03-06,4.013618469238281
2000-03-07,4.042083740234375
2000-03-08,4.042083740234375
2000-03-09,4.212879180908203
2000-03-10,4.155944347381592
2000-03-13,4.241340637207031
2000-03-14,4.525998592376709
2000-03-15,4.981442928314209
2000-03-16,5.2376322746276855
2000-03-17,5.0099053382873535
2000-03-20,4.867578029632568
2000-03-21,4.782182693481445
2000-03-22,4.782182693481445
2000-03-23,4.639857769012451
2000-03-24,4.696788787841797
2000-03-27,4.725253105163574
2000-03-28,4.668320655822754
2000-03-29,4.696788787841797
2000-03-30,4.839114189147949
2000-03-31,4.839114189147949
2000-04-03,5.123769283294678
2000-04-04,4.952975273132324
2000-04-05,4.981442928314209
2000-04-06,5.0099053382873535
2000-04-07,5.152232646942139
2000-04-10,4.839114189147949
2000-04-11,4.924510955810547
2000-04-12,5.209165573120117
2000-04-13,5.038372993469238
2000-04-14,5.095304012298584
2000-04-17,5.2660956382751465
2000-04-18,5.579216957092285
2000-04-19,5.465353488922119
2000-04-20,4.867578029632568
2000-04-24,4.952975273132324
2000-04-25,5.2660956382751465
2000-04-26,5.152232646942139
2000-04-27,4.981442928314209
2000-04-28,5.152232646942139
2000-05-01,5.408419609069824
2000-05-02,5.323024749755859
2000-05-03,5.408419609069824
2000-05-04,5.693078994750977
2000-05-05,5.721539497375488
2000-05-08,5.465353488922119
2000-05-09,5.465353488922119
2000-05-10,5.49381685256958
2000-05-11,5.526866436004639
2000-05-12,5.298953056335449
2000-05-15,5.4698872566223145
2000-05-16,5.441401958465576
2000-05-17,5.014062404632568
2000-05-18,5.071041107177734
2000-05-19,5.128018379211426
2000-05-22,5.0425519943237305
2000-05-23,4.9855732917785645
2000-05-24,5.071041107177734
2000-05-25,5.014062404632568
2000-05-26,5.099531173706055
2000-05-30,5.099531173706055
2000-05-31,5.0496745109558105
2000-06-01,5.135143280029297
