Date,ARE
2000-01-03,11.930777549743652
2000-01-04,11.668299674987793
2000-01-05,11.453542709350586
2000-01-06,11.238786697387695
2000-01-07,11.453542709350586
2000-01-10,11.596714973449707
2000-01-11,11.620573997497559
2000-01-12,11.453542709350586
2000-01-13,11.501267433166504
2000-01-14,11.572854995727539
2000-01-18,11.596714973449707
2000-01-19,11.548995971679688
2000-01-20,11.548995971679688
2000-01-21,11.501267433166504
2000-01-24,11.453542709350586
2000-01-25,11.42968463897705
2000-01-26,11.334236145019531
2000-01-27,11.47740364074707
2000-01-28,11.286513328552246
2000-01-31,11.262650489807129
2000-02-01,11.358099937438965
2000-02-02,11.381958961486816
2000-02-03,11.262650489807129
2000-02-04,11.286513328552246
2000-02-07,11.238786697387695
2000-02-08,11.14334774017334
2000-02-09,11.119487762451172
2000-02-10,11.167201042175293
2000-02-11,11.119487762451172
2000-02-14,11.31037425994873
2000-02-15,11.334236145019531
2000-02-16,11.14334774017334
2000-02-17,11.191067695617676
2000-02-18,11.381958961486816
2000-02-22,11.358099937438965
2000-02-23,11.405820846557617
2000-02-24,11.262650489807129
2000-02-25,11.21493148803711
2000-02-28,11.358099937438965
2000-02-29,11.668299674987793
2000-03-01,11.692160606384277
2000-03-02,11.453542709350586
2000-03-03,11.525128364562988
2000-03-06,11.47740364074707
2000-03-07,11.31037425994873
2000-03-08,11.47740364074707
2000-03-09,11.596714973449707
2000-03-10,11.501267433166504
2000-03-13,11.525128364562988
2000-03-14,11.692160606384277
2000-03-15,11.739887237548828
2000-03-16,11.787604331970215
2000-03-17,11.739887237548828
2000-03-20,11.763750076293945
2000-03-21,11.787604331970215
2000-03-22,11.883052825927734
2000-03-23,12.050084114074707
2000-03-24,12.073945999145508
2000-03-27,12.169395446777344
2000-03-28,11.930777549743652
2000-03-29,11.811470985412598
2000-03-30,11.739887237548828
2000-03-31,11.615978240966797
2000-04-03,11.712779998779297
2000-04-04,11.857980728149414
2000-04-05,11.736981391906738
2000-04-06,11.930577278137207
2000-04-07,12.02738094329834
2000-04-10,12.196783065795898
2000-04-11,12.196783065795898
2000-04-12,12.293574333190918
2000-04-13,12.390377044677734
2000-04-14,12.390377044677734
2000-04-17,12.390377044677734
2000-04-18,12.341976165771484
2000-04-19,12.366177558898926
2000-04-20,12.366177558898926
2000-04-24,12.366177558898926
2000-04-25,12.341976165771484
2000-04-26,12.245182037353516
2000-04-27,12.366177558898926
2000-04-28,12.390377044677734
2000-05-01,12.535579681396484
2000-05-02,12.874382972717285
2000-05-03,12.656587600708008
2000-05-04,12.680778503417969
