Date,DRI
2000-01-03,5.548499584197998
2000-01-04,5.508437633514404
2000-01-05,5.708744525909424
2000-01-06,5.648651599884033
2000-01-07,5.5685296058654785
2000-01-10,5.608590602874756
2000-01-11,5.828927516937256
2000-01-12,5.628622055053711
2000-01-13,5.969144821166992
2000-01-14,6.049267768859863
2000-01-18,5.969144821166992
2000-01-19,5.8689866065979
2000-01-20,5.648651599884033
2000-01-21,5.628622055053711
2000-01-24,5.488406658172607
2000-01-25,5.328164100646973
2000-01-26,5.308131694793701
2000-01-27,5.288100242614746
2000-01-28,5.047732830047607
2000-01-31,5.087795257568359
2000-02-01,4.927547931671143
2000-02-02,5.0677618980407715
2000-02-03,5.187946319580078
2000-02-04,5.368225574493408
2000-02-07,5.147884845733643
2000-02-08,5.248041152954102
2000-02-09,5.0677618980407715
2000-02-10,5.087795257568359
2000-02-11,4.987639427185059
2000-02-14,4.847424507141113
2000-02-15,4.927547931671143
2000-02-16,4.7472710609436035
2000-02-17,4.727241516113281
2000-02-18,4.627089500427246
2000-02-22,4.6070556640625
2000-02-23,4.52693510055542
2000-02-24,4.386719703674316
2000-02-25,4.346657752990723
2000-02-28,4.326626777648926
2000-02-29,4.226473808288574
2000-03-01,4.366687297821045
2000-03-02,4.3065948486328125
2000-03-03,4.346657752990723
2000-03-06,4.346657752990723
2000-03-07,4.046197891235352
2000-03-08,4.026167869567871
2000-03-09,4.106289863586426
2000-03-10,4.146350383758545
2000-03-13,4.106289863586426
2000-03-14,4.106289863586426
2000-03-15,4.346657752990723
2000-03-16,4.566996097564697
2000-03-17,4.466842174530029
2000-03-20,4.566996097564697
2000-03-21,4.667149543762207
2000-03-22,4.6070556640625
2000-03-23,4.707210063934326
2000-03-24,4.847424507141113
2000-03-27,4.887485027313232
2000-03-28,5.288100242614746
2000-03-29,5.508437633514404
2000-03-30,5.648651599884033
2000-03-31,5.708744525909424
2000-04-03,5.688714027404785
2000-04-04,5.848958492279053
2000-04-05,5.989173889160156
2000-04-06,5.821359157562256
2000-04-07,5.781215190887451
2000-04-10,5.94180154800415
2000-04-11,5.961875915527344
2000-04-12,6.042168140411377
2000-04-13,5.801283836364746
2000-04-14,5.56040096282959
2000-04-17,5.640696048736572
2000-04-18,5.600549697875977
2000-04-19,5.741064071655273
2000-04-20,6.102389812469482
2000-04-24,6.062244415283203
2000-04-25,6.182682514190674
2000-04-26,6.182682514190674
2000-04-27,5.981949329376221
2000-04-28,5.94180154800415
2000-05-01,5.861505031585693
2000-05-02,5.781215190887451
2000-05-03,5.520252704620361
2000-05-04,5.540327548980713
2000-05-05,5.821359157562256
2000-05-08,5.680842399597168
2000-05-09,5.781215190887451
2000-05-10,5.801283836364746
2000-05-11,5.981949329376221
2000-05-12,5.961875915527344
2000-05-15,5.921726703643799
2000-05-16,6.142538070678711
2000-05-17,6.002020835876465
2000-05-18,6.002020835876465
2000-05-19,5.881577491760254
2000-05-22,5.881577491760254
2000-05-23,6.022096157073975
2000-05-24,6.162609577178955
2000-05-25,5.961875915527344
2000-05-26,6.062244415283203
2000-05-30,5.901651382446289
2000-05-31,5.520252704620361
2000-06-01,5.4600324630737305
2000-06-02,5.439958572387695
2000-06-05,5.379740238189697
2000-06-06,5.379740238189697
2000-06-07,5.399809837341309
2000-06-08,5.399809837341309
2000-06-09,5.319519519805908
2000-06-12,5.319519519805908
2000-06-13,5.319519519805908
2000-06-14,5.2793707847595215
2000-06-15,5.399809837341309
2000-06-16,5.439958572387695
2000-06-19,5.239223003387451
2000-06-20,5.078632354736328
2000-06-21,5.038485050201416
2000-06-22,5.781215190887451
2000-06-23,5.339592933654785
2000-06-26,5.2793707847595215
2000-06-27,5.319519519805908
2000-06-28,5.083650588989258
2000-06-29,5.199076175689697
