Date,NOC
2000-01-03,13.93301010131836
2000-01-04,14.114175796508789
2000-01-05,14.097707748413086
2000-01-06,13.83420467376709
2000-01-07,14.163589477539062
2000-01-10,13.99889087677002
2000-01-11,14.245924949645996
2000-01-12,14.097707748413086
2000-01-13,14.097707748413086
2000-01-14,14.031830787658691
2000-01-18,13.735383033752441
2000-01-19,13.307180404663086
2000-01-20,13.373053550720215
2000-01-21,13.751856803894043
2000-01-24,12.846035957336426
2000-01-25,12.582535743713379
2000-01-26,12.615472793579102
2000-01-27,13.175423622131348
2000-01-28,13.191896438598633
2000-01-31,13.241310119628906
2000-02-01,13.241310119628906
2000-02-02,13.175423622131348
2000-02-03,13.158956527709961
2000-02-04,13.636565208435059
2000-02-07,13.14249324798584
2000-02-08,13.027195930480957
2000-02-09,12.747225761413574
2000-02-10,12.467247009277344
2000-02-11,12.351960182189941
2000-02-14,12.269611358642578
2000-02-15,11.907292366027832
2000-02-16,12.187272071838379
2000-02-17,12.203739166259766
2000-02-18,11.857889175415039
2000-02-22,12.104921340942383
2000-02-23,12.039045333862305
2000-02-24,12.211833000183105
2000-02-25,12.06230640411377
2000-02-28,11.929390907287598
2000-02-29,12.045690536499023
2000-03-01,11.646933555603027
2000-03-02,11.58048152923584
2000-03-03,11.796469688415527
2000-03-06,12.76011848449707
2000-03-07,12.41122055053711
2000-03-08,12.560751914978027
2000-03-09,12.627203941345215
2000-03-10,12.510907173156738
2000-03-13,12.494293212890625
2000-03-14,12.976119041442871
2000-03-15,13.95639419555664
2000-03-16,14.521286010742188
2000-03-17,14.670822143554688
2000-03-20,13.989612579345703
2000-03-21,14.355144500732422
2000-03-22,14.238842964172363
2000-03-23,13.840081214904785
2000-03-24,14.222221374511719
2000-03-27,14.15576457977295
2000-03-28,13.989612579345703
2000-03-29,13.906539916992188
2000-03-30,14.089302062988281
2000-03-31,14.072699546813965
2000-04-03,13.939770698547363
2000-04-04,14.687438011169434
2000-04-05,14.687438011169434
2000-04-06,14.969892501831055
2000-04-07,14.571131706237793
2000-04-10,14.820359230041504
2000-04-11,15.03633975982666
2000-04-12,15.185881614685059
2000-04-13,15.966777801513672
2000-04-14,15.80062484741211
2000-04-17,16.96365737915039
2000-04-18,17.2294921875
2000-04-19,16.980270385742188
2000-04-20,17.811012268066406
2000-04-24,18.72481918334961
2000-04-25,19.289714813232422
2000-04-26,18.558671951293945
2000-04-27,19.422639846801758
2000-04-28,18.841115951538086
2000-05-01,19.538942337036133
2000-05-02,19.389408111572266
2000-05-03,18.89097023010254
2000-05-04,19.505712509155273
2000-05-05,19.339563369750977
2000-05-08,19.505712509155273
2000-05-09,19.788164138793945
2000-05-10,19.788164138793945
2000-05-11,20.037378311157227
2000-05-12,20.12046241760254
2000-05-15,20.05399513244629
2000-05-16,20.269989013671875
2000-05-17,21.0674991607666
2000-05-18,20.90135955810547
2000-05-19,21.05088996887207
2000-05-22,20.66874885559082
2000-05-23,20.452749252319336
2000-05-24,20.452749252319336
2000-05-25,19.89157485961914
2000-05-26,19.65776252746582
2000-05-30,20.00848388671875
2000-05-31,20.476137161254883
2000-06-01,20.99388885498047
2000-06-02,21.144193649291992
2000-06-05,20.99388885498047
2000-06-06,21.44482421875
2000-06-07,21.394718170166016
2000-06-08,20.743356704711914
2000-06-09,21.277812957763672
