Date,MCO
2000-01-03,8.375395774841309
2000-01-04,8.133330345153809
2000-01-05,7.988097667694092
2000-01-06,7.988097667694092
2000-01-07,8.181745529174805
2000-01-10,8.181745529174805
2000-01-11,8.278571128845215
2000-01-12,8.230152130126953
2000-01-13,8.375395774841309
2000-01-14,8.278571128845215
2000-01-18,8.084920883178711
2000-01-19,8.230152130126953
2000-01-20,8.133330345153809
2000-01-21,8.181745529174805
2000-01-24,8.084920883178711
2000-01-25,7.891269207000732
2000-01-26,7.503971576690674
2000-01-27,7.6007914543151855
2000-01-28,7.407144546508789
2000-01-31,7.310317039489746
2000-02-01,7.552382469177246
2000-02-02,7.552382469177246
2000-02-03,7.6007914543151855
2000-02-04,7.552382469177246
2000-02-07,7.6007914543151855
2000-02-08,7.697620391845703
2000-02-09,7.6007914543151855
2000-02-10,7.455556392669678
2000-02-11,7.310317039489746
2000-02-14,7.649205684661865
2000-02-15,7.891269207000732
2000-02-16,7.794441223144531
2000-02-17,7.939682483673096
2000-02-18,7.891269207000732
2000-02-22,7.988097667694092
2000-02-23,7.939682483673096
2000-02-24,7.891269207000732
2000-02-25,7.794441223144531
2000-02-28,7.74603271484375
2000-02-29,7.6007914543151855
2000-03-01,7.697620391845703
2000-03-02,7.6007914543151855
2000-03-03,7.697620391845703
2000-03-06,7.6007914543151855
2000-03-07,7.455556392669678
2000-03-08,7.503971576690674
2000-03-09,7.74603271484375
2000-03-10,7.649205684661865
2000-03-13,7.794441223144531
2000-03-14,7.988097667694092
2000-03-15,8.375395774841309
2000-03-16,8.47221851348877
2000-03-17,8.326982498168945
2000-03-20,8.326982498168945
2000-03-21,8.326982498168945
2000-03-22,8.617462158203125
2000-03-23,8.714284896850586
2000-03-24,8.714284896850586
2000-03-27,8.714284896850586
2000-03-28,8.569049835205078
2000-03-29,8.326982498168945
2000-03-30,8.278571128845215
2000-03-31,8.326982498168945
2000-04-03,8.181745529174805
2000-04-04,8.036511421203613
2000-04-05,7.891269207000732
2000-04-06,8.181745529174805
2000-04-07,8.133330345153809
2000-04-10,8.181745529174805
2000-04-11,8.133330345153809
2000-04-12,8.133330345153809
