Date,PHM
2000-01-03,4.273530006408691
2000-01-04,4.071231842041016
2000-01-05,3.9953722953796387
2000-01-06,3.9700868129730225
2000-01-07,4.033301830291748
2000-01-10,3.957439422607422
2000-01-11,3.7930731773376465
2000-01-12,3.6666393280029297
2000-01-13,3.8436520099639893
2000-01-14,3.8183624744415283
2000-01-18,3.7804317474365234
2000-01-19,3.6287078857421875
2000-01-20,3.6666393280029297
2000-01-21,3.7172129154205322
2000-01-24,3.6160640716552734
2000-01-25,3.439054012298584
2000-01-26,3.527559757232666
2000-01-27,3.6287078857421875
2000-01-28,3.590775966644287
2000-01-31,3.527559757232666
2000-02-01,3.476984739303589
2000-02-02,3.439054012298584
2000-02-03,3.489626884460449
2000-02-04,3.489626884460449
2000-02-07,3.3505492210388184
2000-02-08,3.603424072265625
2000-02-09,3.5781335830688477
2000-02-10,3.527559757232666
2000-02-11,3.5654892921447754
2000-02-14,3.552846670150757
2000-02-15,3.742499351501465
2000-02-16,3.5781335830688477
2000-02-17,3.5781335830688477
2000-02-18,3.590775966644287
2000-02-22,3.502272129058838
2000-02-23,3.4516987800598145
2000-02-24,3.401122570037842
2000-02-25,3.2746875286102295
2000-02-28,3.312617301940918
2000-02-29,3.401122570037842
2000-03-01,3.4516987800598145
2000-03-02,3.3631932735443115
2000-03-03,3.3379061222076416
2000-03-06,3.2746875286102295
2000-03-07,3.2241134643554688
2000-03-08,3.1735386848449707
2000-03-09,3.2746875286102295
2000-03-10,3.2114694118499756
2000-03-13,3.2746875286102295
2000-03-14,3.186182975769043
2000-03-15,3.4731624126434326
2000-03-16,3.9041402339935303
2000-03-17,3.8154070377349854
2000-03-20,3.916813373565674
2000-03-21,3.9041402339935303
2000-03-22,3.853437900543213
2000-03-23,3.9548416137695312
2000-03-24,3.942166805267334
2000-03-27,3.916813373565674
2000-03-28,3.84075927734375
2000-03-29,4.018219470977783
2000-03-30,4.1449785232543945
2000-03-31,4.233709812164307
2000-04-03,4.233709812164307
2000-04-04,4.1449785232543945
2000-04-05,4.347789764404297
2000-04-06,4.347789764404297
2000-04-07,4.360466003417969
2000-04-10,4.3097639083862305
2000-04-11,4.360466003417969
2000-04-12,4.588629722595215
2000-04-13,4.626659393310547
2000-04-14,4.335113525390625
2000-04-17,4.411170482635498
2000-04-18,4.373142242431641
2000-04-19,4.398494243621826
2000-04-20,4.47454833984375
2000-04-24,4.423844814300537
2000-04-25,4.4618730545043945
2000-04-26,4.525252819061279
2000-04-27,4.423844814300537
2000-04-28,4.360466003417969
2000-05-01,4.398494243621826
2000-05-02,4.449194431304932
2000-05-03,4.385818958282471
2000-05-04,4.436522483825684
2000-05-05,4.4618730545043945
2000-05-08,4.335113525390625
2000-05-09,4.4618730545043945
2000-05-10,4.347789764404297
2000-05-11,4.575953960418701
2000-05-12,4.601304054260254
2000-05-15,4.525252819061279
2000-05-16,4.652010917663574
2000-05-17,4.436522483825684
2000-05-18,4.385818958282471
2000-05-19,4.335113525390625
2000-05-22,4.347789764404297
2000-05-23,4.360466003417969
2000-05-24,4.398494243621826
2000-05-25,4.373142242431641
2000-05-26,4.4618730545043945
2000-05-30,4.423844814300537
2000-05-31,4.499901294708252
2000-06-01,4.411170482635498
2000-06-02,4.7407402992248535
2000-06-05,4.5632781982421875
2000-06-06,4.664685249328613
2000-06-07,4.499901294708252
2000-06-08,4.55060338973999
2000-06-09,4.601304054260254
2000-06-12,4.5632781982421875
2000-06-13,4.575953960418701
2000-06-14,4.558685779571533
2000-06-15,4.571382522583008
2000-06-16,4.584081172943115
2000-06-19,4.495194911956787
2000-06-20,4.419004917144775
2000-06-21,4.368210792541504
2000-06-22,4.342813014984131
2000-06-23,4.3047194480896
2000-06-26,4.3047194480896
2000-06-27,4.40630578994751
2000-06-28,4.3586859703063965
2000-06-29,4.419004917144775
2000-06-30,4.390433311462402
2000-07-03,4.44440221786499
2000-07-05,4.545986652374268
2000-07-06,4.545986652374268
2000-07-07,4.533289909362793
2000-07-10,4.457096576690674
2000-07-11,4.482495307922363
2000-07-12,4.482495307922363
2000-07-13,4.419004917144775
