Date,WELL
2000-01-03,3.430586338043213
2000-01-04,3.416639566421509
2000-01-05,3.514258861541748
2000-01-06,3.695549488067627
2000-01-07,3.7513322830200195
2000-01-10,3.8210580348968506
2000-01-11,3.7513322830200195
2000-01-12,3.695549488067627
2000-01-13,3.7094953060150146
2000-01-14,3.695549488067627
2000-01-18,3.5979323387145996
2000-01-19,3.7234413623809814
2000-01-20,3.807114362716675
2000-01-21,3.876840829849243
2000-01-24,3.807114362716675
2000-01-25,3.7931692600250244
2000-01-26,3.8350043296813965
2000-01-27,3.7931692600250244
2000-01-28,3.7827720642089844
2000-01-31,3.725020408630371
2000-02-01,3.710583209991455
2000-02-02,3.6528310775756836
2000-02-03,3.5950779914855957
2000-02-04,3.5806403160095215
2000-02-07,3.5662038326263428
2000-02-08,3.5662038326263428
2000-02-09,3.465135097503662
2000-02-10,3.4362592697143555
2000-02-11,3.4362592697143555
2000-02-14,3.479571580886841
2000-02-15,3.4940099716186523
2000-02-16,3.537324905395508
2000-02-17,3.5228869915008545
2000-02-18,3.537324905395508
2000-02-22,3.537324905395508
2000-02-23,3.5517635345458984
2000-02-24,3.5228869915008545
2000-02-25,3.479571580886841
2000-02-28,3.508449077606201
2000-02-29,3.5950779914855957
2000-03-01,3.5228869915008545
2000-03-02,3.5517635345458984
2000-03-03,3.5228869915008545
2000-03-06,3.508449077606201
2000-03-07,3.421821355819702
2000-03-08,3.4940099716186523
2000-03-09,3.407381296157837
2000-03-10,3.537324905395508
2000-03-13,3.4940099716186523
2000-03-14,3.465135097503662
2000-03-15,3.421821355819702
2000-03-16,3.4506964683532715
2000-03-17,3.465135097503662
2000-03-20,3.5517635345458984
2000-03-21,3.5950779914855957
2000-03-22,3.6383931636810303
2000-03-23,3.5806403160095215
2000-03-24,3.4362592697143555
2000-03-27,3.465135097503662
2000-03-28,3.4362592697143555
2000-03-29,3.465135097503662
2000-03-30,3.378507375717163
2000-03-31,3.2341256141662598
2000-04-03,3.2485647201538086
2000-04-04,3.2052531242370605
2000-04-05,3.32075572013855
2000-04-06,3.3929455280303955
2000-04-07,3.3640692234039307
2000-04-10,3.3640692234039307
2000-04-11,3.421821355819702
2000-04-12,3.6239542961120605
2000-04-13,3.6528310775756836
2000-04-14,3.508449077606201
2000-04-17,3.5662038326263428
2000-04-18,3.6239542961120605
2000-04-19,3.7538962364196777
