Date,FDS
2000-01-03,20.401487350463867
2000-01-04,18.852014541625977
2000-01-05,18.852014541625977
2000-01-06,18.30324363708496
2000-01-07,18.206403732299805
2000-01-10,16.56007194519043
2000-01-11,17.318675994873047
2000-01-12,16.70534324645996
2000-01-13,17.07656478881836
2000-01-14,17.722185134887695
2000-01-18,18.23868751525879
2000-01-19,19.094133377075195
2000-01-20,19.239381790161133
2000-01-21,19.06183624267578
2000-01-24,19.077983856201172
2000-01-25,18.674468994140625
2000-01-26,18.23868751525879
2000-01-27,18.206403732299805
2000-01-28,17.68990707397461
2000-01-31,17.30253791809082
2000-02-01,17.36709976196289
2000-02-02,17.124996185302734
2000-02-03,17.36709976196289
2000-02-04,16.68920135498047
2000-02-07,16.108154296875
2000-02-08,15.623929023742676
2000-02-09,15.397969245910645
2000-02-10,15.397969245910645
2000-02-11,15.559366226196289
2000-02-14,14.623221397399902
2000-02-15,14.300422668457031
2000-02-16,14.364984512329102
2000-02-17,14.397262573242188
2000-02-18,14.720065116882324
2000-02-22,14.720065116882324
2000-02-23,14.623221397399902
2000-02-24,14.332694053649902
2000-02-25,14.243558883666992
2000-02-28,15.083307266235352
2000-02-29,15.567780494689941
2000-03-01,16.116853713989258
2000-03-02,16.56903076171875
2000-03-03,16.53673553466797
2000-03-06,15.664685249328613
2000-03-07,15.083307266235352
2000-03-08,14.954119682312012
2000-03-09,15.18020248413086
2000-03-10,15.923074722290039
2000-03-13,17.118106842041016
2000-03-14,16.665925979614258
2000-03-15,15.98766040802002
2000-03-16,17.473384857177734
2000-03-17,17.053508758544922
2000-03-20,16.084566116333008
2000-03-21,14.986414909362793
2000-03-22,13.95287036895752
2000-03-23,13.888265609741211
2000-03-24,14.017467498779297
2000-03-27,13.500693321228027
2000-03-28,13.500693321228027
2000-03-29,13.371504783630371
2000-03-30,12.983915328979492
2000-03-31,13.985176086425781
2000-04-03,13.694485664367676
2000-04-04,13.565287590026855
2000-04-05,13.95287036895752
2000-04-06,14.59884262084961
2000-04-07,15.115619659423828
2000-04-10,14.56654167175293
2000-04-11,14.114358901977539
2000-04-12,14.082075119018555
2000-04-13,14.53423023223877
2000-04-14,14.243558883666992
2000-04-17,14.857224464416504
2000-04-18,15.244805335998535
2000-04-19,15.018725395202637
2000-04-20,15.503196716308594
2000-04-24,15.503196716308594
2000-04-25,15.244805335998535
2000-04-26,15.244805335998535
2000-04-27,15.470888137817383
2000-04-28,14.857224464416504
2000-05-01,15.341706275939941
2000-05-02,15.309402465820312
2000-05-03,15.277104377746582
2000-05-04,15.503196716308594
2000-05-05,15.761568069458008
2000-05-08,15.470888137817383
2000-05-09,15.309402465820312
2000-05-10,15.63238525390625
2000-05-11,14.986414909362793
2000-05-12,14.954119682312012
2000-05-15,14.340449333190918
2000-05-16,13.629887580871582
2000-05-17,13.726786613464355
2000-05-18,12.370251655578613
2000-05-19,11.5950927734375
2000-05-22,11.175216674804688
2000-05-23,11.530495643615723
2000-05-24,12.434844970703125
2000-05-25,12.305658340454102
2000-05-26,12.579889297485352
2000-05-30,13.12965202331543
2000-05-31,13.323688507080078
2000-06-01,13.970468521118164
2000-06-02,14.067485809326172
2000-06-05,14.423215866088867
2000-06-06,14.940644264221191
2000-06-07,14.908306121826172
2000-06-08,14.681928634643555
2000-06-09,14.843635559082031
2000-06-12,15.005319595336914
2000-06-13,14.423215866088867
2000-06-14,14.132169723510742
2000-06-15,14.617252349853516
2000-06-16,14.196846961975098
2000-06-19,14.293866157531738
2000-06-20,14.261519432067871
2000-06-21,14.196846961975098
2000-06-22,14.099825859069824
2000-06-23,13.938125610351562
2000-06-26,14.164505004882812
2000-06-27,14.487894058227539
2000-06-28,15.587418556213379
2000-06-29,15.522745132446289
2000-06-30,14.617252349853516
2000-07-03,14.746601104736328
2000-07-05,14.617252349853516
2000-07-06,15.458063125610352
2000-07-07,15.71677017211914
2000-07-10,16.137182235717773
2000-07-11,17.301395416259766
2000-07-12,17.883501052856445
2000-07-13,17.7218074798584
2000-07-14,17.818811416625977
2000-07-17,17.851163864135742
2000-07-18,17.68946647644043
2000-07-19,17.20438003540039
2000-07-20,17.43075180053711
2000-07-21,16.68695068359375
2000-07-24,16.751628875732422
2000-07-25,16.978010177612305
2000-07-26,17.333740234375
2000-07-27,16.33123016357422
2000-07-28,15.846132278442383
2000-07-31,16.880977630615234
2000-08-01,16.913320541381836
2000-08-02,17.139684677124023
2000-08-03,17.075021743774414
2000-08-04,17.592451095581055
2000-08-07,17.7218074798584
2000-08-08,17.56010627746582
2000-08-09,17.107364654541016
2000-08-10,17.75413703918457
2000-08-11,17.333740234375
2000-08-14,17.624784469604492
2000-08-15,17.46308135986328
2000-08-16,17.68946647644043
2000-08-17,18.400922775268555
2000-08-18,17.78649139404297
2000-08-21,17.94817543029785
2000-08-22,17.527769088745117
2000-08-23,17.818811416625977
2000-08-24,17.527769088745117
2000-08-25,17.75413703918457
2000-08-28,17.398405075073242
2000-08-29,17.187381744384766
2000-08-30,17.446311950683594
2000-08-31,17.70526695251465
2000-09-01,17.8023624420166
2000-09-05,17.38158416748047
2000-09-06,17.446311950683594
2000-09-07,17.867097854614258
2000-09-08,17.34921646118164
2000-09-11,17.867097854614258
2000-09-12,18.838134765625
2000-09-13,19.35602378845215
2000-09-14,19.550230026245117
2000-09-15,19.582597732543945
2000-09-18,19.291284561157227
2000-09-19,19.906282424926758
2000-09-20,19.671611785888672
2000-09-21,19.48549461364746
2000-09-22,20.2623291015625
2000-09-25,19.03234100341797
2000-09-26,19.420761108398438
2000-09-27,18.643939971923828
2000-09-28,19.51915740966797
2000-09-29,19.472549438476562
2000-10-02,19.135921478271484
2000-10-03,19.46736717224121
2000-10-04,20.19759178161621
2000-10-05,19.363779067993164
2000-10-06,19.477725982666016
2000-10-09,19.291284561157227
2000-10-10,18.54035186767578
2000-10-11,18.825191497802734
2000-10-12,18.84072494506836
2000-10-13,19.539880752563477
2000-10-16,19.690061569213867
2000-10-17,19.110029220581055
2000-10-18,19.115198135375977
2000-10-19,20.27527618408203
