Date,ASML
2000-01-03,36.45452117919922
2000-01-04,34.02682876586914
2000-01-05,33.087066650390625
2000-01-06,31.050947189331055
2000-01-07,31.755756378173828
2000-01-10,34.77079391479492
2000-01-11,33.63526916503906
2000-01-12,34.26176452636719
2000-01-13,35.769283294677734
2000-01-14,39.195457458496094
2000-01-18,39.72407150268555
2000-01-19,40.409297943115234
2000-01-20,44.32493209838867
2000-01-21,43.541812896728516
2000-01-24,40.879180908203125
2000-01-25,41.74061965942383
2000-01-26,38.49065017700195
2000-01-27,38.29485321044922
2000-01-28,36.76776885986328
2000-01-31,38.51021957397461
2000-02-01,40.13521957397461
2000-02-02,41.66229248046875
2000-02-03,43.85505676269531
2000-02-04,42.915313720703125
2000-02-07,42.836997985839844
2000-02-08,45.73455810546875
2000-02-09,44.61860656738281
2000-02-10,45.10805892944336
2000-02-11,42.053871154785156
2000-02-14,41.89723587036133
2000-02-15,41.56441116333008
2000-02-16,41.34904098510742
2000-02-17,42.053871154785156
2000-02-18,39.86111831665039
2000-02-22,40.370140075683594
2000-02-23,42.32796096801758
2000-02-24,40.76171112060547
2000-02-25,38.803897857666016
2000-02-28,39.72407150268555
2000-02-29,40.13521957397461
2000-03-01,44.63820266723633
2000-03-02,44.32493209838867
2000-03-03,47.08545684814453
2000-03-06,44.55987548828125
2000-03-07,42.99362564086914
2000-03-08,41.58399200439453
2000-03-09,43.03278350830078
2000-03-10,46.96797180175781
2000-03-13,44.83396530151367
2000-03-14,43.3656005859375
2000-03-15,40.957496643066406
2000-03-16,41.427364349365234
2000-03-17,42.99362564086914
2000-03-20,42.75868606567383
2000-03-21,40.56593704223633
2000-03-22,41.427364349365234
2000-03-23,42.132179260253906
2000-03-24,41.32947540283203
2000-03-27,42.87615203857422
2000-03-28,42.40627670288086
2000-03-29,36.49367904663086
2000-03-30,34.55543899536133
2000-03-31,35.0057258605957
2000-04-03,31.325048446655273
2000-04-04,33.59610366821289
2000-04-05,37.276798248291016
2000-04-06,40.957496643066406
2000-04-07,40.68339157104492
2000-04-10,37.8054084777832
2000-04-11,36.748191833496094
2000-04-12,34.065982818603516
2000-04-13,34.100250244140625
2000-04-14,30.36571502685547
2000-04-17,32.891292572021484
2000-04-18,35.94548797607422
2000-04-19,35.29940414428711
2000-04-20,35.12321090698242
2000-04-24,31.422929763793945
2000-04-25,34.77079391479492
2000-04-26,34.359649658203125
2000-04-27,35.416873931884766
2000-04-28,37.59005355834961
2000-05-01,37.59005355834961
2000-05-02,37.3551139831543
2000-05-03,36.41536331176758
2000-05-04,35.82801818847656
2000-05-05,37.29637908935547
2000-05-08,33.24369430541992
2000-05-09,32.18647766113281
2000-05-10,30.36571502685547
2000-05-11,30.953054428100586
2000-05-12,33.0674934387207
2000-05-15,34.77079391479492
2000-05-16,36.18041229248047
2000-05-17,35.59307861328125
2000-05-18,36.062957763671875
2000-05-19,33.24369430541992
2000-05-22,30.776857376098633
2000-05-23,30.189512252807617
2000-05-24,31.187990188598633
2000-05-25,30.894319534301758
2000-05-26,33.41990661621094
2000-05-30,34.24219512939453
2000-05-31,33.41990661621094
2000-06-01,37.472591400146484
2000-06-02,40.3505744934082
2000-06-05,38.70600509643555
2000-06-06,37.6488037109375
2000-06-07,36.062957763671875
2000-06-08,37.59005355834961
2000-06-09,40.233097076416016
2000-06-12,38.471065521240234
2000-06-13,38.647274017333984
2000-06-14,37.472591400146484
2000-06-15,36.5328369140625
2000-06-16,37.472591400146484
2000-06-19,38.23611831665039
2000-06-20,40.409297943115234
2000-06-21,41.34904098510742
2000-06-22,40.99665069580078
2000-06-23,40.64423751831055
2000-06-26,40.409297943115234
2000-06-27,41.58399200439453
2000-06-28,42.11260986328125
2000-06-29,39.998165130615234
2000-06-30,41.46653747558594
2000-07-03,39.998165130615234
2000-07-05,36.356632232666016
2000-07-06,37.94245529174805
2000-07-07,39.880699157714844
2000-07-10,40.82044982910156
2000-07-11,40.409297943115234
2000-07-12,41.46653747558594
2000-07-13,41.34904098510742
2000-07-14,43.111080169677734
