Date,KIM
2000-01-03,3.096755027770996
2000-01-04,3.0681869983673096
2000-01-05,3.085327625274658
2000-01-06,3.1767454147338867
2000-01-07,3.228168249130249
2000-01-10,3.279590368270874
2000-01-11,3.239593982696533
2000-01-12,3.211026191711426
2000-01-13,3.2453086376190186
2000-01-14,3.256735324859619
2000-01-18,3.256735324859619
2000-01-19,3.262448310852051
2000-01-20,3.251020908355713
2000-01-21,3.2338809967041016
2000-01-24,3.222452163696289
2000-01-25,3.2167415618896484
2000-01-26,3.251020908355713
2000-01-27,3.251020908355713
2000-01-28,3.251020908355713
2000-01-31,3.222452163696289
2000-02-01,3.1938867568969727
2000-02-02,3.211026191711426
2000-02-03,3.2453086376190186
2000-02-04,3.2167415618896484
2000-02-07,3.211026191711426
2000-02-08,3.211026191711426
2000-02-09,3.1824593544006348
2000-02-10,3.1367504596710205
2000-02-11,3.1424648761749268
2000-02-14,3.085327625274658
2000-02-15,3.096755027770996
2000-02-16,3.1138956546783447
2000-02-17,3.1424648761749268
2000-02-18,3.102468729019165
2000-02-22,3.0796148777008057
2000-02-23,3.0567591190338135
2000-02-24,3.0681869983673096
2000-02-25,3.02247953414917
2000-02-28,3.033906936645508
2000-02-29,3.148176431655884
2000-03-01,3.108182191848755
2000-03-02,3.1653194427490234
2000-03-03,3.1538901329040527
2000-03-06,3.1138956546783447
2000-03-07,3.131037712097168
2000-03-08,3.1138956546783447
2000-03-09,3.1367504596710205
2000-03-10,3.1538901329040527
2000-03-13,3.131037712097168
2000-03-14,3.1710338592529297
2000-03-15,3.2338809967041016
2000-03-16,3.32529616355896
2000-03-17,3.3138718605041504
2000-03-20,3.353868246078491
2000-03-21,3.35957932472229
2000-03-22,3.365292549133301
2000-03-23,3.3767199516296387
2000-03-24,3.365292549133301
2000-03-27,3.371007204055786
2000-03-28,3.348151683807373
2000-03-29,3.3995730876922607
2000-03-30,3.4052891731262207
2000-03-31,3.4281437397003174
2000-04-03,3.4488484859466553
2000-04-04,3.408135414123535
2000-04-05,3.5186376571655273
2000-04-06,3.5244545936584473
2000-04-07,3.559351682662964
2000-04-10,3.5884296894073486
2000-04-11,3.6640377044677734
2000-04-12,3.6640377044677734
2000-04-13,3.6582202911376953
2000-04-14,3.6524055004119873
2000-04-17,3.6582202911376953
