Date,PM
2008-03-17,21.32242774963379
2008-03-18,21.413089752197266
2008-03-19,21.628944396972656
2008-03-20,21.21881103515625
2008-03-24,22.017492294311523
2008-03-25,22.34127426147461
2008-03-26,21.715282440185547
2008-03-27,21.879335403442383
2008-03-28,22.043392181396484
2008-03-31,21.836166381835938
2008-04-01,21.836166381835938
2008-04-02,22.108142852783203
2008-04-03,22.039073944091797
2008-04-04,22.177221298217773
2008-04-07,21.87502098083496
2008-04-08,21.844799041748047
2008-04-09,21.31810760498047
2008-04-10,21.007265090942383
2008-04-11,20.864803314208984
2008-04-14,20.722339630126953
2008-04-15,20.808683395385742
2008-04-16,21.35264778137207
2008-04-17,21.521018981933594
2008-04-18,21.568500518798828
2008-04-21,21.857759475708008
2008-04-22,21.61598777770996
2008-04-23,22.44920539855957
2008-04-24,22.44920539855957
2008-04-25,22.14700698852539
2008-04-28,22.047704696655273
2008-04-29,22.453521728515625
2008-04-30,22.030431747436523
2008-05-01,21.90956687927246
2008-05-02,22.026119232177734
2008-05-05,21.935449600219727
2008-05-06,22.39739227294922
2008-05-07,22.31536865234375
2008-05-08,22.535547256469727
2008-05-09,22.37580108642578
2008-05-12,22.6521053314209
2008-05-13,22.647794723510742
2008-05-14,22.738449096679688
2008-05-15,22.988847732543945
2008-05-16,23.044973373413086
2008-05-19,23.152894973754883
2008-05-20,22.842065811157227
2008-05-21,22.44057273864746
2008-05-22,22.570087432861328
2008-05-23,22.362855911254883
2008-05-27,22.289464950561523
2008-05-28,22.086563110351562
2008-05-29,22.45783805847168
2008-05-30,22.734132766723633
2008-06-02,22.49669647216797
2008-06-03,22.30673599243164
2008-06-04,22.42761993408203
2008-06-05,22.367177963256836
2008-06-06,21.801639556884766
2008-06-09,21.36559295654297
2008-06-10,21.36559295654297
2008-06-11,21.525331497192383
2008-06-12,22.14268684387207
2008-06-13,22.28082847595215
2008-06-16,21.90091323852539
2008-06-17,21.857759475708008
2008-06-18,21.542604446411133
2008-06-19,21.758464813232422
2008-06-20,21.68075180053711
2008-06-23,21.862071990966797
2008-06-24,22.09087562561035
2008-06-25,22.34990119934082
2008-06-26,21.84463119506836
2008-06-27,21.705249786376953
2008-06-30,21.513582229614258
2008-07-01,21.949174880981445
2008-07-02,22.040645599365234
2008-07-03,22.41961669921875
2008-07-07,22.58513069152832
2008-07-08,23.421449661254883
2008-07-09,23.52162742614746
2008-07-10,23.277706146240234
2008-07-11,23.24721908569336
2008-07-14,23.329973220825195
2008-07-15,23.216720581054688
2008-07-16,23.051204681396484
2008-07-17,22.197458267211914
2008-07-18,22.09291648864746
2008-07-21,21.988372802734375
2008-07-22,22.6722469329834
2008-07-23,22.41961669921875
2008-07-24,22.850830078125
2008-07-25,23.107826232910156
2008-07-28,22.920528411865234
2008-07-29,23.234142303466797
2008-07-30,23.24721908569336
2008-07-31,22.498004913330078
2008-08-01,22.6853084564209
2008-08-04,23.39967155456543
2008-08-05,24.044336318969727
2008-08-06,24.18808364868164
2008-08-07,23.800403594970703
2008-08-08,24.04869270324707
2008-08-11,24.28390884399414
2008-08-12,24.371036529541016
2008-08-13,24.19243812561035
2008-08-14,24.16193962097168
2008-08-15,24.20550537109375
2008-08-18,23.96157455444336
2008-08-19,23.7437801361084
2008-08-20,23.78734016418457
2008-08-21,23.87881088256836
2008-08-22,24.18808364868164
2008-08-25,23.900598526000977
2008-08-26,23.800403594970703
2008-08-27,23.565195083618164
2008-08-28,23.486791610717773
2008-08-29,23.390958786010742
2008-09-02,23.874462127685547
2008-09-03,23.5521297454834
2008-09-04,23.24721908569336
2008-09-05,23.52162742614746
2008-09-08,23.948509216308594
2008-09-09,23.86138153076172
2008-09-10,23.791704177856445
2008-09-11,24.112850189208984
2008-09-12,23.61573028564453
2008-09-15,23.23737907409668
2008-09-16,23.655315399169922
2008-09-17,21.548023223876953
2008-09-18,21.996753692626953
2008-09-19,22.621475219726562
2008-09-22,22.00995635986328
2008-09-23,21.66680335998535
2008-09-24,21.90437889099121
2008-09-25,22.70505714416504
2008-09-26,22.392704010009766
2008-09-29,20.588966369628906
2008-09-30,21.1608829498291
2008-10-01,22.339916229248047
2008-10-02,21.592025756835938
2008-10-03,21.851585388183594
2008-10-06,20.289804458618164
2008-10-07,19.51552391052246
2008-10-08,18.939208984375
2008-10-09,17.157474517822266
2008-10-10,17.483022689819336
2008-10-13,19.792686462402344
2008-10-14,19.37474250793457
2008-10-15,17.95815658569336
2008-10-16,18.92161750793457
2008-10-17,19.0491886138916
2008-10-20,19.088790893554688
2008-10-21,18.547670364379883
2008-10-22,17.962553024291992
2008-10-23,18.899616241455078
2008-10-24,17.817378997802734
2008-10-27,17.18387222290039
