Date,DELL
2016-08-17,10.98052978515625
2016-08-18,10.916688919067383
2016-08-19,11.108211517333984
2016-08-22,11.146514892578125
2016-08-23,11.491253852844238
2016-08-24,11.644469261169434
2016-08-25,11.595948219299316
2016-08-26,11.682771682739258
2016-08-29,11.823220252990723
2016-08-30,11.529556274414062
2016-08-31,11.409537315368652
2016-09-01,11.108211517333984
2016-09-02,10.975422859191895
2016-09-06,11.60616397857666
2016-09-07,12.25733470916748
2016-09-08,12.847219467163086
2016-09-09,12.533124923706055
2016-09-12,12.61484146118164
2016-09-13,12.385017395019531
2016-09-14,12.346712112426758
2016-09-15,12.484606742858887
2016-09-16,12.377354621887207
2016-09-19,12.451410293579102
2016-09-20,12.44374942779541
2016-09-21,12.364585876464844
2016-09-22,12.264997482299805
2016-09-23,12.259889602661133
2016-09-26,12.229247093200684
2016-09-27,12.203706741333008
2016-09-28,12.221585273742676
2016-09-29,12.147530555725098
2016-09-30,12.206263542175293
2016-10-03,12.239461898803711
2016-10-04,12.221585273742676
2016-10-05,12.377354621887207
2016-10-06,12.356927871704102
2016-10-07,12.275209426879883
2016-10-10,12.134761810302734
2016-10-11,12.03772258758545
2016-10-12,12.03006362915039
2016-10-13,12.035172462463379
2016-10-14,12.063262939453125
2016-10-17,12.101566314697266
2016-10-18,12.175619125366211
2016-10-19,12.183280944824219
2016-10-20,12.180726051330566
2016-10-21,12.063262939453125
2016-10-24,12.242012977600098
2016-10-25,11.999422073364258
2016-10-26,11.930471420288086
2016-10-27,12.341605186462402
2016-10-28,12.479499816894531
2016-10-31,12.53567886352539
2016-11-01,12.377354621887207
2016-11-02,12.512696266174316
2016-11-03,12.453964233398438
2016-11-04,12.41565990447998
2016-11-07,12.645485877990723
2016-11-08,12.686342239379883
2016-11-09,12.607182502746582
2016-11-10,12.579092979431152
2016-11-11,12.551000595092773
2016-11-14,12.510144233703613
2016-11-15,12.788485527038574
2016-11-16,12.934042930603027
2016-11-17,13.227706909179688
2016-11-18,13.276225090026855
2016-11-21,13.391141891479492
2016-11-22,13.301762580871582
2016-11-23,13.161314010620117
2016-11-25,13.327299118041992
2016-11-28,13.314530372619629
2016-11-29,13.60308837890625
2016-11-30,13.677145957946777
2016-12-01,13.248137474060059
2016-12-02,13.470300674438477
2016-12-05,13.54946231842041
2016-12-06,13.628625869750977
2016-12-07,13.763967514038086
2016-12-08,13.769075393676758
2016-12-09,13.781842231750488
2016-12-12,13.763967514038086
2016-12-13,13.730770111083984
2016-12-14,13.84312629699707
2016-12-15,14.494300842285156
2016-12-16,14.412585258483887
2016-12-19,14.39981746673584
2016-12-20,14.568353652954102
2016-12-21,14.62964153289795
2016-12-22,14.259367942810059
2016-12-23,14.323205947875977
2016-12-27,14.312994003295898
2016-12-28,14.131688117980957
2016-12-29,14.11125659942627
2016-12-30,14.037201881408691
2017-01-03,13.935057640075684
2017-01-04,14.044864654541016
2017-01-05,14.113810539245605
2017-01-06,14.501960754394531
2017-01-09,14.4253511428833
2017-01-10,14.553030967712402
2017-01-11,14.703694343566895
2017-01-12,14.719017028808594
2017-01-13,14.854360580444336
2017-01-17,14.795624732971191
2017-01-18,14.956503868103027
2017-01-19,15.017789840698242
2017-01-20,15.132702827453613
2017-01-23,14.882452011108398
2017-01-24,15.262935638427734
2017-01-25,15.336992263793945
2017-01-26,15.222076416015625
2017-01-27,15.972840309143066
2017-01-30,15.944755554199219
2017-01-31,16.085203170776367
2017-02-01,16.11328887939453
2017-02-02,16.332904815673828
2017-02-03,16.432491302490234
2017-02-06,16.50398826599121
2017-02-07,16.56272315979004
2017-02-08,16.5576171875
2017-02-09,16.598478317260742
2017-02-10,16.529523849487305
2017-02-13,16.555068969726562
2017-02-14,16.56017303466797
2017-02-15,16.629121780395508
2017-02-16,16.629121780395508
2017-02-17,16.493778228759766
2017-02-21,16.62401008605957
2017-02-22,16.53973960876465
2017-02-23,16.373760223388672
2017-02-24,16.404399871826172
2017-02-27,16.353330612182617
2017-02-28,16.212879180908203
2017-03-01,16.363544464111328
2017-03-02,16.207767486572266
2017-03-03,16.200111389160156
2017-03-06,16.013700485229492
2017-03-07,16.10051727294922
2017-03-08,16.220539093017578
2017-03-09,16.120948791503906
2017-03-10,16.210323333740234
2017-03-13,16.215429306030273
2017-03-14,16.212879180908203
2017-03-15,16.2741641998291
2017-03-16,16.343111038208008
2017-03-17,16.391633987426758
2017-03-20,16.360992431640625
2017-03-21,15.944755554199219
2017-03-22,16.082645416259766
2017-03-23,16.10818099975586
2017-03-24,16.182233810424805
2017-03-27,16.182233810424805
2017-03-28,16.233308792114258
2017-03-29,16.31757926940918
2017-03-30,16.340560913085938
2017-03-31,16.363544464111328
2017-04-03,16.304811477661133
2017-04-04,16.389081954956055
2017-04-05,16.34821891784668
2017-04-06,16.394187927246094
2017-04-07,16.565277099609375
2017-04-10,16.57549476623535
2017-04-11,16.626562118530273
2017-04-12,16.31757926940918
2017-04-13,16.32268524169922
2017-04-17,16.406957626342773
2017-04-18,16.442703247070312
2017-04-19,16.478456497192383
2017-04-20,16.572940826416016
