Date,C
2000-01-03,205.71766662597656
2000-01-04,193.10304260253906
2000-01-05,200.86582946777344
2000-01-06,210.56951904296875
2000-01-07,209.59912109375
2000-01-10,208.87144470214844
2000-01-11,206.20289611816406
2000-01-12,213.48060607910156
2000-01-13,215.9065399169922
2000-01-14,225.12498474121094
2000-01-18,227.06573486328125
2000-01-19,231.9175262451172
2000-01-20,227.49037170410156
2000-01-21,219.06021118164062
2000-01-24,214.20835876464844
2000-01-25,216.87698364257812
2000-01-26,225.61026000976562
2000-01-27,229.0064697265625
2000-01-28,217.84738159179688
2000-01-31,221.24349975585938
2000-02-01,226.0953826904297
2000-02-02,224.15467834472656
2000-02-03,219.18231201171875
2000-02-04,213.1006622314453
2000-02-07,211.6409912109375
2000-02-08,217.96592712402344
2000-02-09,210.9113006591797
2000-02-10,208.96514892578125
2000-02-11,210.1814422607422
2000-02-14,210.1814422607422
2000-02-15,213.587158203125
2000-02-16,208.72190856933594
2000-02-17,204.34320068359375
2000-02-18,200.20762634277344
2000-02-22,198.50473022460938
2000-02-23,198.26145935058594
2000-02-24,191.6932373046875
2000-02-25,186.8280487060547
2000-02-28,190.72021484375
2000-02-29,201.42391967773438
2000-03-01,200.9373779296875
2000-03-02,200.45079040527344
2000-03-03,207.9920654296875
2000-03-06,203.12673950195312
2000-03-07,196.0720977783203
2000-03-08,196.55848693847656
2000-03-09,196.0720977783203
2000-03-10,190.72021484375
2000-03-13,194.36915588378906
2000-03-14,193.63949584960938
2000-03-15,203.37005615234375
2000-03-16,218.45257568359375
2000-03-17,221.85818481445312
2000-03-20,218.69586181640625
2000-03-21,225.99363708496094
2000-03-22,228.66969299316406
2000-03-23,240.10316467285156
2000-03-24,235.72445678710938
2000-03-27,233.7781982421875
2000-03-28,237.42726135253906
2000-03-29,236.45416259765625
2000-03-30,237.42726135253906
2000-03-31,233.04843139648438
2000-04-03,241.31942749023438
2000-04-04,229.64276123046875
2000-04-05,228.4264678955078
2000-04-06,230.8590087890625
2000-04-07,229.64276123046875
