Date,ICE
2005-11-16,6.698752403259277
2005-11-17,6.016077041625977
2005-11-18,5.973409652709961
2005-11-21,6.127010822296143
2005-11-22,5.964876651763916
2005-11-23,5.794206142425537
2005-11-25,5.82834005355835
2005-11-28,5.683272361755371
2005-11-29,5.456281661987305
2005-11-30,5.512604713439941
2005-12-01,5.973409652709961
2005-12-02,6.1611456871032715
2005-12-05,6.282320499420166
2005-12-06,6.243066787719727
2005-12-07,6.050210475921631
2005-12-08,6.144078731536865
2005-12-09,6.178213119506836
2005-12-12,6.220879554748535
2005-12-13,6.0741047859191895
2005-12-14,5.973409652709961
2005-12-15,5.802741050720215
2005-12-16,5.835169792175293
2005-12-19,5.865889072418213
2005-12-20,5.963168144226074
2005-12-21,5.937568187713623
2005-12-22,5.922208309173584
2005-12-23,5.845407485961914
2005-12-27,6.016077041625977
2005-12-28,5.987062454223633
2005-12-29,6.167973041534424
2005-12-30,6.203812122344971
2006-01-03,6.461523056030273
2006-01-04,6.297680854797363
2006-01-05,6.708992958068848
2006-01-06,6.881368160247803
2006-01-09,7.44287109375
2006-01-10,7.852474689483643
2006-01-11,8.007781028747559
2006-01-12,7.502601623535156
2006-01-13,7.603297233581543
2006-01-17,7.915622234344482
2006-01-18,7.813220024108887
2006-01-19,8.09823989868164
2006-01-20,7.901967525482178
2006-01-23,8.152850151062012
2006-01-24,9.007901191711426
2006-01-25,9.045450210571289
2006-01-26,8.951581954956055
2006-01-27,8.705816268920898
2006-01-30,8.383255958557129
2006-01-31,8.673393249511719
2006-02-01,9.494308471679688
2006-02-02,9.420923233032227
2006-02-03,9.473827362060547
2006-02-06,9.507959365844727
2006-02-07,9.122249603271484
2006-02-08,9.127370834350586
2006-02-09,9.043744087219238
2006-02-10,8.82869815826416
2006-02-13,9.001077651977539
2006-02-14,8.871368408203125
2006-02-15,8.871368408203125
2006-02-16,8.801389694213867
2006-02-17,8.765552520751953
2006-02-21,8.472000122070312
2006-02-22,8.402029037475586
2006-02-23,8.516374588012695
2006-02-24,9.3014497756958
2006-02-27,9.702526092529297
2006-02-28,9.34411907196045
2006-03-01,9.687163352966309
2006-03-02,10.130903244018555
2006-03-03,10.342535972595215
2006-03-06,10.463705062866211
2006-03-07,10.240130424499512
2006-03-08,10.101890563964844
2006-03-09,10.921099662780762
2006-03-10,11.458707809448242
2006-03-13,12.16527271270752
2006-03-14,11.711298942565918
2006-03-15,11.825645446777344
2006-03-16,11.398975372314453
2006-03-17,11.62254524230957
2006-03-20,12.146501541137695
2006-03-21,11.989487648010254
2006-03-22,11.603775978088379
2006-03-23,11.443343162536621
2006-03-24,11.468947410583496
2006-03-27,11.921216011047363
2006-03-28,11.707883834838867
2006-03-29,11.56281566619873
2006-03-30,12.17210578918457
2006-03-31,11.784685134887695
2006-04-03,10.769200325012207
2006-04-04,11.093475341796875
2006-04-05,10.723121643066406
2006-04-06,10.205997467041016
2006-04-07,9.045450210571289
2006-04-10,9.311690330505371
2006-04-11,9.661559104919434
2006-04-12,9.83735466003418
2006-04-13,10.026795387268066
2006-04-17,9.876603126525879
2006-04-18,11.291452407836914
2006-04-19,11.823936462402344
2006-04-20,11.946819305419922
2006-04-21,11.77614974975586
2006-04-24,11.477481842041016
2006-04-25,11.914388656616211
2006-04-26,11.999727249145508
2006-04-27,12.219889640808105
2006-04-28,12.17039680480957
2006-05-01,11.427983283996582
2006-05-02,11.554281234741211
2006-05-03,11.97071361541748
2006-05-04,11.777859687805176
2006-05-05,12.665334701538086
2006-05-08,13.45723819732666
2006-05-09,13.177339553833008
2006-05-10,13.279740333557129
2006-05-11,13.51185131072998
2006-05-12,12.899155616760254
2006-05-15,13.040806770324707
2006-05-16,12.933284759521484
2006-05-17,11.946819305419922
2006-05-18,11.595242500305176
2006-05-19,11.950230598449707
2006-05-22,10.176981925964355
2006-05-23,10.059221267700195
2006-05-24,9.269024848937988
2006-05-25,9.557456016540527
2006-05-26,9.803215980529785
2006-05-30,9.069341659545898
2006-05-31,9.506257057189941
2006-06-01,9.513078689575195
2006-06-02,9.3475341796875
2006-06-05,8.803101539611816
2006-06-06,8.594884872436523
2006-06-07,8.651205062866211
2006-06-08,8.5283203125
2006-06-09,8.676804542541504
2006-06-12,8.362775802612305
2006-06-13,7.850768566131592
2006-06-14,8.021435737609863
2006-06-15,8.364483833312988
2006-06-16,8.634135246276855
2006-06-19,8.560747146606445
2006-06-20,8.466882705688477
2006-06-21,9.166625022888184
2006-06-22,9.047158241271973
2006-06-23,9.29120922088623
2006-06-26,9.34411907196045
2006-06-27,9.139317512512207
2006-06-28,8.88331413269043
2006-06-29,9.44651985168457
2006-06-30,9.88855266571045
2006-07-03,10.127490043640137
2006-07-05,9.897087097167969
2006-07-06,9.825407028198242
2006-07-07,9.36460018157959
2006-07-10,9.013020515441895
2006-07-11,9.47212028503418
2006-07-12,9.984128952026367
2006-07-13,10.205997467041016
2006-07-14,10.17357063293457
2006-07-17,9.917566299438477
2006-07-18,9.60865592956543
2006-07-19,10.031913757324219
2006-07-20,9.886844635009766
2006-07-21,9.915858268737793
2006-07-24,10.368133544921875
2006-07-25,10.265730857849121
2006-07-26,9.762258529663086
2006-07-27,9.728127479553223
2006-07-28,10.06434440612793
2006-07-31,10.171859741210938
2006-08-01,10.08993911743164
2006-08-02,10.137727737426758
2006-08-03,9.999485969543457
2006-08-04,10.147970199584961
2006-08-07,10.026795387268066
2006-08-08,10.188931465148926
2006-08-09,10.20770263671875
2006-08-10,10.494429588317871
2006-08-11,10.286211013793945
2006-08-14,10.246956825256348
2006-08-15,10.385199546813965
2006-08-16,10.670215606689453
2006-08-17,10.89549732208252
2006-08-18,10.984245300292969
2006-08-21,11.033740997314453
2006-08-22,10.65314769744873
2006-08-23,10.671923637390137
2006-08-24,10.374957084655762
2006-08-25,10.600237846374512
2006-08-28,10.4756498336792
2006-08-29,10.5729341506958
2006-08-30,10.852828979492188
2006-08-31,10.796510696411133
2006-09-01,10.86307430267334
2006-09-05,11.131025314331055
2006-09-06,11.129315376281738
2006-09-07,10.941579818725586
2006-09-08,10.934754371643066
2006-09-11,10.822111129760742
2006-09-12,10.799925804138184
2006-09-13,11.045686721801758
2006-09-14,11.030326843261719
2006-09-15,12.689230918884277
2006-09-18,12.996429443359375
2006-09-19,12.624375343322754
2006-09-20,12.364959716796875
2006-09-21,13.121021270751953
2006-09-22,12.576589584350586
2006-09-25,11.856365203857422
2006-09-26,11.948526382446289
2006-09-27,12.218182563781738
2006-09-28,12.315464973449707
2006-09-29,12.81210994720459
2006-10-02,12.706294059753418
2006-10-03,13.177339553833008
2006-10-04,13.866842269897461
2006-10-05,14.346424102783203
2006-10-06,14.575115203857422
2006-10-09,14.493197441101074
2006-10-10,14.904516220092773
2006-10-11,14.984719276428223
2006-10-12,14.319112777709961
2006-10-13,14.160391807556152
2006-10-16,13.192705154418945
2006-10-17,13.93852424621582
2006-10-18,13.974364280700684
2006-10-19,13.918046951293945
2006-10-20,13.957301139831543
2006-10-23,14.064814567565918
2006-10-24,14.305461883544922
2006-10-25,14.257675170898438
2006-10-26,14.621203422546387
2006-10-27,14.414694786071777
2006-10-30,14.018736839294434
2006-10-31,14.407862663269043
