Date,ES
2000-01-03,8.56914234161377
2000-01-04,8.56914234161377
2000-01-05,8.620917320251465
2000-01-06,8.724470138549805
2000-01-07,8.802140235900879
2000-01-10,8.724470138549805
2000-01-11,8.698587417602539
2000-01-12,8.75036334991455
2000-01-13,8.672697067260742
2000-01-14,8.543253898620605
2000-01-18,8.33614444732666
2000-01-19,8.33614444732666
2000-01-20,8.543253898620605
2000-01-21,8.517363548278809
2000-01-24,8.18081283569336
2000-01-25,8.232590675354004
2000-01-26,8.387921333312988
2000-01-27,8.517363548278809
2000-01-28,8.465584754943848
2000-01-31,8.491475105285645
2000-02-01,8.413808822631836
2000-02-02,8.413808822631836
2000-02-03,8.465584754943848
2000-02-04,8.362032890319824
2000-02-07,8.362032890319824
2000-02-08,8.33614444732666
2000-02-09,8.387921333312988
2000-02-10,8.232590675354004
2000-02-11,8.02547836303711
2000-02-14,7.99959135055542
2000-02-15,7.94781494140625
2000-02-16,7.844259262084961
2000-02-17,7.94781494140625
2000-02-18,7.844259262084961
2000-02-22,7.637152671813965
2000-02-23,7.7665934562683105
2000-02-24,7.585371971130371
2000-02-25,7.5594868659973145
2000-02-28,7.792479991912842
2000-02-29,7.792479991912842
2000-03-01,7.94781494140625
2000-03-02,8.067523956298828
2000-03-03,8.119574546813965
2000-03-06,7.989455223083496
2000-03-07,8.119574546813965
2000-03-08,8.171623229980469
2000-03-09,8.067523956298828
2000-03-10,8.275721549987793
2000-03-13,8.145598411560059
2000-03-14,8.067523956298828
2000-03-15,8.067523956298828
2000-03-16,8.249695777893066
2000-03-17,8.275721549987793
2000-03-20,8.379817008972168
2000-03-21,8.353793144226074
2000-03-22,8.379817008972168
2000-03-23,8.5880126953125
2000-03-24,8.535962104797363
2000-03-27,8.69211196899414
2000-03-28,8.718132972717285
2000-03-29,8.69211196899414
2000-03-30,8.77017879486084
2000-03-31,8.952349662780762
2000-04-03,8.744160652160645
2000-04-04,8.744160652160645
2000-04-05,8.69211196899414
2000-04-06,8.718132972717285
2000-04-07,8.744160652160645
2000-04-10,8.900299072265625
2000-04-11,8.82223129272461
2000-04-12,8.900299072265625
2000-04-13,8.952349662780762
2000-04-14,9.004399299621582
2000-04-17,8.978377342224121
2000-04-18,8.744160652160645
2000-04-19,8.952349662780762
2000-04-20,8.926324844360352
2000-04-24,8.900299072265625
2000-04-25,9.030425071716309
2000-04-26,9.108495712280273
2000-04-27,9.004399299621582
2000-04-28,8.952349662780762
2000-05-01,8.82223129272461
2000-05-02,8.796208381652832
2000-05-03,8.77017879486084
2000-05-04,8.978377342224121
2000-05-05,9.056447982788086
2000-05-08,9.238616943359375
2000-05-09,9.264641761779785
2000-05-10,9.212596893310547
2000-05-11,9.342714309692383
2000-05-12,9.316693305969238
2000-05-15,9.108495712280273
