Date,PNR
2000-01-03,7.455044746398926
2000-01-04,7.339162826538086
2000-01-05,7.455044746398926
2000-01-06,7.416417598724365
2000-01-07,7.7125563621521
2000-01-10,7.4936699867248535
2000-01-11,7.416417598724365
2000-01-12,7.416417598724365
2000-01-13,7.390668869018555
2000-01-14,7.300533771514893
2000-01-18,7.18465518951416
2000-01-19,7.18465518951416
2000-01-20,7.05589485168457
2000-01-21,7.120271682739258
2000-01-24,6.798384189605713
2000-01-25,6.579495906829834
2000-01-26,6.586742401123047
2000-01-27,6.806729316711426
2000-01-28,6.7808518409729
2000-01-31,6.936136245727539
2000-02-01,6.9749579429626465
2000-02-02,7.104362487792969
2000-02-03,7.130244255065918
2000-02-04,7.156122207641602
2000-02-07,7.596102714538574
2000-02-08,7.45375919342041
2000-02-09,7.466697692871094
2000-02-10,7.427880764007568
2000-02-11,7.117305755615234
2000-02-14,7.427880764007568
2000-02-15,7.376115322113037
2000-02-16,7.47963809967041
2000-02-17,7.350232124328613
2000-02-18,7.440818786621094
2000-02-22,7.583163261413574
2000-02-23,7.609043121337891
2000-02-24,7.169064998626709
2000-02-25,7.130244255065918
2000-02-28,7.0784807205200195
2000-02-29,7.117305755615234
2000-03-01,7.401996612548828
2000-03-02,7.272591590881348
2000-03-03,7.505520820617676
2000-03-06,7.466697692871094
2000-03-07,7.660806655883789
2000-03-08,7.505520820617676
2000-03-09,7.686690807342529
2000-03-10,7.699626922607422
2000-03-13,7.45375919342041
2000-03-14,7.246711730957031
2000-03-15,7.557281017303467
2000-03-16,8.165486335754395
2000-03-17,7.854915618896484
2000-03-20,7.686690807342529
2000-03-21,7.634925365447998
2000-03-22,7.764329433441162
2000-03-23,7.7255120277404785
2000-03-24,7.7255120277404785
2000-03-27,7.609043121337891
2000-03-28,7.376115322113037
2000-03-29,7.311415195465088
2000-03-30,7.621984004974365
2000-03-31,7.673744201660156
2000-04-03,8.178430557250977
2000-04-04,8.139607429504395
2000-04-05,7.919619560241699
2000-04-06,7.816089630126953
2000-04-07,7.9843244552612305
2000-04-10,8.010201454162598
2000-04-11,8.217252731323242
2000-04-12,8.036086082458496
2000-04-13,7.945500373840332
2000-04-14,7.440818786621094
2000-04-17,7.841976165771484
2000-04-18,7.997265338897705
2000-04-19,7.867852210998535
2000-04-20,7.880794525146484
2000-04-24,7.7255120277404785
2000-04-25,7.945500373840332
2000-04-26,7.874810695648193
2000-04-27,7.913788318634033
2000-04-28,7.952775955200195
2000-05-01,8.1347017288208
2000-05-02,8.368607521057129
2000-05-03,8.160690307617188
2000-05-04,8.264649391174316
2000-05-05,8.290639877319336
2000-05-08,8.34261703491211
