Date,PG
2000-01-03,26.633142471313477
2000-01-04,26.120685577392578
2000-01-05,25.62373161315918
2000-01-06,26.803985595703125
2000-01-07,28.94706153869629
2000-01-10,28.80727767944336
2000-01-11,29.257640838623047
2000-01-12,29.07128143310547
2000-01-13,28.574331283569336
2000-01-14,29.07128143310547
2000-01-18,29.05574607849121
2000-01-19,28.746173858642578
2000-01-20,28.04543113708496
2000-01-21,25.585037231445312
2000-01-24,25.694040298461914
2000-01-25,24.29254722595215
2000-01-26,25.07115936279297
2000-01-27,25.92762565612793
2000-01-28,24.993301391601562
2000-01-31,25.180156707763672
2000-02-01,24.79085922241211
2000-02-02,24.572843551635742
2000-02-03,24.370410919189453
2000-02-04,23.607358932495117
2000-02-07,23.23365020751953
2000-02-08,23.856523513793945
2000-02-09,23.42049789428711
2000-02-10,22.78205680847168
2000-02-11,23.35820770263672
2000-02-14,22.891042709350586
2000-02-15,23.856523513793945
2000-02-16,23.43218421936035
2000-02-17,23.46722412109375
2000-02-18,23.33096694946289
2000-02-22,23.140193939208984
2000-02-23,22.579608917236328
2000-02-24,22.05014991760254
2000-02-25,21.209259033203125
2000-02-28,22.019014358520508
2000-02-29,21.894445419311523
2000-03-01,21.987865447998047
2000-03-02,21.754287719726562
2000-03-03,22.034576416015625
2000-03-06,21.78542709350586
2000-03-07,15.198407173156738
2000-03-08,14.45095443725586
2000-03-09,14.38866901397705
2000-03-10,13.392053604125977
2000-03-13,14.264087677001953
2000-03-14,13.890356063842773
2000-03-15,14.57552719116211
2000-03-16,14.91811752319336
2000-03-17,14.357522010803223
2000-03-20,14.482095718383789
2000-03-21,14.201793670654297
2000-03-22,14.201793670654297
2000-03-23,13.999350547790527
2000-03-24,14.061640739440918
2000-03-27,13.765769004821777
2000-03-28,14.201793670654297
2000-03-29,14.622237205505371
2000-03-30,14.45095443725586
2000-03-31,14.139503479003906
2000-04-03,14.824677467346191
2000-04-04,15.82129955291748
2000-04-05,15.338560104370117
2000-04-06,15.634431838989258
2000-04-07,15.805724143981934
2000-04-10,16.444190979003906
2000-04-11,16.553186416625977
2000-04-12,17.269514083862305
2000-04-13,17.31622886657715
2000-04-14,15.6967191696167
2000-04-17,17.1916446685791
2000-04-18,16.536455154418945
2000-04-19,16.536455154418945
2000-04-20,17.2561092376709
2000-04-24,17.64722442626953
2000-04-25,16.08275604248047
2000-04-26,15.206645965576172
2000-04-27,15.237937927246094
2000-04-28,14.956329345703125
2000-05-01,14.944591522216797
2000-05-02,14.97197437286377
2000-05-03,15.1753568649292
2000-05-04,15.128425598144531
2000-05-05,15.237937927246094
2000-05-08,15.316160202026367
