Date,VTRS
2000-01-03,8.235786437988281
2000-01-04,7.855672836303711
2000-01-05,7.982377052307129
2000-01-06,8.024614334106445
2000-01-07,8.4469575881958
2000-01-10,8.615900039672852
2000-01-11,9.122714042663574
2000-01-12,8.911541938781738
2000-01-13,9.122714042663574
2000-01-14,9.228303909301758
2000-01-18,9.355006217956543
2000-01-19,9.439474105834961
2000-01-20,9.355006217956543
2000-01-21,9.038243293762207
2000-01-24,8.573662757873535
2000-01-25,8.594780921936035
2000-01-26,8.4469575881958
2000-01-27,8.594780921936035
2000-01-28,8.869306564331055
2000-01-31,8.99600887298584
2000-02-01,8.679251670837402
2000-02-02,8.594780921936035
2000-02-03,8.594780921936035
2000-02-04,8.468072891235352
2000-02-07,8.615900039672852
2000-02-08,8.573662757873535
2000-02-09,8.425841331481934
2000-02-10,8.3413724899292
2000-02-11,8.235786437988281
2000-02-14,8.17243480682373
2000-02-15,8.04572868347168
2000-02-16,7.897904872894287
2000-02-17,8.214668273925781
2000-02-18,8.256900787353516
2000-02-22,7.813436508178711
2000-02-23,7.813436508178711
2000-02-24,8.00349235534668
2000-02-25,7.876786708831787
2000-02-28,7.665613651275635
2000-02-29,7.771199703216553
2000-03-01,7.707851886749268
2000-03-02,8.151312828063965
2000-03-03,9.967409133911133
2000-03-06,9.397239685058594
2000-03-07,9.207186698913574
2000-03-08,9.439474105834961
2000-03-09,9.629531860351562
2000-03-10,9.418359756469727
2000-03-13,9.249421119689941
2000-03-14,9.05936050415039
2000-03-15,9.355006217956543
2000-03-16,10.13634967803955
2000-03-17,9.904059410095215
2000-03-20,9.481709480285645
2000-03-21,9.840706825256348
2000-03-22,9.523946762084961
2000-03-23,9.460593223571777
2000-03-24,9.418359756469727
2000-03-27,9.122714042663574
2000-03-28,8.827070236206055
2000-03-29,8.840608596801758
2000-03-30,8.819457054138184
2000-03-31,9.305903434753418
2000-04-03,9.221302032470703
2000-04-04,9.580850601196289
2000-04-05,10.024995803833008
2000-04-06,10.024995803833008
2000-04-07,10.236493110656738
2000-04-10,10.236493110656738
2000-04-11,10.0884428024292
2000-04-12,9.961544036865234
2000-04-13,10.003844261169434
2000-04-14,9.771198272705078
2000-04-17,9.390499114990234
2000-04-18,9.686598777770996
2000-04-19,10.003844261169434
2000-04-20,9.771198272705078
2000-04-24,9.89809513092041
2000-04-25,9.475099563598633
2000-04-26,9.411649703979492
2000-04-27,9.390499114990234
2000-04-28,9.602002143859863
2000-05-01,9.728899955749512
2000-05-02,9.728899955749512
2000-05-03,9.665445327758789
2000-05-04,10.447993278503418
2000-05-05,10.913286209106445
2000-05-08,10.617186546325684
2000-05-09,10.807538032531738
2000-05-10,10.511442184448242
2000-05-11,8.079215049743652
2000-05-12,8.565661430358887
2000-05-15,8.882906913757324
2000-05-16,8.861759185791016
2000-05-17,8.777159690856934
2000-05-18,8.819457054138184
2000-05-19,8.840608596801758
2000-05-22,8.734856605529785
2000-05-23,8.925207138061523
2000-05-24,8.935779571533203
2000-05-25,9.16843032836914
2000-05-26,9.083831787109375
2000-05-30,9.052103996276855
2000-05-31,9.07325553894043
2000-06-01,9.030954360961914
2000-06-02,9.07325553894043
2000-06-05,9.200154304504395
2000-06-06,9.052103996276855
2000-06-07,8.523359298706055
2000-06-08,7.994614601135254
2000-06-09,5.8584885597229
2000-06-12,6.0699872970581055
2000-06-13,6.0699872970581055
2000-06-14,5.900789737701416
2000-06-15,6.154585838317871
2000-06-16,6.133436679840088
2000-06-19,5.964236259460449
2000-06-20,5.943087100982666
2000-06-21,5.879637241363525
2000-06-22,5.8584885597229
2000-06-23,5.752742290496826
2000-06-26,5.795039653778076
2000-06-27,5.8584885597229
2000-06-28,5.89325475692749
2000-06-29,6.062845706939697
2000-06-30,6.147641181945801
2000-07-03,6.126440525054932
2000-07-05,6.3596272468566895
2000-07-06,6.338430404663086
2000-07-07,6.635210990905762
2000-07-10,6.677610397338867
2000-07-11,6.444422721862793
2000-07-12,6.614011764526367
2000-07-13,6.486819744110107
2000-07-14,6.3596272468566895
2000-07-17,6.7624030113220215
2000-07-18,6.7624030113220215
2000-07-19,6.783603668212891
2000-07-20,6.677610397338867
2000-07-21,6.6988067626953125
2000-07-24,7.276475429534912
2000-07-25,7.419563293457031
2000-07-26,7.080386638641357
2000-07-27,7.419563293457031
2000-07-28,7.249976634979248
2000-07-31,7.207578659057617
2000-08-01,7.249976634979248
2000-08-02,7.419563293457031
2000-08-03,7.69514799118042
2000-08-04,7.716350078582764
2000-08-07,7.758747577667236
2000-08-08,7.626253604888916
2000-08-09,7.69514799118042
2000-08-10,8.055527687072754
2000-08-11,9.327454566955566
2000-08-14,8.839881896972656
2000-08-15,8.58549690246582
2000-08-16,8.776286125183105
2000-08-17,9.073071479797363
2000-08-18,8.882281303405762
2000-08-21,8.90347957611084
2000-08-22,9.306255340576172
2000-08-23,9.009474754333496
2000-08-24,9.306255340576172
2000-08-25,9.263855934143066
2000-08-28,9.115467071533203
2000-08-29,8.882281303405762
2000-08-30,9.157865524291992
2000-08-31,9.009474754333496
2000-09-01,9.200260162353516
2000-09-05,9.327454566955566
2000-09-06,8.96707534790039
2000-09-07,9.475845336914062
2000-09-08,9.369852066040039
2000-09-11,9.369852066040039
2000-09-12,9.348651885986328
2000-09-13,9.22145938873291
2000-09-14,9.05186939239502
2000-09-15,8.96707534790039
2000-09-18,8.818683624267578
2000-09-19,8.394707679748535
2000-09-20,9.094269752502441
2000-09-21,9.05186939239502
2000-09-22,9.136663436889648
2000-09-25,9.009474754333496
2000-09-26,9.242655754089355
2000-09-27,9.468544960021973
2000-09-28,9.2987060546875
2000-09-29,9.150094032287598
2000-10-02,9.53223705291748
2000-10-03,9.447315216064453
2000-10-04,9.277474403381348
2000-10-05,9.511006355285645
2000-10-06,9.2987060546875
2000-10-09,9.171326637268066
2000-10-10,9.702073097229004
2000-10-11,9.57469654083252
2000-10-12,9.383630752563477
2000-10-13,9.213786125183105
2000-10-16,9.702073097229004
2000-10-17,10.020524024963379
2000-10-18,9.935606002807617
2000-10-19,9.808223724365234
2000-10-20,10.190364837646484
2000-10-23,10.041753768920898
2000-10-24,9.277474403381348
2000-10-25,9.128867149353027
2000-10-26,9.319933891296387
2000-10-27,9.277474403381348
2000-10-30,9.617156028747559
2000-10-31,9.511006355285645
2000-11-01,9.786995887756348
2000-11-02,9.97806453704834
2000-11-03,9.765765190124512
2000-11-06,10.190364837646484
2000-11-07,10.020524024963379
2000-11-08,10.147902488708496
2000-11-09,9.956838607788086
2000-11-10,9.638385772705078
2000-11-13,9.256244659423828
2000-11-14,9.468544960021973
2000-11-15,9.404855728149414
2000-11-16,9.2987060546875
