Date,IRM
2000-01-03,3.8510806560516357
2000-01-04,3.729679822921753
2000-01-05,3.6082801818847656
2000-01-06,3.5745582580566406
2000-01-07,3.561068296432495
2000-01-10,3.7431695461273193
2000-01-11,3.7836365699768066
2000-01-12,3.6352574825286865
2000-01-13,3.668980836868286
2000-01-14,3.6622354984283447
2000-01-18,3.527348279953003
2000-01-19,3.527348279953003
2000-01-20,3.6150259971618652
2000-01-21,3.7229347229003906
2000-01-24,3.763401985168457
2000-01-25,3.628513813018799
2000-01-26,3.6150259971618652
2000-01-27,3.6150259971618652
2000-01-28,3.668980836868286
2000-01-31,3.561068296432495
2000-02-01,3.520603895187378
2000-02-02,3.601536273956299
2000-02-03,3.628513813018799
2000-02-04,3.7566583156585693
2000-02-07,3.561068296432495
2000-02-08,3.682469129562378
2000-02-09,3.466646909713745
2000-02-10,3.3924570083618164
2000-02-11,3.3857133388519287
2000-02-14,3.237334966659546
2000-02-15,3.351992130279541
2000-02-16,3.351992130279541
2000-02-17,3.6082801818847656
2000-02-18,3.534090757369995
2000-02-22,3.4599010944366455
2000-02-23,3.378969669342041
2000-02-24,3.2912914752960205
2000-02-25,3.156402111053467
2000-02-28,3.1496570110321045
2000-02-29,3.2912914752960205
2000-03-01,3.2845470905303955
2000-03-02,3.318267822265625
2000-03-03,3.378969669342041
2000-03-06,3.5880470275878906
2000-03-07,3.4599010944366455
2000-03-08,3.4329257011413574
2000-03-09,3.47339129447937
2000-03-10,3.3857133388519287
2000-03-13,3.480135679244995
2000-03-14,3.50036883354187
2000-03-15,3.5543246269226074
2000-03-16,3.561068296432495
2000-03-17,3.493623733520508
2000-03-20,3.453158140182495
2000-03-21,3.527348279953003
2000-03-22,3.6487467288970947
2000-03-23,3.655491590499878
2000-03-24,3.628513813018799
2000-03-27,3.6217706203460693
2000-03-28,3.6150259971618652
2000-03-29,3.6487467288970947
2000-03-30,3.6352574825286865
2000-03-31,3.6757256984710693
2000-04-03,3.6352574825286865
2000-04-04,3.594791889190674
2000-04-05,3.668980836868286
2000-04-06,3.6082801818847656
2000-04-07,3.480135679244995
2000-04-10,3.318267822265625
2000-04-11,3.244080066680908
2000-04-12,3.493623733520508
2000-04-13,3.561068296432495
2000-04-14,3.412692070007324
2000-04-17,3.3452470302581787
2000-04-18,3.5543246269226074
2000-04-19,3.5745582580566406
2000-04-20,3.655491590499878
2000-04-24,3.6959569454193115
2000-04-25,3.7229347229003906
2000-04-26,3.702702045440674
2000-04-27,3.763401985168457
2000-04-28,3.7836365699768066
2000-05-01,3.824101448059082
2000-05-02,3.8443362712860107
2000-05-03,3.803868532180786
2000-05-04,3.7836365699768066
2000-05-05,3.8308472633361816
2000-05-08,3.8443362712860107
2000-05-09,3.749913215637207
2000-05-10,3.6352574825286865
2000-05-11,3.8308472633361816
2000-05-12,3.7364249229431152
2000-05-15,3.6487467288970947
2000-05-16,3.7431695461273193
2000-05-17,3.642002582550049
2000-05-18,3.7566583156585693
2000-05-19,3.668980836868286
2000-05-22,3.702702045440674
2000-05-23,3.790379285812378
2000-05-24,3.824101448059082
2000-05-25,3.810612440109253
2000-05-26,3.8173584938049316
2000-05-30,3.864567756652832
2000-05-31,3.938758134841919
2000-06-01,3.952247142791748
2000-06-02,3.932013988494873
2000-06-05,3.702702045440674
2000-06-06,3.7229347229003906
2000-06-07,3.668980836868286
2000-06-08,3.749913215637207
2000-06-09,3.85782527923584
2000-06-12,3.8510806560516357
2000-06-13,3.668980836868286
2000-06-14,3.7229347229003906
2000-06-15,3.6892142295837402
2000-06-16,3.5745582580566406
2000-06-19,3.520603895187378
2000-06-20,3.527348279953003
2000-06-21,3.412692070007324
2000-06-22,3.453158140182495
2000-06-23,3.446413278579712
2000-06-26,3.493623733520508
2000-06-27,3.412692070007324
2000-06-28,3.561068296432495
2000-06-29,3.4261791706085205
2000-06-30,3.6588633060455322
2000-07-03,3.709446907043457
2000-07-05,3.6487467288970947
2000-07-06,3.561068296432495
2000-07-07,3.6487467288970947
2000-07-10,3.5543246269226074
2000-07-11,3.534090757369995
2000-07-12,3.6217706203460693
2000-07-13,3.655491590499878
2000-07-14,3.655491590499878
2000-07-17,3.5880470275878906
2000-07-18,3.702702045440674
2000-07-19,3.709446907043457
2000-07-20,3.709446907043457
2000-07-21,3.5745582580566406
2000-07-24,3.6959569454193115
2000-07-25,3.628513813018799
2000-07-26,3.5880470275878906
2000-07-27,3.6487467288970947
2000-07-28,3.628513813018799
2000-07-31,3.7768912315368652
2000-08-01,3.668980836868286
2000-08-02,3.668980836868286
2000-08-03,3.628513813018799
2000-08-04,3.6352574825286865
2000-08-07,3.6622354984283447
2000-08-08,3.6757256984710693
2000-08-09,3.668980836868286
2000-08-10,3.668980836868286
2000-08-11,3.6959569454193115
2000-08-14,3.655491590499878
2000-08-15,3.6082801818847656
2000-08-16,3.547581434249878
2000-08-17,3.5678136348724365
2000-08-18,3.6082801818847656
2000-08-21,3.5813024044036865
2000-08-22,3.5745582580566406
2000-08-23,3.547581434249878
2000-08-24,3.5745582580566406
2000-08-25,3.5880470275878906
2000-08-28,3.642002582550049
2000-08-29,3.668980836868286
2000-08-30,3.6487467288970947
2000-08-31,3.682469129562378
2000-09-01,3.682469129562378
2000-09-05,3.6757256984710693
2000-09-06,3.6959569454193115
2000-09-07,3.6757256984710693
2000-09-08,3.7161929607391357
2000-09-11,3.655491590499878
2000-09-12,3.6217706203460693
2000-09-13,3.729679822921753
2000-09-14,3.770146608352661
2000-09-15,3.668980836868286
2000-09-18,3.561068296432495
2000-09-19,3.520603895187378
2000-09-20,3.493623733520508
2000-09-21,3.439668655395508
2000-09-22,3.378969669342041
2000-09-25,3.3587350845336914
2000-09-26,3.5071141719818115
2000-09-27,3.6959569454193115
2000-09-28,3.824101448059082
2000-09-29,3.9927141666412354
2000-10-02,3.824101448059082
2000-10-03,3.8375911712646484
2000-10-04,3.8375911712646484
2000-10-05,3.918524742126465
2000-10-06,3.824101448059082
2000-10-09,3.7836365699768066
2000-10-10,3.8848023414611816
2000-10-11,3.803868532180786
2000-10-12,3.7768912315368652
2000-10-13,3.864567756652832
2000-10-16,3.763401985168457
2000-10-17,3.770146608352661
2000-10-18,3.642002582550049
2000-10-19,3.770146608352661
2000-10-20,3.7836365699768066
2000-10-23,3.6622354984283447
2000-10-24,3.7229347229003906
2000-10-25,3.709446907043457
2000-10-26,3.668980836868286
2000-10-27,3.7566583156585693
2000-10-30,3.7768912315368652
2000-10-31,3.6487467288970947
2000-11-01,3.5543246269226074
2000-11-02,3.5678136348724365
2000-11-03,3.540835380554199
2000-11-06,3.5138583183288574
2000-11-07,3.5071141719818115
2000-11-08,3.594791889190674
2000-11-09,3.561068296432495
2000-11-10,3.534090757369995
2000-11-13,3.540835380554199
2000-11-14,3.5138583183288574
2000-11-15,3.5543246269226074
2000-11-16,3.5138583183288574
2000-11-17,3.547581434249878
2000-11-20,3.4329257011413574
2000-11-21,3.540835380554199
2000-11-22,3.527348279953003
2000-11-24,3.534090757369995
2000-11-27,3.527348279953003
2000-11-28,3.5745582580566406
2000-11-29,3.5745582580566406
2000-11-30,3.5813024044036865
2000-12-01,3.446413278579712
2000-12-04,3.2575690746307373
2000-12-05,3.2980353832244873
2000-12-06,3.2845470905303955
2000-12-07,3.2778024673461914
2000-12-08,3.405946969985962
2000-12-11,3.446413278579712
2000-12-12,3.3722236156463623
2000-12-13,3.4194352626800537
2000-12-14,3.325012445449829
2000-12-15,3.5745582580566406
2000-12-18,3.50036883354187
2000-12-19,3.5678136348724365
2000-12-20,3.50036883354187
2000-12-21,3.6217706203460693
2000-12-22,3.7364249229431152
2000-12-26,3.7836365699768066
2000-12-27,3.803868532180786
2000-12-28,3.8848023414611816
2000-12-29,4.006202697753906
2001-01-02,3.561068296432495
2001-01-03,3.7161929607391357
2001-01-04,3.6622354984283447
2001-01-05,3.7836365699768066
2001-01-08,3.763401985168457
2001-01-09,3.7229347229003906
2001-01-10,3.709446907043457
2001-01-11,3.729679822921753
2001-01-12,3.763401985168457
2001-01-16,3.7768912315368652
2001-01-17,3.8848023414611816
2001-01-18,3.8982911109924316
2001-01-19,3.8510806560516357
2001-01-22,3.8780570030212402
2001-01-23,3.9050347805023193
2001-01-24,3.952247142791748
2001-01-25,3.938758134841919
2001-01-26,3.9657347202301025
2001-01-29,4.0196919441223145
2001-01-30,4.0294036865234375
2001-01-31,4.014296531677246
2001-02-01,4.003505706787109
2001-02-02,4.015374660491943
2001-02-05,4.0196919441223145
2001-02-06,4.116811275482178
2001-02-07,4.096307277679443
2001-02-08,4.074726581573486
2001-02-09,4.126522541046143
2001-02-12,4.116811275482178
2001-02-13,4.1222076416015625
2001-02-14,4.127601623535156
2001-02-15,4.111415386199951
2001-02-16,4.1006245613098145
2001-02-20,4.089835166931152
2001-02-21,4.138393402099609
2001-02-22,4.126522541046143
2001-02-23,4.143788814544678
2001-02-26,4.132999420166016
2001-02-27,4.117891311645508
2001-02-28,4.209616184234619
2001-03-01,4.270044803619385
2001-03-02,4.366086483001709
2001-03-05,4.413567066192627
2001-03-06,4.500974655151367
2001-03-07,4.478314399719238
2001-03-08,4.413567066192627
2001-03-09,4.330477714538574
2001-03-12,4.284073829650879
2001-03-13,4.203141212463379
2001-03-14,4.089835166931152
2001-03-15,3.9765255451202393
2001-03-16,3.978685140609741
2001-03-19,3.983001232147217
2001-03-20,3.91717529296875
2001-03-21,3.89559268951416
2001-03-22,3.8308472633361816
2001-03-23,3.9333622455596924
2001-03-26,3.985158920288086
2001-03-27,4.014296531677246
2001-03-28,4.021848201751709
2001-03-29,4.022928237915039
2001-03-30,4.135156631469727
2001-04-02,4.0466694831848145
2001-04-03,3.8837227821350098
2001-04-04,3.85782527923584
2001-04-05,3.938758134841919
2001-04-06,3.7984731197357178
2001-04-09,3.9711318016052246
2001-04-10,3.966815948486328
2001-04-11,3.9236531257629395
2001-04-12,3.9344420433044434
2001-04-16,3.835163116455078
2001-04-17,3.8114233016967773
2001-04-18,3.8848023414611816
2001-04-19,3.8804848194122314
2001-04-20,3.8470335006713867
2001-04-23,3.758547067642212
2001-04-24,3.823293447494507
2001-04-25,3.8308472633361816
2001-04-26,3.8416378498077393
2001-04-27,3.8470335006713867
2001-04-30,3.9009881019592285
2001-05-01,4.068252086639404
2001-05-02,4.221484661102295
2001-05-03,4.1545796394348145
2001-05-04,4.192348003387451
2001-05-07,4.199902534484863
2001-05-08,4.203141212463379
2001-05-09,4.304576396942139
2001-05-10,4.339109897613525
2001-05-11,4.321841239929199
2001-05-14,4.270044803619385
2001-05-15,4.339109897613525
2001-05-16,4.3132100105285645
2001-05-17,4.381194114685059
2001-05-18,4.451333999633789
2001-05-21,4.406013011932373
2001-05-22,4.398458957672119
2001-05-23,4.3261590003967285
2001-05-24,4.330477714538574
2001-05-25,4.350978851318359
2001-05-29,4.31536865234375
2001-05-30,4.372561454772949
2001-05-31,4.436228275299072
2001-06-01,4.44378137588501
2001-06-04,4.462126731872559
2001-06-05,4.440545558929443
2001-06-06,4.441624164581299
2001-06-07,4.500974655151367
2001-06-08,4.521478176116943
2001-06-11,4.462126731872559
2001-06-12,4.477235317230225
2001-06-13,4.441624164581299
2001-06-14,4.500974655151367
2001-06-15,4.478314399719238
2001-06-18,4.435149192810059
2001-06-19,4.435149192810059
2001-06-20,4.435149192810059
2001-06-21,4.505291938781738
2001-06-22,4.451333999633789
2001-06-25,4.4675211906433105
2001-06-26,4.53226900100708
2001-06-27,4.612122535705566
2001-06-28,4.684423923492432
2001-06-29,4.838738441467285
2001-07-02,4.653130054473877
2001-07-03,4.6671576499938965
2001-07-05,4.617519378662109
2001-07-06,4.548453330993652
2001-07-09,4.641260623931885
2001-07-10,4.607805252075195
2001-07-11,4.574355125427246
2001-07-12,4.558167457580566
2001-07-13,4.585147380828857
2001-07-16,4.616438865661621
2001-07-17,4.634786605834961
2001-07-18,4.618600368499756
2001-07-19,4.591621398925781
2001-07-20,4.59377908706665
2001-07-23,4.543062210083008
2001-07-24,4.53226900100708
2001-07-25,4.533348560333252
2001-07-26,4.535506725311279
2001-07-27,4.53226900100708
2001-07-30,4.53226900100708
2001-07-31,4.709244251251221
2001-08-01,4.749170303344727
2001-08-02,4.8290252685546875
2001-08-03,4.672554016113281
2001-08-06,4.666077613830566
2001-08-07,4.575433731079102
2001-08-08,4.621835708618164
2001-08-09,4.585147380828857
2001-08-10,4.577591419219971
2001-08-13,4.564640998840332
2001-08-14,4.550613880157471
2001-08-15,4.597016334533691
2001-08-16,4.591621398925781
2001-08-17,4.571116924285889
2001-08-20,4.548453330993652
2001-08-21,4.618600368499756
2001-08-22,4.494500160217285
2001-08-23,4.526875019073486
2001-08-24,4.575433731079102
2001-08-27,4.564640998840332
2001-08-28,4.575433731079102
2001-08-29,4.58082914352417
2001-08-30,4.585147380828857
2001-08-31,4.602412700653076
2001-09-04,4.5592474937438965
2001-09-05,4.4675211906433105
2001-09-06,4.451333999633789
2001-09-07,4.413567066192627
2001-09-10,4.4081711769104
2001-09-17,4.535506725311279
2001-09-18,4.557088375091553
2001-09-19,4.4675211906433105
2001-09-20,4.435149192810059
2001-09-21,4.386589050292969
2001-09-24,4.4081711769104
2001-09-25,4.425439357757568
2001-09-26,4.37687873840332
2001-09-27,4.381194114685059
2001-09-28,4.4729180335998535
2001-10-01,4.438385009765625
2001-10-02,4.319683074951172
2001-10-03,4.44378137588501
2001-10-04,4.420042514801025
2001-10-05,4.367165565490723
2001-10-08,4.348820209503174
2001-10-09,4.327237606048584
2001-10-10,4.332633972167969
2001-10-11,4.397380828857422
2001-10-12,4.349898815155029
2001-10-15,4.342347145080566
2001-10-16,4.413567066192627
2001-10-17,4.462126731872559
2001-10-18,4.451333999633789
2001-10-19,4.441624164581299
2001-10-22,4.372561454772949
2001-10-23,4.440545558929443
2001-10-24,4.445938587188721
2001-10-25,4.4081711769104
2001-10-26,4.436228275299072
2001-10-29,4.451333999633789
2001-10-30,4.489104270935059
2001-10-31,4.213931560516357
2001-11-01,4.165372848510742
2001-11-02,4.316447734832764
2001-11-05,4.333714008331299
2001-11-06,4.338028907775879
2001-11-07,4.37040376663208
2001-11-08,4.37687873840332
2001-11-09,4.429752826690674
2001-11-12,4.409250259399414
2001-11-13,4.4880266189575195
2001-11-14,4.518240451812744
2001-11-15,4.63046932220459
2001-11-16,4.5689592361450195
2001-11-19,4.640181064605713
2001-11-20,4.673633098602295
2001-11-21,4.639101982116699
2001-11-23,4.7124810218811035
2001-11-26,4.640181064605713
2001-11-27,4.629388332366943
2001-11-28,4.679027080535889
2001-11-29,4.6671576499938965
2001-11-30,4.672554016113281
2001-12-03,4.689820766448975
2001-12-04,4.748091697692871
2001-12-05,4.866793632507324
2001-12-06,4.918590545654297
2001-12-07,4.923985004425049
2001-12-10,4.845212936401367
2001-12-11,4.845212936401367
2001-12-12,4.8074445724487305
2001-12-13,4.72003698348999
2001-12-14,4.694134712219238
2001-12-17,4.737301349639893
2001-12-18,4.703847885131836
2001-12-19,4.715717792510986
2001-12-20,4.741617202758789
2001-12-21,4.780463695526123
2001-12-24,4.743776321411133
2001-12-26,4.775069236755371
2001-12-27,4.784780979156494
2001-12-28,4.757803916931152
2001-12-31,4.726510524749756
2002-01-02,4.773451805114746
2002-01-03,4.802587032318115
2002-01-04,4.87704610824585
2002-01-07,4.867334365844727
2002-01-08,4.847909927368164
2002-01-09,5.168405055999756
2002-01-10,5.163551330566406
2002-01-11,5.184591293334961
2002-01-14,5.163551330566406
2002-01-15,5.204017639160156
2002-01-16,5.192687511444092
2002-01-17,5.244483470916748
2002-01-18,5.178117275238037
2002-01-22,5.157076358795166
2002-01-23,5.09394645690918
2002-01-24,5.092329025268555
2002-01-25,5.09880256652832
2002-01-28,5.13603401184082
2002-01-29,5.1797356605529785
2002-01-30,5.186211585998535
2002-01-31,5.187830924987793
2002-02-01,5.178117275238037
2002-02-04,5.129558563232422
2002-02-05,4.9774041175842285
2002-02-06,4.872188091278076
2002-02-07,4.851146697998047
2002-02-08,4.820391654968262
2002-02-11,4.9774041175842285
2002-02-12,4.945030212402344
2002-02-13,4.836578369140625
2002-02-14,4.844673156738281
2002-02-15,4.956358909606934
2002-02-19,4.872188091278076
2002-02-20,4.914273738861084
2002-02-21,4.856004238128662
2002-02-22,4.883519649505615
2002-02-25,4.936936855316162
2002-02-26,4.9304609298706055
2002-02-27,5.0470051765441895
2002-02-28,5.174881458282471
2002-03-01,5.0211052894592285
2002-03-04,5.131176471710205
2002-03-05,5.1441264152526855
2002-03-06,5.139270305633545
2002-03-07,5.123083591461182
2002-03-08,5.079380512237549
2002-03-11,4.988734245300293
2002-03-12,4.9774041175842285
2002-03-13,4.919130325317383
2002-03-14,4.904562473297119
2002-03-15,4.838198661804199
2002-03-18,4.823629856109619
2002-03-19,4.946648597717285
2002-03-20,4.991971015930176
2002-03-21,5.079380512237549
2002-03-22,5.084233283996582
2002-03-25,4.953122615814209
2002-03-26,4.998445987701416
2002-03-27,5.090709686279297
2002-03-28,5.134416580200195
2002-04-01,5.092329025268555
2002-04-02,5.02758264541626
2002-04-03,4.993590354919434
2002-04-04,4.988734245300293
2002-04-05,4.998445987701416
2002-04-08,5.017870903015137
2002-04-09,4.988734245300293
2002-04-10,4.985495090484619
2002-04-11,5.001684665679932
2002-04-12,5.034056663513184
2002-04-15,5.02758264541626
2002-04-16,5.09880256652832
2002-04-17,5.017870903015137
2002-04-18,5.071286201477051
2002-04-19,5.114990234375
2002-04-22,5.042150020599365
2002-04-23,5.157076358795166
2002-04-24,5.058337211608887
2002-04-25,5.042150020599365
2002-04-26,5.095565319061279
2002-04-29,5.0113959312438965
2002-04-30,4.985495090484619
2002-05-01,5.194304943084717
2002-05-02,5.158694744110107
2002-05-03,5.134416580200195
2002-05-06,5.0874714851379395
2002-05-07,5.017870903015137
2002-05-08,5.111752986907959
2002-05-09,5.178117275238037
2002-05-10,5.148982048034668
2002-05-13,5.204017639160156
2002-05-14,5.2121076583862305
2002-05-15,5.31894063949585
2002-05-16,5.270381450653076
2002-05-17,5.259052753448486
2002-05-20,5.2121076583862305
2002-05-21,5.186211585998535
2002-05-22,5.157076358795166
2002-05-23,5.236391067504883
2002-05-24,5.246100902557373
2002-05-28,5.148982048034668
2002-05-29,5.045384883880615
2002-05-30,4.993590354919434
2002-05-31,5.017870903015137
2002-06-03,5.059955596923828
2002-06-04,4.961215972900391
2002-06-05,5.022725582122803
2002-06-06,4.936936855316162
2002-06-07,4.998445987701416
2002-06-10,4.915894031524658
2002-06-11,4.867334365844727
2002-06-12,4.8948516845703125
2002-06-13,4.8867573738098145
2002-06-14,4.891613483428955
2002-06-17,5.064811706542969
2002-06-18,5.163551330566406
2002-06-19,5.1408891677856445
2002-06-20,5.076140403747559
2002-06-21,5.055100440979004
2002-06-24,4.940173149108887
2002-06-25,4.985495090484619
2002-06-26,4.896470069885254
2002-06-27,4.896470069885254
2002-06-28,4.993590354919434
2002-07-01,4.904562473297119
2002-07-02,4.582448482513428
2002-07-03,4.448098659515381
2002-07-05,4.58892297744751
2002-07-08,4.637481689453125
2002-07-09,4.53226900100708
2002-07-10,4.409250259399414
2002-07-11,4.52417516708374
2002-07-12,4.574355125427246
2002-07-15,4.540363311767578
2002-07-16,4.451333999633789
2002-07-17,4.506369590759277
2002-07-18,4.4189629554748535
2002-07-19,4.234434127807617
2002-07-22,4.061239242553711
2002-07-23,3.926887035369873
