Date,CVNA
2017-04-28,2.2200000286102295
2017-05-01,2.1540000438690186
2017-05-02,2.0199999809265137
2017-05-03,1.74399995803833
2017-05-04,1.996000051498413
2017-05-05,2.184000015258789
2017-05-08,2.1600000858306885
2017-05-09,2.109999895095825
2017-05-10,2.1480000019073486
2017-05-11,2.200000047683716
2017-05-12,2.2699999809265137
2017-05-15,2.303999900817871
2017-05-16,2.3519999980926514
2017-05-17,2.3320000171661377
2017-05-18,2.303999900817871
2017-05-19,2.2799999713897705
2017-05-22,2.2160000801086426
2017-05-23,2.1619999408721924
2017-05-24,2.181999921798706
2017-05-25,2.130000114440918
2017-05-26,2.1459999084472656
2017-05-30,2.0360000133514404
2017-05-31,2.009999990463257
2017-06-01,1.8660000562667847
2017-06-02,1.906000018119812
2017-06-05,1.7999999523162842
2017-06-06,1.906000018119812
2017-06-07,2.5320000648498535
2017-06-08,2.640000104904175
2017-06-09,2.6600000858306885
2017-06-12,2.799999952316284
2017-06-13,3.0220000743865967
2017-06-14,3.3399999141693115
2017-06-15,3.5360000133514404
2017-06-16,3.861999988555908
2017-06-19,3.9079999923706055
2017-06-20,3.7820000648498535
2017-06-21,3.9059998989105225
2017-06-22,4.228000164031982
2017-06-23,4.285999774932861
2017-06-26,4.677999973297119
2017-06-27,4.434000015258789
2017-06-28,4.131999969482422
2017-06-29,4.119999885559082
2017-06-30,4.093999862670898
2017-07-03,3.8420000076293945
2017-07-05,4.236000061035156
2017-07-06,4.035999774932861
2017-07-07,4.199999809265137
2017-07-10,4.3979997634887695
2017-07-11,4.311999797821045
2017-07-12,4.480000019073486
2017-07-13,4.5960001945495605
2017-07-14,4.585999965667725
2017-07-17,4.360000133514404
2017-07-18,4.306000232696533
2017-07-19,4.452000141143799
2017-07-20,4.320000171661377
2017-07-21,4.28000020980835
2017-07-24,4.323999881744385
2017-07-25,4.173999786376953
2017-07-26,4.269999980926514
2017-07-27,4.197999954223633
2017-07-28,4.081999778747559
2017-07-31,3.9040000438690186
2017-08-01,3.742000102996826
2017-08-02,3.812000036239624
2017-08-03,3.4820001125335693
2017-08-04,3.6040000915527344
2017-08-07,3.7139999866485596
2017-08-08,3.8459999561309814
2017-08-09,3.618000030517578
2017-08-10,3.441999912261963
2017-08-11,3.2660000324249268
2017-08-14,3.0739998817443848
2017-08-15,2.9579999446868896
2017-08-16,3.0299999713897705
2017-08-17,3.0360000133514404
2017-08-18,2.8420000076293945
2017-08-21,2.9240000247955322
2017-08-22,3.1019999980926514
2017-08-23,3.187999963760376
2017-08-24,3.184000015258789
2017-08-25,2.9679999351501465
2017-08-28,3.0999999046325684
2017-08-29,3.1480000019073486
2017-08-30,3.50600004196167
2017-08-31,3.569999933242798
2017-09-01,3.4679999351501465
2017-09-05,3.3480000495910645
2017-09-06,3.5739998817443848
2017-09-07,3.75
2017-09-08,3.680000066757202
2017-09-11,3.686000108718872
2017-09-12,3.7039999961853027
2017-09-13,3.609999895095825
2017-09-14,3.628000020980835
2017-09-15,3.5320000648498535
2017-09-18,3.2660000324249268
2017-09-19,3.3380000591278076
2017-09-20,3.5179998874664307
2017-09-21,3.361999988555908
2017-09-22,3.2339999675750732
2017-09-25,3.299999952316284
2017-09-26,3.2039999961853027
2017-09-27,3.0999999046325684
2017-09-28,2.9800000190734863
2017-09-29,2.936000108718872
2017-10-02,3.130000114440918
2017-10-03,3.0859999656677246
2017-10-04,3.0759999752044678
2017-10-05,3.0899999141693115
2017-10-06,3.052000045776367
2017-10-09,2.9619998931884766
2017-10-10,2.7799999713897705
2017-10-11,2.8499999046325684
2017-10-12,2.802000045776367
2017-10-13,2.803999900817871
2017-10-16,2.799999952316284
2017-10-17,2.7980000972747803
2017-10-18,2.7980000972747803
2017-10-19,2.691999912261963
2017-10-20,2.6679999828338623
2017-10-23,2.6059999465942383
2017-10-24,2.7279999256134033
2017-10-25,2.6059999465942383
2017-10-26,2.5299999713897705
2017-10-27,2.552000045776367
2017-10-30,2.5
2017-10-31,2.8359999656677246
2017-11-01,2.802000045776367
2017-11-02,2.799999952316284
2017-11-03,2.812000036239624
2017-11-06,3.2720000743865967
2017-11-07,3.0299999713897705
2017-11-08,2.931999921798706
2017-11-09,2.7720000743865967
2017-11-10,2.8380000591278076
2017-11-13,3.00600004196167
2017-11-14,3.0260000228881836
2017-11-15,2.990000009536743
