Date,AMGN
2000-01-03,42.25116729736328
2000-01-04,39.02043533325195
2000-01-05,40.36307144165039
2000-01-06,41.034393310546875
2000-01-07,45.649715423583984
2000-01-10,48.41889953613281
2000-01-11,44.60078430175781
2000-01-12,42.670738220214844
2000-01-13,44.8525276184082
2000-01-14,45.8594856262207
2000-01-18,46.36300277709961
2000-01-19,48.33498001098633
2000-01-20,48.2091178894043
2000-01-21,50.139156341552734
2000-01-24,46.48886489868164
2000-01-25,46.57276916503906
2000-01-26,43.048343658447266
2000-01-27,41.20221710205078
2000-01-28,40.069374084472656
2000-01-31,42.75464630126953
2000-02-01,43.84554672241211
2000-02-02,42.75464630126953
2000-02-03,42.96443176269531
2000-02-04,43.38399887084961
2000-02-07,46.446895599365234
2000-02-08,47.3280029296875
2000-02-09,44.8525276184082
2000-02-10,43.76162338256836
2000-02-11,42.04137420654297
2000-02-14,43.677711486816406
2000-02-15,43.677711486816406
2000-02-16,46.908424377441406
2000-02-17,48.83847427368164
2000-02-18,47.873451232910156
2000-02-22,45.31403732299805
2000-02-23,47.95737075805664
2000-02-24,48.71260452270508
2000-02-25,49.38393020629883
2000-02-28,45.94340896606445
2000-02-29,45.77557373046875
2000-03-01,43.677711486816406
2000-03-02,43.84554672241211
2000-03-03,44.51686096191406
2000-03-06,43.342041015625
2000-03-07,40.95048141479492
2000-03-08,41.20221710205078
2000-03-09,39.60785675048828
2000-03-10,39.985469818115234
2000-03-13,38.936527252197266
2000-03-14,35.0764274597168
2000-03-15,39.27218246459961
2000-03-16,43.467926025390625
2000-03-17,42.37703323364258
2000-03-20,38.936527252197266
2000-03-21,41.034393310546875
2000-03-22,41.4539680480957
2000-03-23,38.726722717285156
2000-03-24,36.62886047363281
2000-03-27,40.53089141845703
2000-03-28,42.16725158691406
2000-03-29,41.78962707519531
2000-03-30,40.44698715209961
2000-03-31,41.20221710205078
2000-04-03,39.859580993652344
2000-04-04,37.887577056884766
2000-04-05,40.027408599853516
2000-04-06,41.83158493041992
2000-04-07,40.90852355957031
2000-04-10,39.52392578125
2000-04-11,39.69175338745117
2000-04-12,39.19875717163086
2000-04-13,38.81064987182617
2000-04-14,35.41210174560547
2000-04-17,35.831661224365234
2000-04-18,39.188262939453125
2000-04-19,37.593875885009766
2000-04-20,36.251243591308594
2000-04-24,34.44706344604492
2000-04-25,36.46103286743164
2000-04-26,38.433021545410156
2000-04-27,36.335166931152344
2000-04-28,37.593875885009766
2000-05-01,37.509971618652344
2000-05-02,37.67778778076172
2000-05-03,36.083412170410156
2000-05-04,37.97148513793945
2000-05-05,39.985469818115234
2000-05-08,41.537879943847656
2000-05-09,40.2371940612793
2000-05-10,40.15327453613281
2000-05-11,41.370052337646484
2000-05-12,41.87354278564453
2000-05-15,43.090309143066406
2000-05-16,43.42595672607422
2000-05-17,42.24066925048828
2000-05-18,41.076351165771484
2000-05-19,40.19525146484375
2000-05-22,38.39106750488281
2000-05-23,37.30018615722656
2000-05-24,40.027408599853516
2000-05-25,38.894554138183594
2000-05-26,39.60785675048828
2000-05-30,42.544864654541016
2000-05-31,42.71269226074219
2000-06-01,43.5098762512207
2000-06-02,44.97838592529297
2000-06-05,45.020347595214844
2000-06-06,45.31403732299805
2000-06-07,45.649715423583984
2000-06-08,44.0972785949707
2000-06-09,42.04137420654297
2000-06-12,40.95048141479492
2000-06-13,44.0972785949707
2000-06-14,43.174224853515625
2000-06-15,44.60078430175781
2000-06-16,45.649715423583984
2000-06-19,47.244075775146484
2000-06-20,46.99233627319336
2000-06-21,47.202144622802734
2000-06-22,44.76860046386719
2000-06-23,44.72665023803711
2000-06-26,46.95040512084961
2000-06-27,45.23013687133789
2000-06-28,46.40493392944336
2000-06-29,45.817543029785156
2000-06-30,47.1601676940918
2000-07-03,45.985382080078125
2000-07-05,49.55177307128906
2000-07-06,49.17413330078125
2000-07-07,49.63566207885742
2000-07-10,49.09021759033203
2000-07-11,49.132179260253906
2000-07-12,49.25804138183594
2000-07-13,46.61473846435547
2000-07-14,47.49583053588867
2000-07-17,48.586727142333984
2000-07-18,50.25455093383789
2000-07-19,49.300010681152344
2000-07-20,49.71957015991211
2000-07-21,52.36290740966797
2000-07-24,50.18110275268555
2000-07-25,49.42586898803711
2000-07-26,46.57276916503906
2000-07-27,45.985382080078125
2000-07-28,44.558815002441406
2000-07-31,43.59379959106445
2000-08-01,46.32102584838867
2000-08-02,47.202144622802734
2000-08-03,47.11821365356445
2000-08-04,46.40493392944336
2000-08-07,48.41889953613281
2000-08-08,46.65668487548828
2000-08-09,46.279075622558594
2000-08-10,45.607765197753906
2000-08-11,46.78256607055664
2000-08-14,46.61473846435547
2000-08-15,45.48189926147461
2000-08-16,45.4399299621582
2000-08-17,45.52383804321289
2000-08-18,44.22315979003906
2000-08-21,45.14619827270508
2000-08-22,46.36300277709961
2000-08-23,47.369956970214844
2000-08-24,48.75455093383789
2000-08-25,50.09719467163086
2000-08-28,49.50979232788086
2000-08-29,48.41889953613281
2000-08-30,49.048255920410156
2000-08-31,50.89439392089844
2000-09-01,51.313968658447266
2000-09-05,48.670650482177734
2000-09-06,45.6916618347168
2000-09-07,48.33498001098633
2000-09-08,50.30698776245117
2000-09-11,48.50281524658203
2000-09-12,48.83847427368164
2000-09-13,48.29303741455078
2000-09-14,45.27207946777344
2000-09-15,45.397979736328125
2000-09-18,43.76162338256836
2000-09-19,44.0972785949707
2000-09-20,46.40493392944336
2000-09-21,45.94340896606445
2000-09-22,48.376953125
2000-09-25,46.78256607055664
2000-09-26,48.04127502441406
2000-09-27,47.915435791015625
2000-09-28,47.1601676940918
2000-09-29,46.876956939697266
2000-10-02,44.13924789428711
2000-10-03,44.810569763183594
2000-10-04,43.25813293457031
2000-10-05,44.72665023803711
2000-10-06,42.335079193115234
2000-10-09,42.41898727416992
2000-10-10,40.74067306518555
2000-10-11,44.0972785949707
2000-10-12,41.537879943847656
2000-10-13,43.551841735839844
2000-10-16,42.838558197021484
2000-10-17,42.880523681640625
2000-10-18,45.35600662231445
2000-10-19,45.52383804321289
2000-10-20,46.153194427490234
2000-10-23,47.62172317504883
2000-10-24,47.915435791015625
2000-10-25,46.06928634643555
2000-10-26,45.985382080078125
2000-10-27,39.81761932373047
2000-10-30,36.335166931152344
2000-10-31,38.894554138183594
2000-11-01,40.52040100097656
2000-11-02,41.244163513183594
2000-11-03,40.15327453613281
2000-11-06,40.19525146484375
2000-11-07,41.49592590332031
2000-11-08,41.370052337646484
2000-11-09,42.12527847290039
2000-11-10,43.342041015625
