Date,MCK
2000-01-03,19.2056827545166
2000-01-04,17.976530075073242
2000-01-05,18.181398391723633
2000-01-06,19.461772918701172
2000-01-07,19.256916046142578
2000-01-10,19.666635513305664
2000-01-11,22.12496566772461
2000-01-12,21.254308700561523
2000-01-13,21.612810134887695
2000-01-14,21.612810134887695
2000-01-18,21.9713191986084
2000-01-19,21.459165573120117
2000-01-20,20.690940856933594
2000-01-21,20.588512420654297
2000-01-24,20.38365364074707
2000-01-25,18.027748107910156
2000-01-26,17.771671295166016
2000-01-27,17.105880737304688
2000-01-28,16.491294860839844
2000-01-31,16.849802017211914
2000-02-01,17.105880737304688
2000-02-02,16.696155548095703
2000-02-03,16.849802017211914
2000-02-04,16.798583984375
2000-02-07,16.64494514465332
2000-02-08,16.696155548095703
2000-02-09,16.696155548095703
2000-02-10,15.671854972839355
2000-02-11,15.466996192932129
2000-02-14,15.518211364746094
2000-02-15,15.262120246887207
2000-02-16,16.388853073120117
2000-02-17,16.388853073120117
2000-02-18,16.337648391723633
2000-02-22,16.184003829956055
2000-02-23,15.671854972839355
2000-02-24,15.979145050048828
2000-02-25,15.82548713684082
2000-02-28,15.874807357788086
2000-02-29,15.926183700561523
2000-03-01,16.02894401550293
2000-03-02,15.56656551361084
2000-03-03,15.823441505432129
2000-03-06,15.926183700561523
2000-03-07,15.258315086364746
2000-03-08,15.206944465637207
2000-03-09,15.669320106506348
2000-03-10,15.309687614440918
2000-03-13,15.515195846557617
2000-03-14,15.00144100189209
2000-03-15,15.720681190490723
2000-03-16,16.23444175720215
2000-03-17,15.720681190490723
2000-03-20,15.823441505432129
2000-03-21,15.772068977355957
2000-03-22,15.669320106506348
2000-03-23,15.772068977355957
2000-03-24,16.02894401550293
2000-03-27,16.23444175720215
2000-03-28,17.67293930053711
2000-03-29,17.827051162719727
2000-03-30,16.902313232421875
2000-03-31,17.261940002441406
2000-04-03,17.364683151245117
2000-04-04,16.85093879699707
2000-04-05,16.799551010131836
2000-04-06,16.74819564819336
2000-04-07,16.594072341918945
2000-04-10,17.621559143066406
2000-04-11,17.056432723999023
2000-04-12,17.46743392944336
2000-04-13,16.799551010131836
2000-04-14,16.285816192626953
2000-04-17,15.46381664276123
2000-04-18,15.823441505432129
2000-04-19,15.617939949035645
2000-04-20,15.515195846557617
2000-04-24,15.155572891235352
2000-04-25,15.56656551361084
2000-04-26,13.97394847869873
2000-04-27,13.922572135925293
2000-04-28,13.922572135925293
2000-05-01,15.00144100189209
2000-05-02,14.744571685791016
2000-05-03,15.104188919067383
2000-05-04,15.155572891235352
2000-05-05,14.89869213104248
2000-05-08,14.89869213104248
2000-05-09,14.795941352844238
2000-05-10,14.230815887451172
2000-05-11,14.384943962097168
2000-05-12,14.179448127746582
2000-05-15,14.179448127746582
2000-05-16,13.97394847869873
2000-05-17,13.871193885803223
2000-05-18,13.717074394226074
2000-05-19,13.562946319580078
2000-05-22,13.460199356079102
2000-05-23,13.562946319580078
2000-05-24,13.768450736999512
2000-05-25,13.460199356079102
2000-05-26,13.203325271606445
2000-05-30,13.665371894836426
2000-05-31,13.562238693237305
2000-06-01,13.613800048828125
2000-06-02,13.923201560974121
2000-06-05,15.263960838317871
2000-06-06,15.160823822021484
2000-06-07,15.934326171875
2000-06-08,16.140607833862305
2000-06-09,16.96569061279297
2000-06-12,16.759414672851562
2000-06-13,17.223527908325195
2000-06-14,17.584495544433594
2000-06-15,17.945465087890625
2000-06-16,18.409563064575195
2000-06-19,17.636058807373047
2000-06-20,17.120386123657227
2000-06-21,17.73920249938965
2000-06-22,16.810989379882812
2000-06-23,16.604703903198242
2000-06-26,16.86254119873047
2000-06-27,16.810989379882812
2000-06-28,16.86254119873047
2000-06-29,16.91411781311035
2000-06-30,17.27509117126465
2000-07-03,17.223527908325195
2000-07-05,18.254850387573242
2000-07-06,18.667407989501953
2000-07-07,18.151737213134766
2000-07-10,19.13151741027832
2000-07-11,19.33779525756836
2000-07-12,19.13151741027832
2000-07-13,20.266000747680664
2000-07-14,21.091075897216797
2000-07-17,21.013729095458984
2000-07-18,20.7301082611084
2000-07-19,20.57540512084961
2000-07-20,20.93637466430664
