Date,ESS
2000-01-03,12.360950469970703
2000-01-04,12.22180461883545
2000-01-05,12.175419807434082
2000-01-06,12.291367530822754
2000-01-07,12.70881462097168
2000-01-10,12.63924503326416
2000-01-11,12.500094413757324
2000-01-12,12.47690486907959
2000-01-13,12.616053581237793
2000-01-14,12.569665908813477
2000-01-18,12.523287773132324
2000-01-19,12.662433624267578
2000-01-20,12.73200511932373
2000-01-21,12.63924503326416
2000-01-24,12.616053581237793
2000-01-25,12.685620307922363
2000-01-26,12.662433624267578
2000-01-27,12.755200386047363
2000-01-28,12.59286117553711
2000-01-31,12.616053581237793
2000-02-01,12.847963333129883
2000-02-02,12.8247709274292
2000-02-03,12.9407320022583
2000-02-04,13.010303497314453
2000-02-07,12.917533874511719
2000-02-08,12.755200386047363
2000-02-09,12.73200511932373
2000-02-10,12.755200386047363
2000-02-11,12.73200511932373
2000-02-14,12.8247709274292
2000-02-15,12.778393745422363
2000-02-16,12.70881462097168
2000-02-17,12.755200386047363
2000-02-18,12.778393745422363
2000-02-22,12.963920593261719
2000-02-23,12.9407320022583
2000-02-24,12.8711576461792
2000-02-25,12.755200386047363
2000-02-28,12.8247709274292
2000-02-29,13.079878807067871
2000-03-01,13.219022750854492
2000-03-02,13.219022750854492
2000-03-03,13.334980964660645
2000-03-06,13.381362915039062
2000-03-07,13.358171463012695
2000-03-08,13.358171463012695
2000-03-09,13.381362915039062
2000-03-10,13.334980964660645
2000-03-13,13.334980964660645
2000-03-14,13.334980964660645
2000-03-15,13.24221420288086
2000-03-16,13.334980964660645
2000-03-17,13.358171463012695
2000-03-20,13.311790466308594
2000-03-21,13.334980964660645
2000-03-22,13.358171463012695
2000-03-23,13.311790466308594
2000-03-24,13.195837020874023
2000-03-27,13.288604736328125
2000-03-28,13.265403747558594
2000-03-29,13.543335914611816
2000-03-30,13.543335914611816
2000-03-31,13.56689739227295
2000-04-03,13.708210945129395
2000-04-04,13.778873443603516
2000-04-05,13.8259859085083
2000-04-06,14.061524391174316
2000-04-07,14.061524391174316
2000-04-10,14.01441478729248
2000-04-11,14.03796100616455
2000-04-12,14.179290771484375
2000-04-13,14.20284652709961
2000-04-14,14.249948501586914
2000-04-17,14.320611953735352
2000-04-18,14.273500442504883
2000-04-19,14.179290771484375
2000-04-20,14.249948501586914
2000-04-24,14.155734062194824
2000-04-25,14.344168663024902
2000-04-26,14.249948501586914
2000-04-27,14.556144714355469
2000-04-28,14.556144714355469
2000-05-01,14.650351524353027
2000-05-02,14.791687965393066
2000-05-03,14.838790893554688
2000-05-04,15.027217864990234
2000-05-05,15.168545722961426
2000-05-08,15.097880363464355
2000-05-09,15.215652465820312
2000-05-10,15.168545722961426
2000-05-11,15.144981384277344
2000-05-12,15.215652465820312
2000-05-15,15.404082298278809
2000-05-16,15.59250259399414
2000-05-17,15.498297691345215
2000-05-18,15.333417892456055
2000-05-19,15.333417892456055
2000-05-22,15.286310195922852
2000-05-23,15.239204406738281
2000-05-24,15.168545722961426
2000-05-25,14.980108261108398
2000-05-26,15.003668785095215
2000-05-30,15.074321746826172
2000-05-31,15.003668785095215
2000-06-01,15.050771713256836
2000-06-02,15.050771713256836
2000-06-05,15.050771713256836
2000-06-06,15.144981384277344
2000-06-07,15.168545722961426
2000-06-08,15.192094802856445
2000-06-09,15.239204406738281
2000-06-12,15.262754440307617
2000-06-13,15.474732398986816
2000-06-14,15.616064071655273
2000-06-15,15.733832359313965
2000-06-16,15.804499626159668
2000-06-19,16.18134880065918
2000-06-20,16.157800674438477
2000-06-21,15.992921829223633
2000-06-22,15.82804012298584
2000-06-23,16.157800674438477
2000-06-26,16.346229553222656
2000-06-27,16.581758499145508
2000-06-28,16.576034545898438
2000-06-29,16.59990692138672
2000-06-30,16.056528091430664
2000-07-03,16.169984817504883
2000-07-05,16.408832550048828
2000-07-06,16.313302993774414
2000-07-07,16.265525817871094
2000-07-10,16.289411544799805
2000-07-11,16.43271827697754
2000-07-12,16.576034545898438
2000-07-13,16.91041374206543
2000-07-14,16.838762283325195
2000-07-17,16.814878463745117
2000-07-18,16.790987014770508
2000-07-19,17.029836654663086
2000-07-20,17.38810157775879
2000-07-21,17.101486206054688
2000-07-24,17.220918655395508
2000-07-25,17.435871124267578
2000-07-26,17.722501754760742
2000-07-27,18.295732498168945
2000-07-28,18.72565460205078
2000-07-31,18.82119369506836
2000-08-01,19.03615951538086
2000-08-02,19.489957809448242
2000-08-03,19.657167434692383
2000-08-04,19.609392166137695
2000-08-07,19.489957809448242
2000-08-08,19.34665870666504
2000-08-09,19.776588439941406
2000-08-10,19.466083526611328
2000-08-11,19.34665870666504
2000-08-14,19.442209243774414
2000-08-15,19.29888916015625
2000-08-16,19.39443588256836
2000-08-17,19.442209243774414
2000-08-18,19.322782516479492
2000-08-21,19.03615951538086
2000-08-22,19.251121520996094
2000-08-23,18.98838996887207
2000-08-24,19.012279510498047
2000-08-25,19.083919525146484
2000-08-28,18.964506149291992
2000-08-29,18.916736602783203
2000-08-30,18.82119369506836
2000-08-31,18.79731559753418
2000-09-01,18.79731559753418
2000-09-05,18.70177459716797
2000-09-06,18.677881240844727
2000-09-07,18.773427963256836
2000-09-08,19.203346252441406
2000-09-11,19.489957809448242
2000-09-12,19.609392166137695
2000-09-13,19.824356079101562
2000-09-14,19.943782806396484
2000-09-15,20.23040008544922
2000-09-18,20.182615280151367
2000-09-19,20.54090118408203
2000-09-20,20.77974510192871
2000-09-21,20.6125545501709
2000-09-22,21.114133834838867
2000-09-25,20.755857467651367
2000-09-26,20.899169921875
2000-09-27,21.25567626953125
2000-09-28,21.81123924255371
2000-09-29,21.400609970092773
2000-10-02,21.328149795532227
2000-10-03,21.352298736572266
2000-10-04,21.376462936401367
2000-10-05,21.110755920410156
2000-10-06,21.183218002319336
2000-10-09,21.303985595703125
2000-10-10,21.27983856201172
2000-10-11,21.159069061279297
2000-10-12,20.772602081298828
2000-10-13,20.820905685424805
2000-10-16,20.845064163208008
2000-10-17,20.869218826293945
2000-10-18,20.748441696166992
2000-10-19,20.893367767333984
2000-10-20,20.869218826293945
2000-10-23,20.965839385986328
2000-10-24,20.361976623535156
2000-10-25,20.241207122802734
2000-10-26,20.289512634277344
2000-10-27,20.361976623535156
2000-10-30,20.192909240722656
2000-10-31,20.096282958984375
2000-11-01,19.999664306640625
2000-11-02,19.999664306640625
2000-11-03,19.83058738708496
2000-11-06,19.73396873474121
2000-11-07,19.903053283691406
2000-11-08,19.83058738708496
2000-11-09,19.878896713256836
2000-11-10,19.80644416809082
2000-11-13,20.120445251464844
2000-11-14,20.241207122802734
2000-11-15,20.096282958984375
2000-11-16,19.637365341186523
2000-11-17,19.878896713256836
2000-11-20,19.975515365600586
2000-11-21,20.047977447509766
2000-11-22,20.047977447509766
2000-11-24,20.26536750793457
2000-11-27,20.096282958984375
2000-11-28,20.168758392333984
2000-11-29,20.26536750793457
2000-11-30,20.31367301940918
2000-12-01,20.458595275878906
2000-12-04,20.50690460205078
2000-12-05,21.038293838500977
2000-12-06,20.772602081298828
2000-12-07,20.675983428955078
2000-12-08,21.134912490844727
2000-12-11,21.231525421142578
2000-12-12,21.376462936401367
2000-12-13,21.25567626953125
2000-12-14,21.159069061279297
2000-12-15,21.569692611694336
2000-12-18,22.31846046447754
2000-12-19,22.173547744750977
2000-12-20,22.07692527770996
2000-12-21,21.787071228027344
2000-12-22,21.44891929626465
2000-12-26,21.424768447875977
2000-12-27,21.687549591064453
2000-12-28,22.102754592895508
2000-12-29,21.394479751586914
2001-01-02,21.22351837158203
2001-01-03,21.858509063720703
2001-01-04,21.516586303710938
2001-01-05,20.246606826782227
2001-01-08,20.344295501708984
2001-01-09,20.31987190246582
2001-01-10,20.51525115966797
2001-01-11,20.31987190246582
2001-01-12,20.39314079284668
2001-01-16,20.31987190246582
2001-01-17,20.197757720947266
2001-01-18,20.197757720947266
2001-01-19,20.075653076171875
2001-01-22,19.90468406677246
2001-01-23,20.197757720947266
2001-01-24,20.00237464904785
2001-01-25,20.100065231323242
2001-01-26,19.831409454345703
2001-01-29,20.04633331298828
2001-01-30,20.1596622467041
2001-01-31,20.222185134887695
2001-02-01,20.394119262695312
2001-02-02,20.640302658081055
2001-02-05,20.69501304626465
2001-02-06,20.67156410217285
2001-02-07,20.104948043823242
2001-02-08,19.733732223510742
2001-02-09,19.5344295501709
2001-02-12,19.57740592956543
2001-02-13,19.460193634033203
2001-02-14,19.57740592956543
2001-02-15,19.518798828125
2001-02-16,19.5383358001709
2001-02-20,19.557884216308594
2001-02-21,19.4992618560791
2001-02-22,19.2100887298584
2001-02-23,19.4992618560791
2001-02-26,19.557884216308594
2001-02-27,19.4992618560791
2001-02-28,19.596946716308594
