Date,EOG
2000-01-03,2.582396984100342
2000-01-04,2.582396984100342
2000-01-05,2.509506940841675
2000-01-06,2.717764139175415
2000-01-07,2.6865251064300537
2000-01-10,2.7073514461517334
2000-01-11,2.728177547454834
2000-01-12,2.733184814453125
2000-01-13,2.7853448390960693
2000-01-14,2.8375048637390137
2000-01-18,2.8479373455047607
2000-01-19,2.8583667278289795
2000-01-20,2.795776128768921
2000-01-21,2.712320327758789
2000-01-24,2.649729013442993
2000-01-25,2.607999801635742
2000-01-26,2.639296531677246
2000-01-27,2.576704740524292
2000-01-28,2.545407772064209
2000-01-31,2.649729013442993
2000-02-01,2.6705918312072754
2000-02-02,2.7540488243103027
2000-02-03,2.6914565563201904
2000-02-04,2.618431568145752
2000-02-07,2.5975687503814697
2000-02-08,2.5871365070343018
2000-02-09,2.514111280441284
2000-02-10,2.649729013442993
2000-02-11,2.607999801635742
2000-02-14,2.628864288330078
2000-02-15,2.712320327758789
2000-02-16,2.660160779953003
2000-02-17,2.7018883228302
2000-02-18,2.618431568145752
2000-02-22,2.5871365070343018
2000-02-23,2.461951732635498
2000-02-24,2.336768627166748
2000-02-25,2.3159050941467285
2000-02-28,2.36806321144104
2000-02-29,2.545407772064209
2000-03-01,2.607999801635742
2000-03-02,2.9626893997192383
2000-03-03,2.8896634578704834
2000-03-06,2.9000966548919678
2000-03-07,3.1191699504852295
2000-03-08,3.1504642963409424
2000-03-09,3.1296005249023438
2000-03-10,3.0983049869537354
2000-03-13,3.0461442470550537
2000-03-14,3.087872266769409
2000-03-15,3.056577444076538
2000-03-16,3.1296005249023438
2000-03-17,3.087872266769409
2000-03-20,3.0670084953308105
2000-03-21,3.1191699504852295
2000-03-22,3.160897731781006
2000-03-23,3.1713290214538574
2000-03-24,3.0774407386779785
2000-03-27,3.0774407386779785
2000-03-28,3.223489284515381
2000-03-29,3.5208017826080322
2000-03-30,3.8389761447906494
2000-03-31,3.5364489555358887
2000-04-03,3.880704402923584
2000-04-04,3.7868168354034424
2000-04-05,3.72422456741333
2000-04-06,3.880704402923584
2000-04-07,3.943296432495117
2000-04-10,3.7555201053619385
2000-04-11,3.912001609802246
2000-04-12,4.063249111175537
2000-04-13,4.094583988189697
2000-04-14,3.8856801986694336
2000-04-17,3.8334500789642334
2000-04-18,3.969243049621582
2000-04-19,3.8752331733703613
2000-04-20,3.9796862602233887
2000-04-24,3.8856801986694336
2000-04-25,3.948350191116333
2000-04-26,3.948350191116333
2000-04-27,4.011021137237549
2000-04-28,4.157257080078125
2000-05-01,4.324382781982422
2000-05-02,4.491510391235352
2000-05-03,4.387056827545166
2000-05-04,4.627300262451172
2000-05-05,4.752642631530762
2000-05-08,4.846651554107666
2000-05-09,4.77353572845459
2000-05-10,4.804872512817383
2000-05-11,4.919770240783691
2000-05-12,4.961548805236816
2000-05-15,4.930213928222656
2000-05-16,4.679527759552002
2000-05-17,4.9928879737854
2000-05-18,5.097341537475586
2000-05-19,5.191349506378174
2000-05-22,5.212241172790527
2000-05-23,5.201797008514404
2000-05-24,5.149567604064941
2000-05-25,5.0555620193481445
2000-05-26,5.013777256011963
2000-05-30,5.201797008514404
2000-05-31,5.431591510772705
2000-06-01,5.358475685119629
2000-06-02,5.097341537475586
2000-06-05,5.0451154708862305
2000-06-06,5.243577003479004
2000-06-07,5.222686290740967
2000-06-08,5.379366874694824
2000-06-09,5.295804977416992
2000-06-12,5.4420390129089355
2000-06-13,5.556938648223877
2000-06-14,5.598719596862793
2000-06-15,5.556938648223877
2000-06-16,5.786734580993652
2000-06-19,5.711005687713623
2000-06-20,5.609166145324707
2000-06-21,5.6196064949035645
2000-06-22,5.4002556800842285
2000-06-23,5.525600910186768
2000-06-26,5.431591510772705
2000-06-27,5.504712104797363
2000-06-28,5.588274002075195
2000-06-29,5.640499114990234
2000-06-30,5.583054065704346
2000-07-03,5.504712104797363
2000-07-05,4.940661430358887
2000-07-06,4.804872512817383
2000-07-07,5.013777256011963
2000-07-10,5.076450824737549
2000-07-11,5.410701274871826
2000-07-12,5.254022598266602
2000-07-13,5.343533515930176
2000-07-14,5.270334720611572
2000-07-17,5.0821075439453125
2000-07-18,5.270334720611572
2000-07-19,5.176220893859863
2000-07-20,4.852057456970215
2000-07-21,4.695201396942139
2000-07-24,4.569715976715088
2000-07-25,4.517427921295166
2000-07-26,4.653370380401611
2000-07-27,4.935708999633789
2000-07-28,5.0193657875061035
2000-07-31,4.946168422698975
2000-08-01,5.1657633781433105
2000-08-02,5.353991985321045
2000-08-03,5.270334720611572
2000-08-04,5.469019412994385
2000-08-07,5.513458728790283
2000-08-08,5.489931583404541
2000-08-09,5.5422163009643555
2000-08-10,5.719987869262695
2000-08-11,5.730442523956299
2000-08-14,5.814098834991455
2000-08-15,5.939587116241455
2000-08-16,5.897757053375244
2000-08-17,6.065066337585449
2000-08-18,6.044156551361084
2000-08-21,6.085981845855713
2000-08-22,6.138266563415527
2000-08-23,6.31603479385376
2000-08-24,6.357863903045654
2000-08-25,6.34740686416626
2000-08-28,6.34740686416626
2000-08-29,6.5147175788879395
2000-08-30,6.336949825286865
2000-08-31,6.399692058563232
2000-09-01,6.441518306732178
2000-09-05,6.441518306732178
2000-09-06,6.5670061111450195
2000-09-07,6.577460289001465
2000-09-08,6.483349800109863
2000-09-11,6.640201568603516
2000-09-12,6.734313011169434
2000-09-13,6.5670061111450195
2000-09-14,6.6297478675842285
2000-09-15,6.608832359313965
2000-09-18,6.684648036956787
2000-09-19,6.493805885314941
2000-09-20,6.640201568603516
2000-09-21,6.399692058563232
2000-09-22,6.357863903045654
2000-09-25,6.221921443939209
2000-09-26,6.5147175788879395
2000-09-27,6.608832359313965
2000-09-28,6.525175094604492
2000-09-29,6.504260540008545
2000-10-02,6.640201568603516
2000-10-03,6.608832359313965
2000-10-04,6.295124530792236
2000-10-05,6.180093765258789
2000-10-06,6.34740686416626
2000-10-09,6.336949825286865
2000-10-10,6.7866034507751465
2000-10-11,7.068943977355957
2000-10-12,7.048022747039795
2000-10-13,6.959696292877197
2000-10-16,6.844574928283691
2000-10-17,7.116682052612305
2000-10-18,7.074822425842285
2000-10-19,7.064354419708252
2000-10-20,7.273667812347412
2000-10-23,7.189939975738525
2000-10-24,6.698053359985352
2000-10-25,6.164302349090576
2000-10-26,6.342219352722168
2000-10-27,6.405013561248779
2000-10-30,6.467809677124023
2000-10-31,6.593395709991455
2000-11-01,7.0538835525512695
2000-11-02,6.875972747802734
2000-11-03,6.7817792892456055
2000-11-06,6.677122116088867
2000-11-07,6.677122116088867
2000-11-08,6.844574928283691
2000-11-09,6.645723342895508
2000-11-10,6.677122116088867
2000-11-13,6.520135402679443
2000-11-14,6.739912986755371
2000-11-15,7.32599401473999
2000-11-16,7.441120624542236
2000-11-17,7.3050665855407715
2000-11-20,7.074822425842285
2000-11-21,7.357394218444824
2000-11-22,7.367859363555908
2000-11-24,7.6190385818481445
2000-11-27,7.660897254943848
2000-11-28,7.5771708488464355
2000-11-29,7.169015884399414
2000-11-30,7.106215953826904
2000-12-01,7.441120624542236
2000-12-04,7.702760219573975
2000-12-05,7.713224411010742
2000-12-06,7.974865913391113
2000-12-07,7.608570575714111
2000-12-08,7.6399664878845215
2000-12-11,7.953942775726318
2000-12-12,8.089994430541992
2000-12-13,8.194646835327148
2000-12-14,7.901612281799316
2000-12-15,7.974865913391113
2000-12-18,8.288841247558594
2000-12-19,8.445823669433594
2000-12-20,8.393500328063965
2000-12-21,8.644676208496094
2000-12-22,8.707468032836914
