Date,HST
2000-01-03,3.4532179832458496
2000-01-04,3.4276373386383057
2000-01-05,3.299741268157959
2000-01-06,3.3508989810943604
2000-01-07,3.40205717086792
2000-01-10,3.5811145305633545
2000-01-11,3.6066949367523193
2000-01-12,3.632272481918335
2000-01-13,3.632272481918335
2000-01-14,3.683431386947632
2000-01-18,3.709009885787964
2000-01-19,3.9136481285095215
2000-01-20,3.8369088172912598
2000-01-21,3.7601704597473145
2000-01-24,3.7601704597473145
2000-01-25,3.811326503753662
2000-01-26,3.811326503753662
2000-01-27,3.7857506275177
2000-01-28,3.683431386947632
2000-01-31,3.632272481918335
2000-02-01,3.734591484069824
2000-02-02,3.734591484069824
2000-02-03,3.7601704597473145
2000-02-04,3.7601704597473145
2000-02-07,3.811326503753662
2000-02-08,3.862485647201538
2000-02-09,3.862485647201538
2000-02-10,3.8369088172912598
2000-02-11,3.734591484069824
2000-02-14,3.7601704597473145
2000-02-15,3.7601704597473145
2000-02-16,3.811326503753662
2000-02-17,3.862485647201538
2000-02-18,3.7857506275177
2000-02-22,3.709009885787964
2000-02-23,3.734591484069824
2000-02-24,3.683431386947632
2000-02-25,3.6578524112701416
2000-02-28,3.632272481918335
2000-02-29,3.632272481918335
2000-03-01,3.555534601211548
2000-03-02,3.555534601211548
2000-03-03,3.529954433441162
2000-03-06,3.632272481918335
2000-03-07,3.5811145305633545
2000-03-08,3.6066949367523193
2000-03-09,3.632272481918335
2000-03-10,3.6578524112701416
2000-03-13,3.6578524112701416
2000-03-14,3.632272481918335
2000-03-15,3.6578524112701416
2000-03-16,3.6578524112701416
2000-03-17,3.683431386947632
2000-03-20,3.683431386947632
2000-03-21,3.632272481918335
2000-03-22,3.6578524112701416
2000-03-23,3.6578524112701416
2000-03-24,3.632272481918335
2000-03-27,3.555534601211548
2000-03-28,3.632272481918335
2000-03-29,3.6417038440704346
2000-03-30,3.694103956222534
2000-03-31,3.7203030586242676
2000-04-03,3.7465035915374756
2000-04-04,3.7465035915374756
2000-04-05,3.694103956222534
2000-04-06,3.982295274734497
2000-04-07,4.113292217254639
2000-04-10,4.139492511749268
2000-04-11,4.16569185256958
2000-04-12,4.375286102294922
2000-04-13,4.3228864669799805
2000-04-14,4.191892147064209
2000-04-17,4.139492511749268
2000-04-18,4.191892147064209
2000-04-19,4.113292217254639
2000-04-20,4.16569185256958
2000-04-24,4.296686172485352
2000-04-25,4.375286102294922
2000-04-26,4.270488739013672
2000-04-27,4.427685737609863
2000-04-28,4.480083465576172
2000-05-01,4.480083465576172
2000-05-02,4.401485919952393
2000-05-03,4.349085330963135
2000-05-04,4.3228864669799805
2000-05-05,4.296686172485352
2000-05-08,4.191892147064209
2000-05-09,4.16569185256958
2000-05-10,4.244288921356201
2000-05-11,4.218091011047363
2000-05-12,4.218091011047363
2000-05-15,4.244288921356201
2000-05-16,4.296686172485352
2000-05-17,4.244288921356201
2000-05-18,4.191892147064209
2000-05-19,4.191892147064209
2000-05-22,4.16569185256958
2000-05-23,4.087093353271484
2000-05-24,4.0608930587768555
2000-05-25,3.982295274734497
2000-05-26,3.982295274734497
2000-05-30,3.95609450340271
2000-05-31,4.034695148468018
