Date,EVRG
2000-01-03,4.968027591705322
2000-01-04,5.137388229370117
2000-01-05,5.400845527648926
2000-01-06,5.3632049560546875
2000-01-07,5.306753635406494
2000-01-10,5.212661266326904
2000-01-11,5.250297546386719
2000-01-12,5.212661266326904
2000-01-13,5.156209468841553
2000-01-14,4.986844539642334
2000-01-18,4.836296558380127
2000-01-19,5.043296813964844
2000-01-20,4.930388450622559
2000-01-21,5.005658149719238
2000-01-24,4.986844539642334
2000-01-25,4.8551130294799805
2000-01-26,4.610476016998291
2000-01-27,4.77984094619751
2000-01-28,4.77984094619751
2000-01-31,4.817478179931641
2000-02-01,4.68574857711792
2000-02-02,4.742206573486328
2000-02-03,5.005658149719238
2000-02-04,4.968027591705322
2000-02-07,5.005658149719238
2000-02-08,5.024479866027832
2000-02-09,5.005658149719238
2000-02-10,4.817478179931641
2000-02-11,4.817478179931641
2000-02-14,4.761021137237549
2000-02-15,4.742206573486328
2000-02-16,4.742206573486328
2000-02-17,4.761021137237549
2000-02-18,4.761021137237549
2000-02-22,4.817478179931641
2000-02-23,4.761021137237549
2000-02-24,4.68574857711792
2000-02-25,4.666930675506592
2000-02-28,4.761021137237549
2000-02-29,4.64811372756958
2000-03-01,4.666930675506592
2000-03-02,4.930388450622559
2000-03-03,4.968027591705322
2000-03-06,4.8551130294799805
2000-03-07,5.216366291046143
2000-03-08,5.25529670715332
2000-03-09,5.294225215911865
2000-03-10,5.372082233428955
2000-03-13,5.333152770996094
2000-03-14,5.25529670715332
2000-03-15,5.352613925933838
2000-03-16,5.411008358001709
2000-03-17,5.352613925933838
2000-03-20,5.313687801361084
2000-03-21,5.25529670715332
2000-03-22,5.099583148956299
2000-03-23,5.235830783843994
2000-03-24,5.216366291046143
2000-03-27,5.235830783843994
2000-03-28,5.177436828613281
2000-03-29,5.216366291046143
2000-03-30,4.904943466186523
2000-03-31,4.924405574798584
2000-04-03,4.671372890472412
2000-04-04,4.7881574630737305
2000-04-05,4.7881574630737305
2000-04-06,4.690836429595947
2000-04-07,4.6519083976745605
2000-04-10,4.690836429595947
2000-04-11,4.7881574630737305
2000-04-12,4.866011619567871
2000-04-13,4.885477542877197
2000-04-14,4.710300922393799
2000-04-17,4.904943466186523
