Date,ORLY
2000-01-03,0.7166669964790344
2000-01-04,0.6645830273628235
2000-01-05,0.668749988079071
2000-01-06,0.6312500238418579
2000-01-07,0.5541669726371765
2000-01-10,0.5604169964790344
2000-01-11,0.5520830154418945
2000-01-12,0.5416669845581055
2000-01-13,0.5458329916000366
2000-01-14,0.4760420024394989
2000-01-18,0.4708330035209656
2000-01-19,0.4437499940395355
2000-01-20,0.4437499940395355
2000-01-21,0.4520829916000366
2000-01-24,0.44999998807907104
2000-01-25,0.45833298563957214
2000-01-26,0.4208329916000366
2000-01-27,0.4437499940395355
2000-01-28,0.43333300948143005
2000-01-31,0.4375
2000-02-01,0.4458329975605011
2000-02-02,0.42500001192092896
2000-02-03,0.4520829916000366
2000-02-04,0.44166699051856995
2000-02-07,0.43333300948143005
2000-02-08,0.44166699051856995
2000-02-09,0.40208300948143005
2000-02-10,0.4354169964790344
2000-02-11,0.40625
2000-02-14,0.4229170083999634
2000-02-15,0.40625
2000-02-16,0.3833329975605011
2000-02-17,0.3583329916000366
2000-02-18,0.3583329916000366
2000-02-22,0.375
2000-02-23,0.3843750059604645
2000-02-24,0.4354169964790344
2000-02-25,0.4291670024394989
2000-02-28,0.4364579916000366
2000-02-29,0.4666669964790344
2000-03-01,0.40208300948143005
2000-03-02,0.3687500059604645
2000-03-03,0.4041669964790344
2000-03-06,0.36458298563957214
2000-03-07,0.3208329975605011
2000-03-08,0.30833300948143005
2000-03-09,0.36458298563957214
2000-03-10,0.33333298563957214
2000-03-13,0.3520829975605011
2000-03-14,0.3770830035209656
2000-03-15,0.4124999940395355
2000-03-16,0.49583300948143005
2000-03-17,0.47916701436042786
2000-03-20,0.4854170083999634
2000-03-21,0.5020830035209656
2000-03-22,0.49583300948143005
2000-03-23,0.4916670024394989
2000-03-24,0.5416669845581055
2000-03-27,0.5458329916000366
2000-03-28,0.512499988079071
2000-03-29,0.48124998807907104
2000-03-30,0.5
2000-03-31,0.47291699051856995
2000-04-03,0.4916670024394989
2000-04-04,0.4916670024394989
2000-04-05,0.4937500059604645
2000-04-06,0.48124998807907104
2000-04-07,0.46458300948143005
2000-04-10,0.45625001192092896
2000-04-11,0.4354169964790344
2000-04-12,0.4291670024394989
2000-04-13,0.44791701436042786
2000-04-14,0.4312500059604645
2000-04-17,0.43333300948143005
2000-04-18,0.4354169964790344
2000-04-19,0.40625
2000-04-20,0.42500001192092896
2000-04-24,0.4145829975605011
2000-04-25,0.4437499940395355
2000-04-26,0.4770829975605011
2000-04-27,0.4541670083999634
2000-04-28,0.44999998807907104
2000-05-01,0.46458300948143005
2000-05-02,0.44791701436042786
2000-05-03,0.43333300948143005
2000-05-04,0.43333300948143005
2000-05-05,0.4625000059604645
2000-05-08,0.45833298563957214
2000-05-09,0.45833298563957214
2000-05-10,0.4625000059604645
2000-05-11,0.47291699051856995
2000-05-12,0.45833298563957214
2000-05-15,0.5062500238418579
2000-05-16,0.5083330273628235
2000-05-17,0.4916670024394989
2000-05-18,0.5
2000-05-19,0.4916670024394989
2000-05-22,0.48750001192092896
2000-05-23,0.48750001192092896
2000-05-24,0.4937500059604645
2000-05-25,0.4854170083999634
2000-05-26,0.4625000059604645
2000-05-30,0.4604170024394989
2000-05-31,0.4541670083999634
