Date,ALB
2000-01-03,5.879939079284668
2000-01-04,5.879939079284668
2000-01-05,5.982021331787109
2000-01-06,6.186185359954834
2000-01-07,6.084101676940918
2000-01-10,6.063685894012451
2000-01-11,6.04326868057251
2000-01-12,6.084101676940918
2000-01-13,6.165767669677734
2000-01-14,6.04326868057251
2000-01-18,5.92077112197876
2000-01-19,5.941187381744385
2000-01-20,5.859522342681885
2000-01-21,5.941187381744385
2000-01-24,5.839104652404785
2000-01-25,5.5941081047058105
2000-01-26,5.798273086547852
2000-01-27,5.900352478027344
2000-01-28,5.75744104385376
2000-01-31,5.900352478027344
2000-02-01,5.737022399902344
2000-02-02,5.75744104385376
2000-02-03,5.75744104385376
2000-02-04,5.6757731437683105
2000-02-07,5.6757731437683105
2000-02-08,5.5941081047058105
2000-02-09,5.5124430656433105
2000-02-10,5.5124430656433105
2000-02-11,5.226611614227295
2000-02-14,5.369528293609619
2000-02-15,5.5124430656433105
2000-02-16,5.3082780838012695
2000-02-17,5.3899407386779785
2000-02-18,5.206193447113037
2000-02-22,5.206193447113037
2000-02-23,5.144944190979004
2000-02-24,5.02244758605957
2000-02-25,5.002030372619629
2000-02-28,5.002030372619629
2000-02-29,4.920365333557129
2000-03-01,4.757032871246338
2000-03-02,4.879531383514404
2000-03-03,4.899949073791504
2000-03-06,5.083695888519287
2000-03-07,4.899949073791504
2000-03-08,5.144944190979004
2000-03-09,5.0428643226623535
2000-03-10,5.226611614227295
2000-03-13,5.160004615783691
2000-03-14,5.201118469238281
2000-03-15,5.673948764801025
2000-03-16,6.105664253234863
2000-03-17,6.22900915145874
2000-03-20,6.45514440536499
2000-03-21,6.49626350402832
2000-03-22,6.187896251678467
2000-03-23,6.1467790603637695
2000-03-24,6.208453178405762
2000-03-27,6.208453178405762
2000-03-28,6.023432731628418
2000-03-29,5.900083541870117
2000-03-30,6.290683269500732
2000-03-31,6.825187683105469
2000-04-03,6.578493595123291
2000-04-04,6.660722732543945
2000-04-05,6.43458890914917
2000-04-06,6.537376880645752
2000-04-07,6.681278228759766
2000-04-10,6.516819477081299
2000-04-11,6.578493595123291
2000-04-12,6.557931900024414
2000-04-13,6.557931900024414
2000-04-14,6.537376880645752
2000-04-17,6.414026737213135
2000-04-18,6.22900915145874
2000-04-19,6.414026737213135
2000-04-20,6.557931900024414
2000-04-24,6.763513088226318
2000-04-25,6.948526382446289
2000-04-26,6.681278228759766
2000-04-27,6.907417297363281
2000-04-28,6.886857509613037
2000-05-01,6.969086647033691
2000-05-02,7.010202884674072
2000-05-03,7.298014163970947
2000-05-04,7.071876525878906
2000-05-05,7.1335530281066895
2000-05-08,7.236340522766113
2000-05-09,7.236340522766113
2000-05-10,7.092434406280518
2000-05-11,7.21578311920166
2000-05-12,7.195224285125732
2000-05-15,7.21578311920166
2000-05-16,7.503594398498535
2000-05-17,7.3391289710998535
2000-05-18,7.524153709411621
2000-05-19,7.483036041259766
2000-05-22,7.585822582244873
2000-05-23,7.647493839263916
2000-05-24,7.709169387817383
2000-05-25,7.688608169555664
2000-05-26,7.380246162414551
2000-05-30,7.544708728790283
2000-05-31,7.236340522766113
2000-06-01,7.092434406280518
2000-06-02,7.46247673034668
2000-06-05,7.195224285125732
2000-06-06,7.21578311920166
2000-06-07,7.503594398498535
2000-06-08,7.256897926330566
2000-06-09,7.277457237243652
2000-06-12,7.441917419433594
2000-06-13,7.395645618438721
2000-06-14,7.2303786277771
2000-06-15,7.189064979553223
2000-06-16,7.168403148651123
2000-06-19,7.147744178771973
2000-06-20,7.003137111663818
2000-06-21,6.941164016723633
2000-06-22,6.734580039978027
2000-06-23,6.713921070098877
2000-06-26,6.775898456573486
2000-06-27,6.693264484405518
2000-06-28,7.189064979553223
2000-06-29,7.29235315322876
2000-06-30,6.528003215789795
2000-07-03,7.127085208892822
2000-07-05,7.2303786277771
2000-07-06,7.10642671585083
2000-07-07,7.374985218048096
2000-07-10,7.416303634643555
2000-07-11,7.29235315322876
2000-07-12,7.498933792114258
2000-07-13,7.395645618438721
2000-07-14,7.35432767868042
2000-07-17,7.374985218048096
2000-07-18,7.333669662475586
2000-07-19,7.333669662475586
2000-07-20,7.374985218048096
2000-07-21,7.808811664581299
2000-07-24,7.4576191902160645
2000-07-25,7.870787143707275
2000-07-26,7.767488956451416
2000-07-27,7.808811664581299
2000-07-28,7.932755470275879
2000-07-31,8.159994125366211
2000-08-01,8.159994125366211
2000-08-02,8.077367782592773
2000-08-03,8.077367782592773
2000-08-04,7.974076271057129
2000-08-07,8.098021507263184
2000-08-08,8.11867904663086
2000-08-09,8.01539134979248
2000-08-10,7.974076271057129
2000-08-11,7.953414440155029
2000-08-14,8.242633819580078
2000-08-15,8.139337539672852
2000-08-16,8.490527153015137
2000-08-17,8.366579055786133
2000-08-18,8.22197437286377
2000-08-21,8.263291358947754
2000-08-22,8.469869613647461
2000-08-23,8.325263977050781
2000-08-24,8.180656433105469
2000-08-25,8.387239456176758
2000-08-28,8.180656433105469
2000-08-29,8.180656433105469
2000-08-30,8.22197437286377
2000-08-31,8.201313972473145
2000-09-01,8.139337539672852
2000-09-05,8.077367782592773
2000-09-06,8.01539134979248
2000-09-07,7.6848578453063965
2000-09-08,7.664206027984619
2000-09-11,7.829463481903076
2000-09-12,7.767488956451416
2000-09-13,7.554961681365967
2000-09-14,7.534203052520752
2000-09-15,7.202116966247559
2000-09-18,6.994560718536377
2000-09-19,6.870031356811523
2000-09-20,6.662477016448975
2000-09-21,6.620964050292969
2000-09-22,6.517187118530273
2000-09-25,6.434165954589844
2000-09-26,6.205859661102295
2000-09-27,6.537942886352539
2000-09-28,6.766252040863037
2000-09-29,6.703988075256348
2000-10-02,6.309632778167725
2000-10-03,6.558701515197754
2000-10-04,6.745494842529297
2000-10-05,6.807763576507568
2000-10-06,7.264383316040039
2000-10-09,7.181360721588135
2000-10-10,7.036070823669434
2000-10-11,6.7870073318481445
2000-10-12,6.641721248626709
2000-10-13,6.620964050292969
2000-10-16,6.517187118530273
2000-10-17,6.600210666656494
2000-10-18,6.807763576507568
2000-10-19,6.7870073318481445
2000-10-20,6.911543846130371
2000-10-23,6.8492751121521
2000-10-24,7.056827545166016
2000-10-25,7.056827545166016
2000-10-26,7.243626594543457
2000-10-27,7.388914108276367
2000-10-30,7.783267021179199
2000-10-31,7.7002458572387695
2000-11-01,7.160603046417236
2000-11-02,7.015314102172852
2000-11-03,6.683230400085449
2000-11-06,6.973805904388428
2000-11-07,7.139851093292236
2000-11-08,7.326648712158203
2000-11-09,7.243626594543457
2000-11-10,7.015314102172852
2000-11-13,7.139851093292236
2000-11-14,7.22287654876709
2000-11-15,7.347405433654785
2000-11-16,7.077584266662598
2000-11-17,7.28513765335083
2000-11-20,7.22287654876709
2000-11-21,7.28513765335083
2000-11-22,7.28513765335083
2000-11-24,7.347405433654785
2000-11-27,7.388914108276367
2000-11-28,7.160603046417236
2000-11-29,7.409669399261475
2000-11-30,7.326648712158203
2000-12-01,7.637972354888916
2000-12-04,7.658730506896973
2000-12-05,7.9493088722229
2000-12-06,7.534203052520752
2000-12-07,7.471935272216797
2000-12-08,7.617223739624023
2000-12-11,7.637972354888916
2000-12-12,7.388914108276367
2000-12-13,7.494970798492432
2000-12-14,7.536721706390381
2000-12-15,7.265321254730225
2000-12-18,7.432341575622559
2000-12-19,7.7246222496032715
2000-12-20,7.432341575622559
2000-12-21,7.68286657333374
2000-12-22,7.599359512329102
2000-12-26,7.661989688873291
2000-12-27,7.912521839141846
2000-12-28,8.517962455749512
2000-12-29,8.267436981201172
2001-01-02,7.808131694793701
2001-01-03,7.578481197357178
2001-01-04,7.870765686035156
2001-01-05,7.745497703552246
2001-01-08,7.787250518798828
2001-01-09,7.5576043128967285
2001-01-10,7.8916473388671875
2001-01-11,7.578481197357178
2001-01-12,7.68286657333374
2001-01-16,7.787250518798828
2001-01-17,7.745497703552246
2001-01-18,7.870765686035156
2001-01-19,7.620235919952393
2001-01-22,8.100415229797363
2001-01-23,8.100415229797363
2001-01-24,7.975151538848877
2001-01-25,8.142170906066895
2001-01-26,7.8916473388671875
2001-01-29,7.913357257843018
2001-01-30,8.056990623474121
2001-01-31,8.367646217346191
2001-02-01,8.234028816223145
2001-02-02,8.143837928771973
2001-02-05,8.180580139160156
2001-02-06,8.133816719055176
2001-02-07,8.190605163574219
2001-02-08,8.13715934753418
2001-02-09,8.183923721313477
2001-02-12,8.167224884033203
2001-02-13,8.097071647644043
2001-02-14,8.117114067077637
2001-02-15,8.180580139160156
2001-02-16,8.143837928771973
2001-02-20,7.983499526977539
2001-02-21,7.616057395935059
2001-02-22,7.71292781829834
2001-02-23,7.585996627807617
2001-02-26,8.036945343017578
2001-02-27,7.936735153198242
2001-02-28,7.966802597045898
2001-03-01,8.000205039978027
2001-03-02,8.033607482910156
2001-03-05,8.13715934753418
2001-03-06,8.020243644714355
2001-03-07,7.883286952972412
2001-03-08,7.956778049468994
2001-03-09,7.956778049468994
2001-03-12,7.849884510040283
2001-03-13,7.809573650360107
2001-03-14,7.796141147613525
2001-03-15,7.779345989227295
2001-03-16,7.789428234100342
2001-03-19,7.9271416664123535
2001-03-20,7.859963893890381
2001-03-21,7.611399173736572
2001-03-22,7.44009256362915
2001-03-23,7.567733287811279
2001-03-26,7.356115818023682
2001-03-27,7.591244697570801
2001-03-28,7.44009256362915
2001-03-29,7.389710426330566
2001-03-30,7.540862560272217
2001-04-02,7.490477561950684
2001-04-03,7.342685699462891
2001-04-04,7.507269382476807
2001-04-05,7.608039855957031
2001-04-06,7.557657241821289
2001-04-09,7.557657241821289
2001-04-10,7.856602668762207
2001-04-11,7.64835262298584
2001-04-12,7.597967624664307
2001-04-16,7.644989013671875
2001-04-17,7.5778093338012695
2001-04-18,7.507269382476807
2001-04-19,7.587890148162842
2001-04-20,7.745759010314941
2001-04-23,7.722243309020996
2001-04-24,7.722243309020996
2001-04-25,7.634912490844727
2001-04-26,7.718883514404297
2001-04-27,7.762555122375488
2001-04-30,7.846529960632324
2001-05-01,7.604681015014648
2001-05-02,7.446807384490967
2001-05-03,7.433376789093018
2001-05-04,7.554298400878906
2001-05-07,7.426659107208252
2001-05-08,7.4770379066467285
2001-05-09,7.493836879730225
2001-05-10,7.463607311248779
2001-05-11,7.550938129425049
2001-05-14,7.547579765319824
2001-05-15,7.497194290161133
2001-05-16,7.732325077056885
2001-05-17,7.802855014801025
2001-05-18,7.712167263031006
2001-05-21,7.853244781494141
2001-05-22,7.900273323059082
2001-05-23,7.692016124725342
2001-05-24,7.708808898925781
2001-05-25,7.755834102630615
2001-05-29,7.718883514404297
2001-05-30,7.631551742553711
2001-05-31,7.692016124725342
2001-06-01,7.702091693878174
2001-06-04,7.826370716094971
2001-06-05,7.866682529449463
2001-06-06,7.6718621253967285
2001-06-07,7.678580284118652
2001-06-08,7.631551742553711
2001-06-11,7.628191947937012
2001-06-12,7.483759880065918
2001-06-13,7.639180660247803
2001-06-14,7.561468601226807
2001-06-15,7.422942638397217
2001-06-18,7.466866493225098
2001-06-19,7.466866493225098
2001-06-20,7.63242244720459
2001-06-21,7.598635673522949
2001-06-22,7.240492343902588
2001-06-25,7.304691791534424
2001-06-26,7.64255952835083
2001-06-27,7.65269136428833
