Date,ROK
2000-01-03,10.566110610961914
2000-01-04,10.17823600769043
2000-01-05,10.231735229492188
2000-01-06,10.031112670898438
2000-01-07,10.338735580444336
2000-01-10,10.338735580444336
2000-01-11,10.138113021850586
2000-01-12,10.218355178833008
2000-01-13,10.472482681274414
2000-01-14,10.31198501586914
2000-01-18,10.8603515625
2000-01-19,11.114477157592773
2000-01-20,10.485854148864746
2000-01-21,10.619603157043457
2000-01-24,10.031112670898438
2000-01-25,10.271860122680664
2000-01-26,10.325353622436523
2000-01-27,10.432358741760254
2000-01-28,10.378860473632812
2000-01-31,10.579480171203613
2000-02-01,10.579480171203613
2000-02-02,10.378860473632812
2000-02-03,10.378860473632812
2000-02-04,10.204981803894043
2000-02-07,9.910737037658691
2000-02-08,9.843866348266602
2000-02-09,9.429243087768555
2000-02-10,9.726276397705078
2000-02-11,9.55139446258545
2000-02-14,9.416866302490234
2000-02-15,9.860811233520508
2000-02-16,10.022245407104492
2000-02-17,10.129863739013672
2000-02-18,10.452729225158691
2000-02-22,11.004283905029297
2000-02-23,10.600702285766602
2000-02-24,10.250936508178711
2000-02-25,9.981879234313965
2000-02-28,9.685925483703613
2000-02-29,9.739733695983887
2000-03-01,9.685925483703613
2000-03-02,9.820450782775879
2000-03-03,10.076051712036133
2000-03-06,9.80699348449707
2000-03-07,8.609711647033691
2000-03-08,8.407919883728027
2000-03-09,8.488638877868652
2000-03-10,8.44827938079834
2000-03-13,8.286843299865723
2000-03-14,8.259943008422852
2000-03-15,8.690423011779785
2000-03-16,9.201624870300293
2000-03-17,8.73078441619873
2000-03-20,8.94602108001709
2000-03-21,9.053648948669434
2000-03-22,8.596259117126465
2000-03-23,8.87876033782959
2000-03-24,8.919121742248535
2000-03-27,8.919121742248535
2000-03-28,8.784592628479004
2000-03-29,8.44827938079834
2000-03-30,8.569351196289062
2000-03-31,8.999836921691895
2000-04-03,8.919121742248535
2000-04-04,9.013290405273438
2000-04-05,9.147815704345703
2000-04-06,9.322704315185547
2000-04-07,9.416866302490234
2000-04-10,9.363059043884277
2000-04-11,9.60521125793457
2000-04-12,9.416866302490234
2000-04-13,9.376508712768555
2000-04-14,8.838408470153809
2000-04-17,8.434831619262695
2000-04-18,8.300297737121582
2000-04-19,8.2330322265625
2000-04-20,8.502090454101562
2000-04-24,8.42137622833252
2000-04-25,8.515542030334473
