Date,VMC
2000-01-03,27.091501235961914
2000-01-04,27.005491256713867
2000-01-05,28.81159019470215
2000-01-06,28.854589462280273
2000-01-07,28.940601348876953
2000-01-10,30.10165786743164
2000-01-11,29.456634521484375
2000-01-12,29.0266056060791
2000-01-13,29.4996337890625
2000-01-14,29.585641860961914
2000-01-18,30.40268325805664
2000-01-19,30.359699249267578
2000-01-20,29.972665786743164
2000-01-21,29.41364288330078
2000-01-24,29.0266056060791
2000-01-25,28.940601348876953
2000-01-26,29.4996337890625
2000-01-27,29.62864875793457
2000-01-28,28.854589462280273
2000-01-31,29.11260986328125
2000-02-01,29.11260986328125
2000-02-02,29.069618225097656
2000-02-03,29.4996337890625
2000-02-04,29.284626007080078
2000-02-07,28.940601348876953
2000-02-08,28.983612060546875
2000-02-09,28.81159019470215
2000-02-10,28.940601348876953
2000-02-11,28.295589447021484
2000-02-14,28.381572723388672
2000-02-15,28.940601348876953
2000-02-16,28.940601348876953
2000-02-17,29.198619842529297
2000-02-18,28.89760398864746
2000-02-22,29.069618225097656
2000-02-23,28.09117317199707
2000-02-24,27.18360137939453
2000-02-25,27.74543571472168
2000-02-28,27.65900421142578
2000-02-29,27.65900421142578
2000-03-01,27.831880569458008
2000-03-02,27.140405654907227
2000-03-03,28.004758834838867
2000-03-06,27.226839065551758
2000-03-07,26.405696868896484
2000-03-08,26.578567504882812
2000-03-09,26.881101608276367
2000-03-10,26.751453399658203
2000-03-13,27.270057678222656
2000-03-14,27.226839065551758
2000-03-15,28.134389877319336
2000-03-16,30.554567337036133
2000-03-17,30.25205421447754
2000-03-20,29.690210342407227
2000-03-21,30.381694793701172
2000-03-22,29.690210342407227
2000-03-23,31.202821731567383
2000-03-24,30.684213638305664
2000-03-27,30.597776412963867
2000-03-28,30.597776412963867
2000-03-29,30.986724853515625
2000-03-30,31.462127685546875
2000-03-31,31.67821502685547
2000-04-03,32.41288757324219
2000-04-04,31.937517166137695
2000-04-05,32.32646560668945
2000-04-06,31.980722427368164
2000-04-07,31.375696182250977
2000-04-10,31.28925895690918
2000-04-11,31.548564910888672
2000-04-12,32.32646560668945
2000-04-13,32.45610809326172
2000-04-14,31.80785369873047
2000-04-17,31.980722427368164
2000-04-18,29.949525833129883
2000-04-19,29.3012638092041
2000-04-20,29.733423233032227
2000-04-24,30.29524803161621
2000-04-25,30.684213638305664
2000-04-26,30.12240219116211
2000-04-27,29.99273109436035
2000-04-28,30.29524803161621
2000-05-01,30.51133918762207
2000-05-02,30.381694793701172
2000-05-03,30.208816528320312
2000-05-04,30.468111038208008
2000-05-05,30.29524803161621
2000-05-08,30.29524803161621
2000-05-09,30.900304794311523
2000-05-10,31.116374969482422
2000-05-11,32.28325271606445
2000-05-12,32.19679641723633
2000-05-15,32.36967849731445
2000-05-16,32.67219161987305
2000-05-17,33.23402404785156
2000-05-18,33.53655242919922
2000-05-19,33.406890869140625
2000-05-22,33.53655242919922
2000-05-23,32.84507369995117
2000-05-24,32.73046112060547
2000-05-25,33.46842956542969
2000-05-26,32.513423919677734
2000-05-30,33.42502975463867
2000-05-31,32.47001647949219
2000-06-01,32.079341888427734
2000-06-02,33.59864044189453
2000-06-05,33.33818054199219
2000-06-06,31.99251365661621
2000-06-07,31.254552841186523
2000-06-08,31.080900192260742
2000-06-09,31.384794235229492
2000-06-12,31.254552841186523
2000-06-13,30.56000518798828
2000-06-14,31.688661575317383
2000-06-15,31.211149215698242
2000-06-16,30.928974151611328
2000-06-19,30.299570083618164
2000-06-20,29.56159782409668
2000-06-21,29.648422241210938
2000-06-22,29.56159782409668
2000-06-23,29.040687561035156
2000-06-26,29.12750816345215
2000-06-27,28.867055892944336
2000-06-28,29.105806350708008
2000-06-29,29.778657913208008
2000-06-30,29.648422241210938
2000-07-03,30.21275520324707
2000-07-05,31.211149215698242
2000-07-06,30.169336318969727
2000-07-07,29.995697021484375
2000-07-10,29.90886878967285
2000-07-11,30.56000518798828
2000-07-12,29.90886878967285
2000-07-13,30.56000518798828
2000-07-14,30.386394500732422
2000-07-17,30.299570083618164
2000-07-18,29.952289581298828
2000-07-19,29.90886878967285
2000-07-20,29.952289581298828
2000-07-21,29.90886878967285
2000-07-24,30.256166458129883
2000-07-25,30.125919342041016
2000-07-26,29.778657913208008
2000-07-27,29.605022430419922
2000-07-28,29.605022430419922
2000-07-31,29.735240936279297
2000-08-01,30.473188400268555
2000-08-02,30.386394500732422
2000-08-03,30.56000518798828
