Date,ADM
2000-01-03,5.929680347442627
2000-01-04,5.867916107177734
2000-01-05,5.775260925292969
2000-01-06,5.806146621704102
2000-01-07,5.898797988891602
2000-01-10,5.898797988891602
2000-01-11,5.806146621704102
2000-01-12,5.960564613342285
2000-01-13,5.929680347442627
2000-01-14,6.176750183105469
2000-01-18,6.454704284667969
2000-01-19,6.609127044677734
2000-01-20,6.454704284667969
2000-01-21,6.423822402954102
2000-01-24,6.114980220794678
2000-01-25,6.053218364715576
2000-01-26,6.022335052490234
2000-01-27,5.929680347442627
2000-01-28,5.837028980255127
2000-01-31,5.806146621704102
2000-02-01,5.929680347442627
2000-02-02,5.830437660217285
2000-02-03,5.830437660217285
2000-02-04,5.830437660217285
2000-02-07,5.830437660217285
2000-02-08,5.7994256019592285
2000-02-09,5.582337856292725
2000-02-10,5.427270889282227
2000-02-11,5.427270889282227
2000-02-14,5.520310401916504
2000-02-15,5.551321983337402
2000-02-16,5.613348484039307
2000-02-17,5.675376892089844
2000-02-18,5.675376892089844
2000-02-22,5.675376892089844
2000-02-23,5.489298343658447
2000-02-24,5.4582839012146
2000-02-25,5.303220272064209
2000-02-28,5.241193771362305
2000-02-29,4.99308967590332
2000-03-01,5.117141246795654
2000-03-02,4.931063652038574
2000-03-03,5.148153781890869
2000-03-06,4.90004825592041
2000-03-07,4.7449846267700195
2000-03-08,4.775998115539551
2000-03-09,4.713972568511963
2000-03-10,4.775998115539551
2000-03-13,4.713972568511963
2000-03-14,4.496882438659668
2000-03-15,4.589919567108154
2000-03-16,5.086127281188965
2000-03-17,5.241193771362305
2000-03-20,5.086127281188965
2000-03-21,5.086127281188965
2000-03-22,5.210180759429932
2000-03-23,5.241193771362305
2000-03-24,5.086127281188965
2000-03-27,5.086127281188965
2000-03-28,4.9620771408081055
2000-03-29,4.99308967590332
2000-03-30,5.148153781890869
2000-03-31,5.117141246795654
2000-04-03,5.210180759429932
2000-04-04,5.241193771362305
2000-04-05,5.27220344543457
2000-04-06,5.334230422973633
2000-04-07,5.210180759429932
2000-04-10,5.520310401916504
2000-04-11,5.4582839012146
2000-04-12,5.39625883102417
2000-04-13,5.489298343658447
2000-04-14,5.148153781890869
2000-04-17,5.241193771362305
2000-04-18,4.99308967590332
2000-04-19,4.9620771408081055
2000-04-20,4.838024139404297
2000-04-24,4.931063652038574
2000-04-25,4.8690385818481445
2000-04-26,4.90004825592041
2000-04-27,4.931063652038574
2000-04-28,4.931063652038574
2000-05-01,5.086127281188965
2000-05-02,5.117141246795654
2000-05-03,5.079744815826416
2000-05-04,4.955087661743164
2000-05-05,5.017416000366211
2000-05-08,5.079744815826416
2000-05-09,5.048580169677734
2000-05-10,5.1420722007751465
2000-05-11,5.235565185546875
2000-05-12,5.204401016235352
2000-05-15,5.235565185546875
2000-05-16,5.204401016235352
2000-05-17,5.297890663146973
2000-05-18,5.297890663146973
2000-05-19,5.235565185546875
2000-05-22,5.547205448150635
2000-05-23,5.422549724578857
2000-05-24,5.858844757080078
2000-05-25,5.983501434326172
2000-05-26,5.952338695526123
2000-05-30,6.045830726623535
2000-05-31,5.952338695526123
2000-06-01,6.108156204223633
2000-06-02,5.983501434326172
2000-06-05,5.921173095703125
2000-06-06,5.70302677154541
2000-06-07,5.952338695526123
2000-06-08,5.952338695526123
2000-06-09,5.734187126159668
2000-06-12,5.547205448150635
2000-06-13,5.4848761558532715
2000-06-14,5.329058647155762
2000-06-15,5.26672887802124
2000-06-16,5.204401016235352
2000-06-19,5.048580169677734
2000-06-20,5.017416000366211
2000-06-21,4.986253261566162
2000-06-22,4.923921585083008
2000-06-23,4.923921585083008
2000-06-26,5.079744815826416
2000-06-27,5.017416000366211
2000-06-28,4.994040489196777
2000-06-29,4.986253261566162
2000-06-30,4.89276123046875
2000-07-03,4.986253261566162
2000-07-05,4.986253261566162
2000-07-06,4.923921585083008
2000-07-07,5.204401016235352
2000-07-10,5.1420722007751465
2000-07-11,5.360218048095703
2000-07-12,5.329058647155762
2000-07-13,5.1420722007751465
2000-07-14,5.204401016235352
2000-07-17,4.986253261566162
2000-07-18,4.955087661743164
2000-07-19,4.955087661743164
2000-07-20,4.923921585083008
2000-07-21,4.799267768859863
2000-07-24,4.8304314613342285
2000-07-25,4.8615946769714355
2000-07-26,4.768103122711182
2000-07-27,4.8304314613342285
2000-07-28,4.768103122711182
2000-07-31,4.674612998962402
2000-08-01,4.89276123046875
2000-08-02,4.986253261566162
2000-08-03,4.955087661743164
2000-08-04,4.955087661743164
2000-08-07,4.89276123046875
2000-08-08,4.89276123046875
2000-08-09,4.7611985206604
2000-08-10,4.792520523071289
2000-08-11,4.7611985206604
2000-08-14,4.698554039001465
2000-08-15,4.7611985206604
2000-08-16,4.7611985206604
2000-08-17,4.698554039001465
2000-08-18,4.7298760414123535
2000-08-21,4.823845863342285
2000-08-22,4.7611985206604
2000-08-23,4.7611985206604
2000-08-24,4.7690300941467285
2000-08-25,4.703252792358398
2000-08-28,4.604581356048584
2000-08-29,4.604581356048584
2000-08-30,4.505910873413086
2000-08-31,4.645695209503174
2000-09-01,4.604581356048584
2000-09-05,4.604581356048584
2000-09-06,4.604581356048584
2000-09-07,4.6374711990356445
2000-09-08,4.604581356048584
2000-09-11,4.604581356048584
2000-09-12,4.6374711990356445
2000-09-13,4.670361042022705
2000-09-14,4.6374711990356445
2000-09-15,4.703252792358398
2000-09-18,4.6374711990356445
2000-09-19,4.604581356048584
2000-09-20,4.440132141113281
2000-09-21,4.473021507263184
2000-09-22,4.473021507263184
2000-09-25,4.374351978302002
2000-09-26,4.440132141113281
2000-09-27,4.538801670074463
2000-09-28,4.4072418212890625
2000-09-29,4.538801670074463
2000-10-02,4.801920413970947
2000-10-03,4.801920413970947
2000-10-04,4.703252792358398
2000-10-05,4.834810733795166
2000-10-06,4.9334797859191895
2000-10-09,4.966366767883301
2000-10-10,4.999260902404785
2000-10-11,5.032148838043213
2000-10-12,4.867700099945068
2000-10-13,5.032148838043213
2000-10-16,5.196596622467041
2000-10-17,5.196596622467041
2000-10-18,5.065038204193115
2000-10-19,4.999260902404785
2000-10-20,5.065038204193115
2000-10-23,5.065038204193115
2000-10-24,5.229491233825684
2000-10-25,5.459716796875
2000-10-26,5.492607593536377
2000-10-27,5.5254974365234375
2000-10-30,5.722838401794434
2000-10-31,5.788617134094238
2000-11-01,5.854395866394043
2000-11-02,5.755727767944336
2000-11-03,5.689947605133057
2000-11-06,5.722838401794434
2000-11-07,5.755727767944336
2000-11-08,5.815201282501221
2000-11-09,5.815201282501221
2000-11-10,5.94736385345459
2000-11-13,6.079527378082275
2000-11-14,6.0464887619018555
2000-11-15,6.17864990234375
2000-11-16,6.145608901977539
2000-11-17,6.211692810058594
2000-11-20,6.1125688552856445
2000-11-21,6.0464887619018555
2000-11-22,6.013448715209961
2000-11-24,6.013448715209961
2000-11-27,6.17864990234375
2000-11-28,6.211692810058594
2000-11-29,6.277772903442383
2000-11-30,6.740347385406494
2000-12-01,6.740347385406494
2000-12-04,6.806426048278809
2000-12-05,7.004674911499023
2000-12-06,7.004674911499023
2000-12-07,6.905554294586182
2000-12-08,6.773387908935547
2000-12-11,6.6412248611450195
2000-12-12,6.5421013832092285
2000-12-13,6.57513952255249
2000-12-14,6.6412248611450195
2000-12-15,6.806426048278809
2000-12-18,7.070755958557129
2000-12-19,7.202917098999023
2000-12-20,7.070755958557129
2000-12-21,7.368127822875977
2000-12-22,7.302041053771973
2000-12-26,7.401167392730713
2000-12-27,7.566366195678711
2000-12-28,7.73157262802124
2000-12-29,7.929815769195557
2001-01-02,7.73157262802124
2001-01-03,7.401167392730713
2001-01-04,7.434205055236816
2001-01-05,7.302041053771973
2001-01-08,7.764611721038818
2001-01-09,7.764611721038818
2001-01-10,7.764611721038818
2001-01-11,7.599405765533447
2001-01-12,7.566366195678711
2001-01-16,7.797657489776611
2001-01-17,7.830694675445557
2001-01-18,7.401167392730713
2001-01-19,7.2359619140625
2001-01-22,7.302041053771973
2001-01-23,7.632447242736816
2001-01-24,7.368127822875977
2001-01-25,7.302041053771973
2001-01-26,7.566366195678711
2001-01-29,7.559760093688965
2001-01-30,7.903383255004883
2001-01-31,7.919300079345703
2001-02-01,7.818514347076416
2001-02-02,8.120858192443848
2001-02-05,8.343642234802246
2001-02-06,7.945816993713379
2001-02-07,8.359554290771484
2001-02-08,8.465641021728516
2001-02-09,8.168600082397461
2001-02-12,8.364855766296387
2001-02-13,8.248160362243652
2001-02-14,8.115556716918945
2001-02-15,7.797297477722168
2001-02-16,7.988251209259033
2001-02-20,8.163296699523926
2001-02-21,8.009472846984863
2001-02-22,8.290597915649414
2001-02-23,7.929911136627197
2001-02-26,8.242859840393066
2001-02-27,8.051902770996094
2001-02-28,7.982952117919922
2001-03-01,7.945816993713379
2001-03-02,8.03069019317627
2001-03-05,8.051902770996094
2001-03-06,8.067818641662598
2001-03-07,7.972340106964111
2001-03-08,8.205730438232422
2001-03-09,8.004166603088379
2001-03-12,7.850340366363525
2001-03-13,7.738950729370117
2001-03-14,7.601038932800293
2001-03-15,7.712432384490967
2001-03-16,7.399478435516357
2001-03-19,7.601038932800293
2001-03-20,7.34113073348999
2001-03-21,7.219135284423828
2001-03-22,7.070611476898193
2001-03-23,7.2562642097473145
2001-03-26,7.0281782150268555
2001-03-27,7.20322322845459
2001-03-28,7.118353843688965
2001-03-29,7.11305046081543
2001-03-30,6.975136756896973
2001-04-02,6.890265464782715
2001-04-03,6.762965202331543
2001-04-04,6.7417449951171875
2001-04-05,6.65687894821167
2001-04-06,6.418188095092773
2001-04-09,6.577315807342529
2001-04-10,6.587923049926758
2001-04-11,6.4871416091918945
2001-04-12,6.365144729614258
2001-04-16,6.365144729614258
2001-04-17,6.365144729614258
2001-04-18,6.312095642089844
2001-04-19,6.296187877655029
2001-04-20,6.18479585647583
2001-04-23,5.834715843200684
2001-04-24,5.94610595703125
2001-04-25,6.0203633308410645
2001-04-26,6.232533931732178
2001-04-27,6.391662120819092
2001-04-30,6.317403793334961
2001-05-01,6.338619232177734
2001-05-02,6.3067946434021
2001-05-03,6.1794915199279785
2001-05-04,6.4977521896362305
2001-05-07,6.6621832847595215
2001-05-08,6.895571708679199
2001-05-09,6.735828876495361
2001-05-10,6.762449741363525
2001-05-11,6.751803874969482
2001-05-14,6.624011039733887
2001-05-15,6.629333972930908
2001-05-16,6.735828876495361
2001-05-17,6.629333972930908
2001-05-18,6.8423261642456055
2001-05-21,7.002067565917969
2001-05-22,6.932843208312988
2001-05-23,7.044666290283203
2001-05-24,7.055314064025879
2001-05-25,7.028690338134766
2001-05-29,6.948821544647217
2001-05-30,7.060638904571533
2001-05-31,7.1884355545043945
2001-06-01,7.113890647888184
2001-06-04,7.087264537811279
2001-06-05,7.183105945587158
2001-06-06,7.167134761810303
2001-06-07,7.278953552246094
2001-06-08,7.247008800506592
2001-06-11,7.289606094360352
2001-06-12,7.454677581787109
2001-06-13,7.459997653961182
2001-06-14,7.348176002502441
2001-06-15,7.401422500610352
2001-06-18,7.2416815757751465
2001-06-19,7.1777825355529785
2001-06-20,7.2097344398498535
2001-06-21,7.401422500610352
2001-06-22,7.215061187744141
2001-06-25,7.26830530166626
2001-06-26,7.321552753448486
2001-06-27,7.348176002502441
2001-06-28,7.417400360107422
2001-06-29,6.948821544647217
2001-07-02,7.19908332824707
2001-07-03,7.273632526397705
2001-07-05,7.369473457336426
2001-07-06,7.3641486167907715
2001-07-09,7.374804973602295
2001-07-10,7.380125522613525
2001-07-11,7.417400360107422
2001-07-12,7.428049087524414
2001-07-13,7.539865493774414
2001-07-16,7.337528705596924
2001-07-17,7.348176002502441
2001-07-18,7.3322038650512695
2001-07-19,7.39609956741333
2001-07-20,7.374804973602295
2001-07-23,7.055314064025879
2001-07-24,6.970117568969727
2001-07-25,7.018041610717773
2001-07-26,6.948821544647217
2001-07-27,6.922195911407471
2001-07-30,7.0979132652282715
2001-07-31,7.1298604011535645
2001-08-01,7.018041610717773
2001-08-02,7.007392883300781
2001-08-03,7.018041610717773
2001-08-06,7.002067565917969
2001-08-07,7.007392883300781
2001-08-08,7.028690338134766
2001-08-09,7.183695316314697
2001-08-10,7.082139492034912
2001-08-13,7.167663097381592
2001-08-14,7.2211079597473145
2001-08-15,7.162313938140869
2001-08-16,7.242493629455566
2001-08-17,7.3012871742248535
2001-08-20,7.4830193519592285
2001-08-21,7.50974178314209
2001-08-22,7.723545551300049
2001-08-23,7.69681453704834
2001-08-24,7.499053001403809
2001-08-27,7.6700921058654785
2001-08-28,7.589916706085205
2001-08-29,7.563191890716553
2001-08-30,7.767372131347656
2001-08-31,7.537266731262207
2001-09-04,7.7449235916137695
2001-09-05,7.885229110717773
2001-09-06,7.660737037658691
2001-09-07,7.413799285888672
2001-09-10,7.436248302459717
2001-09-17,7.026547431945801
2001-09-18,7.127574443817139
2001-09-19,6.964816093444824
2001-09-20,6.976041316986084
2001-09-21,6.762777328491211
2001-09-24,6.841350555419922
2001-09-25,6.875019550323486
2001-09-26,6.835733413696289
2001-09-27,6.869412422180176
2001-09-28,7.065836429595947
2001-10-01,7.015330791473389
2001-10-02,7.015330791473389
2001-10-03,6.998493671417236
2001-10-04,6.976041316986084
2001-10-05,6.897469997406006
2001-10-08,6.869412422180176
2001-10-09,6.734711647033691
2001-10-10,6.757164001464844
2001-10-11,6.762777328491211
2001-10-12,6.762777328491211
2001-10-15,6.818898677825928
2001-10-16,6.936755180358887
2001-10-17,6.740328311920166
2001-10-18,6.841350555419922
2001-10-19,6.863795280456543
2001-10-22,7.374512672424316
2001-10-23,7.155632495880127
2001-10-24,7.155632495880127
2001-10-25,7.368899822235107
2001-10-26,7.481147766113281
2001-10-29,7.374512672424316
2001-10-30,7.531655788421631
2001-10-31,7.817883491516113
2001-11-01,8.244413375854492
2001-11-02,8.250021934509277
2001-11-05,8.373496055603027
2001-11-06,8.373496055603027
2001-11-07,8.187664985656738
2001-11-08,8.108829498291016
2001-11-09,8.148250579833984
2001-11-12,8.350971221923828
2001-11-13,8.418546676635742
2001-11-14,8.474858283996582
2001-11-15,8.480490684509277
2001-11-16,8.469228744506836
2001-11-19,8.519901275634766
2001-11-20,8.44670295715332
2001-11-21,8.283397674560547
2001-11-23,8.362235069274902
2001-11-26,8.5818452835083
2001-11-27,8.469228744506836
2001-11-28,8.69447135925293
2001-11-29,8.559324264526367
2001-11-30,8.666316032409668
2001-12-03,8.705731391906738
2001-12-04,8.784566879272461
2001-12-05,8.722627639770508
2001-12-06,8.711359977722168
2001-12-07,8.784566879272461
2001-12-10,8.762042999267578
2001-12-11,8.604373931884766
2001-12-12,8.373496055603027
2001-12-13,8.44670295715332
2001-12-14,8.345338821411133
2001-12-17,8.328448295593262
2001-12-18,8.277766227722168
2001-12-19,8.165143966674805
2001-12-20,8.15388011932373
2001-12-21,8.029996871948242
2001-12-24,8.204561233520508
2001-12-26,8.108829498291016
2001-12-27,8.26087474822998
2001-12-28,8.069414138793945
2001-12-31,8.08067512512207
2002-01-02,7.9793171882629395
2002-01-03,7.894853115081787
2002-01-04,7.602027893066406
2002-01-07,7.562613487243652
2002-01-08,7.731545925140381
2002-01-09,7.754073619842529
2002-01-10,7.849801063537598
2002-01-11,7.832904815673828
2002-01-14,7.906110763549805
2002-01-15,8.058154106140137
2002-01-16,7.776595592498779
2002-01-17,7.675234317779541
2002-01-18,7.590770244598389
2002-01-22,7.686492919921875
2002-01-23,7.725917339324951
2002-01-24,7.680863380432129
