Date,ROL
2000-01-03,0.6258082389831543
2000-01-04,0.6206575632095337
2000-01-05,0.6180819869041443
2000-01-06,0.6232329607009888
2000-01-07,0.6283838152885437
2000-01-10,0.63353431224823
2000-01-11,0.6309590935707092
2000-01-12,0.6309590935707092
2000-01-13,0.6283838152885437
2000-01-14,0.6309590935707092
2000-01-18,0.6232329607009888
2000-01-19,0.6206575632095337
2000-01-20,0.6258082389831543
2000-01-21,0.6180819869041443
2000-01-24,0.6000548005104065
2000-01-25,0.6077808141708374
2000-01-26,0.6103562116622925
2000-01-27,0.6026301980018616
2000-01-28,0.592328667640686
2000-01-31,0.6386853456497192
2000-02-01,0.6309590935707092
2000-02-02,0.6386853456497192
2000-02-03,0.6438357830047607
2000-02-04,0.6464113593101501
2000-02-07,0.6464113593101501
2000-02-08,0.6588119864463806
2000-02-09,0.6562286019325256
2000-02-10,0.6613959074020386
2000-02-11,0.6768965721130371
2000-02-14,0.6665628552436829
2000-02-15,0.6691465377807617
2000-02-16,0.6665628552436829
2000-02-17,0.6717300415039062
2000-02-18,0.6665628552436829
2000-02-22,0.6665628552436829
2000-02-23,0.6691465377807617
2000-02-24,0.6562286019325256
2000-02-25,0.6433107852935791
2000-02-28,0.6381434798240662
2000-02-29,0.6691465377807617
2000-03-01,0.6691465377807617
2000-03-02,0.6639792323112488
2000-03-03,0.6536452174186707
2000-03-06,0.6252254843711853
2000-03-07,0.6252254843711853
2000-03-08,0.632976233959198
2000-03-09,0.6381434798240662
2000-03-10,0.6355600953102112
2000-03-13,0.632976233959198
2000-03-14,0.6355600953102112
2000-03-15,0.6303927302360535
2000-03-16,0.6510613560676575
2000-03-17,0.632976233959198
2000-03-20,0.6381434798240662
2000-03-21,0.6355600953102112
2000-03-22,0.6381434798240662
2000-03-23,0.6071402430534363
2000-03-24,0.5890554189682007
2000-03-27,0.5373843312263489
2000-03-28,0.5373843312263489
2000-03-29,0.5425511598587036
2000-03-30,0.5993896126747131
2000-03-31,0.614890992641449
2000-04-03,0.5993896126747131
2000-04-04,0.5838881134986877
2000-04-05,0.601973295211792
2000-04-06,0.601973295211792
2000-04-07,0.5942224264144897
2000-04-10,0.5761372447013855
2000-04-11,0.5761372447013855
2000-04-12,0.5864715576171875
2000-04-13,0.5787209868431091
2000-04-14,0.5813042521476746
2000-04-17,0.6200581789016724
2000-04-18,0.6123076677322388
2000-04-19,0.558052122592926
2000-04-20,0.558052122592926
2000-04-24,0.5425511598587036
2000-04-25,0.5787209868431091
2000-04-26,0.5838881134986877
2000-04-27,0.5942224264144897
2000-04-28,0.5942224264144897
2000-05-01,0.5968061089515686
2000-05-02,0.5864715576171875
2000-05-03,0.5787209868431091
2000-05-04,0.5890554189682007
2000-05-05,0.5838881134986877
2000-05-08,0.5833696126937866
2000-05-09,0.5833696126937866
2000-05-10,0.5704053640365601
