Date,DPZ
2004-07-13,5.997585773468018
2004-07-14,5.970930099487305
2004-07-15,6.148637294769287
2004-07-16,6.144192695617676
2004-07-19,6.006470680236816
2004-07-20,6.188619613647461
2004-07-21,6.042013645172119
2004-07-22,6.042013645172119
2004-07-23,6.024239540100098
2004-07-26,5.864304542541504
2004-07-27,5.664387226104736
2004-07-28,5.788780212402344
2004-07-29,6.121979236602783
2004-07-30,6.175291061401367
2004-08-02,6.086438179016113
2004-08-03,6.193061828613281
2004-08-04,6.175291061401367
2004-08-05,6.170849323272705
2004-08-06,6.130865573883057
2004-08-09,6.086438179016113
2004-08-10,6.126421928405762
2004-08-11,6.086438179016113
2004-08-12,6.055338382720947
2004-08-13,5.953160285949707
2004-08-16,5.988699436187744
2004-08-17,5.975371360778809
2004-08-18,6.0464558601379395
2004-08-19,5.908730983734131
2004-08-20,6.0597825050354
2004-08-23,6.153078079223633
2004-08-24,6.130865573883057
2004-08-25,6.130865573883057
2004-08-26,6.086438179016113
2004-08-27,6.237490177154541
2004-08-30,6.228603363037109
2004-08-31,6.330785751342773
2004-09-01,6.419639587402344
2004-09-02,6.352999210357666
2004-09-03,6.219717979431152
2004-09-07,6.161962985992432
2004-09-08,6.126421928405762
2004-09-09,6.121979236602783
2004-09-10,6.384094715118408
2004-09-13,6.3752121925354
2004-09-14,6.58845853805542
2004-09-15,6.761723518371582
2004-09-16,6.877232074737549
2004-09-17,6.752837657928467
2004-09-20,6.775048732757568
2004-09-21,6.841689586639404
2004-09-22,6.712854385375977
2004-09-23,6.650656700134277
2004-09-24,6.6817522048950195
2004-09-27,6.610672950744629
2004-09-28,6.775048732757568
2004-09-29,6.686197280883789
2004-09-30,6.530704975128174
2004-10-01,6.486277103424072
2004-10-04,6.655098915100098
2004-10-05,6.806147575378418
2004-10-06,7.063826560974121
2004-10-07,7.068265914916992
2004-10-08,7.08603572845459
2004-10-11,7.108247756958008
2004-10-12,7.090479373931885
2004-10-13,7.179332733154297
2004-10-14,7.059380054473877
2004-10-15,7.099364757537842
2004-10-18,7.063826560974121
2004-10-19,6.926102161407471
2004-10-20,6.934983730316162
2004-10-21,7.01051139831543
2004-10-22,7.041607856750488
2004-10-25,7.077151298522949
2004-10-26,7.054937362670898
2004-10-27,7.0815911293029785
2004-10-28,7.077151298522949
2004-10-29,7.285955905914307
2004-11-01,7.463659286499023
2004-11-02,7.508090019226074
2004-11-03,7.499202251434326
2004-11-04,7.410349369049072
2004-11-05,7.552516937255859
2004-11-08,7.468104362487793
2004-11-09,7.397023677825928
2004-11-10,7.494760513305664
2004-11-11,7.876830577850342
2004-11-12,7.9878973960876465
2004-11-15,7.84128475189209
2004-11-16,7.730221748352051
2004-11-17,7.774648189544678
2004-11-18,7.752431392669678
2004-11-19,7.796860218048096
2004-11-22,7.774648189544678
2004-11-23,7.925695419311523
2004-11-24,7.925695419311523
