Date,XOM
2000-01-03,17.025712966918945
2000-01-04,16.6995849609375
2000-01-05,17.6099853515625
2000-01-06,18.520376205444336
2000-01-07,18.46603012084961
2000-01-10,18.207860946655273
2000-01-11,18.262208938598633
2000-01-12,18.153518676757812
2000-01-13,18.574737548828125
2000-01-14,18.207860946655273
2000-01-18,18.425273895263672
2000-01-19,18.601911544799805
2000-01-20,18.19426918029785
2000-01-21,18.47962188720703
2000-01-24,18.31656265258789
2000-01-25,18.275798797607422
2000-01-26,18.153518676757812
2000-01-27,17.6099853515625
2000-01-28,17.148000717163086
2000-01-31,18.01763343811035
2000-02-01,18.085569381713867
2000-02-02,18.22144889831543
2000-02-03,17.90892791748047
2000-02-04,17.58281135559082
2000-02-07,17.555644989013672
2000-02-08,17.16158676147461
2000-02-09,16.67023277282715
2000-02-10,16.588241577148438
2000-02-11,16.150989532470703
2000-02-14,16.71122169494629
2000-02-15,17.33977699279785
2000-02-16,17.49007797241211
2000-02-17,17.025503158569336
2000-02-18,16.396947860717773
2000-02-22,16.492589950561523
2000-02-23,16.314958572387695
2000-02-24,15.918704986572266
2000-02-25,15.53610897064209
2000-02-28,16.06900978088379
2000-02-29,16.465267181396484
2000-03-01,16.629240036010742
2000-03-02,16.834205627441406
2000-03-03,16.547252655029297
2000-03-06,15.946030616760254
2000-03-07,17.49007797241211
2000-03-08,17.408092498779297
2000-03-09,17.585721969604492
2000-03-10,16.841026306152344
2000-03-13,16.588241577148438
2000-03-14,16.888853073120117
2000-03-15,16.998159408569336
2000-03-16,17.4354190826416
2000-03-17,16.861522674560547
2000-03-20,16.369611740112305
2000-03-21,16.834205627441406
2000-03-22,16.383285522460938
2000-03-23,16.506261825561523
2000-03-24,16.888853073120117
2000-03-27,16.72829818725586
2000-03-28,17.271448135375977
2000-03-29,17.599384307861328
2000-03-30,17.18946075439453
2000-03-31,17.052825927734375
2000-04-03,17.599384307861328
2000-04-04,18.036636352539062
2000-04-05,17.4354190826416
2000-04-06,17.872671127319336
2000-04-07,17.394426345825195
2000-04-10,17.10748291015625
2000-04-11,17.353431701660156
2000-04-12,17.476409912109375
2000-04-13,17.49007797241211
2000-04-14,17.216796875
2000-04-17,16.506261825561523
2000-04-18,16.656570434570312
2000-04-19,16.929851531982422
2000-04-20,17.271448135375977
2000-04-24,17.462745666503906
2000-04-25,17.70869255065918
2000-04-26,17.51740837097168
2000-04-27,17.640369415283203
2000-04-28,16.984498977661133
2000-05-01,17.052825927734375
2000-05-02,17.10748291015625
2000-05-03,16.943511962890625
2000-05-04,17.38076400756836
2000-05-05,17.49007797241211
2000-05-08,17.585721969604492
2000-05-09,17.36709976196289
2000-05-10,17.818016052246094
2000-05-11,18.230710983276367
2000-05-12,18.03150177001953
2000-05-15,18.381834030151367
2000-05-16,18.29940414428711
2000-05-17,17.887250900268555
2000-05-18,17.904430389404297
2000-05-19,17.969676971435547
2000-05-22,18.31313705444336
2000-05-23,18.244447708129883
2000-05-24,18.230710983276367
2000-05-25,17.900991439819336
2000-05-26,18.107067108154297
2000-05-30,18.354351043701172
2000-05-31,18.31313705444336
2000-06-01,18.230710983276367
2000-06-02,17.406410217285156
2000-06-05,17.43389129638672
2000-06-06,18.093332290649414
2000-06-07,17.832300186157227
2000-06-08,17.598751068115234
2000-06-09,17.406410217285156
2000-06-12,17.749862670898438
2000-06-13,17.846036911010742
2000-06-14,18.162015914916992
2000-06-15,18.120803833007812
2000-06-16,18.546688079833984
2000-06-19,18.477998733520508
2000-06-20,18.29940414428711
2000-06-21,18.45395851135254
2000-06-22,18.175769805908203
2000-06-23,18.271928787231445
2000-06-26,18.32344627380371
2000-06-27,18.03837013244629
2000-06-28,18.052104949951172
2000-06-29,17.849468231201172
2000-06-30,17.255290985107422
2000-07-03,17.485408782958984
2000-07-05,16.91183090209961
2000-07-06,17.186603546142578
2000-07-07,17.258726119995117
2000-07-10,17.17285919189453
2000-07-11,17.70865821838379
2000-07-12,17.279329299926758
2000-07-13,17.1453914642334
2000-07-14,17.049219131469727
2000-07-17,17.310243606567383
2000-07-18,17.186603546142578
2000-07-19,17.296506881713867
2000-07-20,17.17285919189453
2000-07-21,16.95305061340332
2000-07-24,16.98052978515625
2000-07-25,16.568382263183594
2000-07-26,16.74698257446289
2000-07-27,17.694921493530273
2000-07-28,17.585006713867188
2000-07-31,17.626222610473633
2000-08-01,17.585006713867188
2000-08-02,18.21697425842285
2000-08-03,17.900991439819336
2000-08-04,17.959373474121094
2000-08-07,17.780776977539062
2000-08-08,17.760175704956055
2000-08-09,17.818557739257812
2000-08-10,17.901994705200195
2000-08-11,17.984880447387695
2000-08-14,18.247316360473633
2000-08-15,17.97106170654297
2000-08-16,18.292219161987305
2000-08-17,18.52358627319336
2000-08-18,18.326749801635742
2000-08-21,18.45452117919922
2000-08-22,18.371644973754883
2000-08-23,18.675540924072266
2000-08-24,18.33020782470703
2000-08-25,18.33020782470703
2000-08-28,18.30257225036621
2000-08-29,18.236957550048828
2000-08-30,17.981430053710938
2000-08-31,18.0435791015625
2000-09-01,18.233516693115234
2000-09-05,18.42689323425293
2000-09-06,18.344017028808594
2000-09-07,18.509780883789062
2000-09-08,18.45452117919922
2000-09-11,18.7825870513916
2000-09-12,18.951801300048828
2000-09-13,18.96561622619629
2000-09-14,18.84475326538086
2000-09-15,19.449081420898438
2000-09-18,19.81168556213379
2000-09-19,19.449081420898438
2000-09-20,19.1175594329834
2000-09-21,19.076126098632812
2000-09-22,19.1175594329834
2000-09-25,18.97597885131836
2000-09-26,19.14519691467285
2000-09-27,19.725337982177734
2000-09-28,19.701162338256836
2000-09-29,19.69426155090332
2000-10-02,20.208810806274414
2000-10-03,20.070674896240234
2000-10-04,19.725337982177734
2000-10-05,19.71152687072754
2000-10-06,19.76679039001465
2000-10-09,20.13974380493164
2000-10-10,20.623212814331055
2000-10-11,20.719894409179688
2000-10-12,20.802778244018555
2000-10-13,20.001604080200195
2000-10-16,19.407644271850586
2000-10-17,19.407644271850586
2000-10-18,19.131370544433594
2000-10-19,19.1175594329834
2000-10-20,19.5457706451416
2000-10-23,19.68389892578125
2000-10-24,19.172809600830078
2000-10-25,19.269514083862305
2000-10-26,19.393827438354492
2000-10-27,19.352386474609375
2000-10-30,19.76679039001465
2000-10-31,19.71152687072754
2000-11-01,20.34693145751953
2000-11-02,19.490524291992188
2000-11-03,19.33857536315918
2000-11-06,19.601016998291016
2000-11-07,19.670095443725586
2000-11-08,20.043052673339844
2000-11-09,19.960323333740234
2000-11-10,19.890918731689453
2000-11-13,19.974193572998047
2000-11-14,19.960323333740234
2000-11-15,20.071359634399414
2000-11-16,20.14076805114746
2000-11-17,20.057493209838867
2000-11-20,20.29345703125
