Date,PFE
2000-01-03,11.272862434387207
2000-01-04,10.852892875671387
2000-01-05,11.02972412109375
2000-01-06,11.427591323852539
2000-01-07,12.201210975646973
2000-01-10,12.179110527038574
2000-01-11,12.024389266967773
2000-01-12,12.422248840332031
2000-01-13,13.085358619689941
2000-01-14,13.085358619689941
2000-01-18,12.90853214263916
2000-01-19,13.085358619689941
2000-01-20,12.869852066040039
2000-01-21,12.400153160095215
2000-01-24,12.157013893127441
2000-01-25,12.333839416503906
2000-01-26,12.333839416503906
2000-01-27,12.201210975646973
2000-01-28,12.444351196289062
2000-01-31,12.798012733459473
2000-02-01,13.085358619689941
2000-02-02,12.731704711914062
2000-02-03,12.599077224731445
2000-02-04,12.64329719543457
2000-02-07,13.085358619689941
2000-02-08,13.372708320617676
2000-02-09,12.77591609954834
2000-02-10,12.378044128417969
2000-02-11,12.378044128417969
2000-02-14,12.378044128417969
2000-02-15,12.576979637145996
2000-02-16,11.966259002685547
2000-02-17,12.054898262023926
2000-02-18,12.054898262023926
2000-02-22,11.87761116027832
2000-02-23,12.054898262023926
2000-02-24,11.72249984741211
2000-02-25,11.478740692138672
2000-02-28,11.412264823913574
2000-02-29,11.390104293823242
2000-03-01,11.301464080810547
2000-03-02,11.345784187316895
2000-03-03,11.56737995147705
2000-03-06,11.234989166259766
2000-03-07,10.636672019958496
2000-03-08,11.500899314880371
2000-03-09,12.187857627868652
2000-03-10,12.40945053100586
2000-03-13,12.165692329406738
2000-03-14,11.788982391357422
2000-03-15,12.49808406829834
2000-03-16,12.9412841796875
2000-03-17,12.697534561157227
2000-03-20,12.40945053100586
2000-03-21,13.007766723632812
2000-03-22,12.63104248046875
2000-03-23,12.49808406829834
2000-03-24,12.365131378173828
2000-03-27,12.320806503295898
2000-03-28,12.431614875793457
2000-03-29,12.896965980529785
2000-03-30,12.9412841796875
2000-03-31,12.963443756103516
2000-04-03,13.47312068939209
2000-04-04,14.093586921691895
2000-04-05,13.694716453552246
2000-04-06,13.606081008911133
2000-04-07,13.761201858520508
2000-04-10,14.115745544433594
2000-04-11,14.115745544433594
2000-04-12,14.315185546875
2000-04-13,14.04926586151123
2000-04-14,13.45096492767334
2000-04-17,13.47312068939209
2000-04-18,14.027109146118164
2000-04-19,14.647581100463867
2000-04-20,14.714067459106445
2000-04-24,15.423166275024414
2000-04-25,15.401017189025879
2000-04-26,15.423166275024414
2000-04-27,15.157262802124023
2000-04-28,14.935656547546387
2000-05-01,14.824856758117676
2000-05-02,15.223738670349121
2000-05-03,15.13509464263916
2000-05-04,15.24589729309082
2000-05-05,15.822056770324707
2000-05-08,16.353879928588867
2000-05-09,15.852983474731445
2000-05-10,15.414473533630371
2000-05-11,15.17024040222168
2000-05-12,15.309008598327637
2000-05-15,15.630945205688477
2000-05-16,15.808581352233887
2000-05-17,15.986204147338867
2000-05-18,16.052814483642578
2000-05-19,15.697561264038086
2000-05-22,15.608745574951172
2000-05-23,15.697561264038086
2000-05-24,15.719761848449707
2000-05-25,16.21933364868164
2000-05-26,16.030595779418945
2000-05-30,15.697561264038086
2000-05-31,15.808581352233887
2000-06-01,15.986204147338867
2000-06-02,15.47552490234375
2000-06-05,15.18689250946045
2000-06-06,15.431129455566406
2000-06-07,15.45332145690918
2000-06-08,15.719761848449707
2000-06-09,16.34145736694336
2000-06-12,15.764158248901367
2000-06-13,16.285938262939453
2000-06-14,16.55237579345703
2000-06-15,16.696693420410156
2000-06-16,17.029747009277344
2000-06-19,16.607892990112305
2000-06-20,16.430259704589844
2000-06-21,16.652299880981445
2000-06-22,16.252635955810547
2000-06-23,16.29703712463379
2000-06-26,16.430259704589844
2000-06-27,16.696693420410156
2000-06-28,16.513525009155273
2000-06-29,16.424711227416992
2000-06-30,17.05194664001465
2000-07-03,16.94093132019043
2000-07-05,16.852123260498047
2000-07-06,16.541275024414062
2000-07-07,16.274839401245117
2000-07-10,16.98534393310547
2000-07-11,17.407197952270508
2000-07-12,17.040851593017578
2000-07-13,16.385852813720703
2000-07-14,16.008407592773438
2000-07-17,16.38030242919922
2000-07-18,15.941798210144043
2000-07-19,16.496870040893555
2000-07-20,15.986204147338867
2000-07-21,16.29703712463379
2000-07-24,16.896530151367188
2000-07-25,15.630945205688477
2000-07-26,15.45332145690918
2000-07-27,15.847440719604492
2000-07-28,15.58655071258545
2000-07-31,15.408923149108887
2000-08-01,16.252635955810547
2000-08-02,16.385852813720703
2000-08-03,15.897387504577637
2000-08-04,16.16382598876953
2000-08-07,15.958440780639648
2000-08-08,15.958440780639648
2000-08-09,15.18689250946045
2000-08-10,14.92045783996582
2000-08-11,15.231298446655273
2000-08-14,15.175789833068848
2000-08-15,14.92045783996582
2000-08-16,15.46425724029541
2000-08-17,15.664510726928711
2000-08-18,15.219510078430176
2000-08-21,15.575521469116211
2000-08-22,15.130499839782715
2000-08-23,15.319636344909668
2000-08-24,15.341880798339844
2000-08-25,15.597766876220703
2000-08-28,15.252887725830078
2000-08-29,15.152746200561523
2000-08-30,14.952495574951172
2000-08-31,15.358569145202637
2000-09-01,15.364139556884766
2000-09-05,14.529727935791016
2000-09-06,14.195978164672852
2000-09-07,14.351725578308105
2000-09-08,14.41848087310791
2000-09-11,14.596487998962402
2000-09-12,14.329479217529297
2000-09-13,14.618735313415527
2000-09-14,14.729989051818848
2000-09-15,14.685477256774902
2000-09-18,14.9302396774292
2000-09-19,14.602046966552734
2000-09-20,14.56866455078125
2000-09-21,15.130499839782715
2000-09-22,15.775776863098145
2000-09-25,15.709016799926758
2000-09-26,15.4865083694458
2000-09-27,15.397518157958984
2000-09-28,15.553266525268555
2000-09-29,15.992713928222656
2000-10-02,15.753519058227539
2000-10-03,15.753519058227539
2000-10-04,15.219510078430176
2000-10-05,15.931537628173828
2000-10-06,15.887028694152832
2000-10-09,15.353009223937988
2000-10-10,15.842525482177734
2000-10-11,15.709016799926758
2000-10-12,15.887028694152832
2000-10-13,15.175002098083496
2000-10-16,15.553266525268555
2000-10-17,15.998274803161621
2000-10-18,15.575521469116211
2000-10-19,15.308509826660156
2000-10-20,15.442008972167969
2000-10-23,16.154041290283203
2000-10-24,15.308509826660156
2000-10-25,15.998274803161621
2000-10-26,16.154041290283203
2000-10-27,15.709016799926758
2000-10-30,15.62002182006836
2000-10-31,15.375255584716797
2000-11-01,15.4865083694458
2000-11-02,15.375255584716797
2000-11-03,15.531011581420898
2000-11-06,15.842525482177734
2000-11-07,15.953779220581055
2000-11-08,16.154041290283203
2000-11-09,15.887028694152832
2000-11-10,15.709016799926758
2000-11-13,15.019251823425293
2000-11-14,15.241750717163086
2000-11-15,15.363054275512695
2000-11-16,15.452247619628906
2000-11-17,15.340757369995117
2000-11-20,15.340757369995117
2000-11-21,15.519143104553223
2000-11-22,15.340757369995117
2000-11-24,15.095481872558594
2000-11-27,16.009693145751953
2000-11-28,16.054271697998047
2000-11-29,16.277252197265625
2000-11-30,15.809005737304688
2000-12-01,15.519143104553223
2000-12-04,15.764410018920898
2000-12-05,15.875905990600586
2000-12-06,15.474535942077637
2000-12-07,15.496837615966797
2000-12-08,15.519143104553223
2000-12-11,15.56373405456543
2000-12-12,15.697519302368164
2000-12-13,16.344148635864258
2000-12-14,16.254961013793945
2000-12-15,16.21036148071289
2000-12-18,16.58942413330078
2000-12-19,16.923885345458984
2000-12-20,16.54482650756836
2000-12-21,15.162372589111328
2000-12-22,15.83130931854248
2000-12-26,15.942795753479004
2000-12-27,16.143468856811523
2000-12-28,16.321853637695312
2000-12-29,16.411048889160156
2001-01-02,16.45563507080078
2001-01-03,15.541434288024902
2001-01-04,14.91710090637207
2001-01-05,15.117777824401855
2001-01-08,14.939396858215332
2001-01-09,15.429947853088379
2001-01-10,15.095481872558594
2001-01-11,14.627229690551758
2001-01-12,14.783316612243652
2001-01-16,14.872509956359863
2001-01-17,14.538045883178711
2001-01-18,14.671834945678711
2001-01-19,14.76102352142334
2001-01-22,15.028592109680176
2001-01-23,15.296162605285645
2001-01-24,15.318452835083008
2001-01-25,15.853601455688477
2001-01-26,15.809005737304688
2001-01-29,15.447789192199707
2001-01-30,15.79741382598877
2001-01-31,16.107799530029297
2001-02-01,16.12920570373535
2001-02-02,16.018600463867188
2001-02-05,16.321853637695312
2001-02-06,16.35753059387207
2001-02-07,15.875905990600586
2001-02-08,15.965089797973633
2001-02-09,16.06854248046875
2001-02-12,16.453855514526367
2001-02-13,16.064977645874023
2001-02-14,16.16512107849121
2001-02-15,15.825363159179688
2001-02-16,16.18657875061035
2001-02-20,16.047101974487305
2001-02-21,16.025644302368164
2001-02-22,16.125770568847656
2001-02-23,16.029224395751953
2001-02-26,16.183002471923828
2001-02-27,16.168699264526367
2001-02-28,16.093585968017578
2001-03-01,15.771729469299316
2001-03-02,15.596479415893555
2001-03-05,15.675155639648438
2001-03-06,15.414087295532227
2001-03-07,15.002802848815918
2001-03-08,15.020689010620117
2001-03-09,15.181625366210938
2001-03-12,14.430590629577637
2001-03-13,14.269652366638184
2001-03-14,13.947781562805176
2001-03-15,13.786845207214355
2001-03-16,13.364837646484375
2001-03-19,13.447091102600098
2001-03-20,13.311185836791992
2001-03-21,12.867719650268555
2001-03-22,12.756853103637695
2001-03-23,13.42205810546875
2001-03-26,13.854791641235352
2001-03-27,14.298257827758789
2001-03-28,14.280381202697754
2001-03-29,14.301837921142578
2001-03-30,14.64516544342041
2001-04-02,13.929893493652344
2001-04-03,13.954936981201172
2001-04-04,14.2160062789917
2001-04-05,14.591526985168457
2001-04-06,14.69166374206543
2001-04-09,15.009952545166016
2001-04-10,14.66304874420166
2001-04-11,14.305418014526367
2001-04-12,14.555766105651855
2001-04-16,14.627288818359375
2001-04-17,15.167317390441895
2001-04-18,14.627288818359375
2001-04-19,14.233892440795898
2001-04-20,14.577216148376465
2001-04-23,14.66304874420166
2001-04-24,14.491388320922852
2001-04-25,14.630860328674316
2001-04-26,15.19950008392334
2001-04-27,15.42124080657959
2001-04-30,15.485613822937012
2001-05-01,15.600059509277344
2001-05-02,15.446269989013672
2001-05-03,15.110097885131836
2001-05-04,15.542830467224121
2001-05-07,15.653706550598145
2001-05-08,15.739535331726074
2001-05-09,15.896902084350586
2001-05-10,15.642987251281738
2001-05-11,15.378324508666992
2001-05-14,15.4891939163208
2001-05-15,15.367595672607422
2001-05-16,15.99864673614502
2001-05-17,16.04884147644043
2001-05-18,16.081111907958984
2001-05-21,16.04884147644043
2001-05-22,15.79068374633789
2001-05-23,15.614999771118164
2001-05-24,15.389108657836914
2001-05-25,15.009041786193848
2001-05-29,15.43213176727295
2001-05-30,15.48950481414795
2001-05-31,15.378357887268066
2001-06-01,15.349665641784668
2001-06-04,15.586310386657715
2001-06-05,15.399859428405762
2001-06-06,15.364009857177734
2001-06-07,15.6867036819458
2001-06-08,15.600655555725098
2001-06-11,15.457237243652344
2001-06-12,15.392693519592285
2001-06-13,15.295882225036621
2001-06-14,15.507430076599121
2001-06-15,15.285134315490723
2001-06-18,15.496674537658691
2001-06-19,15.776346206665039
2001-06-20,15.955625534057617
2001-06-21,16.088287353515625
2001-06-22,15.342493057250977
2001-06-25,15.066405296325684
2001-06-26,15.134532928466797
2001-06-27,14.905059814453125
2001-06-28,15.113020896911621
2001-06-29,14.360061645507812
2001-07-02,14.664824485778809
2001-07-03,14.499895095825195
2001-07-05,14.256081581115723
2001-07-06,14.360061645507812
2001-07-09,14.754470825195312
2001-07-10,14.632558822631836
2001-07-11,13.929798126220703
2001-07-12,13.481602668762207
2001-07-13,13.779200553894043
2001-07-16,13.578415870666504
2001-07-17,13.832986831665039
2001-07-18,14.704273223876953
2001-07-19,14.747291564941406
2001-07-20,14.851280212402344
2001-07-23,14.370818138122559
2001-07-24,14.291937828063965
2001-07-25,14.377982139587402
2001-07-26,14.338544845581055
2001-07-27,14.284759521484375
2001-07-30,14.377982139587402
2001-07-31,14.77956485748291
2001-08-01,14.750885963439941
2001-08-02,14.607461929321289
2001-08-03,14.607461929321289
2001-08-06,14.46403980255127
2001-08-07,14.435349464416504
2001-08-08,14.377982139587402
2001-08-09,14.611050605773926
2001-08-10,14.736536026000977
2001-08-13,14.675591468811035
2001-08-14,14.725781440734863
2001-08-15,14.815664291381836
2001-08-16,14.808472633361816
2001-08-17,15.00980281829834
2001-08-20,14.887572288513184
2001-08-21,14.610737800598145
2001-08-22,14.6251220703125
2001-08-23,14.6251220703125
2001-08-24,14.858805656433105
2001-08-27,14.722182273864746
2001-08-28,14.434574127197266
2001-08-29,14.236835479736328
2001-08-30,13.769475936889648
2001-08-31,13.773067474365234
2001-09-04,13.873732566833496
2001-09-05,14.143359184265137
2001-09-06,13.823400497436523
2001-09-07,13.302104949951172
2001-09-10,13.722733497619629
2001-09-17,13.711944580078125
2001-09-18,13.58971881866455
2001-09-19,13.309293746948242
2001-09-20,13.13671588897705
2001-09-21,12.870680809020996
2001-09-24,12.95336627960205
2001-09-25,13.294909477233887
2001-09-26,13.859345436096191
