Date,WEC
2000-01-03,4.047216415405273
2000-01-04,4.073756694793701
2000-01-05,4.259529113769531
2000-01-06,4.246258735656738
2000-01-07,4.29933500289917
2000-01-10,4.29933500289917
2000-01-11,4.246258735656738
2000-01-12,4.325875759124756
2000-01-13,4.286067485809326
2000-01-14,4.219722270965576
2000-01-18,4.140104293823242
2000-01-19,4.246258735656738
2000-01-20,4.219722270965576
2000-01-21,4.312606334686279
2000-01-24,4.312606334686279
2000-01-25,4.286067485809326
2000-01-26,4.272798538208008
2000-01-27,4.246258735656738
2000-01-28,4.206451892852783
2000-01-31,4.193180561065674
2000-02-01,4.219722270965576
2000-02-02,4.286067485809326
2000-02-03,4.445302963256836
2000-02-04,4.325875759124756
2000-02-07,4.193180561065674
2000-02-08,4.259529113769531
2000-02-09,4.259529113769531
2000-02-10,4.181581497192383
2000-02-11,4.086854934692383
2000-02-14,4.113919258117676
2000-02-15,4.086854934692383
2000-02-16,4.086854934692383
2000-02-17,4.086854934692383
2000-02-18,4.046253681182861
2000-02-22,4.019190788269043
2000-02-23,3.9921247959136963
2000-02-24,3.816199779510498
2000-02-25,3.7891345024108887
2000-02-28,3.8297345638275146
2000-02-29,3.8297345638275146
2000-03-01,3.762068510055542
2000-03-02,3.8703320026397705
2000-03-03,3.8297345638275146
2000-03-06,3.694408893585205
2000-03-07,3.707940101623535
2000-03-08,3.640275239944458
2000-03-09,3.721473217010498
2000-03-10,3.707940101623535
2000-03-13,3.721473217010498
2000-03-14,3.7485384941101074
2000-03-15,3.8973946571350098
2000-03-16,4.154516220092773
2000-03-17,4.113919258117676
2000-03-20,4.113919258117676
2000-03-21,4.1409831047058105
2000-03-22,3.9921247959136963
2000-03-23,4.059787273406982
2000-03-24,4.032721996307373
2000-03-27,4.059787273406982
2000-03-28,4.07332181930542
2000-03-29,4.181581497192383
2000-03-30,4.24924373626709
2000-03-31,4.316908359527588
2000-04-03,4.357504844665527
2000-04-04,4.3710408210754395
2000-04-05,4.425169467926025
2000-04-06,4.398102283477783
2000-04-07,4.3439717292785645
2000-04-10,4.411634922027588
2000-04-11,4.45223331451416
2000-04-12,4.533430099487305
2000-04-13,4.641692161560059
2000-04-14,4.519896984100342
2000-04-17,4.601093292236328
2000-04-18,4.601093292236328
2000-04-19,4.5604939460754395
2000-04-20,4.519896984100342
2000-04-24,4.668755054473877
2000-04-25,4.858212471008301
2000-04-26,4.939405918121338
2000-04-27,4.722888469696045
2000-04-28,4.628157615661621
2000-05-01,4.655224323272705
2000-05-02,4.398102283477783
2000-05-03,4.43870210647583
2000-05-04,4.506365776062012
2000-05-05,4.384568691253662
2000-05-08,4.546963214874268
2000-05-09,4.601093292236328
2000-05-10,4.604400157928467
2000-05-11,4.6871161460876465
2000-05-12,4.57682991027832
2000-05-15,4.590616226196289
2000-05-16,4.6181864738464355
2000-05-17,4.4803290367126465
2000-05-18,4.521687984466553
2000-05-19,4.535473346710205
2000-05-22,4.6181864738464355
2000-05-23,4.590616226196289
2000-05-24,4.645756721496582
2000-05-25,4.57682991027832
2000-05-26,4.67332649230957
2000-05-30,4.604400157928467
2000-05-31,4.659544944763184
2000-06-01,4.645756721496582
2000-06-02,4.549259662628174
2000-06-05,4.4665446281433105
2000-06-06,4.494116306304932
2000-06-07,4.507902145385742
2000-06-08,4.452759265899658
2000-06-09,4.535473346710205
2000-06-12,4.563044548034668
2000-06-13,4.563044548034668
2000-06-14,4.563044548034668
2000-06-15,4.67332649230957
2000-06-16,4.659544944763184
2000-06-19,4.590616226196289
2000-06-20,4.549259662628174
2000-06-21,4.4665446281433105
2000-06-22,4.383831977844238
2000-06-23,4.494116306304932
2000-06-26,4.4665446281433105
2000-06-27,4.521687984466553
2000-06-28,4.604400157928467
2000-06-29,4.563044548034668
2000-06-30,4.370047092437744
2000-07-03,4.507902145385742
2000-07-05,4.452759265899658
2000-07-06,4.549259662628174
2000-07-07,4.549259662628174
2000-07-10,4.6181864738464355
2000-07-11,4.631972789764404
2000-07-12,4.631972789764404
2000-07-13,4.631972789764404
2000-07-14,4.57682991027832
2000-07-17,4.549259662628174
2000-07-18,4.563044548034668
2000-07-19,4.604400157928467
2000-07-20,4.549259662628174
2000-07-21,4.494116306304932
2000-07-24,4.425189018249512
2000-07-25,4.452759265899658
2000-07-26,4.425189018249512
2000-07-27,4.452759265899658
2000-07-28,4.452759265899658
2000-07-31,4.383831977844238
2000-08-01,4.425189018249512
2000-08-02,4.507902145385742
2000-08-03,4.60784912109375
2000-08-04,4.6181864738464355
2000-08-07,4.67677640914917
2000-08-08,4.659544944763184
2000-08-09,4.645756721496582
2000-08-10,4.666685104370117
2000-08-11,4.708824157714844
2000-08-14,4.733401298522949
2000-08-15,4.691265106201172
2000-08-16,4.74744987487793
2000-08-17,4.74744987487793
2000-08-18,4.74744987487793
2000-08-21,4.663175582885742
2000-08-22,4.606992244720459
2000-08-23,4.621037006378174
2000-08-24,4.621037006378174
2000-08-25,4.635085582733154
2000-08-28,4.677220821380615
2000-08-29,4.663175582885742
2000-08-30,4.691265106201172
2000-08-31,4.775540828704834
2000-09-01,4.74744987487793
2000-09-05,4.8879075050354
2000-09-06,4.98622465133667
2000-09-07,5.070499897003174
2000-09-08,5.063479900360107
2000-09-11,4.807144641876221
2000-09-12,4.606992244720459
2000-09-13,4.410351276397705
2000-09-14,4.326079845428467
2000-09-15,4.484092712402344
2000-09-18,4.4243998527526855
2000-09-19,4.4243998527526855
2000-09-20,4.368213653564453
2000-09-21,4.382261276245117
2000-09-22,4.382261276245117
2000-09-25,4.368213653564453
2000-09-26,4.410351276397705
2000-09-27,4.3998188972473145
2000-09-28,4.410351276397705
2000-09-29,4.484092712402344
2000-10-02,4.368213653564453
2000-10-03,4.283941268920898
2000-10-04,4.255847454071045
2000-10-05,4.1856207847595215
2000-10-06,4.241804599761963
2000-10-09,4.1856207847595215
2000-10-10,4.1856207847595215
2000-10-11,4.143483638763428
2000-10-12,4.143483638763428
2000-10-13,4.227757453918457
2000-10-16,4.326079845428467
2000-10-17,4.312031269073486
2000-10-18,4.326079845428467
2000-10-19,4.269893646240234
2000-10-20,4.255847454071045
2000-10-23,4.269893646240234
2000-10-24,4.255847454071045
2000-10-25,4.171575546264648
2000-10-26,4.087300777435303
2000-10-27,4.1996660232543945
2000-10-30,4.241804599761963
2000-10-31,4.227757453918457
2000-11-01,4.354170322418213
2000-11-02,4.283941268920898
2000-11-03,4.241804599761963
2000-11-06,4.227757453918457
2000-11-07,4.1856207847595215
2000-11-08,4.213712215423584
2000-11-09,4.269893646240234
2000-11-10,4.4430766105651855
2000-11-13,4.4430766105651855
2000-11-14,4.428882598876953
2000-11-15,4.457271575927734
2000-11-16,4.471468925476074
2000-11-17,4.599219799041748
2000-11-20,4.58502721786499
2000-11-21,4.58502721786499
2000-11-22,4.627610206604004
2000-11-24,4.627610206604004
2000-11-27,4.570832252502441
2000-11-28,4.599219799041748
2000-11-29,4.769564151763916
2000-11-30,4.840538501739502
2000-12-01,4.826345920562744
2000-12-04,4.982494354248047
2000-12-05,4.968296527862549
2000-12-06,4.982494354248047
2000-12-07,4.982494354248047
2000-12-08,5.223808765411377
2000-12-11,4.939905643463135
2000-12-12,4.911514759063721
2000-12-13,4.939905643463135
2000-12-14,4.8831257820129395
2000-12-15,4.812145233154297
2000-12-18,4.868929862976074
2000-12-19,4.868929862976074
2000-12-20,4.982494354248047
2000-12-21,4.968296527862549
2000-12-22,4.968296527862549
2000-12-26,5.067659854888916
2000-12-27,5.1244425773620605
2000-12-28,5.110246658325195
2000-12-29,5.1244425773620605
2001-01-02,4.996684551239014
2001-01-03,4.925710201263428
2001-01-04,4.641807556152344
2001-01-05,4.570832252502441
2001-01-08,4.599219799041748
2001-01-09,4.58502721786499
2001-01-10,4.599219799041748
2001-01-11,4.4430766105651855
2001-01-12,4.542440891265869
2001-01-16,4.4430766105651855
2001-01-17,4.414684772491455
2001-01-18,4.485660076141357
2001-01-19,4.499856948852539
2001-01-22,4.514051914215088
2001-01-23,4.528246879577637
2001-01-24,4.599219799041748
2001-01-25,4.542440891265869
2001-01-26,4.570832252502441
2001-01-29,4.544710159301758
2001-01-30,4.540169715881348
2001-01-31,4.565155029296875
2001-02-01,4.517459392547607
2001-02-02,4.510646343231201
2001-02-05,4.5197296142578125
2001-02-06,4.553797245025635
2001-02-07,4.651461601257324
2001-02-08,4.656003475189209
2001-02-09,4.758208274841309
2001-02-12,4.794896602630615
2001-02-13,4.794896602630615
2001-02-14,4.815537452697754
2001-02-15,4.767383098602295
2001-02-16,4.879741668701172
2001-02-20,4.895795822143555
2001-02-21,4.976053714752197
2001-02-22,5.024209499359131
2001-02-23,4.92331075668335
2001-02-26,4.987518310546875
2001-02-27,4.99898624420166
2001-02-28,5.072363376617432
2001-03-01,5.003571510314941
2001-03-02,5.017330169677734
2001-03-05,5.008157730102539
2001-03-06,4.941657066345215
2001-03-07,4.964584827423096
2001-03-08,5.02879524230957
2001-03-09,5.150330543518066
2001-03-12,5.0792436599731445
2001-03-13,5.134276866912842
2001-03-14,4.953121662139893
2001-03-15,4.976053714752197
2001-03-16,5.00127649307251
2001-03-19,4.930192470550537
2001-03-20,4.859105110168457
2001-03-21,4.893499851226807
2001-03-22,4.767383098602295
2001-03-23,4.760503768920898
2001-03-26,4.884330749511719
2001-03-27,4.891207218170166
2001-03-28,4.824705600738525
2001-03-29,4.888914585113525
